öbek,ewbu1k
ötesinde,ewbo2h sbo1dh||
ötesine,ewbo2h sbo1h
ötesine,ewbo2h sbo1h||
öt,ewbo2
öteye,ewbo2h bu2h
öteye,ewbo2h yh||
ötmek,ewbo2mk
ötre,ewbo2ry
ötsün,yo5wbo2swbo1
öttürmek,ewbo2drmk
ötürü,ewbo2wrw
ötürü,ewbo2wry
ötüş,ewbo2wso3
ötüşmek,ewbo2wso3mk
öv,ewk
övmek,ewkmk
övülmeye,yo5wwwlmko7h
övün,ewko7wbo1
övünmek,ewkbo1mk
övünmek,ewko7wbo1mk
övüt,ewkwbo2
övütmek,ewkwbo2mk
öyke,ewbu2kh
öyke,ewykh||
öylece,ewylh||xu1h
öyledir,ewylh||dr
öyledirler,ewylh||drlr
öyle,ewbu2lh
öyle,ewylh
öyle,ewylh||
öyle ise,ewbu2lh ebu2sh
öyle ise,ewylh eysh||
öylelerden,ewylh||lrdbo1
öylelere,ewylh||lrh
öyleler,ewylh||lr
öyleleri,ewylh||lry
öylelerin,ewylh||lrko3
öylelerinin,ewylh||lrybo1ko3
öyle mi?,ewbu2lh my
öyle mi?,ewylh my
öylesine,ewylh||sbo1h
öyleyim,ewylh||ym
öyleyiz,ewylh||yro1
öyleyse,ewylh eysh
özbek,ewro1bu1k
özcan,yo5wro1xu1ebo1
özdek,ewro1dk
özden,ewro1dbo1
özdür,yo5wro1dr
özek,ewro1k
özen,ewro1bo1
özene,yo5wro1h||bo1h
özengiç,ewro1bo1kbu2xu3
özengiç,ewro1bo1kyxu3
özenmek,ewro1bo1mk
özenti,ewro1h||bo1bo2y
özenti,ewro1h||bo1bo2y
özetlenmedi,yo5wro1bo2lbo1mh||dy
öz,ewro1
öze,yo5wro1h
özge,ewro1h||ko7h||
özge,ewro1h||ko7h
özle,ewro1lh||
özlemek,ewro1lh||mk
özlemek,ewro1lh||mk
özlemiştim,ewro1lh||mso3dm
özlen,ewro1lbo1
özlenmek,ewro1lbo1mk
özleri,yo5wro1lry
özleş,ewro1lso3
özleşmek,ewro1lso3mk
özlük,ewro1lk
özlü toprak,ewro1lwtbu3refo2
özr,ado1r
özrhah,ado1rxo1weh||
özrhâh,ado1rxo1weh
özrü,ado1ry
özrümü,ado1rymy
özrümüz,ado1rymro1
özrün,ado1rko3
özrünü,ado1rybo1y
özrünüz,ado1ryko3ro1
özrüyle,ado1rylh
özsün,yo5wro1sko3
özündeki,yo5wro1bo1dh||ky
özünden,yo5wro1bo1dbo1
özünü,yo5wro1ybo1y
özün,yo5wro1ko3
özür,ado1r
özür beyânı,ado1rbu1bu2ebo1y
özür beyanı,ado1rbu1yebo1y
özür dilemek,ado1rdbu2lh mk
özür dilemek,ado1rdylh mk
özürdür,ado1rdr
özürname,ado1rbo1emh||
özürnâme,ado1rbo1emh
özü-sözü,yo5wro1y swro1y
özüyle,yo5wro1ylh
özü,yo5wro1y
öz,yo5wro1
özyörük'ün,yo5wro1ywrwkko3
özyörük,yo5wro1ywrwk
