
Baba,bu1ebu1e,بابا
Bilinski,bu1ylybo1sky,بیلینسکی
Bilir,bu1ylyr,بیلیر
Biliş,bu1ylyso3,بیلیش
Bilkan,bu1ylfo2ebo1,بیلقان
Billûr,bu1lwr,بلور
Billûr,bu1yllwr,بیللور
Bilmen,bu1ylmbo1,بیلمن
Bilmez,bu1ylmro1,بیلمز
Bilnur,bu1ylbo1wr,بیلنور
Bilsay,bu1ylsey,بیلسای
Bilsel,bu1ylsl,بیلسل
Bilsen,bu1ylsbo1,بیلسن
Bilsev,bu1ylsw,بیلسو
Bilsin,bu1ylsybo1,بیلسین
Biltay,bu1ylbo2ey,بیلتای
Biltaş,bu1ylteso3,بیلطاش
Bilyap,bu1ylyebu3,بیلیاپ
Bilyeli,bu1ylyh ly,بیلیه لی
Bilâl,bu1lel,بلال
BinAl,bu1ybo1eo6l,بینآل
Binal,bu1ybo1eo6l,بینآل
Binali,bu1bo1 aly,بن علی
Binalp,bu1ybo1 eo6lbu3,بین آلپ
Binan,bu1ybo1ebo1,بینان
Binat,bu1ybo1ebo2,بینات
Binay,bu1ybo1ey,بینای
Binbay,bu1ybo1bu1ey,بینبای
Binbaşar,bu1ybo1 bu1eso3er,بین باشار
Bindal,bu1ybo1del,بیندال
Biner,bu1ybo1r,بینر
Binerbay,bu1ybo1rbu1ey,بینربای
Bingöl,bu1ybo1ko7wl,بینگول
Bingöl,bu1yko3ko7wl,بیڭگول
Bingül,bu1ybo1ko7l,بینگل
Bingül,bu1yko3ko7l,بیڭگل
Bingün,bu1ybo1ko7wbo1,بینگون
Binhan,bu1ybo1xo1ebo1,بینخان
Binici,bu1ybo1yxu1y,بینیجی
Binicioğlu,bu1ybo1yxu1y ewao1ly,بینیجی اوغلی
Biniz,bu1ybo1yro1,بینیز
Binkan,bu1ybo1fo2ebo1,بینقان
Binkaya,bu1ybo1fo2eye,بینقایا
Binnaz,bu1yko3bo1ero1,بیڭناز
Binnur,bu1yko3bo1wr,بیڭنور
Bintuğ,bu1ybo1twao1,بینطوغ
Binyazar,bu1ybo1yero1er,بینیازار
Binyaşar,bu1ybo1 yeso3er,بین یاشار
Binzet,bu1ybo1ro1bo2,بینزت
Binışık,bu1ybo1 eyso3yfo2,بین ایشیق
Bir,bu1r,بر
Biran,bu1yrebo1,بیران
Birant,bu1yrebo1bo2,بیرانت
Birant,bu1yrebo1d,بیراند
Biray,bu1reo6y,برآی
Birben,bu1rbu1bo1,بربن
Birbenek,bu1rbu1bo1k,بربنک
Bircan,bu1rxu1ebo1,برجان
Birce,bu1rxu1h,برجه
Birdal,bu1rdel,بردال
Birecik,bu1yrh||xu1k,بیره‌جک
Birer,bu1rr,برر
Birge,bu1rko7h,برگه
Birgen,bu1rko7bo1,برگن
Birgi,bu1rko7y,برگی
Birgi,bu1yrko7y,بیرگی
Birgit,bu1rko7ybo2,برگیت
Birgit,bu1yrko7ybo2,بیرگیت
Birgül,bu1rko7l,برگل
Birgün,bu1rko7wbo1,برگون
Birhan,bu1rxo1ebo1,برخان
Biricik,bu1yryxu1yk,بیریجیک
Birim,bu1yrym,بیریم
Birinci,bu1rbo1xu1y,برنجی
Birincioğlu,bu1rbo1xu1y ewao1ly,برنجی اوغلی
Biriz,bu1ryro1,بریز
Biriçim,bu1rbu2xu3ym,بريچیم
Birkan,bu1rfo2ebo1,برقان
Birkan,bu1rkebo1,برکان
Birkan,bu1yrfo2ebo1,بیرقان
Birke,bu1rkh,برکه
Birkök,bu1yrkwk,بیرکوک
Birler,bu1rlr,برلر
Birlik,bu1rlk,برلک
Birmen,bu1yrmbo1,بیرمن
Birnaz,bu1rbo1ero1,برناز
Birnur,bu1rbo1wr,برنور
Birol,bu1rwl,برول
Birol,bu1yr ewl,بیر اول
Birsan,bu1rsebo1,برسان
Birsel,bu1rsl,برسل
Birsen,bu1rsbo1,برسن
Birsin,bu1yrsybo1,بیرسین
Birsoy,bu1yrzwy,بیرصوی
Birtan,bu1yrtebo1,بیرطان
Birtane,bu1rbo2ebo1h,برتانه
Birtek,bu1rbo2k,برتک
Birten,bu1yrbo2bo1,بیرتن
Birçek,bu1rxu3k,برچک
Birşen,bu1yr so3bo1,بیر شن
Bitek,bu1ybo2k,بیتک
Bitengül,bu1ybo2bo1 ko7l,بیتن گل
Bitim,bu1ybo2ym,بیتیم
Bitlis,bu1bo2lys,بتلیس
Biçentürk,bu1yxu3bo1 bo2wrk,بیچن تورک
Biçer,bu1yxu3r,بیچر
Bleda,bu1ylde,بیلدا
Bodrum,bu1wdrwm,بودروم
Bodrumlu,bu1wdrwmly,بودروملی
Bodur,bu1wdwr,بودور
Bohça,bu1wxo1xu3h,بوخچه
Bol,bu1wl,بول
Bolak,bu1wlefo2,بولاق
Bolat,bu1wled,بولاد
Bolayırlı,bu1wleyrly,بولایرلی
Bolcan,bu1wlxu1ebo1,بولجان
Boldan,bu1wldebo1,بولدان
Bolgan,bu1wlao1ebo1,بولغان
Bolhan,bu1wlxo1ebo1,بولخان
Boliç,bu1wlyxu3,بولیچ
Bolkan,bu1wlfo2ebo1,بولقان
Bolu,bu1wly,بولی
Bolvadin,bu1wlwedybo1,بولوادین
Boncuk,bu1wbo1xu1wfo2,بونجوق
Bor,bu1wr,بور
Bora,bu1wre,بورا
Borahan,bu1wrexo1ebo1,بوراخان
Borak,bu1wrefo2,بوراق
Borakan,bu1wrefo2ebo1,بوراقان
Borakhan,bu1wrefo2xo1ebo1,بوراقخان
Boran,bu1wrebo1,بوران
Boranalp,bu1wrebo1 eo6lbu3,بوران آلپ
Boranbay,bu1wrebo1 bu1ey,بوران بای
Boransü,bu1wrebo1sw,بورانسو
Boratav,bu1wrebo2ew,بوراتاو
Boratay,bu1wrebo2ey,بوراتای
Borataş,bu1wreteso3,بوراطاش
Boray,bu1wrey,بورای
Borkan,bu1wrfo2ebo1,بورقان
Borçka,bu1wrxu3fo2e,بورچقا
Bosfor,bu1wsbo2wr,بوستور
Bosna,bu1wsbo1h,بوسنه
Bostancı,bu1wsbo2ebo1xu1y,بوستانجی
Bostancıoğlu,bu1wsbo2ebo1xu1y ewao1ly,بوستانجی اوغلی
Bosuter,bu1wswbo2r,بوسوتر
Botel,bu1wbo2l,بوتل
Boy,bu1wy,بوی
Boya,bu1wye,بویا
Boyabat,bu1wy||eo6bu1ed,بوی‌آباد
Boyacıgiller,bu1wyexu1yko7yllr,بویاجیگیللر
Boyacıoğlu,bu1wyexu1y ewao1ly,بویاجی اوغلی
Boyar,bu1wyer,بویار
Boydak,bu1wydefo2,بویداق
Boydaş,bu1wydeso3,بویداش
Boyer,bu1wyr,بویر
Boylan,bu1wylebo1,بویلان
Boylu,bu1wylw,بویلو
Boynak,bu1wybo1efo2,بویناق
Boynuk,bu1wybo1wfo2,بوینوق
Boyraz,bu1wyrero1,بویراز
Boysal,bu1wyzel,بویصال
Boysan,bu1wysebo1,بویسان
Boz,bu1wro1,بوز
Bozan,bu1wro1ebo1,بوزان
Bozat,bu1wro1ebo2,بوزات
Bozatlı,bu1wro1eo6bo2ly,بوزآتلی
Bozatık,bu1wro1ebo2yfo2,بوزاتیق
Bozay,bu1wro1ey,بوزای
Bozbala,bu1wro1bu1le,بوزبلا
Bozbay,bu1wro1bu1ey,بوزبای
Bozbağ,bu1wro1bu1eao1,بوزباغ
Bozbaş,bu1wro1bu1eso3,بوزباش
Bozbey,bu1wro1bu1ko7,بوزبگ
Bozbeyli,bu1wro1bu1ko7ly,بوزبگلی
Bozbeyoğlu,bu1wro1bu1ko7 ewao1ly,بوزبگ اوغلی
Bozbora,bu1wro1bu1wre,بوزبورا
Bozca,bu1wro1xu1h,بوزجه
Bozdag,bu1wro1deao1,بوزداغ
Bozdag,bu1wro1teao1,بوزطاغ
Bozdağ,bu1wro1deao1,بوزداغ
Bozdağ,bu1wro1teao1,بوزطاغ
Bozdemir,bu1wro1dmyr,بوزدمیر
Bozdeniz,bu1wro1dko3ro1,بوزدڭز
Bozdoğan,bu1wro1dwao1ebo1,بوزدوغان
Bozdoğan,bu1wro1twao1ebo1,بوزطوغان
Bozdoğanoğlu,bu1wro1twao1ebo1 ewao1ly,بوزطوغان اوغلی
Bozer,bu1wro1r,بوزر
Bozerk,bu1wro1rk,بوزرک
Bozgeyik,bu1wro1ko7yk,بوزگیک
Bozgüney,bu1wro1ko7wbo1y,بوزگونی
Bozhan,bu1wro1xo1ebo1,بوزخان
Bozkan,bu1wro1fo2ebo1,بوزقان
Bozkara,bu1wro1fo2rh,بوزقره
Bozkaya,bu1wro1fo2eyh,بوزقایه
Bozkurt,bu1wro1fo2wrbo2,بوزقورت
Bozkır,bu1wro1fo2yr,بوزقیر
Bozlak,bu1wro1lefo2,بوزلاق
Bozma,bu1wro1me,بوزما
Bozok,bu1wro1wfo2,بوزوق
Bozokay,bu1wro1wfo2ey,بوزوقای
Boztaş,bu1wro1teso3,بوزطاش
Boztepe,bu1wro1bo2bu3h,بوزتپه
Boztimur,bu1wro1bo2ymwr,بوزتیمور
Bozyel,bu1wro1yl,بوزیل
Bozyiğit,bu1wro1yyko7ybo2,بوزییگیت
Bozçin,bu1wro1xu3ybo1,بوزچین
Bozüyük,bu1wro1ewywk,بوزاویوک
Boğa,bu1wao1e,بوغا
Boğahan,bu1wao1exo1ebo1,بوغاخان
Boğatay,bu1wao1ebo2ey,بوغاتای
Boğataş,bu1wao1e teso3,بوغا طاش
Boğatekin,bu1wao1ebo2kybo1,بوغاتکین
Boğatimur,bu1wao1ebo2ymwr,بوغاتیمور
Boğatır,bu1wao1etyr,بوغاطیر
Boğaziçi,bu1wao1ero1eyxu3y,بوغازایچی
Boğazlayan,bu1wao1ero1leyebo1,بوغازلایان
Boğaç,bu1wao1xu3,بوغچ
Boğaçhan,bu1wao1xu3xo1ebo1,بوغچخان
Boşank,bu1wso3ebo1fo2,بوشانق
Boşnak,bu1wso3bo1efo2,بوشناق
Bubik,bu1wbu1yk,بوبیک
Bucak,bu1wxu1efo2,بوجاق
Buda,bu1wde,بودا
Budak,bu1wdefo2,بوداق
Budakoğlu,bu1wdefo2 ewao1ly,بوداق اوغلی
Budun,bu1wdwbo1,بودون
Budunal,bu1wdwbo1 eo6l,بودون آل
Budunalp,bu1wdwbo1 eo6lbu3,بودون آلپ
Budunç,bu1wdwbo1xu3,بودونچ
Bugül,bu1wko7l,بوگل
Bukan,bu1wfo2ebo1,بوقان
Bukay,bu1wfo2ey,بوقای
Buket,bu1wkbo2,بوکت
Bulak,bu1wlefo2,بولاق
Bulanalp,bu1wlebo1 eo6lbu3,بولان آلپ
Bulca,bu1wlxu1h,بولجه
Buldan,bu1ldebo1,بلدان
Buldanlı,bu1ldebo1ly,بلدانلی
Buldanlıoğlu,bu1ldebo1ly ewao1ly,بلدانلی اوغلی
Bulduk,bu1wldfo2,بولدق
Bulgan,bu1wlao1ebo1,بولغان
Bulgaristan,bu1wlao1ersbo2ebo1,بولغارستان
Bulgarya,bu1wlao1erye,بولغاریا
Bulgu,bu1wlao1w,بولغو
Bulgubay,bu1wlao1wbu1ey,بولغوبای
Bulgucan,bu1wlao1wxu1ebo1,بولغوجان
Bulgunoyan,bu1wlao1wbo1wyebo1,بولغونویان
Bulgurlu,bu1wlao1wrly,بولغورلی
Bulunç,bu1wlwbo1xu3,بولونچ
Bulut,bu1wlwt,بولوط
Bulutay,bu1wlwbo2eo6y,بولوتآی
Buluttekin,bu1wlwt bo2kybo1,بولوط تکین
Buluç,bu1wlwxu3,بولوچ
Buluş,bu1wlwso3,بولوش
Bumin,bu1wmko3,بومڭ
Bumin,bu1wmybo1,بومین
Buminhan,bu1wmybo1xo1ebo1,بومینخان
Burak,bu1wrefo2,بوراق
Burak,bu1wrfo2,بورق
Burcu,bu1wrxu1w,بورجو
Burcu,bu1wrxu1y,بورجی
Burdur,bu1wrdwr,بوردور
Burhan,bu1rhebo1,برهان
Burhanettin,bu1rhebo1 eldybo1,برهان الدین
Burhâniye,bu1rhebo1yh,برهانیه
Burkay,bu1wrfo2ey,بورقای
Bursa,bu1wrsh,بورسه
Buruk,bu1wrwfo2,بوروق
Burukbay,bu1wrwfo2bu1ey,بوروقبای
Buruktekin,bu1wrwfo2 bo2kybo1,بوروق تکین
Burç,bu1wrxu3,بورچ
Burçak,bu1wrxu3efo2,بورچاق
Burçhan,bu1wrxu3 xo1ebo1,بورچ خان
Burçin,bu1wrxu3ybo1,بورچین
Buse,bu1wsh,بوسه
Buyan,bu1wyebo1,بویان
Buyruk,bu1wyrwfo2,بویروق
Buyrukalp,bu1wyrwfo2 eo6lbu3,بویروق آلپ
Buyrukata,bu1wyrwfo2 eo6bo2e,بویروق آتا
Buyrukbay,bu1wyrwfo2 bu1ey,بویروق بای
Buyrukhan,bu1wyrwfo2 xo1ebo1,بویروق خان
Buyrukçu,bu1wyrwfo2xu1y,بویروقجی
Buyrukçu,bu1wyrwfo2xu3w,بویروقچو
Buz,bu1wro1,بوز
Buğday,bu1ao1dey,بغدای
Buğday,bu1wao1dey,بوغدای
Buğdaycı,bu1ao1deyxu1y,بغدایجی
Buğra,bu1ao1re,بغرا
Buğra,bu1wao1re,بوغرا
Buğrahan,bu1wao1rexo1ebo1,بوغراخان
Bâbıali,bu1ebu1||aely,باب‌عالی
Bâhir,bu1ehr,باهر
Bâhir,bu1exo1r,باخر
Bâhir,bu1exr,باحر
Bâhire,bu1exrh,باحره
Bâlâ,bu1ele,بالا
Bâyezid,bu1eyro1yd,بایزید
Böcekkabuğu,bu1wxu1k fo2ebu1wao1y,بوجک قابوغی
Böget,bu1wko7bo2,بوگت
Böke,bu1wkh,بوکه
Böken,bu1wkbo1,بوکن
Bölükbaşı,bu1wlwkbu1eso3y,بولوکباشی
Bölükoğlu,bu1wlwk ewao1ly,بولوک اوغلی
Börekçi,bu1wrkxu1y,بورکجی
Börk,bu1wrk,بورک
Börteçin,bu1wrbo2h xu3ybo1,بورته چین
Börçek,bu1wrxu3k,بورچک
Börü,bu1wrw,بورو
Börübars,bu1wrwbu1ers,بوروبارس
Börübay,bu1wrwbu1ey,بوروبای
Börübey,bu1wrwbu1ko7,بوروبگ
Börühan,bu1wrwxo1ebo1,بوروخان
Börükan,bu1wrwfo2ebo1,بوروقان
Böğrek,bu1wko7rk,بوگرک
Böğürtlen,bu1wko7wrbo2lbo1,بوگورتلن
Büge,bu1wko7h,بوگه
Büget,bu1wko7bo2,بوگت
Bük,bu1wk,بوک
Bükay,bu1wkey,بوکای
Büke,bu1wkh,بوکه
Büker,bu1wkr,بوکر
Büklüm,bu1wklwm,بوکلوم
Bülbül,bu1lbu1l,بلبل
Bülbül,bu1wlbu1wl,بولبول
Büldan,bu1wldebo1,بولدان
Bülent,bu1lbo1d,بلند
Bülgün,bu1wlko7wbo1,بولگون
Bünyamin,bu1bo1yemybo1,بنیامین
Bünyan,bu1bo1yebo1,بنیان
Büran,bu1wrebo1,بوران
Bürge,bu1rko7h,برگه
Bürgü,bu1wrko7w,بورگو
Bürkan,bu1rfo2ebo1,برقان
Bürkan,bu1rkebo1,برکان
Bürküt,bu1wrkwbo2,بورکوت
Bürran,bu1rebo1,بران
Bürçe,bu1wrxu3h,بورچه
Bürçin,bu1wrxu3ybo1,بورچین
Bürümcek,bu1wrwmxu1k,بورومجک
Büte,bu1wbo2h,بوته
Bütün,bu1bo2wbo1,بتون
Bütün,bu1wbo2wbo1,بوتون
Bütüner,bu1bo2wbo1r,بتونر
Büyük,bu1ywk,بیوک
Büyükakkaşlar,bu1ywk eo6fo2fo2eso3lr,بیوک آققاشلر
Büyükarı,bu1ywk eo6ry,بیوک آری
Büyükataman,bu1ywk eo6bo2emebo1,بیوک آتامان
Büyükcengiz,bu1ywk xu1bo1ko7yro1,بیوک جنگیز
Büyükerman,bu1ywk eo5rmebo1,بیوک أرمان
Büyükhanlı,bu1ywkxo1ebo1ly,بیوکخانلی
Büyükkaya,bu1ywk fo2eye,بیوک قایا
Büyükkılıç,bu1ywk fo2ylyxu3,بیوک قیلیچ
Büyükyalvaç,bu1ywk yelwexu3,بیوک یالواچ
Büyükyaylacı,bu1ywk yeylexu1y,بیوک یایلاجی
Büyükyılmaz,bu1ywk yylmero1,بیوک ییلماز
Büyüköztürk,bu1ywk ewro1bo2wrk,بیوک اوزتورک
Büğdüz,bu1wko7dwro1,بوگدوز
Büşra,bu1so3re,بشرا
Bıyık,bu1yyfo2,بییق
Bıyıklıoğlu,bu1yyfo2ly ewao1ly,بییقلی اوغلی
Bıçakçıoğlu,bu1yxu3efo2xu1y ewao1ly,بیچاقجی اوغلی
