
Tabak,tbu1efo2,طباق
Toper,bo2wbu3 eo5r,توپ أر
Topkan,twbu3fo2ebo1,طوپقان
Topkaya,twbu3fo2eye,طوپقایا
Toprak,twbu3refo2,طوپراق
Toptan,twbu3dbo1,طوپدن
Toptaş,twbu3teso3,طوپطاش
Topuz,bo2wbu3wro1,توپوز
Topuz,twbu3wro1,طوپوز
Topçam,bo2wbu3xu3em,توپچام
Topçay,bo2wbu3xu3ey,توپچای
Topçu,twbu3xu1y,طوپجی
Topçubaşı,twbu3xu1ybu1eso3y,طوپجیباشی
Topçular,twbu3xu1ylr,طوپجیلر
Topçuoğlu,twbu3xu1y ewao1ly,طوپجی اوغلی
Tor,twr,طور
Toralp,twreo6lbu3,طورآلپ
Toraman,twremebo1,طورامان
Toran,twrebo1,طوران
Torbalı,twrbu1ely,طوربالی
Torbo,twrbu1w,طوربو
Torcan,twrxu1ebo1,طورجان
Torel,twrel,طورال
Torfilli,twrfo1ylly,طورفیللی
Torgay,twrao1ey,طورغای
Torhan,twrxo1ebo1,طورخان
Torkal,twrfo2el,طورقال
Torkan,twrfo2ebo1,طورقان
Torlak,twrlefo2,طورلاق
Toros,twrws,طوروس
Tortum,twrtwm,طورطوم
Torul,twrwl,طورول
Torumtay,twrwmbo2ey,طورومتای
Torun,twrwbo1,طورون
Torunlu,twrwbo1ly,طورونلی
Tosbi,twsbu1y,طوسبی
Toskay,twsfo2ey,طوسقای
Tosun,twswbo1,طوسون
Tosunbey,twswbo1 bu1ko7,طوسون بگ
Tosunoğlu,twswbo1 ewao1ly,طوسون اوغلی
Tosya,twsbu2e,طوسيا
Tosyalı,twsyh ly,طوسیه لی
Tosyalıoğlu,twsyh ly ewao1ly,طوسیه لی اوغلی
Totuk,twbo2wfo2,طوتوق
Toy,twy,طوی
Toyboğa,twybu1wao1h,طویبوغه
Toycan,twyxu1ebo1,طویجان
Toydemir,twy dmyr,طوی دمیر
Toydemir,twydmyr,طویدمیر
Toydeniz,twydko3ro1,طویدڭز
Toygar,twyao1er,طویغار
Toygun,twyao1wbo1,طویغون
Toyka,twyfo2e,طویقا
Tozan,bo2wro1ebo1,توزان
Tozkoparan,bo2wro1 fo2wbu3erebo1,توز قوپاران
Tozun,bo2wro1wbo1,توزون
Toğan,twao1ebo1,طوغان
Toğay,twao1ey,طوغای
Toğuzata,twao1wro1eo6bo2e,طوغوزآتا
Toğuç,twao1wxu3,طوغوچ
Toğuş,twao1wso3,طوغوش
Trabzon,trbu1ro1wbo1,طربزون
Trak,bo2refo2,تراق
Tuba,twbu1y,طوبی
Tufan,twfo1ebo1,طوفان
Tugay,twao1ey,طوغای
Tugaç,twao1exu3,طوغاچ
Tuhfe,bo2xfo1h,تحفه
Tulca,twlxu1h,طولجه
Tulga,twlao1h,طولغه
Tulgar,twlao1er,طولغار
Tului,bo2wlwbo5,تولوئ
Tului,tlwa,طلوع
Tuluk,twlwfo2,طولوق
Tulum,twlwm,طولوم
Tulun,twlwbo1,طولون
Tulunay,twtwbo1ey,طوطونای
Tulû,bo2wlw,تولو
Tulû,tlwa,طلوع
Tuman,twmebo1,طومان
Tumay,twmey,طومای
Tun,bo2wbo1,تون
Tuna,twbo1e,طونا
Tuna,twbo1h,طونه
Tunaboylu,twbo1e bu1wyly,طونا بویلی
Tunacan,twbo1h xu1ebo1,طونه جان
Tunaer,twbo1h eo5r,طونه أر
Tunahan,twbo1exo1ebo1,طوناخان
Tunakan,twbo1h fo2ebo1,طونه قان
Tunalı,twbo1ely,طونالی
Tunalı,twbo1h||ly,طونه‌لی
Tunaoğlu,twbo1e ewao1ly,طونا اوغلی
Tunay,bo2wbo1ey,تونای
Tunay,twbo1ey,طونای
Tunca,bo2wbo1xu1h,تونجه
Tuncal,bo2wbo1xu1el,تونجال
Tuncalp,bo2wbo1xu1 eo6lbu3,تونج آلپ
Tuncay,bo2wbo1xu1ey,تونجای
Tuncel,bo2wbo1xu1l,تونجل
Tuncer,bo2wbo1xu1r,تونجر
Tunga,bo2wbo1ao1h,تونغه
Tunguç,twbo1ao1wxu3,طونغوچ
Tuntaş,bo2wbo1teso3,تونطاش
Tunus,bo2wbo1s,تونس
Tunusgediği,bo2wbo1s ko7dbu2ko7y,تونس گديگی
Tunuslu,bo2wbo1sly,تونسلی
Tunç,bo2wbo1xu3,تونچ
Tunçak,twbo1xu3efo2,طونچاق
Tunçal,bo2wbo1xu3el,تونچال
Tunçalp,bo2wbo1xu3 eo6lbu3,تونچ آلپ
Tunçalın,bo2wbo1xu3 eo6lybo1,تونچ آلین
Tunçaral,bo2wbo1xu3 eo6rel,تونچ آرال
Tunçaslan,bo2wbo1xu3 eo6slebo1,تونچ آسلان
Tunçay,bo2wbo1xu3ey,تونچای
Tunçbay,bo2wbo1xu3bu1ey,تونچبای
Tunçbilek,bo2wbo1xu3bu1ylk,تونچبیلک
Tunçboğa,bo2wbo1xu3bu1wao1h,تونچبوغه
Tunçbörü,bo2wbo1xu3bu1wrw,تونچبورو
Tunçdemir,bo2wbo1xu3dmyr,تونچدمیر
Tunçel,bo2wbo1xu3l,تونچل
Tunçer,bo2wbo1xu3r,تونچر
Tunçhan,bo2wbo1xu3xo1ebo1,تونچخان
Tunçkan,bo2wbo1xu3fo2ebo1,تونچقان
Tunçkaya,bo2wbo1xu3fo2eye,تونچقایا
Tunçkol,bo2wbo1xu3fo2wl,تونچقول
Tunçkurt,bo2wbo1xu3fo2wrbo2,تونچقورت
Tunçkılıç,bo2wbo1xu3fo2ylyxu3,تونچقیلیچ
Tunçok,bo2wbo1xu3wfo2,تونچوق
Tunçsiper,bo2wbo1xu3sbu3r,تونچسپر
Tunçsoy,bo2wbo1xu3zwy,تونچصوی
Tunçtan,bo2wbo1xu3bo2ebo1,تونچتان
Tunçtürk,bo2wbo1xu3 bo2rk,تونچ ترک
Tunççağ,bo2wbo1xu3xu3eao1,تونچچاغ
Tunçöven,bo2wbo1xu3 ewwbo1,تونچ اوون
Tur,twr,طور
Tura,twre,طورا
Tural,bo2wrel,تورال
Tural,twrel,طورال
Turalp,twreo6lbu3,طورآلپ
Turan,bo2wrebo1,توران
Turan,twrebo1,طوران
Turanlı,bo2wrebo1ly,تورانلی
Turatekin,twrebo2kybo1,طوراتکین
Turay,twrey,طورای
Turaç,twrexu3,طوراچ
Turbay,twrbu1ey,طوربای
Turcan,twrxu1ebo1,طورجان
Turfa,trfo1h,طرفه
Turgay,twrao1ey,طورغای
Turgut,twrao1wbo2,طورغوت
Turgutalp,twrao1wbo2 eo6lbu3,طورغوت آلپ
Turgutlu,twrao1wdlw,طورغودلو
Turhan,twrxo1ebo1,طورخان
Turhangil,twrxo1ebo1ko7yl,طورخانگیل
Turhatun,twrxo1ebo2wbo1,طورخاتون
Turkan,bo2wrfo2ebo1,تورقان
Turna,twrbo1h,طورنه
Tutak,twtefo2,طوطاق
Tutan,twbo2ebo1,طوتان
Tutel,twbo2 eo5l,طوت أل
Tuter,twbo2 eo5r,طوت أر
Tuti,twty,طوطی
Tutku,twbo2fo2w,طوتقو
Tutkun,twbo2ao1wbo1,طوتغون
Tutkun,twbo2fo2wbo1,طوتقون
Tutu,twbo2w,طوتو
Tutu,twbo2y,طوتی
Tutuhan,twbo2wxo1ebo1,طوتوخان
Tutuk,twbo2wfo2,طوتوق
Tutun,twbo2wbo1,طوتون
Tutuş,twbo2wso3,طوتوش
Tuvana,twwebo1h,طووانه
Tuyan,twyebo1,طویان
Tuygun,twyao1wbo1,طویغون
Tuyuk,twywfo2,طویوق
Tuyuğ,twywao1,طویوغ
Tuz,twro1,طوز
Tuzcu,twro1xu1y,طوزجی
Tuzer,twro1r,طوزر
Tuğ,bo2wao1,توغ
Tuğ,twao1,طوغ
Tuğal,bo2wao1el,توغال
Tuğalp,bo2wao1eo6lbu3,توغآلپ
Tuğaltan,bo2wao1eo6lbo2ebo1,توغآلتان
Tuğaltay,bo2wao1eo6lbo2ey,توغآلتای
Tuğba,twao1bu1e,طوغبا
Tuğba,twbu1y,طوبی
Tuğbay,bo2wao1bu1ey,توغبای
Tuğcu,bo2wao1xu1w,توغجو
Tuğcu,twao1xu1y,طوغجی
Tuğhan,bo2wao1xo1ebo1,توغخان
Tuğkan,twao1fo2ebo1,طوغقان
Tuğkun,bo2wao1fo2wbo1,توغقون
Tuğlu,twao1lw,طوغلو
Tuğlu,twao1ly,طوغلی
Tuğluk,twao1lfo2,طوغلق
Tuğluk,twao1lwfo2,طوغلوق
Tuğmaner,twao1mebo1r,طوغمانر
Tuğra,twao1re,طوغرا
Tuğrul,twao1rwl,طوغرول
Tuğrultekin,twao1rwl bo2kybo1,طوغرول تکین
Tuğsan,twao1zebo1,طوغصان
Tuğsav,twao1zw,طوغصو
Tuğsavaş,twao1 zweso3,طوغ صواش
Tuğsavul,twao1zwwl,طوغصوول
Tuğsavun,twao1zwwbo1,طوغصوون
Tuğsel,twao1sl,طوغسل
Tuğser,twao1sr,طوغسر
Tuğtay,bo2wao1bo2ey,توغتای
Tuğtaş,twao1tso3,طوغطش
Tuğtekin,twao1bo2kybo1,طوغتکین
Tuğyan,twao1yebo1,طوغیان
Tuğçe,twao1xu3h,طوغچه
Tökel,bo2wkl,توکل
Tölek,bo2wlk,تولک
Tömek,bo2wmk,تومک
Tönük,bo2wbo1wk,تونوک
Tör,bo2wr,تور
Töre,bo2wrh,توره
Töregün,bo2wrh ko7wbo1,توره گون
Törehan,bo2wrh xo1ebo1,توره خان
Törel,bo2wrel,تورال
Töreli,bo2wrh ly,توره لی
Tören,bo2wrbo1,تورن
Törü,bo2wrw,تورو
Törüm,bo2wrwm,توروم
Törümküney,bo2wrwmkwbo1y,تورومکونی
Törüner,bo2wrwbo1r,تورونر
Töz,bo2wro1,توز
Tözüm,bo2wro1wm,توزوم
Tûran,bo2wrebo1,توران
Tûrânî,bo2wrebo1y,تورانی
Tüblek,bo2wbu1lk,توبلک
Tüfekçi,bo2fo1bo1kxu1y,تفنکجی
Tüfekçioğlu,bo2fo1bo1kxu1y ewao1ly,تفنکجی اوغلی
Tükel,bo2wkl,توکل
Tükelalp,bo2wkl eo6lbu3,توکل آلپ
Tükelay,bo2wkl eo6y,توکل آی
Tülay,bo2wley,تولای
Tülcan,bo2wlxu1ebo1,تولجان
Tülek,bo2wlk,تولک
Tülen,bo2wlbo1,تولن
Tülezoğlu,bo2wlro1 ewao1ly,تولز اوغلی
Tülin,bo2wlybo1,تولین
Tülinay,bo2wlybo1 eo6y,تولین آی
Tülün,bo2wlwbo1,تولون
Tümay,bo2wmey,تومای
Tümbay,bo2wmbu1ey,تومبای
Tümcan,bo2wmxu1ebo1,تومجان
Tümel,bo2wml,تومل
Tümen,bo2wmbo1,تومن
Tümenbay,bo2wmbo1bu1ey,تومنبای
Tümenboğa,bo2wmbo1bu1wao1h,تومنبوغه
Tümer,bo2wmr,تومر
Tümerdem,bo2wm erdm,توم اردم
Tümerk,bo2wmrk,تومرک
Tümerkan,bo2wmrfo2ebo1,تومرقان
Tümerkan,bo2wmrkebo1,تومرکان
Tümerkin,bo2wmrkybo1,تومرکین
Tümhan,bo2wmxo1ebo1,تومخان
Tümkal,bo2wmfo2el,تومقال
Tümkan,bo2wmfo2ebo1,تومقان
Tümkor,bo2wmfo2wr,تومقور
Tümkoç,bo2wmfo2wxu3,تومقوچ
Tümkurt,bo2wmfo2wrbo2,تومقورت
Tümkut,bo2wmfo2wbo2,تومقوت
Tümtürk,bo2wmbo2wrk,تومتورک
Tün,bo2wbo1,تون
Tünak,bo2wbo1efo2,توناق
Tünal,bo2wbo1el,تونال
Tünay,bo2wbo1ey,تونای
Tünaydın,bo2wbo1eydybo1,تونایدین
Tüner,bo2wbo1r,تونر
Tüney,bo2wbo1y,تونی
Tüngür,bo2wbo1ko7wr,تونگور
Türabi,bo2wrebu1y,تورابی
Türe,bo2wrh,توره
Türegün,bo2wrh ko7wbo1,توره گون
Türehan,bo2wrh xo1ebo1,توره خان
Türek,bo2wrk,تورک
Türel,bo2wrl,تورل
Türeli,bo2wrh ly,توره لی
Türemen,bo2wrh mbo1,توره من
Türesin,bo2wrh sbo1,توره سن
Türev,bo2wrw,تورو
Türgün,bo2wrko7wbo1,تورگون
Türk uşağı,bo2rk ewso3eao1y,ترک اوشاغی
Türk,bo2rk,ترک
Türk,bo2wrk,تورک
Türkalp,bo2wrk eo6lbu3,تورک آلپ
Türkant,twrkebo1bo2,طورکانت
Türkaslan,bo2wrk eo6slebo1,تورک آسلان
Türkay,bo2wrkey,تورکای
Türkcan,bo2wrkxu1ebo1,تورکجان
Türkdoğan,bo2wrktwao1ebo1,تورکطوغان
Türkdoğdu,bo2wrktwao1dy,تورکطوغدی
Türkel,bo2wrkl,تورکل
Türker,bo2wrkr,تورکر
Türkeş,bu2wrkso3,يورکش
Türkgeldi,bo2wrkko7ldy,تورکگلدی
Türkili,bo2wrk ely,تورک الی
Türkine,bo2wrkybo1h,تورکینه
Türkistan,bo2wrksbo2ebo1,تورکستان
Türkistanlı,bo2wrksbo2ebo1ly,تورکستانلی
Türkiye,bo2rkyh,ترکیه
Türkiye,bo2wrkbu2h,تورکيه
Türkiyeli,bo2wrkbu2h||ly,تورکيه‌لی
Türkiz,bo2wrkyro1,تورکیز
Türkkan,bo2wrkfo2ebo1,تورکقان
Türkmen,bo2wrkmbo1,تورکمن
Türkmenoğlu,bo2wrkmbo1 ewao1ly,تورکمن اوغلی
Türknur,bo2wrkbo1wr,تورکنور
Türkol,bo2wrk ewl,تورک اول
Türkoğlu,bo2wrk ewao1ly,تورک اوغلی
Türksan,bo2wrksebo1,تورکسان
Türksel,bo2wrksl,تورکسل
Türkyılmaz,bo2wrk yylmero1,تورک ییلماز
Türkân,bo2rkebo1,ترکان
Türkçakal,twrkxu3efo2el,طورکچاقال
Türkçe,bo2rkxu1h,ترکجه
Türköne,bo2wrkwbo1h,تورکونه
Türköz,bo2wrk ewro1,تورک اوز
Türkü,bo2rky,ترکی
Türkşen,bo2wrkso3bo1,تورکشن
Türmen,bo2wrmbo1,تورمن
Türsan,bo2wrsebo1,تورسان
Tütenk,bo2wbo2bo1k,توتنک
Tütüncü,bo2wbo2wbo1xu1y,توتونجی
Tütüncüoğlu,bo2wbo2wbo1xu1y ewao1ly,توتونجی اوغلی
Tüze,bo2wro1h,توزه
Tüzeer,bo2wro1h eo5r,توزه أر
Tüzel,bo2wro1l,توزل
Tüzemen,bo2wro1h mbo1,توزه من
Tüzenur,bo2wro1h bo1wr,توزه نور
Tüzer,bo2wro1r,توزر
Tüzmen,bo2wro1mbo1,توزمن
Tüzün,bo2wro1wbo1,توزون
Tüzünalp,bo2wro1wbo1 eo6lbu3,توزون آلپ
Tüzüner,bo2wro1wbo1r,توزونر
Tüzünkan,bo2wro1wbo1fo2ebo1,توزونقان
Tüzüntürk,bo2wro1wbo1bo2wrk,توزونتورک
Tıflıgül,tfo1ly ko7l,طفلی گل
Tın,tybo1,طین
Tınal,tybo1eo6l,طینآل
Tınastepe,tybo1es bo2bu3h,طیناس تپه
Tınaz,tybo1ero1,طیناز
Tıngıroğlu,tybo1ao1yr ewao1ly,طینغیر اوغلی
Tığlı,tyao1ly,طیغلی
