Abbas_'a,abu1o8esh,عبّاسه
Alatay,eo6lebo2ey,آلاتای
Alataş,eo6leteso3,آلاطاش
Alay,eo6ley,آلای
Alaybey,eo6leybu1ko7,آلایبگ
Alayunt,eo6leywbo1bo2,آلایونت
Alaz,eo6lero1,آلاز
Alaçam,eo6lexu3em,آلاچام
Alaçuk,eo6lexu3wfo2,آلاچوق
Albay,eo6lbu1ey,آلبای
Albayrak,eo6lbu1eyrefo2,آلبایراق
Albeni,eo6lbu1bo1y,آلبنی
Albora,eo6lbu1wre,آلبورا
Alburak,eo6lbu1refo2,آلبراق
Alcan,eo6lxu1ebo1,آلجان
Alcılı,eo6lxu1yly,آلجیلی
Aldan,eo6ldebo1,آلدان
Aldemir,eo6ldmyr,آلدمیر
Aldeniz,eo6ldko3ro1,آلدڭز
Aldoğan,eo6ltwao1ebo1,آلطوغان
Alekseyev,eo6lksh yw,آلکسه یو
Alekseyev,eo6lksyw,آلکسیو
Aleksiyev,eo6lksyyw,آلکسییو
Alem,alm,علم
Alemdar,almder,علمدار
Alemdaroğlu,almderewao1ly,علمداراوغلی
Alemşah,almso3eh,علمشاه
Alev,eo6lw,آلو
Alevli,eo6lwly,آلولی
Alevnaz,eo6lwbo1ero1,آلوناز
Algan,eo6lao1ebo1,آلغان
Algu,eo6lao1w,آلغو
Algun,eo6lao1wbo1,آلغون
Algur,eo6lao1wr,آلغور
Algül,eo6lko7l,آلگل
Algün,eo6lko7wbo1,آلگون
Algın,eo6lao1ybo1,آلغین
Algış,eo6lao1yso3,آلغیش
Alhan,eo6lxo1ebo1,آلخان
Alhas,eo6lxo1ez,آلخاص
Ali,aly,علی
Alican,alyxu1ebo1,علیجان
Alicanoğlu,alyxu1ebo1 ewao1ly,علیجان اوغلی
Alihan,alyxo1ebo1,علیخان
Alika,alyfo2h,علیقه
Alim,aelm,عالم
Alime,alymh,علیمه
Alipek,aly bu3k,علی پک
Alisa,eo6lysh,آلیسه
Alise,eo6lysh,آلیسه
Aliyar,alyyer,علییار
Aliye,aelyh,عالیه
Aliş,alyso3,علیش
Alişah,alyso3eh,علیشاه
Alişan,alyso3ebo1,علیشان
Alişiroğlu,alyso3arewao1ly,علیشعراوغلی
Alkan,eo6lfo2ebo1,آلقان
Alkaş,eo6lfo2eso3,آلقاش
Alkin,eo6lkybo1,آلکین
Alkor,eo6lfo2wr,آلقور
Alkoç,eo6lfo2wxu3,آلقوچ
Alkun,eo6lfo2wbo1,آلقون
Alköz,eo6lkwro1,آلکوز
Alkılıç,eo6lfo2lyxu3,آلقلیچ
Alkım,eo6lfo2ym,آلقیم
Alkın,eo6lfo2ybo1,آلقین
Alkış,eo6lfo2yso3,آلقیش
Allah,ellh,الله
Allahverdi,eo6llh wyrdy,آلله ویردی
Allâh,ellh,الله
Allı,eo6lly,آللی
Allıkız,eo6llyfo2yro1,آللیقیز
Allıoğlu,eo6lly ewao1ly,آللی اوغلی
Almabanu,eo6lmebu1ebo1w,آلمابانو
Almagül,eo6lmeko7l,آلماگل
Almanya,eo6lmebo1bu2e,آلمانيا
Almila,eo6lmyle,آلمیلا
Almile,eo6lmylh,آلمیله
Almula,eo6lmwlh,آلموله
Almıla,eo6lmyle,آلمیلا
Alnar,eo6lbo1er,آلنار
Alnıak,eo6lbo1y efo2,آلنی اق
Alnıaçık,eo6lbo1y eo6xu3yfo2,آلنی آچیق
Aloğlu,eo6l ewao1ly,آل اوغلی
Alp,eo6lbu3,آلپ
Alpagu,eo6lbu3eao1w,آلپاغو
Alpak,eo6lbu3efo2,آلپاق
Alpar,eo6lbu3er,آلپار
Alparslan,eo6lbu3 eo6rslebo1,آلپ آرسلان
Alpartun,eo6lbu3 eo6rbo2wbo1,آلپ آرتون
Alpaslan,eo6lbu3 eo6slebo1,آلپ آسلان
Alpat,eo6lbu3ebo2,آلپات
Alpata,eo6lbu3 eo6bo2e,آلپ آتا
Alpay,eo6lbu3ey,آلپای
Alpaya,eo6lbu3eyh,آلپایه
Alpaydın,eo6lbu3 eo6ydybo1,آلپ آیدین
Alpayer,eo6lbu3eyr,آلپایر
Alpağan,eo6lbu3eao1ebo1,آلپاغان
Alpbilge,eo6lbu3 bu1ylkh,آلپ بیلکه
Alpdemir,eo6lbu3dmyr,آلپدمیر
Alpdoğan,eo6lbu3twao1ebo1,آلپطوغان
Alper,eo6lbu3r,آلپر
Alperen,eo6lbu3 eo5rbo1,آلپ أرن
Alperen,eo6lbu3rbo1,آلپرن
Alpergin,eo6lbu3 eo5rkybo1,آلپ أرکین
Alpermiş,eo6lbu3 eo5rmso3,آلپ أرمش
Alpertunga,eo6lbu3 eo5rtwbo1ao1h,آلپ أرطونغه
Alpgiray,eo6lbu3 ko7yrey,آلپ گیرای
Alphan,eo6lbu3xo1ebo1,آلپخان
Alpiskender,eo6lbu3 eskbo1dr,آلپ اسکندر
Alpkan,eo6lbu3fo2ebo1,آلپقان
Alpkanat,eo6lbu3fo2bo1ed,آلپقناد
Alpkartal,eo6lbu3 fo2rbo2el,آلپ قرتال
Alpkartal,eo6lbu3fo2erbo2el,آلپقارتال
Alpkutlu,eo6lbu3fo2wbo2lw,آلپقوتلو
Alpkülük,eo6lbu3kwlwk,آلپکولوک
Alpkın,eo6lbu3fo2ybo1,آلپقین
Alpman,eo6lbu3mebo1,آلپمان
Alpnur,eo6lbu3bo1wr,آلپنور
Alpoğan,eo6lbu3 ewao1ebo1,آلپ اوغان
Alpsar,eo6lbu3zer,آلپصار
Alpsoy,eo6lbu3zwy,آلپصوی
Alpsü,eo6lbu3sw,آلپسو
Alptekin,eo6lbu3bo2kybo1,آلپتکین
Alptemoçin,eo6lbu3bo2mwxu3ybo1,آلپتموچین
Alptoğan,eo6lbu3twao1ebo1,آلپطوغان
Alptuğ,eo6lbu3bo2wao1,آلپتوغ
Alpyürek,eo6lbu3ywrk,آلپیورک
Alpyürük,eo6lbu3ywrwk,آلپیوروک
Alpçetin,eo6lbu3xu3bo2ybo1,آلپچتین
Alsan,eo6lsebo1,آلسان
Alsancak,eo6lsbo1xu1efo2,آلسنجاق
Alsevin,eo6lswybo1,آلسوین
Alsoy,eo6lzwy,آلصوی
Alsu,eo6lzw,آلصو
Altabev,eo6lbo2ebu1w,آلتابو
Altan,eo6lbo2ebo1,آلتان
Altaner,eo6lbo2ebo1r,آلتانر
Altav,eo6lbo2ew,آلتاو
Altav,eo6ltwa,آلطوع
Altay,eo6lbo2ey,آلتای
Altaç,eo6lbo2exu3,آلتاچ
Altaş,eo6lteso3,آلطاش
Altemür,eo6lbo2mwr,آلتمور
Alten,eo6lbo2bo1,آلتن
Altmışyedioğlu,eo6lbo2myso3 ydy ewao1ly,آلتمیش یدی اوغلی
Altop,eo6ltwbu3,آلطوپ
Altoğan,eo6ltwao1ebo1,آلطوغان
Altun,eo6lbo2wbo1,آلتون
Altun,eo6lbo2ybo1,آلتین
Altuna,eo6ltwbo1h,آلطونه
Altunay,eo6lbo2wbo1 eo6y,آلتون آی
Altunbaş,eo6lbo2wbo1 bu1eso3,آلتون باش
Altuncan,eo6lbo2wbo1xu1ebo1,آلتونجان
Altuner,eo6lbo2wbo1 eo5r,آلتون أر
Altunhan,eo6lbo2wbo1 xo1ebo1,آلتون خان
Altunkaya,eo6lbo2wbo1fo2ye,آلتونقیا
Altuntaş,eo6lbo2wbo1 teso3,آلتون طاش
Altunç,eo6ltwbo1xu3,آلطونچ
Altunçağ,eo6lbo2wbo1 xu3eao1,آلتون چاغ
Altuğ,eo6lbo2wao1,آلتوغ
Altuğ,eo6ltwao1,آلطوغ
Altıkulaç,eo6lbo2y fo2wlexu3,آلتی قولاچ
Altın,eo6lbo2wbo1,آلتون
Altın,eo6lbo2ybo1,آلتین
Altınalmaz,eo6lbo2wbo1 eo6lmero1,آلتون آلماز
Altınay,eo6lbo2wbo1ey,آلتونای
Altınay,eo6lbo2ybo1 eo6y,آلتین آی
Altınbaran,eo6lbo2wbo1 bu1erebo1,آلتون باران
Altınbay,eo6lbo2wbo1 bu1ey,آلتون بای
Altınbaş,eo6lbo2wbo1 bu1eso3,آلتون باش
Altınbaş,eo6lbo2wbo1bu1eso3,آلتونباش
Altınbaşak,eo6lbo2ybo1bu1eso3efo2,آلتینباشاق
Altınbike,eo6lbo2ybo1bu1ykh,آلتینبیکه
Altıncan,eo6lbo2wbo1xu1ebo1,آلتونجان
Altındal,eo6lbo2ybo1del,آلتیندال
Altındağ,eo6lbo2wbo1deao1,آلتونداغ
Altındoğan,eo6lbo2wbo1twao1ebo1,آلتونطوغان
Altınel,eo6lbo2wbo1 eo5l,آلتون أل
Altıner,eo6lbo2wbo1 eo5r,آلتون أر
Altıngül,eo6lbo2ybo1ko7l,آلتینگل
Altınhan,eo6lbo2wbo1 xo1ebo1,آلتون خان
Altınhanım,eo6lbo2ybo1xo1ebo1m,آلتینخانم
Altınhatun,eo6lbo2ybo1xo1ebo2wbo1,آلتینخاتون
Altıniz,eo6lbo2ybo1 eyro1,آلتین ایز
Altınkaya,eo6lbo2wbo1 fo2eye,آلتون قایا
Altınkaya,eo6lbo2wbo1fo2ye,آلتونقیا
Altınkaynak,eo6lbo2wbo1fo2eybo1efo2,آلتونقایناق
Altınkılıç,eo6lbo2wbo1 fo2ylyxu3,آلتون قیلیچ
Altınkız,eo6lbo2ybo1fo2yro1,آلتینقیز
Altınnur,eo6lbo2ybo1bo1wr,آلتیننور
Altınok,eo6lbo2wbo1 ewfo2,آلتون اوق
Altınoğlu,eo6lbo2wbo1 ewao1ly,آلتون اوغلی
Altınsaç,eo6lbo2ybo1zexu3,آلتینصاچ
Altınsoy,eo6lbo2wbo1 zwy,آلتون صوی
Altınsoy,eo6lbo2wbo1zwy,آلتونصوی
Altıntaç,eo6lbo2ybo1bo2exu3,آلتینتاچ
Altıntaş,eo6lbo2wbo1 teso3,آلتون طاش
Altıntaş,eo6lbo2wbo1teso3,آلتونطاش
Altıntaş,eo6lbo2wbo1tso3,آلتونطش
Altıntop,eo6lbo2wbo1 twbu3,آلتون طوپ
Altıntop,eo6lbo2wbo1twbu3,آلتونطوپ
Altıntuğ,eo6lbo2wbo1 twao1,آلتون طوغ
Altınçiçek,eo6lbo2ybo1xu3yxu3k,آلتینچیچک
Altınöz,eo6lbo2wbo1 ewro1,آلتون اوز
Altınışık,eo6lbo2ybo1 eyso3yfo2,آلتین ایشیق
Altınışın,eo6lbo2ybo1 eyso3ybo1,آلتین ایشین
Altıok,eo6lbo2y ewfo2,آلتی اوق
Alucra,eo6lwxu1rh,آلوجره
Alver,eo6lwr,آلور
Alyipek,eo6lyybu3k,آلییپک
Alyot,eo6lywbo2,آلیوت
Alâmet,alembo2,علامت
Alçelik,eo6lxu3lyk,آلچلیک
Alçin,eo6lxu3ybo1,آلچین
Alçiçek,eo6lxu3yxu3k,آلچیچک
Alçık,eo6lxu3yfo2,آلچیق
Alçın,eo6lxu3ybo1,آلچین
Alçınsu,eo6lxu3ybo1zw,آلچینصو
Alıcı,eo6lyxu1y,آلیجی
Alım,eo6lym,آلیم
Alımlı,eo6lymly,آلیملی
Alınak,eo6lybo1efo2,آلیناق
Alıncak,eo6lybo1xu1efo2,آلینجاق
Alır,eo6lyr,آلیر
Alışan,eo6lyso3ebo1,آلیشان
Alışık,eo6lyso3yfo2,آلیشیق
Alışın,eo6lyso3ko3,آلیشڭ
Amanullah,emebo1 ellh,امان الله
Amasya,eo6mesbu2h,آماسيه
Amasyalı,eo6mesyh,آماسیه
Amaç,eo6mexu1,آماج
Amaç,eo6mexu3,آماچ
Amber,abo1bu1r,عنبر
Amerika,eo6mryfo2e,آمریقا
Amerikan,eo6mryfo2ebo1,آمریقان
Amiklioğlu,amyfo2ly ewao1ly,عمیقلی اوغلی
Amil,aeml,عامل
Amil,eo6ml,آمل
Amile,aemlh,عامله
Amine,eo6mybo1h,آمینه
Amir,aemr,عامر
Amir,eo6myr,آمیر
Amiran,eo6myrebo1,آمیران
Amire,aemrh,عامره
Amire,eo6mrh,آمره
Amre,amrh,عمره
Anabacı,eo6bo1h bu1exu1y,آنه باجی
Anabörü,eo6bo1h bu1wrw,آنه بورو
Anadol,eo6bo1etwl,آناطول
Anadolu,eo6bo1etwly,آناطولی
Anahanım,eo6bo1h fo2edybo1,آنه قادین
Anahanım,eo6bo1h xo1ebo1m,آنه خانم
Anakız,eo6bo1h fo2yro1,آنه قیز
Anamur,eo6bo1emwr,آنامور
Anar,eo6bo1er,آنار
Anar,eo6ko3er,آڭار
Anargül,eo6bo1erko7l,آنارگل
Anargül,eo6ko3erko7l,آڭارگل
Anber,abo1bu1r,عنبر
Ancı,eo6bo1xu1y,آنجی
Andak,eo6bo1defo2,آنداق
Andaç,eo6ko3dexu3,آڭداچ
Andelip,abo1dlybu1,عندلیب
Andican,eo6bo1dyxu1ebo1,آندیجان
Andiç,eo6bo1dyxu3,آندیچ
Andırın,eo6bo1dyrybo1,آندیرین
Andıç,eo6bo1dyxu3,آندیچ
Angı,eo6bo1ao1y,آنغی
Angıl,eo6bo1ao1yl,آنغیل
Angın,eo6bo1ao1ybo1,آنغین
Angıt,eo6bo1ao1ybo2,آنغیت
Angıt,eo6bo1ao1yt,آنغیط
Angış,eo6bo1ao1yso3,آنغیش
Anka,abo1fo2e,عنقا
Ankara,eo6bo1fo2rh,آنقره
Anlı,eo6ko3ly,آڭلی
Annak,eo6bo1bo1efo2,آنناق
Annak,eo6bo1bo1ek,آنناک
Ant,eo6bo1d,آند
Antalya,eo6bo1telyh,آنطالیه
Ançıbay,eo6bo1xu3ybu1ey,آنچیبای
Anı,eo6bo1y,آنی
Anık,eo6bo1yfo2,آنیق
Anıl,eo6ko3yl,آڭیل
Anılmış,eo6ko3ylmso3,آڭیلمش
Anıt,eo6bo1ybo2,آنیت
Anıt,eo6ko3bo2,آڭت
Apa,eo6bu3e,آپا
Apak,eo6bu3efo2,آپاق
Apakhan,eo6bu3efo2xo1ebo1,آپاقخان
Apaydın,eo6bu3eydybo1,آپایدین
Arab,arbu1,عرب
Arabacı,eo6rebu1h xu1y,آرابه جی
Arabistan,arbu1sbo2ebo1,عربستان
Aracı,eo6rexu1y,آراجی
Arafat,arfo1ebo2,عرفات
Aral,eo6rel,آرال
Aralık,eo6relfo2,آرالق
Aran,eo6rebo1,آران
Arapsun,arbu3swbo1,عرپسون
Arar,eo6rer,آرار
Aras,ars,عرس
Aras,eares,اعراس
Aras,eo6res,آراس
Araslı,arsly,عرسلی
Arat,arebo2,عرات
Arat,eo6rebo2,آرات
Araz,earezo1,اعراض
Araz,eo6rero1,آراز
Araç,eo6rexu1,آراج
Arbay,eo6rbu1ey,آربای
Arbaş,eo6rbu1eso3,آرباش
Arbek,eo6rbu1k,آربک
Arca,eo6rxu1e,آرجا
Arcan,eo6rxu1ebo1,آرجان
Arda,eo6rde,آردا
Arda,eo6rdh,آرده
Arda,eo6rzo1h,آرضه
Ardahan,eo6rdehel,آرداهال
Ardahan,eo6rdexo1ebo1,آرداخان
Ardakut,eo6rdefo2wbo2,آرداقوت
Ardemir,eo6rdmyr,آردمیر
Ardıl,eo6rdyl,آردیل
Ardıç,eo6rdyxu3,آردیچ
Ardıçoğlu,eo6rdyxu1 ewao1ly,آردیج اوغلی
Arefe,arfo1h,عرفه
Arel,eo6rl,آرل
Aren,eo6rbo1,آرن
Arer,eo6reo5r,آرأر
Arer,eo6rr,آرر
Argana,eo6rao1h bo1h,آرغه نه
Argeşo,eo6rko7so3w,آرگشو
Argu,eo6rao1w,آرغو
Argun,eo6rao1wbo1,آرغون
Arguç,eo6rao1wxu3,آرغوچ
Argüden,eo6rko7wdbo1,آرگودن
Argüder,eo6rko7wdr,آرگودر
Argün,eo6rko7wbo1,آرگون
Argın,eo6rao1ybo1,آرغین
Arhan,eo6rxo1ebo1,آرخان
Ari,eo6ry,آری
Arif,aerfo1,عارف
Arifağaoğlu,aerfo1 eo6ao1e ewao1ly,عارف آغا اوغلی
Arife,arko7h,عرگه
Arik,eo6ryk,آریک
Aritman,eo6rybo2mebo1,آریتمان
Arjantin,eo6rro3ebo1bo2ybo1,آرژانتین
Arkadaş,eo6rfo2edeso3,آرقاداش
Arkan,arfo2ebo1,عرقان
Arkan,eo6rfo2ebo1,آرقان
Arkant,eo6rfo2ebo1bo2,آرقانت
Arkay,eo6rfo2ey,آرقای
Arkayın,eo6rfo2eybo1,آرقاین
Arkoç,eo6rfo2wxu3,آرقوچ
Arkun,eo6rfo2wbo1,آرقون
Arkut,eo6rfo2wbo2,آرقوت
Arkın,eo6rfo2ybo1,آرقین
Arkış,eo6rfo2yso3,آرقیش
Arlan,eo6rlebo1,آرلان
Arman,eo6rmebo1,آرمان
Armaner,eo6rmebo1 eo5r,آرمان أر
Armanç,eo6rmebo1xu3,آرمانچ
Armağan,eo6rmao1ebo1,آرمغان
Arna,eo6rbo1e,آرنا
Arnavutluk,eo6rbo1ewwdlfo2,آرناوودلق
Arol,eo6rwl,آرول
Arpacı,eo6rbu3exu1y,آرپاجی
Arpacıoğlu,eo6rbu3exu1y ewao1ly,آرپاجی اوغلی
Arpad,eo6rbu3ed,آرپاد
Arpak,eo6rbu3efo2,آرپاق
Arpaçay,eo6rbu3exu3ey,آرپاچای
Arpağ,eo6rbu3eao1,آرپاغ
Arpınar,eo6rbu3yko3er,آرپیڭار
Arsal,eo6rsel,آرسال
Arsan,eo6rsebo1,آرسان
Arsel,eo6rsl,آرسل
Arseven,eo6rswbo1,آرسون
Arslan,eo6rslebo1,آرسلان
Arslaner,eo6rslebo1r,آرسلانر
Arslantürk,eo6rslebo1 bo2wrk,آرسلان تورک
Arsoy,eo6rzwy,آرصوی
Artam,eo6rbo2em,آرتام
Artan,eo6rbo2ebo1,آرتان
Artaç,eo6rbo2exu1,آرتاج
Artel,eo6rbo2l,آرتل
Artova,eo6rbo2wwe,آرتووا
Artuk,eo6rbo2wfo2,آرتوق
Artun,eo6rbo2wbo1,آرتون
Artunkal,eo6rbo2wbo1fo2el,آرتونقال
Artunç,eo6rtwbo1xu3,آرطونچ
Artut,eo6rbo2wbo2,آرتوت
Artuç,eo6rbo2wxu3,آرتوچ
Artvin,eo6rbo2wybo1,آرتوین
Artvinli,eo6rbo2wybo1ly,آرتوینلی
Artıkı,eo6rbo2yfo2y,آرتیقی
Aru,eo6rw,آرو
Arukan,eo6rwfo2ebo1,آروقان
Arukız,eo6rwfo2yro1,آروقیز
Arvas,eo6rwes,آرواس
Arvasi,eo6rwesy,آرواسی
Aryüz,eo6rywro1,آریوز
Arziye,erzo1y yh,ارضی یه
Arzu,arzo1w,عرضو
Arzu,eo6rro1w,آرزو
Arzugül,arzo1wko7l,عرضوگل
Arzugül,eo6rro1wko7l,آرزوگل
Arzuhan,eo6rro1wxo1ebo1,آرزوخان
Arzum,eo6rro1wm,آرزوم
Arzık,eo6rro1yfo2,آرزیق
Arı,eo6ry,آری
Arıbal,eo6ry bu1el,آری بال
Arıbaş,eo6ry bu1eso3,آری باش
Arıbaş,eo6rybu1eso3,آریباش
Arıboğa,eo6ry bu1wao1h,آری بوغه
Arıburun,eo6rybu1wrwbo1,آریبورون
Arıca,eo6ryxu1e,آریجا
Arıca,eo6ryxu1h,آریجه
Arıcan,eo6ryxu1ebo1,آریجان
Arıcı,eo6ryxu1y,آریجی
Arıel,eo6ry eo5l,آری أل
Arıer,eo6ry eo5r,آری أر
Arıhan,eo6ry xo1ebo1,آری خان
Arık,eo6ryfo2,آریق
Arıkal,eo6rykel,آریکال
Arıkan,eo6ryfo2ebo1,آریقان
Arıkboğa,eo6ryfo2bu1wao1h,آریقبوغه
Arıker,eo6ryfo2 eo5r,آریق أر
Arıkhan,eo6ryfo2xo1ebo1,آریقخان
Arıkiz,eo6rykyro1,آریکیز
Arıklı,eo6ryfo2ly,آریقلی
Arıkol,eo6ryfo2wl,آریقول
Arıkoğlu,eo6ryfo2 ewao1ly,آریق اوغلی
Arıkut,eo6ryfo2wbo2,آریقوت
Arıl,eo6ryl,آریل
Arıman,eo6rymebo1,آریمان
Arın,eo6rybo1,آرین
Arınç,eo6rybo1xu3,آرینچ
Arınık,eo6rybo1yfo2,آرینیق
Arıpınar,eo6rybu3yko3er,آریپیڭار
Arısal,eo6rysel,آریسال
Arısan,eo6ry sebo1,آری سان
Arısoy,eo6ryzwy,آریصوی
Arısu,eo6ryzw,آریصو
Arıtan,eo6rybo2ebo1,آریتان
Arıtaş,eo6ryteso3,آریطاش
Arıyüz,eo6ryywro1,آرییوز
Arıç,aryxu3,عریچ
Arıç,eo6ryxu3,آریچ
Arığ,eo6ryao1,آریغ
Arış,eo6ryso3,آریش
Arşimed,eo6rso3ymd,آرشیمد
Asaf,eo6zfo1,آصف
Asal,asel,عسال
Asal,eo6sel,آسال
Asalbegim,eo6selbu1ko7ym,آسالبگیم
Asalbegüm,eo6selbu1ko7wm,آسالبگوم
Asalet,ezelbo2,اصالت
Asan,eo6sebo1,آسان
Asan,eo6zebo1,آصان
Asbuzoğlu,azbu1ro1 ewao1ly,عصبز اوغلی
Asena,eo6sh bo1h,آسه نه
Asfer,eo6sfo1r,آسفر
Asil,asyl,عسیل
Asil,ezyl,اصیل
Asile,asylh,عسیله
Asile,ezylh,اصیله
Asiltürk,ezylbo2wrk,اصیلتورک
Asime,eo6symh,آسیمه
Asimegül,eo6symh,آسیمه
Asiye,eo6syh,آسیه
Aslan,eo6slebo1,آسلان
Aslaner,eo6slebo1 eo5r,آسلان أر
Aslanhan,eo6slebo1xo1ebo1,آسلانخان
Aslanlı,eo6slebo1ly,آسلانلی
Aslanoğlu,eo6slebo1 ewao1ly,آسلان اوغلی
Asliye,eo6zlyh,آصلیه
Aslı,eo6zly,آصلی
Aslıbey,eo6zly bu1ko7,آصلی بگ
Aslıgül,eo6zly ko7l,آصلی گل
Aslıhan,eo6zlyxo1ebo1,آصلیخان
Aslım,eo6zlm,آصلم
Aslınur,eo6zly bo1wr,آصلی نور
Asma,eo6zme,آصما
Asri,azry,عصری
Asu,eo6sw,آسو
Asude,eo6swdh,آسوده
Asuman,eo6smebo1,آسمان
Asutay,eo6swbo2ey,آسوتای
Asya,eo6sbu2e,آسيا
Asya,eo6sye,آسیا
Asya,eo6syh,آسیه
Asye,eo6syh,آسیه
Asıf,asyfo1,عسیف
Asılbanu,ezlbu1ebo1w,اصلبانو
Asılgül,ezl ko7l,اصل گل
Asım,aezm,عاصم
Asıma,aezmh,عاصمه
Ata,ate,عطا
Ata,eo6bo2e,آتا
Ataan,eo6bo2eebo1,آتاان
Atabay,eo6bo2ebu1ey,آتابای
Atabek,eo6bo2ebu1k,آتابک
Atabek,eo6bo2ebu1ko7,آتابگ
Atabey,eo6bo2ebu1ko7,آتابگ
Atabeyli,eo6bo2ebu1ko7ly,آتابگلی
Atabinen,eo6bo2e bu1ybo1bo1,آتا بینن
Atabörü,eo6bo2ebu1wrw,آتابورو
Atacan,eo6bo2h xu1ebo1,آته جان
Atadan,eo6bo2e debo1,آتا دان
Atademir,eo6bo2edmyr,آتادمیر
Ataergin,eo6bo2h eo5rko7ybo1,آته أرگین
Atagül,eo6bo2eko7l,آتاگل
Atagün,eo6bo2eko7wbo1,آتاگون
Atahan,eo6bo2exo1ebo1,آتاخان
Atak,eo6bo2efo2,آتاق
Atakan,eo6bo2efo2ebo1,آتاقان
Ataker,eo6bo2efo2 eo5r,آتاق أر
Atakul,eo6bo2efo2wl,آتاقول
Atakurt,eo6bo2efo2wrbo2,آتاقورت
Atakut,eo6bo2efo2wbo2,آتاقوت
Atalan,eo6bo2elebo1,آتالان
Atalar,eo6bo2elr,آتالر
Atalay,eo6bo2eley,آتالای
Atalmış,eo6bo2elmyso3,آتالمیش
Ataman,eo6bo2emebo1,آتامان
Atambay,eo6bo2embu1ey,آتامبای
Atamer,eo6bo2emr,آتامر
Atamtürk,eo6bo2embo2wrk,آتامتورک
Atan,eo6bo2ebo1,آتان
Ataner,eo6bo2ebo1r,آتانر
Atanur,eo6bo2ebo1wr,آتانور
Atanç,eo6bo2ebo1xu3,آتانچ
Ataol,eo6bo2e ewl,آتا اول
Ataoğlu,eo6bo2e ewao1ly,آتا اوغلی
Atasagun,eo6bo2eseao1wbo1,آتاساغون
Atasan,eo6bo2esebo1,آتاسان
Atasay,eo6bo2esey,آتاسای
Atasayan,eo6bo2ezeyebo1,آتاصایان
Atasev,eo6bo2esw,آتاسو
Ataseven,eo6bo2eswbo1,آتاسون
Atasever,eo6bo2eswr,آتاسور
Atasevin,eo6bo2eswybo1,آتاسوین
Atasoy,eo6bo2ezwy,آتاصوی
Atasü,eo6bo2esw,آتاسو
Atatuğ,eo6bo2ebo2wao1,آتاتوغ
Atatöre,eo6bo2ebo2wrh,آتاتوره
Atatüre,eo6bo2ebo2rh,آتاتره
Atatürk,eo6bo2ebo2wrk,آتاتورک
Ataullah,eatecellh,اعطاءالله
Atay,eo6bo2ey,آتای
Ataç,eo6bo2exu3,آتاچ
Ataöv,eo6bo2e eww,آتا اوو
Ataöv,eo6bo2eeww,آتااوو
Ataün,eo6bo2eewko3,آتااوڭ
Ataışık,eo6bo2e eyso3yfo2,آتا ایشیق
Ataş,atso3,عطش
Ateş,ebo2so3,اتش
Ateş,eo6bo2so3,آتش
Ateşalp,ebo2so3 eo6lbu3,اتش آلپ
Ateşoğlu,ebo2so3 ewao1ly,اتش اوغلی
Ateşoğulları,ebo2so3 ewao1wllry,اتش اوغوللری
Atfi,aetfo1y,عاطفی
Atgun,eo6bo2ao1wbo1,آتغون
Atik,abo2yfo2,عتیق
Atila,eo6bo2yle,آتیلا
Atila,eo6bo2ylh,آتیله
Atilla,eo6bo2ylle,آتیللا
Atime,etamh,اطعمه
Atina,ebo2bu2bo1e,اتينا
Atiye,eo6bo2yh,آتیه
Atlan,eo6bo2lebo1,آتلان
Atlas,etles,اطلاس
Atlı,eo6bo2ly,آتلی
Atlıhan,eo6bo2lyxo1ebo1,آتلیخان
Atlıoğlu,eo6bo2ly ewao1ly,آتلی اوغلی
Atlığ,eo6bo2lyao1,آتلیغ
Atmaca,eo6bo2mexu1h,آتماجه
Atom,eo6bo2wm,آتوم
Attila,eo6bo2bo2yle,آتتیلا
Attila,eo6bo2yle,آتیلا
Attilâ,eo6bo2yle,آتیلا
Atuf,atwfo1,عطوف
Atıcı,eo6bo2yxu1y,آتیجی
Atıf,aetfo1,عاطف
Atıfa,aetfo1h,عاطفه
Atıfe,aetfo1h,عاطفه
Atıl,aetl,عاطل
Atılay,eo6tyley,آطیلای
Atılgan,eo6bo2ylao1ebo1,آتیلغان
Atılgan,eo6tylao1ebo1,آطیلغان
Atığ,eo6bo2yao1,آتیغ
Avanos,eo6webo1ws,آوانوس
Avar,awer,عوار
Avar,eo6wer,آوار
Avcı,eo6wxu1y,آوجی
Avgın,eo6wao1ybo1,آوغین
Avhan,eo6wxo1ebo1,آوخان
Avkan,eo6wfo2ebo1,آوقان
Avni,awbo1y,عونی
Avniye,awbo1yh,عونیه
Avrupa,eo6wrwbu3e,آوروپا
Avundukluoğlu,eo6wwbo1dfo2ly ewao1ly,آووندقلی اوغلی
Avunç,eo6wwbo1xu3,آوونچ
Avustralya,eo6wsbo2relye,آوسترالیا
Avusturya,eo6wsbo2rye,آوستریا
Avşar,eo6wso3er,آوشار
Avşargil,eo6wso3erko7yl,آوشارگیل
Ay,eo4y,اَی
Ay,eo6y,آی
Aya,eo6ye,آیا
Ayaba,eo6yebu1e,آیابا
Ayal,eo6yel,آیال
Ayalan,eo6yelebo1,آیالان
Ayalp,eo6y eo6lbu3,آی آلپ
Ayalp,eo6yelbu3,آیالپ
Ayaltın,eo6yelbo2wbo1,آیالتون
Ayan,eo6yebo1,آیان
Ayana,eo6yebo1h,آیانه
Ayancık,ayebo1xu1fo2,عیانجق
