Saadet,saedbo2
Süryanî,srbu2ebo1y
Susam,zwsem
Suşehri,zwso3hry
Süsen,swsbo1
Susığırlık,zwzao1rlfo2
Süslü,swslw
Süsoy,swzwy
Sü,sw
Sütekin,swbo2kybo1
Sütlüoğlu,swbo2ly ewao1ly
Suudi,sawdy
Suut,sawd
Süvari,swery
Suvari,zwwery
Süveyda,swyde
Süveyde,swydh
Süyek,swyk
Süyümbike,swywm bu1ykh
Suyurgal,zwywrao1el
Suyurgamış,zwywrao1myso3
Suyurgan,zwywao1ebo1
Suzan,swro1ebo1
Süzen,swro1bo1
Süzer,swro1r
Suzidil,swro1y dl
Suzi,swro1y
Süzülay,swro1wley
Su,zw
