
ç,xu3,چ
çalışıyordu,xu3elyso3yywrdy,چالیشییوردی
çalışıyordum,xu3elyso3yywrdm,چالیشییوردم
çalışıyorlar,xu3elyso3yywrlr,چالیشییورلر
çalışıyorlardı,xu3elyso3yywrlrdy,چالیشییورلردی
çalışıyorlarmış,xu3elyso3yywrlrmso3,چالیشییورلرمش
çalışıyormuş,xu3elyso3yywrmso3,چالیشییورمش
çalışıyorsa,xu3elyso3yywrsh,چالیشییورسه
çalışıyorsun,xu3elyso3yywrsko3,چالیشییورسڭ
çalışıyorsunuz,xu3elyso3yywrsko3ro1,چالیشییورسڭز
çalışıyorum,xu3elyso3yywrm,چالیشییورم
çalışıyoruz,xu3elyso3yywrro1,چالیشییورز
çalışış,xu3elso3so3,چالشش
çam ağacı,xu3em eao1exu1y,چام اغاجی
çam tahta,xu3em bo2xo1bo2h,چام تخته
çam tahta,xu3em bo2xo1bo2h||,چام تخته‌
çam,xu3em,چام
çamaşır değiştirmek,xu3meso3bu2rdbu2kso3drmk,چماشيرديکشدرمک
çamaşır değiştirmek,xu3meso3yrdykso3drmk,چماشیردیکشدرمک
çamaşır teknesi,xu3meso3bu2rbo2kbo1h sy,چماشيرتکنه سی
çamaşır teknesi,xu3meso3yrbo2kbo1h sy,چماشیرتکنه سی
çamaşır yıkanması,xu3meso3bu2r bu2fo2ebo1msy,چماشير يقانمسی
çamaşır yıkanması,xu3meso3yr yfo2ebo1msy,چماشیر یقانمسی
çamaşır,xu3emeso3yr,چاماشیر
çamaşır,xu3meso3bu2r,چماشير
çamaşır,xu3meso3yr,چماشیر
çamaşırcı karı,xu3meso3bu2rxu1y fo2ery,چماشيرجی قاری
çamaşırcı karı,xu3meso3yrxu1y fo2ery,چماشیرجی قاری
çamaşırcı,xu3emeso3yrxu1y,چاماشیرجی
çamaşırcı,xu3meso3bu2rxu1y,چماشيرجی
çamaşırcı,xu3meso3yrxu1y,چماشیرجی
çamaşırhane,xu3emeso3yrxo1ebo1h||,چاماشیرخانه‌
çamaşırhâne,xu3emeso3yrxo1ebo1h,چاماشیرخانه
çamaşırları,xu3meso3yrlry,چماشیرلری
çamaşırlık,xu3emeso3yrlfo2,چاماشیرلق
çamaşırını,xu3meso3yrybo1y,چماشیرینی
çamdaki,xu3emdh||ky,چامده‌کی
çame,xu3emh||,چامه‌
çamfıstığı,xu3em fo1ysbo2yao1y,چام فیستیغی
çamlıca'da,xu3emlyxu1h||dh,چاملیجه‌ده
çamlıca,xu3emlyxu1h,چاملیجه
çamlıca,xu3emlyxu1h||,چاملیجه‌
çamlık,xu3emlfo2,چاملق
çamsakızı,xu3em sefo2ro1y,چام ساقزی
çamsakızı,xu3em sefo2yro1y,چام ساقیزی
çamular'ının,xu3emwlrybo1ko3,چامولرینڭ
çamur sıçratmak,xu3emwr zxu3rebo2mfo2,چامور صچراتمق
çamur,xu3emwr,چامور
çamura batmış,xu3emwrh bu1ebo2mso3,چاموره باتمش
çamura,xu3emwrh,چاموره
çamurdan,xu3emwrdbo1,چاموردن
çamurla,xu3emwrle,چامورلا
çamurlamak,xu3emwrlemfo2,چامورلامق
çamurlan,xu3emwrlebo1,چامورلان
çamurlanmak,xu3emwrlebo1mfo2,چامورلانمق
çamurlara,xu3emwrlrh,چامورلره
çamurlarda gezinmek,xu3emwrlrdh kro1bo1mk,چامورلرده کزنمک
çamurlarıyla,xu3emwrlrylh,چامورلریله
çamurlat,xu3emwrlebo2,چامورلات
çamurlatmak,xu3emwrlebo2mfo2,چامورلاتمق
çamurlu,xu3emwrlw,چامورلو
çamurlu,xu3emwrly,چامورلی
çamurluk,xu3emwrlfo2,چامورلق
çamuru,xu3emwry,چاموری
çamurunda,xu3emwrbo1dh,چامورنده
çamuruyla,xu3emwrylh,چاموریله
çamçak,xu3emxu3efo2,چامچاق
çamın,xu3emko3,چامڭ
çan,xu3ek,چاک
çan,xu3eko3,چاڭ
çan,xu3elo5o3,چاك
çanak çömlek,xu3bo1efo2 xu1wmlk,چناق جوملک
çanak çömlek,xu3bo1efo2 xu3wmlk,چناق چوملک
çanak,xu3bo1efo2,چناق
çanak,xu3ebo1efo2,چاناق
çanakkale'de,xu3bo1efo2 fo2lah||dh,چناق قلعه‌ده
çanakkale,xu3bo1efo2<>fo2lah||,چناق‌قلعه‌
çanaklık,xu3bo1efo2lfo2,چناقلق
çanaklık,xu3ebo1efo2lfo2,چاناقلق
çanaktır,xu3bo1efo2dr,چناقدر
çane,xu3ebo1h||,چانه‌
çangal,xu3ebo1ao1el,چانغال
çangılçungul,xu3ebo1ao1yl xu3wbo1ao1wl,چانغیل چونغول
çangırda,xu3ebo1ao1yrde,چانغیردا
çangırdamak,xu3ebo1ao1yrdemfo2,چانغیردامق
çangırtı,xu3ebo1ao1yrbo2y,چانغیرتی
çangırçungur,xu3ebo1ao1yr xu3wbo1ao1wr,چانغیر چونغور
çankırı,xu3bo1ao1ry,چنغری
çankırı,xu3ebo1fo2yry,چانقیری
çanta,xu3ebo1th,چانطه
çanta,xu3ebo1th||,چانطه‌
çantacı,xu3ebo1th<>xu1y,چانطه‌جی
çantacı,xu3ebo1th||xu1y,چانطه‌جی
çantada,xu3ebo1th||dh,چانطه‌ده
çantama,xu3ebo1th||mh,چانطه‌مه
çantamızdan,xu3ebo1th||mro1dbo1,چانطه‌مزدن
çantanızda,xu3ebo1th||ko3ro1dh,چانطه‌ڭزده
çantasına,xu3ebo1th||sbo1h,چانطه‌سنه
çantasının,xu3ebo1th||sbo1ko3,چانطه‌سنڭ
çantasız,xu3ebo1th||sro1,چانطه‌سز
çançan,xu3eko3||xu3eko3,چاڭ‌چاڭ
çançan,xu3elo5o3<>xu3elo5o3,چاك‌چاك
çap pergari (pergeli),xu3ebu3 bu3rkery,چاپ پرکاری
çap pergâri (pergeli),xu3ebu3 bu3rkery,چاپ پرکاری
çap,xu3ebu3,چاپ
çapa,xu3ebu3e,چاپا
çapa,xu3ebu3h,چاپه
çapa,xu3ebu3h||,چاپه‌
çapacı,xu3ebu3exu1y,چاپاجی
çapak,xu3bu3efo2,چپاق
çapak,xu3ebu3efo2,چاپاق
çapaklan,xu3ebu3efo2lebo1,چاپاقلان
çapaklanmak,xu3ebu3efo2lebo1mfo2,چاپاقلانمق
çapaklı,xu3ebu3efo2ly,چاپاقلی
çapakçur,xu3ebu3efo2xu1wr,چاپاقجور
çapala,xu3ebu3ele,چاپالا
çapalamak,xu3ebu3elemfo2,چاپالامق
çapalan,xu3ebu3elebo1,چاپالان
çapalanmak,xu3ebu3elebo1mfo2,چاپالانمق
çapar,xu3ebu3er,چاپار
çaparız olmak,xu3bu3erro1ew,چپارزاو
çaparız,xu3bu3erro1,چپارز
çapkın pezevenk,xu3ebu3fo2bu2bo1 bu3ro1wbo1k,چاپقين پزونک
çapkın pezevenk,xu3ebu3fo2ybo1 bu3ro1wbo1k,چاپقین پزونک
çapkın,xu3ebu3fo2bu2bo1,چاپقين
çapkın,xu3ebu3fo2ybo1,چاپقین
çapkınlık,xu3ebu3fo2bu2bo1lfo2,چاپقينلق
çapkınlık,xu3ebu3fo2ybo1lfo2,چاپقینلق
çaplus,xu3ebu3lws,چاپلوس
çaplı,xu3ebu3ly,چاپلی
çapmak,xu3ebu3mfo2,چاپمق
çapraz,xu3ebu3rero1,چاپراز
çaprazlama,xu3ebu3rero1lemh,چاپرازلامه
çaprazlama,xu3ebu3rero1lemh||,چاپرازلامه‌
çaprazlı,xu3ebu3rero1ly,چاپرازلی
çaprazzade,xu3ebu3rero1ro1edh,چاپراززاده
çapraşık,xu3ebu3reso3yfo2,چاپراشیق
çapta,xu3ebu3dh,چاپده
çaptadır,xu3ebu3dh||dr,چاپده‌در
çapul,xu3ebu3wl,چاپول
çapulcu,xu3ebu3wlxu1y,چاپولجی
çapulculuk,xu3ebu3wlxu1ylfo2,چاپولجیلق
çaput,xu3ebu3wbo2,چاپوت
çapında,xu3ebu3bo1dh,چاپنده
çapındaki,xu3ebu3bo1dh||ky,چاپنده‌کی
çar'ı,xu3ery,چاری
çar'ın,xu3erko3,چارڭ
çar,xu3er,چار
çar-nâçar,xu3er bo1exu3er,چار ناچار
çar-yek,xu3erbu2k,چاريک
çar-yek,xu3eryk,چاریک
çardak,xu3erdefo2,چارداق
çardak,xu3ertefo2,چارطاق
çardeh,xu3erdh||,چارده‌
çare bulmak,xu3erh bu1wlmfo2,چاره بولمق
çare,xu3erh,چاره
çare,xu3erh||,چاره‌
çare-i,xu3erh||u4,چاره‌ِ
çarecu,xu3erh xu1w,چاره جو
çaredir,xu3erh||dr,چاره‌در
çareler,xu3erh||lr,چاره‌لر
çareleri,xu3erh||lry,چاره‌لری
çarelerin,xu3erh||lrko3,چاره‌لرڭ
çarelerini,xu3erh||lrybo1y,چاره‌لرینی
çarelerle,xu3erh||lrlh,چاره‌لرله
çarem,xu3erh||m,چاره‌م
çaremiz,xu3erh||mro1,چاره‌مز
çarenin,xu3erh||bo1ko3,چاره‌نڭ
çareniz,xu3erh||ko3ro1,چاره‌ڭز
çaresaz,xu3erh sero1,چاره ساز
çaresazi,xu3erh sero1y,چاره سازی
çaresi,xu3erh||sy,چاره‌سی
çaresini bulmak,xu3erh sbo1y bu1wlmfo2,چاره سنی بولمق
çaresini,xu3erh||sbo1y,چاره‌سنی
çaresiz,xu3erh sro1,چاره سز
çaresiz,xu3erh<>sro1,چاره‌سز
çaresiz,xu3erh||sro1,چاره‌سز
çaresizlik,xu3erh<>sro1lk,چاره‌سزلک
çareye,xu3erh||yh,چاره‌یه
çareyi,xu3erh||yy,چاره‌یی
çargah,xu3erko7eh||,چارگاه‌
çarguşe,xu3erko7wso3h||,چارگوشه‌
çarh,xu3rao1,چرغ
çarh,xu3rxo1,چرخ
çarha topu,xu3rxo1h twbu1y,چرخه طوبی
çarha,xu3rxo1h,چرخه
çarhacıların çatışması,xu3rxo1h xu1bu2lrk xu3ebo2so3msy,چرخه جيلرک چاتشمسی
çarhacıların çatışması,xu3rxo1h xu1ylrk xu3ebo2so3msy,چرخه جیلرک چاتشمسی
çarhcı,xu3rxo1xu1y,چرخجی
çark gemisi,xu3rxo1 kmbu2sy,چرخ کميسی
çark gemisi,xu3rxo1 kmysy,چرخ کمیسی
çark ile gitmek,xu3rxo1 ebu2lh kbo2mk,چرخ ايله کتمک
çark ile gitmek,xu3rxo1 eylh kbo2mk,چرخ ایله کتمک
çark,xu3rxo1,چرخ
çark-ı,xu3rxo1u4,چرخِ
çarka,xu3rxo1h,چرخه
çarkcı,xu3rxo1xu1y,چرخجی
çarkcılık,xu3rxo1xu1ylfo2,چرخجیلق
çarklar,xu3rxo1lr,چرخلر
çarklara,xu3rxo1lrh,چرخلره
çarklardan,xu3rxo1lrdbo1,چرخلردن
çarklarla,xu3rxo1lrlh,چرخلرله
çarkları,xu3rxo1lry,چرخلری
çarkların,xu3rxo1lrko3,چرخلرڭ
çarklarına,xu3rxo1lrybo1h,چرخلرینه
çarklarını,xu3rxo1lrybo1y,چرخلرینی
çarklarının,xu3rxo1lrybo1ko3,چرخلرینڭ
çarklarıyla,xu3rxo1lrylh,چرخلریله
çarklı,xu3rxo1ly,چرخلی
çarkçı,xu3rxo1xu1y,چرخجی
çarkı,xu3rxo1y,چرخی
çarkıfelek çiçeği,xu3rao1 fo1lk xu3bu2xu3ky,چرغ فلک چيچکی
çarkıfelek çiçeği,xu3rao1 fo1lk xu3yxu3ky,چرغ فلک چیچکی
çarkıfelek,xu3rxo1<>fo1lk,چرخ‌فلک
çarkıfelek,xu3rxo1||fo1lk,چرخ‌فلک
çarkın,xu3rxo1ko3,چرخڭ
çarkını,xu3rxo1bo1y,چرخنی
çarlık,xu3erlfo2,چارلق
çarlığına,xu3erlao1bo1h,چارلغنه
çarmıh,xu3ermbu2xo1,چارميخ
çarmıh,xu3ermyxo1,چارمیخ
çarmıha germek,xu3ermbu2xo1h krmk,چارميخه کرمک
çarmıha germek,xu3ermyxo1h krmk,چارمیخه کرمک
çarmıha,xu3ermyxo1h,چارمیخه
çarmık,xu3ermyfo2,چارمیق
çarnaçar,xu3erbo1exu3er,چارناچار
çarp,xu3erbu3,چارپ
çarpa,xu3erbu3e,چارپا
çarpacak,xu3erbu3h||xu1fo2,چارپه‌جق
çarpacağınızı,xu3erbu3exu1ao1ko3ro1y,چارپاجغڭزی
çarpan,xu3erbu3ebo1,چارپان
çarpar,xu3erbu3er,چارپار
çarparak,xu3erbu3h||rfo2,چارپه‌رق
çarparsa,xu3erbu3ersh,چارپارسه
çarparsın,xu3erbu3ersko3,چارپارسڭ
çarparım,xu3erbu3h||rm,چارپه‌رم
çarpdır,xu3erbu3dyr,چارپدیر
çarpdırmak,xu3erbu3dyrmfo2,چارپدیرمق
çarpma,xu3erbu3mh,چارپمه
çarpma,xu3erbu3mh||,چارپمه‌
çarpmadan,xu3erbu3medbo1,چارپمادن
çarpmak,xu3erbu3mfo2,چارپمق
çarpmakla,xu3erbu3mfo2lh,چارپمقله
çarpmaktadır,xu3erbu3mfo2dh||dr,چارپمقده‌در
çarpması,xu3erbu3msy,چارپمسی
çarpmasıdır,xu3erbu3mesydr,چارپماسیدر
çarpmasın,xu3erbu3mesybo1,چارپماسین
çarpmasına,xu3erbu3mesbo1h,چارپماسنه
çarpmasıyla,xu3erbu3mesylh,چارپماسیله
çarpmıyor,xu3erbu3myywr,چارپمییور
çarpmış,xu3erbu3mso3,چارپمش
çarpmışız,xu3erbu3mso3ro1,چارپمشز
çarpsa,xu3erbu3sh,چارپسه
çarptı,xu3erbu3dy,چارپدی
çarptım,xu3erbu3dm,چارپدم
çarptınız,xu3erbu3dyko3ro1,چارپدیڭز
çarptırdı,xu3erbu3dyrdy,چارپدیردی
çarptırmayan,xu3erbu3dyrmyebo1,چارپدیرمیان
çarptırmıyan,xu3erbu3dyrmyebo1,چارپدیرمیان
çarptırır,xu3erbu3dyrr,چارپدیرر
çarptığı,xu3erbu3dyao1y,چارپدیغی
çarptığına,xu3erbu3dyao1bo1h,چارپدیغنه
çarpukçurpuk,xu3erbu3yfo2 xu1wrbu3wfo2,چارپیق جورپوق
çarpık,xu3erbu3fo2,چارپق
çarpık,xu3erbu3yfo2,چارپیق
çarpıkbacaklı,xu3erbu3yfo2 bu1exu1efo2ly,چارپیق باجاقلی
çarpıl,xu3erbu3yl,چارپیل
çarpılarak,xu3erbu3ylerfo2,چارپیلارق
çarpıldım,xu3erbu3yldm,چارپیلدم
çarpılma,xu3erbu3ylmh,چارپیلمه
çarpılma,xu3erbu3ylmh||,چارپیلمه‌
çarpılmak,xu3erbu3lmfo2,چارپلمق
çarpılmak,xu3erbu3ylmfo2,چارپیلمق
çarpılmasına sebeb olmak,xu3erbu3lmsbo1h sbu1bu1 ew,چارپلمسنه سبب او
çarpılmaya,xu3erbu3ylmao1h,چارپیلمغه
çarpılmıyorlar,xu3erbu3ylmyywrlr,چارپیلمییورلر
çarpılmış,xu3erbu3lmso3,چارپلمش
çarpılır,xu3erbu3ylyr,چارپیلیر
çarpılıyor,xu3erbu3ylyywr,چارپیلییور
çarpılış,xu3erbu3ylyso3,چارپیلیش
çarpıntı,xu3erbu3ybo1bo2y,چارپینتی
çarpıp,xu3erbu3wbu1,چارپوب
çarpıyor,xu3erbu3yywr,چارپییور
çarpıyordu,xu3erbu3yywrdy,چارپییوردی
çarpıyorsun,xu3erbu3yywrsko3,چارپییورسڭ
çarpıyoruz,xu3erbu3yywrro1,چارپییورز
çarpış,xu3erbu3yso3,چارپیش
çarpışacak,xu3erbu3yso3h||xu1fo2,چارپیشه‌جق
çarpışan,xu3erbu3yso3ebo1,چارپیشان
çarpışarak,xu3erbu3yso3h||rfo2,چارپیشه‌رق
çarpışma,xu3erbu3yso3mh,چارپیشمه
çarpışma,xu3erbu3yso3mh||,چارپیشمه‌
çarpışmak,xu3erbu3yso3mfo2,چارپیشمق
çarpışmaktır,xu3erbu3yso3mfo2dr,چارپیشمقدر
çarpışmaları,xu3erbu3yso3melry,چارپیشمالری
çarpışmalarına,xu3erbu3yso3melrybo1h,چارپیشمالرینه
çarpışmasından,xu3erbu3yso3mesbo1dbo1,چارپیشماسندن
çarpıştıkları,xu3erbu3yso3dfo2lry,چارپیشدقلری
çarpıştım,xu3erbu3yso3dm,چارپیشدم
çarpıştır,xu3erbu3yso3dyr,چارپیشدیر
çarpıştıran,xu3erbu3yso3dyrebo1,چارپیشدیران
çarpıştırmak,xu3erbu3yso3dyrmfo2,چارپیشدیرمق
çarpıştırmışlar,xu3erbu3yso3dyrmso3lr,چارپیشدیرمشلر
çarpıştırıcı,xu3erbu3yso3dyryxu1y,چارپیشدیریجی
çarpıştığı,xu3erbu3yso3dyao1y,چارپیشدیغی
çarpışık,xu3erxu3yso3yfo2,چارچیشیق
çarpışır,xu3erbu3yso3yr,چارپیشیر
çarpışırken,xu3erbu3yso3yrkbo1,چارپیشیرکن
çarpışıyor,xu3erbu3yso3yywr,چارپیشییور
çarpışıyorlar,xu3erbu3yso3yywrlr,چارپیشییورلر
çarsu,xu3ersw,چارسو
çarsû,xu3ersw,چارسو
çartak,xu3ertefo2,چارطاق
çaryar,xu3eryer,چاریار
çarçabuk,xu3erxu3ebu1k,چارچابک
çarçabuk,xu3erxu3ebu1wfo2,چارچابوق
çarçube,xu3erxu3wbu1h||,چارچوبه‌
çarçur,xu3erxu3wr,چارچور
çarüm,xu3erm,چارم
çarık,xu3erbu2fo2,چاريق
çarık,xu3erbu3fo2,چارپق
çarık,xu3eryfo2,چاریق
çarıkcı,xu3eryfo2xu1y,چاریقجی
çarına,xu3erybo1h,چارینه
çarını,xu3erybo1y,چارینی
çarşaf,xu3er so3efo1,چار شاف
çarşaf,xu3erso3bu1 merso3bu1,چارشب مارشب
çarşaf,xu3erso3efo1,چارشاف
çarşaflarını,xu3erso3efo1lrybo1y,چارشافلرینی
çarşafı,xu3erso3efo1y,چارشافی
çarşafını,xu3erso3efo1bo1y,چارشافنی
çarşamba,xu1herso3bo1bu1h,جهارشنبه
çarşamba,xu3erso3ebo1bu1e,چارشانبا
çarşamba,xu3herso3bo1bu1h,چهارشنبه
çarşamba,xu3herso3bo1bu1h||,چهارشنبه‌
çarşanba,xu3herso3bo1bu1h,چهارشنبه
çarşanba,xu3herso3bo1bu1h||,چهارشنبه‌
çarşeb marşeb,xu3erso3bu1 merso3bu1,چارشب مارشب
çarşeb,xu3erso3bu1,چارشب
çarşenbe,xu3erso3bo1bu1h||,چارشنبه‌
çarşı dili,xu3erso3y dly,چارشی دلی
çarşı,xu3erso3w,چارشو
çarşı,xu3erso3y,چارشی
çarşı-yı,xu3erso3wyu4,چارشویِ
çarşıda,xu3erso3wdh,چارشوده
çarşıdaki,xu3erso3wdh||ky,چارشوده‌کی
çarşıdan,xu3erso3wdbo1,چارشودن
çarşısı,xu3erso3wsy,چارشوسی
çarşısıdır,xu3erso3wsydr,چارشوسیدر
çarşısına,xu3erso3wsbo1h,چارشوسنه
çarşısında,xu3erso3wsbo1dh,چارشوسنده
çarşıya gitmek,xu3erso3y bu2h kbo2mk,چارشی يه کتمک
çarşıya gitmek,xu3erso3y yh kbo2mk,چارشی یه کتمک
çarşıya,xu3erso3wyh,چارشویه
çat,xu3ebo2,چات
çat-pat,xu3ebo2 bu3ebo2,چات پات
çatak,xu3ebo2efo2,چاتاق
çatal,xu3bo2el,چتال
çatal,xu3ebo2el,چاتال
çatalca,xu3ebo2elxu1h||,چاتالجه‌
çatallaşmaz,xu3bo2elleso3mero1,چتاللاشماز
çatallaşmıştır,xu3bo2elleso3mso3dr,چتاللاشمشدر
çatallaştırmış,xu3bo2elleso3dyrmso3,چتاللاشدیرمش
çatallı,xu3ebo2elly,چاتاللی
çatallık,xu3ebo2ellfo2,چاتاللق
çatar,xu3ebo2er,چاتار
çatdır,xu3ebo2dyr,چاتدیر
çatdırmak,xu3ebo2dyrmfo2,چاتدیرمق
çatla,xu3ebo2le,چاتلا
çatlak,xu1ebo2lefo2,جاتلاق
çatlak,xu3bo2lefo2,چتلاق
çatlak,xu3ebo2lefo2,چاتلاق
çatlaklık,xu3ebo2lefo2lfo2,چاتلاقلق
çatlaklıklar,xu3ebo2lefo2lfo2lr,چاتلاقلقلر
çatlama,xu3ebo2lemh,چاتلامه
çatlama,xu3ebo2lemh||,چاتلامه‌
çatlamak,xu3ebo2lemfo2,چاتلامق
çatlamış,xu3ebo2lemso3,چاتلامش
çatlar,xu3ebo2ler,چاتلار
çatlat,xu3ebo2lebo2,چاتلات
çatlatacak,xu3ebo2lebo2h||xu1fo2,چاتلاته‌جق
çatlatmak,xu3ebo2lebo2mfo2,چاتلاتمق
çatlatıp,xu3ebo2lebo2wbu1,چاتلاتوب
çatlayan,xu3ebo2leyebo1,چاتلایان
çatlayış,xu3ebo2leyyso3,چاتلاییش
çatma,xu3ebo2mh,چاتمه
çatma,xu3ebo2mh||,چاتمه‌
çatmak,xu3ebo2mfo2,چاتمق
çatpat,xu3ebo2<>bu3ebo2,چات‌پات
çatpat,xu3ebo2||bu3ebo2,چات‌پات
çattı,xu3ebo2dy,چاتدی
çattırdı,xu3ebo2dyrdy,چاتدیردی
çatı,xu3ebo2y,چاتی
çatık,xu3ebo2yfo2,چاتیق
çatıkkaş,xu3ebo2bo2yfo2 fo2eso3,چاتتیق قاش
çatılarını,xu3ebo2ylrybo1y,چاتیلرینی
çatıp,xu3ebo2wbu1,چاتوب
çatır,xu3ebo2yr,چاتیر
çatırdamak,xu3ebo2rdemfo2,چاتردامق
çatırtı,xu3ebo2rdy,چاتردی
çatırçatır,xu3ebo2r xu3ebo2r,چاتر چاتر
çatısından,xu3ebo2ysbo1dbo1,چاتیسندن
çatış,xu3ebo2so3,چاتش
çatış,xu3ebo2yso3,چاتیش
çatışma,xu3ebo2so3mh,چاتشمه
çatışma,xu3ebo2so3mh||,چاتشمه‌
çatışmak,xu3ebo2so3mfo2,چاتشمق
çatışmak,xu3ebo2yso3mfo2,چاتیشمق
çatıştır,xu3ebo2yso3dyr,چاتیشدیر
çatıştırmak,xu3ebo2yso3dyrmfo2,چاتیشدیرمق
çavdar,xu3ewder,چاودار
çaviş'in,xu3ewyso3ko3,چاویشڭ
çavlı,xu3ewly,چاولی
çavuş başı,xu1ewso3 bu1eso3y,جاوش باشی
çavuş'a,xu3ewso3h,چاوشه
çavuş'la,xu3ewso3lh,چاوشله
çavuş'tan,xu3ewso3dbo1,چاوشدن
çavuş'u,xu3ewso3y,چاوشی
çavuş'un,xu3ewso3ko3,چاوشڭ
çavuş,xu3ewso3,چاوش
çavuş,xu3ewwso3,چاووش
çavuşa,xu3ewso3h,چاوشه
çavuşkuşu,xu3ewwso3 fo2wso3y,چاووش قوشی
çavuşluk,xu3ewwso3lfo2,چاووشلق
çavuşluğudur,xu3ewso3lao1ydr,چاوشلغیدر
çavuşsuz,xu3ewso3sro1,چاوشسز
çavuşu,xu3ewso3y,چاوشی
çavuşuna,xu3ewso3bo1h,چاوشنه
çavuşuyla,xu3ewso3ylh,چاوشیله
çavuşüzümü,xu3ewwso3 ewro1wmy,چاووش اوزومی
çay,xu3eh,چاه
çay,xu3eh||,چاه‌
çay,xu3ey,چای
çaycı,xu3eyxu1y,چایجی
çaydan,xu3eydbo1,چایدن
çaydanlık,xu3eydebo1lfo2,چایدانلق
çayhane,xu3eyxo1ebo1h||,چایخانه‌
çayhane,xu3ey||xo1ebo1h,چای‌خانه
çayhaneye,xu3ey||xo1ebo1h||yh,چای‌خانه‌یه
çayhâne,xu3eyxo1ebo1h,چایخانه
çaylak,xu3ebu2lefo2,چايلاق
çaylak,xu3eylefo2,چایلاق
çaylar,xu3eylr,چایلر
çaylara,xu3eylrh,چایلره
çayları,xu3eylry,چایلری
çayların,xu3eylrko3,چایلرڭ
çaylarını,xu3eylrybo1y,چایلرینی
çaylarınızı,xu3eylryko3ro1y,چایلریڭزی
çaylık,xu3ebu2lfo2,چايلق
çaylık,xu3eylfo2,چایلق
çayı,xu3eyy,چایی
çayımız,xu3eymro1,چایمز
çayını,xu3eybo1y,چاینی
çayınızı,xu3eyko3ro1y,چایڭزی
çayır,xu3ebu2r,چاير
çayır,xu3eyr,چایر
çayır,xu3eyyr,چاییر
çayırkuşu,xu3eyyr fo2wso3y,چاییر قوشی
çayırla,xu3eyyr<>le,چاییر‌لا
çayırlamak,xu3eyyr<>lemfo2,چاییر‌لامق
çayırlamak,xu3eyyr||lemfo2,چاییر‌لامق
çayırlat,xu3eyyrlebo2,چاییرلات
çayırlatmak,xu3eyyrlebo2mfo2,چاییرلاتمق
çayırlık,xu3ebu2rlfo2,چايرلق
çayırlık,xu3eyrlfo2,چایرلق
çayırlık,xu3eyyrlfo2,چاییرلق
çayırotu,xu3eyyrewbo2y,چاییراوتی
çayırpeyniri,xu3eyyr bu3ybo1yry,چاییر پینیری
çaça,xu3exu3e,چاچا
çağ,xu3eao1,چاغ
çağanoz,xu3ao1ebo1ws,چغانوس
çağatay,xu3ao1bo2ey,چغتای
çağda,xu3eao1dh,چاغده
çağdaş,xu3eao1deso3,چاغداش
çağla,xu3eao1le,چاغلا
çağladıkları,xu3eao1ledfo2lry,چاغلادقلری
çağlama,xu3eao1lemh,چاغلامه
çağlama,xu3eao1lemh||,چاغلامه‌
çağlamak,xu3eao1lemfo2,چاغلامق
çağlamaktadır,xu3eao1lemfo2dh||dr,چاغلامقده‌در
çağlar,xu3eao1ler,چاغلار
çağların,xu3eao1lrko3,چاغلرڭ
çağlatıp,xu3eao1lebo2wbu1,چاغلاتوب
çağlayacak,xu3eao1leyh||xu1fo2,چاغلایه‌جق
çağlayan,xu3ao1lebu2ebo1,چغلايان
çağlayan,xu3ao1leyebo1,چغلایان
çağlayan,xu3eao1lbu2ebo1,چاغليان
çağlayan,xu3eao1leyebo1,چاغلایان
çağlayan,xu3eao1lyebo1,چاغلیان
çağlayanı,xu3eao1leyebo1y,چاغلایانی
çağlayış,xu3eao1leyyso3,چاغلاییش
çağlıyor,xu3eao1leywr,چاغلایور
çağlıyorlar,xu3eao1leywrlr,چاغلایورلر
çağrıl,xu3eao1ryl,چاغریل
çağrıldım,xu3eao1yryldm,چاغیریلدم
çağrıldığında,xu3eao1yryldyao1bo1dh,چاغیریلدیغنده
çağrılmak,xu3eao1rylmfo2,چاغریلمق
çağrılmasına,xu3eao1rylmesbo1h,چاغریلماسنه
çağrılmıştı,xu3eao1yrylmso3dy,چاغیریلمشدی
çağrılmıştık,xu3eao1rylmso3dfo2,چاغریلمشدق
çağrılsa,xu3eao1rylsh,چاغریلسه
çağrılıyor,xu3eao1yrylyywr,چاغیریلییور
çağrılıyorsunuz,xu3eao1yrylyywrsko3ro1,چاغیریلییورسڭز
çağrının,xu3eao1rybo1ko3,چاغرینڭ
çağrış,xu3eao1ryso3,چاغریش
çağrışmak,xu3eao1ryso3mfo2,چاغریشمق
çağz,xu3ao1ro1,چغز
çağıl,xu3eao1l,چاغل
çağılda,xu3eao1lde,چاغلدا
çağıldamak,xu3eao1ldemfo2,چاغلدامق
çağıltı,xu3eao1ldy,چاغلدی
çağıltı,xu3eao1ylbo2y,چاغیلتی
çağır,xu3eao1r,چاغر
çağır,xu3eao1yr,چاغیر
çağıracak,xu3eao1yrh||xu1fo2,چاغیره‌جق
çağıracaklar,xu3eao1yrh||xu1fo2lr,چاغیره‌جقلر
çağıracaklarına,xu3eao1yrh||xu1fo2lrybo1h,چاغیره‌جقلرینه
çağıran,xu3eao1yrebo1,چاغیران
çağırdı,xu3eao1yrdy,چاغیردی
çağırdık,xu3eao1yrdfo2,چاغیردق
çağırdıkları,xu3eao1yrdfo2lry,چاغیردقلری
çağırdıkça,xu3eao1yrdfo2xu1h,چاغیردقجه
çağırdılar,xu3eao1yrdylr,چاغیردیلر
