
o aralık,ewl erelfo2,اول ارالق
okşuyor,ewfo2so3yywr,اوقشییور
ol saat,ewl seabo2,اول ساعت
ol sâat,ewl seabo2,اول ساعت
ol,ewl,اول
ola,ewlh,اوله
olabildi,ewlebu1yldy,اولابیلدی
olabildiği,ewlebu1yldyko7y,اولابیلدیگی
olabildiğim,ewlebu1yldyko7m,اولابیلدیگم
olabildiğimiz,ewlebu1yldyko7mro1,اولابیلدیگمز
olabildiğini,ewlebu1yldyko7bo1y,اولابیلدیگنی
olabilecek,ewlebu1ylh||xu1k,اولابیله‌جک
olabileceği,ewlebu1ylh||xu1ko7y,اولابیله‌جگی
olabileceğine,ewlebu1ylh||xu1ko7bo1h,اولابیله‌جگنه
olabileceğini,ewlebu1ylh||xu1ko7bo1y,اولابیله‌جگنی
olabileceğiz,ewlebu1ylh||xu1ko7ro1,اولابیله‌جگز
olabilelim,ewlebu1ylh||lm,اولابیله‌لم
olabilen,ewlebu1ylbo1,اولابیلن
olabilesin,ewlebu1ylh||sybo1,اولابیله‌سین
olabilir,ewlebu1ylyr,اولابیلیر
olabilirdi,ewlebu1ylyrdy,اولابیلیردی
olabilirim,ewlebu1ylyrm,اولابیلیرم
olabiliriz,ewlebu1ylyrro1,اولابیلیرز
olabilirken,ewlebu1ylyrkbo1,اولابیلیرکن
olabilirler,ewlebu1ylyrlr,اولابیلیرلر
olabilirsen,ewlebu1ylyrsh||ko3,اولابیلیرسه‌ڭ
olabilirsin,ewlebu1ylyrsko3,اولابیلیرسڭ
olabilirsiniz,ewlebu1ylyrsko3ro1,اولابیلیرسڭز
olabilmek,ewlebu1ylmk,اولابیلمک
olabilmeniz,ewlebu1ylmko3ro1,اولابیلمڭز
olabilmesi,ewlebu1ylmh||sy,اولابیلمه‌سی
olabilmesine,ewlebu1ylmh||sbo1h,اولابیلمه‌سنه
olabilmeye,ewlebu1ylmko7h,اولابیلمگه
olabilmiş,ewlebu1ylmso3,اولابیلمش
olabilmiştir,ewlebu1ylmso3dr,اولابیلمشدر
olabilse,ewlebu1ylsh,اولابیلسه
olabilseler,ewlebu1ylsh||lr,اولابیلسه‌لر
olabilsin,ewlebu1ylsybo1,اولابیلسین
olacak,ewlexu1fo2,اولاجق
olacak,ewlh xu1fo2,اوله جق
olacak,ewlh<>xu1fo2,اوله‌جق
olacak,ewlh||xu1fo2,اوله‌جق
olacaklar,ewlexu1fo2lr,اولاجقلر
olacaklardı,ewlexu1fo2lrdy,اولاجقلردی
olacaklardır,ewlexu1fo2lrdr,اولاجقلردر
olacakları,ewlexu1fo2lry,اولاجقلری
olacaklarına,ewlexu1fo2lrybo1h,اولاجقلرینه
olacaklarını,ewlexu1fo2lrybo1y,اولاجقلرینی
olacaklarının,ewlexu1fo2lrybo1ko3,اولاجقلرینڭ
olacakmış,ewlexu1fo2mso3,اولاجقمش
olacaksın,ewlexu1fo2sko3,اولاجقسڭ
olacaksınız,ewlexu1fo2sko3ro1,اولاجقسڭز
olacaktı,ewlexu1fo2dy,اولاجقدی
olacaktık,ewlexu1fo2dfo2,اولاجقدق
olacaktılar,ewlexu1fo2dylr,اولاجقدیلر
olacaktır,ewlexu1fo2dr,اولاجقدر
olacağı,ewlexu1ao1y,اولاجغی
olacağım,ewlexu1ao1m,اولاجغم
olacağıma,ewlexu1ao1mh,اولاجغمه
olacağımı,ewlexu1ao1my,اولاجغمی
olacağımız,ewlexu1ao1mro1,اولاجغمز
olacağımıza,ewlexu1ao1mro1h,اولاجغمزه
olacağına,ewlexu1ao1bo1h,اولاجغنه
olacağında,ewlexu1ao1bo1dh,اولاجغنده
olacağından,ewlexu1ao1bo1dbo1,اولاجغندن
olacağını,ewlexu1ao1bo1y,اولاجغنی
olacağının,ewlexu1ao1bo1ko3,اولاجغنڭ
olacağınız,ewlexu1ao1ko3ro1,اولاجغڭز
olacağınıza,ewlexu1ao1ko3ro1h,اولاجغڭزه
olacağınızdan,ewlexu1ao1ko3ro1dbo1,اولاجغڭزدن
olacağınızı,ewlexu1ao1ko3ro1y,اولاجغڭزی
olacağız,ewlexu1ao1ro1,اولاجغز
olalar,ewlelr,اولالر
olalım,ewlelm,اولالم
olamadı,ewlemdy,اولامدی
olamadık,ewlemdfo2,اولامدق
olamadıkları,ewlemdfo2lry,اولامدقلری
olamadılar,ewlemdylr,اولامدیلر
olamadım,ewlemdm,اولامدم
olamadın,ewlemdko3,اولامدڭ
olamadınız,ewlemdyko3ro1,اولامدیڭز
olamadığı,ewlemdyao1y,اولامدیغی
olamadığım,ewlemdyao1m,اولامدیغم
olamadığıma,ewlemdyao1mh,اولامدیغمه
olamadığımdan,ewlemdyao1mdbo1,اولامدیغمدن
olamadığımı,ewlemdyao1my,اولامدیغمی
olamadığımız,ewlemdyao1mro1,اولامدیغمز
olamadığın,ewlemdyao1ko3,اولامدیغڭ
olamadığına,ewlemdyao1bo1h,اولامدیغنه
olamadığından,ewlemdyao1bo1dbo1,اولامدیغندن
olamadığını,ewlemdyao1bo1y,اولامدیغنی
olamam,ewlemem,اولامام
olamamaktan,ewlememfo2dbo1,اولامامقدن
olamamasının,ewlememsbo1ko3,اولامامسنڭ
olamamış,ewlememso3,اولامامش
olamamışlardı,ewlememso3lrdy,اولامامشلردی
olamamıştım,ewlememso3dm,اولامامشدم
olamamıştır,ewlememso3dr,اولامامشدر
olamamışız,ewlememso3ro1,اولامامشز
olamayacaklardır,ewlemyh||xu1fo2lrdr,اولامیه‌جقلردر
olamayacakları,ewlemyh||xu1fo2lry,اولامیه‌جقلری
olamayacaktı,ewlemyh||xu1fo2dy,اولامیه‌جقدی
olamayacağı,ewlemyh||xu1ao1y,اولامیه‌جغی
olamayacağım,ewlemyh||xu1ao1m,اولامیه‌جغم
olamayacağımdan,ewlemyh||xu1ao1mdbo1,اولامیه‌جغمدن
olamayacağımı,ewlemyh||xu1ao1my,اولامیه‌جغمی
olamayacağına,ewlemyh||xu1ao1bo1h,اولامیه‌جغنه
olamayacağının,ewlemyh||xu1ao1bo1ko3,اولامیه‌جغنڭ
olamayacağız,ewlemyh||xu1ao1ro1,اولامیه‌جغز
olamayan,ewlemyebo1,اولامیان
olamayanlar,ewlemyebo1lr,اولامیانلر
olamayanlara,ewlemyebo1lrh,اولامیانلره
olamayarak,ewlemyh||rfo2,اولامیه‌رق
olamayıp,ewlemeywbu1,اولامایوب
olamayız,ewlemeyro1,اولامایز
olamaz,ewlemero1,اولاماز
olamazdı,ewlemero1dy,اولامازدی
olamazdım,ewlemero1dm,اولامازدم
olamazlar,ewlemero1lr,اولامازلر
olamazsa,ewlemero1sh,اولامازسه
olamazsın,ewlemero1sko3,اولامازسڭ
olamazsınız,ewlemero1sko3ro1,اولامازسڭز
olamıyan,ewlemyebo1,اولامیان
olamıyor,ewlemyywr,اولامییور
olamıyordu,ewlemyywrdy,اولامییوردی
olamıyordum,ewlemyywrdm,اولامییوردم
olamıyorum,ewlemyywrm,اولامییورم
olamıyoruz,ewlemyywrro1,اولامییورز
olan hey'et,ewlebo1 hbu2bo5bo2,اولان هيئت
olan hey'et,ewlebo1 hybo5bo2,اولان هیئت
olan,ewlebo1,اولان
olana,ewlebo1h,اولانه
olanca,ewlebo1xu1h,اولانجه
olanda,ewlebo1dh,اولانده
olandan,ewlebo1dbo1,اولاندن
olandır,ewlebo1dr,اولاندر
olanla,ewlebo1lh,اولانله
olanlar,ewlebo1lr,اولانلر
olanlara,ewlebo1lrh,اولانلره
olanlarca,ewlebo1lrxu1h,اولانلرجه
olanlarda,ewlebo1lrdh,اولانلرده
olanlardan,ewlebo1lrdbo1,اولانلردن
olanlardır,ewlebo1lrdr,اولانلردر
olanlarla,ewlebo1lrlh,اولانلرله
olanları,ewlebo1lry,اولانلری
olanlarımız,ewlebo1lrymro1,اولانلریمز
olanların,ewlebo1lrko3,اولانلرڭ
olanlarına,ewlebo1lrybo1h,اولانلرینه
olanlarından,ewlebo1lrbo1dbo1,اولانلرندن
olanlarını,ewlebo1lrybo1y,اولانلرینی
olanlarının,ewlebo1lrybo1ko3,اولانلرینڭ
olanlarıyla,ewlebo1lry eylh,اولانلری ایله
olanı,ewlebo1y,اولانی
olanıdır,ewlebo1ydr,اولانیدر
olanın,ewlebo1ko3,اولانڭ
olarak,ewlerfo2,اولارق
olası,ewlesy,اولاسی
olasın,ewlesko3,اولاسڭ
olasınız,ewlesko3ro1,اولاسڭز
olaydı,ewleydy,اولایدی
olaydım,ewleydm,اولایدم
olayım,ewleym,اولایم
olağan,ewleao1ebo1,اولاغان
oldu,ewldy,اولدی
olduk,ewldfo2,اولدق
oldukca,ewldfo2xu1h,اولدقجه
oldukca,ewldfo2xu1h||,اولدقجه‌
oldukları,ewldfo2lry,اولدقلری
olduklarıdır,ewldfo2lrydr,اولدقلریدر
olduklarına,ewldfo2lrybo1h,اولدقلرینه
olduklarından,ewldfo2lrbo1dbo1,اولدقلرندن
olduklarındandır,ewldfo2lrbo1dbo1dr,اولدقلرندندر
olduklarını,ewldfo2lrybo1y,اولدقلرینی
olduklarının,ewldfo2lrybo1ko3,اولدقلرینڭ
olduklarınız,ewldfo2lryko3ro1,اولدقلریڭز
olduktan,ewldfo2dbo1,اولدقدن
oldukça iyi,ewldfo2xu1h ebu2w,اولدقجه ايو
oldukça iyi,ewldfo2xu1h eyw,اولدقجه ایو
oldukça,ewld fo2xu1h,اولد قجه
oldukça,ewld fo2xu1h||,اولد قجه‌
oldukça,ewldfo2xu1h,اولدقجه
oldular,ewldylr,اولدیلر
oldum,ewldm,اولدم
oldun,ewldko3,اولدڭ
oldunuz,ewldyko3ro1,اولدیڭز
oldurmak,ewldrmfo2,اولدرمق
olduğu,ewldyao1y,اولدیغی
olduğudur,ewldyao1ydr,اولدیغیدر
olduğum,ewldyao1m,اولدیغم
olduğuma,ewldyao1mh,اولدیغمه
olduğumdan,ewldyao1mdbo1,اولدیغمدن
olduğumu,ewldyao1my,اولدیغمی
olduğumun,ewldyao1mko3,اولدیغمڭ
olduğumuz,ewldyao1mro1,اولدیغمز
olduğumuza,ewldyao1mro1h,اولدیغمزه
olduğumuzdan,ewldyao1mro1dbo1,اولدیغمزدن
olduğumuzdur,ewldyao1mro1dr,اولدیغمزدر
olduğumuzu,ewldyao1mro1y,اولدیغمزی
olduğun,ewldyao1ko3,اولدیغڭ
olduğuna,ewldyao1bo1h,اولدیغنه
olduğunda,ewldyao1bo1dh,اولدیغنده
olduğundan,ewldyao1bo1dbo1,اولدیغندن
olduğundandır,ewldyao1bo1dbo1dr,اولدیغندندر
olduğunu,ewldyao1bo1y,اولدیغنی
olduğunun,ewldyao1bo1ko3,اولدیغنڭ
olduğunuz,ewldyao1ko3ro1,اولدیغڭز
olduğunuza,ewldyao1ko3ro1h,اولدیغڭزه
olduğunuzdan,ewldyao1ko3ro1dbo1,اولدیغڭزدن
olduğunuzu,ewldyao1ko3ro1y,اولدیغڭزی
olgun,ewlao1wbo1,اولغون
olgunluğa,ewlao1wbo1lao1h,اولغونلغه
oligarşi,ewlbu2ao1erso3y,اوليغارشی
oligarşi,ewlyao1erso3y,اولیغارشی
olimpiyat,ewlbu2mbu3bu2ed,اوليمپياد
olimpiyat,ewlymbu3yed,اولیمپیاد
olma,ewlmh,اولمه
olmada,ewlmedh,اولماده
olmadan,ewlmedbo1,اولمادن
olmadı,ewlmedy,اولمادی
olmadık,ewlmdfo2,اولمدق
olmadık,ewlmedfo2,اولمادق
olmadıkları,ewlmedfo2lry,اولمادقلری
olmadıklarına,ewlmedfo2lrybo1h,اولمادقلرینه
olmadıklarından,ewlmedfo2lrbo1dbo1,اولمادقلرندن
olmadıklarını,ewlmedfo2lrybo1y,اولمادقلرینی
olmadıkça,ewlmedfo2xu1h,اولمادقجه
olmadılar,ewlmedylr,اولمادیلر
olmadım,ewlmedm,اولمادم
olmadın,ewlmedko3,اولمادڭ
olmadınız,ewlmedyko3ro1,اولمادیڭز
olmadığı,ewlmedyao1y,اولمادیغی
olmadığım,ewlmedyao1m,اولمادیغم
olmadığımdan,ewlmedyao1mdbo1,اولمادیغمدن
olmadığımdır,ewlmedyao1mdr,اولمادیغمدر
olmadığımı,ewlmedyao1my,اولمادیغمی
olmadığımız,ewlmedyao1mro1,اولمادیغمز
olmadığımıza,ewlmedyao1mro1h,اولمادیغمزه
olmadığımızı,ewlmedyao1mro1y,اولمادیغمزی
olmadığın,ewlmedyao1ko3,اولمادیغڭ
olmadığına,ewlmedyao1bo1h,اولمادیغنه
olmadığında,ewlmedyao1bo1dh,اولمادیغنده
olmadığından,ewlmedyao1bo1dbo1,اولمادیغندن
olmadığını,ewlmedyao1bo1y,اولمادیغنی
olmadığının,ewlmedyao1bo1ko3,اولمادیغنڭ
olmadığınız,ewlmedyao1ko3ro1,اولمادیغڭز
olmadığınıza,ewlmedyao1ko3ro1h,اولمادیغڭزه
olmak,ewlmfo2,اولمق
olmak,wlmfo2,ولمق
olmakla,ewlmfo2lh,اولمقله
olmaklığı,ewlmfo2lao1y,اولمقلغی
olmaklığım,ewlmfo2lao1m,اولمقلغم
olmaklığıma,ewlmfo2lao1mh,اولمقلغمه
olmaklığımdır,ewlmfo2lao1mdr,اولمقلغمدر
olmaklığımla,ewlmfo2lao1mlh,اولمقلغمله
olmaklığımızdır,ewlmfo2lao1mro1dr,اولمقلغمزدر
olmaklığımızı,ewlmfo2lao1mro1y,اولمقلغمزی
olmaklığın,ewlmfo2lao1ko3,اولمقلغڭ
olmaklığınızı,ewlmfo2lao1ko3ro1y,اولمقلغڭزی
olmaksızın,ewlmfo2sro1ybo1,اولمقسزین
olmakta,ewlmfo2dh,اولمقده
olmaktadır,ewlmfo2dh||dr,اولمقده‌در
olmaktadırlar,ewlmfo2dh||drlr,اولمقده‌درلر
olmaktan,ewlmfo2dbo1,اولمقدن
olmaktansa,ewlmfo2dbo1sh,اولمقدنسه
olmaktı,ewlmfo2dy,اولمقدی
olmaktır,ewlmfo2dr,اولمقدر
olmaları,ewlmelry,اولمالری
olmalarıdır,ewlmelrydr,اولمالریدر
olmalarına,ewlmelrybo1h,اولمالرینه
olmalarından,ewlmelrbo1dbo1,اولمالرندن
olmalarını,ewlmelrybo1y,اولمالرینی
olmalarının,ewlmelrybo1ko3,اولمالرینڭ
olmalarıyla,ewlmelrylh,اولمالریله
olmalı,ewlmely,اولمالی
olmalıdır,ewlmelydr,اولمالیدر
olmalıdırlar,ewlmelydrlr,اولمالیدرلر
olmalısın,ewlmelysko3,اولمالیسڭ
olmalısınız,ewlmelysko3ro1,اولمالیسڭز
olmalıyız,ewlmely||yro1,اولمالی‌یز
olmam,ewlmem,اولمام
olmamak,ewlmemfo2,اولمامق
olmamakla,ewlmemfo2lh,اولمامقله
olmamaklığımla,ewlmemfo2lao1mlh,اولمامقلغمله
olmamaktır,ewlmemfo2dr,اولمامقدر
olmamalarına,ewlmh||mlrybo1h,اولمه‌ملرینه
olmamalarını,ewlmemlrybo1y,اولماملرینی
olmamalı,ewlmemly,اولماملی
olmamalıdır,ewlmemlydr,اولماملیدر
olmamalıyım,ewlmemly||ym,اولماملی‌یم
olmamalıyız,ewlmemly||yro1,اولماملی‌یز
olmamanızı,ewlmemko3ro1y,اولمامڭزی
olmaması,ewlmemsy,اولمامسی
olmamasıdır,ewlmemsydr,اولمامسیدر
olmamasına,ewlmemsbo1h,اولمامسنه
olmamasından,ewlmemsbo1dbo1,اولمامسندن
olmamasını,ewlmemsbo1y,اولمامسنی
olmamasının,ewlmemsbo1ko3,اولمامسنڭ
olmamasıyla,ewlmemsylh,اولمامسیله
olmamayı,ewlmemao1y,اولمامغی
olmamağa,ewlmemao1h,اولمامغه
olmamız,ewlmemro1,اولمامز
olmamıza,ewlmemro1h,اولمامزه
olmamızı,ewlmemro1y,اولمامزی
olmamış,ewlmemso3,اولمامش
olmamışlar,ewlmemso3lr,اولمامشلر
olmamışlardır,ewlmemso3lrdr,اولمامشلردر
olmamıştı,ewlmemso3dy,اولمامشدی
olmamıştır,ewlmemso3dr,اولمامشدر
olmanı,ewlmeko3y,اولماڭی
olmanın,ewlmebo1ko3,اولمانڭ
olmanız,ewlmeko3ro1,اولماڭز
olmanızdır,ewlmeko3ro1dr,اولماڭزدر
olmanızla,ewlmeko3ro1lh,اولماڭزله
olmanızı,ewlmeko3ro1y,اولماڭزی
olmasa,ewlmesh,اولماسه
olmasalar,ewlmesh||lr,اولماسه‌لر
olmasaydı,ewlmesh eydy,اولماسه ایدی
olmasaydım,ewlmesh||ydm,اولماسه‌یدم
olmasaydın,ewlmesh||ydko3,اولماسه‌یدڭ
olmasaydınız,ewlmesh eydyko3ro1,اولماسه ایدیڭز
olması,ewlmesy,اولماسی
olmasıdır,ewlmesydr,اولماسیدر
olmasın,ewlmesybo1,اولماسین
olmasına,ewlmesbo1h,اولماسنه
olmasında,ewlmesbo1dh,اولماسنده
olmasındadır,ewlmesbo1dh||dr,اولماسنده‌در
olmasındaki,ewlmesbo1dh||ky,اولماسنده‌کی
olmasından,ewlmesbo1dbo1,اولماسندن
olmasındandır,ewlmesbo1dbo1dr,اولماسندندر
olmasınlar,ewlmesybo1lr,اولماسینلر
olmasını,ewlmesbo1y,اولماسنی
olmasının,ewlmesbo1ko3,اولماسنڭ
olmasıyla,ewlmesylh,اولماسیله
olmaya,ewlmao1h,اولمغه
olmayacak,ewlmyh||xu1fo2,اولمیه‌جق
olmayacaklar,ewlmyh||xu1fo2lr,اولمیه‌جقلر
olmayacakları,ewlmyh||xu1fo2lry,اولمیه‌جقلری
olmayacaktı,ewlmyh||xu1fo2dy,اولمیه‌جقدی
olmayacaktık,ewlmyh||xu1fo2dfo2,اولمیه‌جقدق
olmayacaktın,ewlmyh||xu1fo2dko3,اولمیه‌جقدڭ
olmayacaktır,ewlmyh||xu1fo2dr,اولمیه‌جقدر
olmayacağı,ewlmyh||xu1ao1y,اولمیه‌جغی
olmayacağına,ewlmyh||xu1ao1bo1h,اولمیه‌جغنه
olmayacağız,ewlmyh||xu1ao1ro1,اولمیه‌جغز
olmayalım,ewlmyh||lm,اولمیه‌لم
olmayan,ewlmyebo1,اولمیان
olmayana,ewlmyebo1h,اولمیانه
olmayanda,ewlmyebo1dh,اولمیانده
olmayanlar,ewlmyebo1lr,اولمیانلر
olmayanlara,ewlmyebo1lrh,اولمیانلره
olmayanlardan,ewlmyebo1lrdbo1,اولمیانلردن
olmayanları,ewlmyebo1lry,اولمیانلری
olmayanların,ewlmyebo1lrko3,اولمیانلرڭ
olmayanlarını,ewlmeyebo1lrybo1y,اولمایانلرینی
olmayanı,ewlmyebo1y,اولمیانی
olmayanın,ewlmyebo1ko3,اولمیانڭ
olmayarak,ewlmyh||rfo2,اولمیه‌رق
olmayasın,ewlmeyesko3,اولمایاسڭ
olmayayım,ewlmeyeym,اولمایایم
olmayı,ewlmeyy,اولمایی
olmayın,ewlmeyko3,اولمایڭ
olmayınca,ewlmeybo1xu1h,اولماینجه
olmayınız,ewlmeyko3ro1,اولمایڭز
olmayıp,ewlmeywbu1,اولمایوب
olmaz,ewlmero1,اولماز
olmazdan,ewlmero1dbo1,اولمازدن
olmazdı,ewlmero1dy,اولمازدی
olmazdım,ewlmero1dm,اولمازدم
olmazlar,ewlmero1lr,اولمازلر
olmazlardı,ewlmero1lrdy,اولمازلردی
olmazlarsa,ewlmero1lrsh,اولمازلرسه
olmazsa,ewlmero1sh,اولمازسه
olmazsan,ewlmero1sh||ko3,اولمازسه‌ڭ
olmazsanız,ewlmero1sh||ko3ro1,اولمازسه‌ڭز
olmazsın,ewlmero1sko3,اولمازسڭ
olmazsınız,ewlmero1sko3ro1,اولمازسڭز
olmağa,ewlmao1h,اولمغه
olmuyor,ewlmeywr,اولمایور
olmuyordu,ewlmeywrdy,اولمایوردی
olmuyorlar,ewlmeywrlr,اولمایورلر
olmuyorlardı,ewlmeywrlrdy,اولمایورلردی
olmuyorsun,ewlmeywrsko3,اولمایورسڭ
olmuyorum,ewlmeywrm,اولمایورم
olmuyoruz,ewlmeywrro1,اولمایورز
olmuş,ewlmso3,اولمش
olmuşlar,ewlmso3lr,اولمشلر
olmuşlardı,ewlmso3lrdy,اولمشلردی
olmuşlardır,ewlmso3lrdr,اولمشلردر
olmuşlarsa,ewlmso3lrsh,اولمشلرسه
olmuşsa,ewlmso3sh,اولمشسه
olmuşsun,ewlmso3sko3,اولمشسڭ
olmuştu,ewlmso3dy,اولمشدی
olmuştuk,ewlmso3dfo2,اولمشدق
olmuştular,ewlmso3dylr,اولمشدیلر
olmuştum,ewlmso3dm,اولمشدم
olmuştur,ewlmso3dr,اولمشدر
olmuşum,ewlmso3m,اولمشم
olmuşuz,ewlmso3ro1,اولمشز
olmuşçasına,ewlmso3xu1h||sbo1h,اولمشجه‌سنه
olmıyan,ewlmyebo1,اولمیان
olmıyana,ewlmyebo1h,اولمیانه
olmıyarak,ewlmyh||rfo2,اولمیه‌رق
olsa olsa,ewlsh ewlsh,اولسه اولسه
olsa olsa,ewlsh ewlsh||,اولسه اولسه‌
olsa,ewlsh,اولسه
olsak,ewlsh||fo2,اولسه‌ق
olsalar,ewlsh||lr,اولسه‌لر
olsalardı,ewlsh||lrdy,اولسه‌لردی
olsam,ewlsh||m,اولسه‌م
olsan,ewlsh||ko3,اولسه‌ڭ
olsanız,ewlsh||ko3ro1,اولسه‌ڭز
olsaydı,ewlsydy,اولسیدی
olsaydık,ewlsydfo2,اولسیدق
olsaydılar,ewlsydylr,اولسیدیلر
olsaydım,ewlsydm,اولسیدم
olsaydınız,ewlsydyko3ro1,اولسیدیڭز
olsun,ewlswbo1,اولسون
olsunlar,ewlswbo1lr,اولسونلر
olta ile balık avlamak,ewlbo2h ebu2lh bu1elfo2 ewlemfo2,اولته ايله بالق اولامق
olta ile balık avlamak,ewlbo2h eylh bu1elfo2 ewlemfo2,اولته ایله بالق اولامق
olta,ewlth,اولطه
olta,ewlth||,اولطه‌
oltu,ewlbo2y,اولتی
oluk,ewlfo2,اولق
oluk,ewlwfo2,اولوق
olun,ewlko3,اولڭ
olun,ewlwbo1,اولون
oluna,ewlwbo1h,اولونه
olunabilecektir,ewlwbo1h||bu1ylh||xu1kdr,اولونه‌بیله‌جکدر
olunabilen,ewlwbo1h||bu1ylbo1,اولونه‌بیلن
olunabilir,ewlwbo1h||bu1ylyr,اولونه‌بیلیر
olunabiliyor,ewlwbo1h||bu1ylyywr,اولونه‌بیلییور
olunabilsin,ewlwbo1h||bu1ylsybo1,اولونه‌بیلسین
olunacak,ewlwbo1h||xu1fo2,اولونه‌جق
olunacaktı,ewlwbo1h||xu1fo2dy,اولونه‌جقدی
olunacaktır,ewlwbo1h||xu1fo2dr,اولونه‌جقدر
olunacağı,ewlwbo1h||xu1ao1y,اولونه‌جغی
olunacağını,ewlwbo1h||xu1ao1bo1y,اولونه‌جغنی
olunamadığından,ewlwbo1h||mdyao1bo1dbo1,اولونه‌مدیغندن
olunamayacak,ewlwbo1h||myh||xu1fo2,اولونه‌میه‌جق
olunamayacağını,ewlwbo1h||myh||xu1ao1bo1y,اولونه‌میه‌جغنی
olunamaz,ewlwbo1emero1,اولوناماز
olunan,ewlwbo1ebo1,اولونان
olunanların,ewlwbo1ebo1lrko3,اولونانلرڭ
olunanın,ewlwbo1ebo1ko3,اولونانڭ
olunarak,ewlwbo1h||rfo2,اولونه‌رق
olunca,ewlwbo1xu1h,اولونجه
oluncaya,ewlwbo1xu1h||yh,اولونجه‌یه
olundu,ewlwbo1dy,اولوندی
olundukları,ewlwbo1dfo2lry,اولوندقلری
olunduklarını,ewlwbo1dfo2lrybo1y,اولوندقلرینی
olunduktan,ewlwbo1dfo2dbo1,اولوندقدن
olundukça,ewlwbo1dfo2xu1h,اولوندقجه
olundular,ewlwbo1dylr,اولوندیلر
olundum,ewlwbo1dm,اولوندم
olunduğu,ewlwbo1dyao1y,اولوندیغی
olunduğum,ewlwbo1dyao1m,اولوندیغم
olunduğumuz,ewlwbo1dyao1mro1,اولوندیغمز
olunduğunu,ewlwbo1dyao1bo1y,اولوندیغنی
olunmadan,ewlwbo1mh||dbo1,اولونمه‌دن
olunmadı,ewlwbo1medy,اولونمادی
olunmadılar,ewlwbo1mdylr,اولونمدیلر
olunmadığı,ewlwbo1mdyao1y,اولونمدیغی
olunmadığına,ewlwbo1medyao1bo1h,اولونمادیغنه
olunmak,ewlwbo1mfo2,اولونمق
olunmakla,ewlwbo1mfo2lh,اولونمقله
olunmaklığım,ewlwbo1mfo2lao1m,اولونمقلغم
olunmakta,ewlwbo1mfo2dh,اولونمقده
olunmaktadır,ewlwbo1mfo2dh||dr,اولونمقده‌در
olunmalı,ewlwbo1mely,اولونمالی
olunmalıdır,ewlwbo1melydr,اولونمالیدر
olunmamak,ewlwbo1memfo2,اولونمامق
olunmaması,ewlwbo1memsy,اولونمامسی
olunmamış,ewlwbo1memso3,اولونمامش
olunması,ewlwbo1mesy,اولونماسی
olunmasıdır,ewlwbo1mesydr,اولونماسیدر
olunmasını,ewlwbo1mesbo1y,اولونماسنی
olunmaya,ewlwbo1myh,اولونمیه
olunmayan,ewlwbo1myebo1,اولونمیان
olunmaz,ewlwbo1mero1,اولونماز
olunmazlar,ewlwbo1mero1lr,اولونمازلر
olunmazlarsa,ewlwbo1mero1lrsh,اولونمازلرسه
olunmazsa,ewlwbo1mero1sh,اولونمازسه
olunmuyor,ewlwbo1myywr,اولونمییور
olunmuyorlar,ewlwbo1myywrlr,اولونمییورلر
olunmuş,ewlwbo1mso3,اولونمش
olunmuşlar,ewlwbo1mso3lr,اولونمشلر
olunmuşlardır,ewlwbo1mso3lrdr,اولونمشلردر
olunmuştu,ewlwbo1mso3dy,اولونمشدی
olunmuştur,ewlwbo1mso3dr,اولونمشدر
olunsa,ewlwbo1sh,اولونسه
olunsalar,ewlwbo1sh||lr,اولونسه‌لر
olunsam,ewlwbo1sh||m,اولونسه‌م
olunsun,ewlwbo1swbo1,اولونسون
olununca,ewlwbo1bo1xu1h,اولوننجه
olunup,ewlwbo1wbu1,اولونوب
olunur,ewlwbo1wr,اولونور
olunurdu,ewlwbo1wrdy,اولونوردی
olunurdum,ewlwbo1wrdm,اولونوردم
olunurken,ewlwbo1wrkbo1,اولونورکن
olunurlar,ewlwbo1wrlr,اولونورلر
olunursa,ewlwbo1wrsh,اولونورسه
olunuyor,ewlwbo1wywr,اولونویور
olunuyordu,ewlwbo1wywrdy,اولونویوردی
olunuyorlar,ewlwbo1wywrlr,اولونویورلر
olunuyorsa,ewlwbo1wywrsh,اولونویورسه
olunuyorsun,ewlwbo1wywrsko3,اولونویورسڭ
olunuyorsunuz,ewlwbo1wywrsko3ro1,اولونویورسڭز
olunuyorum,ewlwbo1wywrm,اولونویورم
olunuyoruz,ewlwbo1wywrro1,اولونویورز
olunuz,ewlko3ro1,اولڭز
olup,ewlwbu1,اولوب
oluptur,ewlwbu1dr,اولوبدر
olur,ewlwr,اولور
olurda,ewlwr dh,اولور ده
olurdu,ewlwrdy,اولوردی
olurduk,ewlwrdfo2,اولوردق
olurdular,ewlwrdylr,اولوردیلر
olurdum,ewlwrdm,اولوردم
olurdun,ewlwrdko3,اولوردڭ
olurken,ewlwrkbo1,اولورکن
olurlar,ewlwrlr,اولورلر
olurlardı,ewlwrlrdy,اولورلردی
olurlarsa,ewlwrlrsh,اولورلرسه
olursa,ewlwrsh,اولورسه
olursak,ewlwrsh||fo2,اولورسه‌ق
olursan,ewlwrsh||ko3,اولورسه‌ڭ
olursanız,ewlwrsh||ko3ro1,اولورسه‌ڭز
olursun,ewlwrsko3,اولورسڭ
olursunuz,ewlwrsko3ro1,اولورسڭز
olurum,ewlwrm,اولورم
oluruz,ewlwrro1,اولورز
oluvermek,ewlbu2wbu2rmk,اوليويرمک
