
ş,so3,ش
şamatalı,so3mebo2h lw,شماته لو
şamdan,so3emdebo1,شامدان
şamdan,so3madebo1,شمعدان
şamdancı,so3emdebo1xu1y,شامدانجی
şame,so3emh||,شامه‌
şamfıstığı,so3em fo1sbo2bu2ao1y,شام فستيغی
şamfıstığı,so3em fo1sbo2yao1y,شام فستیغی
şamgah,so3emko7eh||,شامگاه‌
şami,so3emy,شامی
şamih,so3emxo1,شامخ
şamil olmak,so3eml ew,شامل او
şamil,so3eml,شامل
şamil,so3o4emu4lo0,شَامِلْ
şamildir,so3emldr,شاملدر
şamile,so3emlh,شامله
şamilesiyle,so3emlh||sylh,شامله‌سیله
şamiye'deki,so3emyh||dh||ky,شامیه‌ده‌کی
şamiye'den,so3emyh||dbo1,شامیه‌دن
şamiye'nin,so3emyh||bo1ko3,شامیه‌نڭ
şamiye,so3emyh,شامیه
şamişi,so3em ebu2so3y,شام ايشی
şamişi,so3em eyso3y,شام ایشی
şami̇l,so3o4emu4lo0,شَامِلْ
şamlı,so3emly,شاملی
şamme,so3emh||,شامه‌
şampanya,so3embu3ebo1bu2e,شامپانيا
şampanya,so3embu3ebo1ye,شامپانیا
şamşekeri,so3em so3kry,شام شکری
şan,so3ebo1,شان
şan-ı,so3ebo1u4,شانِ
şandır,so3ebo1dr,شاندر
şane,so3ebo1h||,شانه‌
şanlar,so3ebo1lr,شانلر
şanları,so3ebo1lry,شانلری
şanlarından,so3ebo1lrbo1dbo1,شانلرندن
şanlarını,so3ebo1lrybo1y,شانلرینی
şanlı,so3ebo1ly,شانلی
şans,so3ebo1s,شانس
şanslı,so3ebo1sly,شانسلی
şanssız,so3ebo1sro1,شانسز
şanssızlık,so3ebo1ro1lfo2,شانزلق
şansız,so3ebo1sro1,شانسز
şantaj,so3ebo1bo2ero3,شانتاژ
şantöz,so3ebo1bo2wro1,شانتوز
şanı,so3ebo1y,شانی
şanına,so3ebo1bo1h,شاننه
şanında,so3ebo1bo1dh,شاننده
şanından,so3ebo1bo1dbo1,شانندن
şanındandır,so3ebo1bo1dbo1dr,شانندندر
şanını,so3ebo1bo1y,شاننی
şap,so3ebu1,شاب
şap,so3ebu3,شاپ
şapdenizi,so3ebu3 dlo5o3ro1y,شاپ دكزی
şape,so3ebu3h,شاپه
şaphane,so3ebu3xo1ebo1h||,شاپخانه‌
şaphâne,so3ebu3xo1ebo1h,شاپخانه
şapilleti,so3ebu3 albo2y,شاپ علتی
şapka,so3ebu3fo2h,شاپقه
şapka,so3ebu3fo2h||,شاپقه‌
şapkacı,so3ebu3fo2h<>xu1y,شاپقه‌جی
şapkacı,so3ebu3fo2h||xu1y,شاپقه‌جی
şapkalar,so3ebu3fo2h||lr,شاپقه‌لر
şapkaların,so3ebu3fo2h||lrko3,شاپقه‌لرڭ
şapkalı,so3ebu3fo2h<>ly,شاپقه‌لی
şapkalı,so3ebu3fo2h||ly,شاپقه‌لی
şapkanın,so3ebu3fo2h||bo1ko3,شاپقه‌نڭ
şapkasını,so3ebu3fo2h||sbo1y,شاپقه‌سنی
şapkayı,so3ebu3fo2h||yy,شاپقه‌یی
şapla,so3ebu3le,شاپلا
şaplak,so3ebu3lefo2,شاپلاق
şaplamak,so3ebu3lemfo2,شاپلامق
şaplat,so3ebu3lebo2,شاپلات
şaplatmak,so3ebu3lebo2mfo2,شاپلاتمق
şapoğrafla,so3ebu3wao1refo1lh,شاپوغرافله
şapırda,so3ebu3yrde,شاپیردا
şapırdamak,so3ebu3bu2rdemfo2,شاپيردامق
şapırdamak,so3ebu3yrdemfo2,شاپیردامق
şapırdat,so3ebu3yrdebo2,شاپیردات
şapırdatmak,so3ebu3bu2rdebo2mfo2,شاپيرداتمق
şapırdatmak,so3ebu3yrdebo2mfo2,شاپیرداتمق
şapırtı,so3ebu3bu2rdy,شاپيردی
şapırtı,so3ebu3yrdy,شاپیردی
şapırşapır,so3ebu3bu2rso3ebu3bu2r,شاپيرشاپير
şapırşapır,so3ebu3yrso3ebu3yr,شاپیرشاپیر
şapşal,so3ebu3<>so3el,شاپ‌شال
şapşal,so3ebu3||so3el,شاپ‌شال
şapşap,so3ebu3<>so3ebu3,شاپ‌شاپ
şapşap,so3ebu3||so3ebu3,شاپ‌شاپ
şar,so3er,شار
şarab,so3rebu1,شراب
şarab-ı,so3rebu1u4,شرابِ
şarabdan,so3rebu1dbo1,شرابدن
şarabi,so3rebu1y,شرابی
şarablar,so3rebu1lr,شرابلر
şarabı,so3rebu1y,شرابی
şarabın,so3rebu1ko3,شرابڭ
şarabıyla,so3rebu1ylh,شرابیله
şarampo,so3rembu3w,شرامپو
şarampol,so3erebo1bu3wl,شارانپول
şaranpo,so3rebo1bu3w,شرانپو
şaranî,so3arebo1y,شعرانی
şarap,so3rebu1,شراب
şarap,so3rebu3,شراپ
şaraphane,so3rebu3xo1ebo1h||,شراپخانه‌
şaraphâne,so3rebu3xo1ebo1h,شراپخانه
şarapnel,so3rebu3bo1l,شراپنل
şarapçı,so3rebu3xu1y,شراپجی
şarapçılık,so3rebu3xu1bu2lfo2,شراپجيلق
şarapçılık,so3rebu3xu1ylfo2,شراپجیلق
şarbon,so3erbu1wbo1,شاربون
şari',so3era,شارع
şari,so3era,شارع
şaribülleyli vennehar,so3erbu1 ellyl welbo1her,شارب اللیل والنهار
şarih,so3erx,شارح
şarihi,so3erxy,شارحی
şarik,so3o4eru4fo2o0,شَارِقْ
şariyye,so3arbu2h,شعريه
şariyye,so3aryh||,شعریه‌
şari’,so3era,شارع
şark'ta,so3rfo2dh,شرقده
şark'ın,so3rfo2ko3,شرقڭ
şark,so3o4ro0fo2o0,شَرْقْ
şark,so3rfo2,شرق
şark-i şimâlî,so3o4ro0fo2u4 so3u4mo4elbu2,شَرْقِ شِمَالي
şark-i şi̇mali̇,so3o4ro0fo2u4 so3u4mo4ely,شَرْقِ شِمَالی
şark-ı şimali,so3o4ro0fo2u4 so3u4mo4ely,شَرْقِ شِمَالی
şark-ı şimâlî,so3o4ro0fo2u4 so3u4mo4elbu2,شَرْقِ شِمَالي
şark-ı,so3rfo2u4,شرقِ
şarka,so3rfo2h,شرقه
şarka-garba,so3rfo2h ao1rbu1h,شرقه غربه
şarkan,so3rfo2e,شرقا
şarkan,so3rfo2eo44,شرقاً
şarkdaki,so3rfo2dh||ky,شرقده‌کی
şarki karaağaç,so3rfo2y fo2rh<>eo6ao1exu1,شرقی قره‌آغاج
şarki,so3rfo2y,شرقی
şarkiyat,so3rfo2bu2ebo2,شرقيات
şarkiyat,so3rfo2yebo2,شرقیات
şarkiye,so3rfo2yh,شرقیه
şarkiyedekilere,so3rfo2yh||dh||kylrh,شرقیه‌ده‌کیلره
şarkiyenin,so3rfo2yh||bo1ko3,شرقیه‌نڭ
şarkiyyun,so3rfo2ywbo1,شرقیون
şarkiyyûn,so3rfo2bu2wbo1,شرقيون
şarkla,so3rfo2lh,شرقله
şarklılar,so3rfo2lylr,شرقلیلر
şarklılara,so3rfo2lylrh,شرقلیلره
şarklılardır,so3rfo2lylrdr,شرقلیلردر
şarklıyı,so3rfo2ly||yy,شرقلی‌یی
şarkta,so3rfo2dh,شرقده
şarktaki,so3rfo2dh||ky,شرقده‌کی
şarktan,so3rfo2dbo1,شرقدن
şarkî'den,so3rfo2ydbo1,شرقیدن
şarkî,so3rfo2y,شرقی
şarkîde,so3rfo2ydh,شرقیده
şarköy,so3erkwy,شارکوی
şarkı,so3rfo2y,شرقی
şarkıcı,so3rfo2bu2xu1y,شرقيجی
şarkıcı,so3rfo2yxu1y,شرقیجی
şarkıları,so3rfo2ylry,شرقیلری
şarkın,so3rfo2ko3,شرقڭ
şarkında,so3rfo2bo1dh,شرقنده
şarkısı,so3rfo2ysy,شرقیسی
şarkıye,so3rfo2yh,شرقیه
şarkıye-i,so3rfo2yhu4,شرقیهِ
şarkıyede,so3rfo2yh||dh,شرقیه‌ده
şarkıyeden,so3rfo2yh||dbo1,شرقیه‌دن
şarkıyenin,so3rfo2yh||bo1ko3,شرقیه‌نڭ
şarkıyeye,so3rfo2yh||yh,شرقیه‌یه
şarkıyeyi,so3rfo2yh||yy,شرقیه‌یی
şarkışla,so3erfo2yso3lh||,شارقیشله‌
şarlatan,so3erlebo2ebo1,شارلاتان
şarlatan,so3o4ero0lo4ebo2o4ebo1o0,شَارْلَاتَانْ
şarlatanlar,so3erlebo2ebo1lr,شارلاتانلر
şarlatanları,so3erlebo2ebo1lry,شارلاتانلری
şarlatanların,so3erlebo2ebo1lrko3,شارلاتانلرڭ
şarlatanlık,so3erlebo2ebo1lfo2,شارلاتانلق
şarlatanlığına,so3erlebo2ebo1lao1bo1h,شارلاتانلغنه
şart şurut bağlamak,so3rt so3rwt bu1eao1lemfo2,شرط شروط باغلامق
şart şurût bağlamak,so3rt so3rwt bu1eao1lemfo2,شرط شروط باغلامق
şart,so3rt,شرط
şart-ı,so3rtu4,شرطِ
şarta,so3rth,شرطه
şartet,so3rt eybo2,شرط ایت
şartetmek,so3rt ebu2bo2mk,شرط ايتمک
şartetmek,so3rt eybo2mk,شرط ایتمک
şartiye,so3rtyh,شرطیه
şartiyeden,so3rtyh||dbo1,شرطیه‌دن
şartiyenin,so3rtyh||bo1ko3,شرطیه‌نڭ
şartiyle,so3rtylh,شرطیله
şartiyyet,so3rtbu2bo2,شرطيت
şartiyyet,so3rtybo2,شرطیت
şartla,so3rtle,شرطلا
şartla,so3rtlh,شرطله
şartlamak,so3rtlemfo2,شرطلامق
şartlar,so3rtlr,شرطلر
şartlara,so3rtlrh,شرطلره
şartlardır,so3rtlrdr,شرطلردر
şartlarla,so3rtlrlh,شرطلرله
şartları,so3rtlry,شرطلری
şartların,so3rtlrko3,شرطلرڭ
şartlarına,so3rtlrybo1h,شرطلرینه
şartlarını,so3rtlrybo1y,شرطلرینی
şartlarının,so3rtlrybo1ko3,شرطلرینڭ
şartlarıyla,so3rtlrylh,شرطلریله
şartlaş,so3rtleso3,شرطلاش
şartlaşmak,so3rtleso3mfo2,شرطلاشمق
şartlı,so3rtly,شرطلی
şartname,so3rt bo1emh||,شرط نامه‌
şartname,so3rtbo1emh||,شرطنامه‌
şartnâme,so3rt bo1emh,شرط نامه
şartnâme,so3rtbo1emh,شرطنامه
şartsız teslim olmak,so3rtsro1 bo2slym ew,شرطسز تسلیم او
şartsız teslîm olmak,so3rtsro1 bo2slbu2m ew,شرطسز تسليم او
şartsız,so3rtsro1,شرطسز
şarttır,so3rtdr,شرطدر
şartı,so3rty,شرطی
şartıdır,so3rtydr,شرطیدر
şartıma,so3rtmh,شرطمه
şartımız,so3rtmro1,شرطمز
şartın,so3rtko3,شرطڭ
şartını,so3rtbo1y,شرطنی
şartıyla,so3rtbu2lh,شرطيله
şartıyla,so3rtylh,شرطیله
şartıyla,so3rtylh||,شرطیله‌
şarâb,so3rebu1,شراب
şarâbî,so3rebu1y,شرابی
şarık,so3erfo2,شارق
şarık,so3o4eru4fo2o0,شَارِقْ
şarık,so3refo2,شراق
şarılda,so3erylde,شاریلدا
şarıldamak,so3erbu2ldemfo2,شاريلدامق
şarıldamak,so3eryldemfo2,شاریلدامق
şarıltı,so3erbu2lbo2y,شاريلتی
şarıltı,so3erylbo2y,شاریلتی
şarılşarıl,so3erbu2l||so3erbu2l,شاريل‌شاريل
şarılşarıl,so3eryl<>so3eryl,شاریل‌شاریل
şarşar,so3erso3er,شارشار
şast,so3sbo2,شست
şast,so3zbo2,شصت
şatafat,so3tfo1ebo2,شطفات
şatafatlı,so3tfo1h<>bo2ly,شطفه‌تلی
şatafatlı,so3tfo1h||bo2ly,شطفه‌تلی
şatafât,so3tfo1ebo2,شطفات
şatahat,so3txebo2,شطحات
şatahata,so3txebo2h,شطحاته
şatahatta,so3txebo2dh,شطحاتده
şatahattır,so3txebo2dr,شطحاتدر
şatahatı,so3txebo2y,شطحاتی
şatahatın,so3txebo2ko3,شطحاتڭ
şatahatını,so3txebo2bo1y,شطحاتنی
şatahatıyla,so3txebo2ylh,شطحاتیله
şatahiyat,so3txyebo2,شطحیات
şatahiyatı,so3txyebo2y,شطحیاتی
şathiyyat,so3txbu2ebo2,شطحيات
şathiyyat,so3txyebo2,شطحیات
şato,so3ebo2w,شاتو
şatranc,so3trbo1xu1,شطرنج
şatt,so3t,شط
şatır,so3etr,شاطر
şavk,so3wfo2,شوق
şavklı,so3wfo2ly,شوقلی
şavkınıza,so3wfo2ko3ro1h,شوقڭزه
şavkıyla,so3wfo2ylh,شوقیله
şavşat,so3ewso3ebo2,شاوشات
şayak,so3ebu2efo2,شاياق
şayak,so3eyefo2,شایاق
şayan olmak,so3eyebo1 ew,شایان او
şayan,so3eyebo1,شایان
şayan,so3o4eyo4ebo1o0,شَایَانْ
şayan-i esef,so3o4eyo4ebo1u4 eo4so4fo1o0,شَایَانِ اَسَفْ
şayan-i hayret,so3o4eyo4ebo1u4 xo4yo0ro4bo2o0,شَایَانِ حَیْرَتْ
şayan-i temaşa,so3o4eyo4ebo1u4 bo2o4mo4eso3o4e,شَایَانِ تَمَاشَا
şayan-i şükran,so3o4eyo4ebo1u4 so3o9ko0ro4ebo1o0,شَایَانِ شُکْرَانْ
şayan-ı esef,so3o4eyo4ebo1u4 eo4so4fo1o0,شَایَانِ اَسَفْ
şayan-ı hayret,so3o4eyo4ebo1u4 xo4yo0ro4bo2o0,شَایَانِ حَیْرَتْ
şayan-ı tahsin,so3eyebo1 bo2xsybo1,شایان تحسین
şayan-ı temaşa,so3o4eyo4ebo1u4 bo2o4mo4eso3o4e,شَایَانِ تَمَاشَا
şayan-ı şükran,so3o4eyo4ebo1u4 so3o9ko0ro4ebo1o0,شَایَانِ شُکْرَانْ
şayed,so3eyd,شاید
şayeste olmak,so3eysbo2h ew,شایسته او
şayeste,so3eysbo2h,شایسته
şayeste,so3eysbo2h||,شایسته‌
şayeste,so3o4eyo4so0bo2o4h||,شَایَسْتَه‌
şayestegi,so3eysbo2ko7y,شایستگی
şayet ki,so3eyd kh||,شاید که‌
şayet,so3eyd,شاید
şaygan,so3eyko7ebo1,شایگان
şayi',so3eya,شایع
şayi,so3eya,شایع
şayia,so3eyah||,شایعه‌
şayiadır,so3eyah||dr,شایعه‌در
şayialara,so3eyah||lrh,شایعه‌لره
şayiasını,so3eyah||sbo1y,شایعه‌سنی
şayi’,so3eya,شایع
şayân-i esef,so3o4ebu2o4ebo1u4 eo4so4fo1o0,شَايَانِ اَسَفْ
şayân-ı esef,so3o4ebu2o4ebo1u4 eo4so4fo1o0,شَايَانِ اَسَفْ
şaz,so3ed,شاد
şaz,so3edo1,شاذ
şaz,so3o4edo1o0,شَاذْ
şazelî,so3edo1ly,شاذلی
şazz,so3edo1,شاذ
şaîr,so3abu2r,شعير
şaş,so3eso3,شاش
şaşaa,so3aso3ah,شعشعه
şaşaa-i,so3aso3ahu4,شعشعهِ
şaşaa-paş,so3aso3ah||bu3eso3,شعشعه‌پاش
şaşaalandırarak,so3aso3ah||lebo1dyrh||rfo2,شعشعه‌لاندیره‌رق
şaşaalandırmak,so3aso3ah||lebo1dyrmfo2,شعشعه‌لاندیرمق
şaşaalandırmamağa,so3aso3ah||lebo1dyrmemao1h,شعشعه‌لاندیرمامغه
şaşaalandığı,so3aso3ah||lebo1dyao1y,شعشعه‌لاندیغی
şaşaalarla,so3aso3ah||lrlh,شعشعه‌لرله
şaşaalı,so3aso3ah||ly,شعشعه‌لی
şaşaalıdır,so3aso3ah||lydr,شعشعه‌لیدر
şaşaanisar,so3aso3ah||bo1bo3er,شعشعه‌نثار
şaşaasını,so3aso3ah||sbo1y,شعشعه‌سنی
şaşaasıyla,so3aso3ah||sylh,شعشعه‌سیله
şaşaasız,so3aso3ah||sro1,شعشعه‌سز
şaşakalmak,so3eso3h fo2elmfo2,شاشه قالمق
şaşakalmış,so3eso3h fo2elmso3,شاشه قالمش
şaşanlar,so3eso3ebo1lr,شاشانلر
şaşarım,so3eso3erm,شاشارم
şaşkın bakışı,so3eso3fo2bu2bo1 bu1efo2so3y,شاشقين باقشی
şaşkın bakışı,so3eso3fo2ybo1 bu1efo2so3y,شاشقین باقشی
şaşkın,so3eso3fo2bu2bo1,شاشقين
şaşkın,so3eso3fo2ybo1,شاشقین
şaşkınlık,so3eso3fo2bu2bo1lfo2,شاشقينلق
şaşkınlık,so3eso3fo2ybo1lfo2,شاشقینلق
şaşkınlıklarına,so3eso3fo2ybo1lfo2lrybo1h,شاشقینلقلرینه
şaşkınlıklarından,so3eso3fo2ybo1lfo2lrbo1dbo1,شاشقینلقلرندن
şaşkınlıktan,so3eso3fo2ybo1lfo2dbo1,شاشقینلقدن
şaşkınlığıyla,so3eso3fo2ybo1lao1ylh,شاشقینلغیله
şaşma,so3eso3mh,شاشمه
şaşma,so3eso3mh||,شاشمه‌
şaşmak,so3eso3mfo2,شاشمق
şaşmam,so3eso3mem,شاشمام
şaşmayarak,so3eso3mbu2h rfo2,شاشميه رق
şaşmayarak,so3eso3myh rfo2,شاشمیه رق
şaştım,so3eso3dm,شاشدم
şaşı olmak,so3eso3y ew,شاشی او
şaşı,so3eso3y,شاشی
şaşılacak,so3eso3lh xu1fo2,شاشله جق
şaşılık,so3eso3bu2lfo2,شاشيلق
şaşılık,so3eso3ylfo2,شاشیلق
şaşır,so3eso3yr,شاشیر
şaşıracağı,so3eso3yrexu1ao1y,شاشیراجغی
şaşıran,so3eso3yrebo1,شاشیران
şaşıranlara,so3eso3yrebo1lrh,شاشیرانلره
şaşırdığı,so3eso3yrdyao1y,شاشیردیغی
şaşırma,so3eso3bu2rmh,شاشيرمه
şaşırma,so3eso3yrmh||,شاشیرمه‌
şaşırmadan,so3eso3yrmedbo1,شاشیرمادن
şaşırmak,so3eso3bu2rmfo2,شاشيرمق
şaşırmak,so3eso3rmfo2,شاشرمق
şaşırmak,so3eso3yrmfo2,شاشیرمق
şaşırmakla,so3eso3yrmfo2lh,شاشیرمقله
şaşırmaları,so3eso3yrmh||lry,شاشیرمه‌لری
şaşırmayan,so3eso3yrmeyebo1,شاشیرمایان
şaşırmayarak,so3eso3yrmyh||rfo2,شاشیرمیه‌رق
şaşırmaz,so3eso3yrmero1,شاشیرماز
şaşırmıyarak,so3eso3yrmeyerfo2,شاشیرمایارق
şaşırmıyor,so3eso3yrmyywr,شاشیرمییور
şaşırmıyorlar,so3eso3yrmyywrlr,شاشیرمییورلر
şaşırmış,so3eso3yrmso3,شاشیرمش
şaşırsa,so3eso3yrsh,شاشیرسه
şaşırtacak,so3eso3rbo2h||xu1fo2,شاشرته‌جق
şaşırtan,so3eso3yrbo2ebo1,شاشیرتان
şaşırtma,so3eso3bu2rbo2mh,شاشيرتمه
şaşırtma,so3eso3rbo2mh,شاشرتمه
şaşırtma,so3eso3rbo2mh||,شاشرتمه‌
şaşırtma,so3eso3yrbo2me,شاشیرتما
şaşırtma,so3eso3yrbo2mh||,شاشیرتمه‌
şaşırtmak,so3eso3rbo2mfo2,شاشرتمق
şaşırtmak,so3eso3yrbo2mfo2,شاشیرتمق
şaşırtmaktan,so3eso3yrbo2mfo2dbo1,شاشیرتمقدن
şaşırtmamış,so3eso3yrbo2memso3,شاشیرتمامش
şaşırtmasın,so3eso3yrbo2mesybo1,شاشیرتماسین
şaşırtmasınlar,so3eso3yrbo2mesybo1lr,شاشیرتماسینلر
şaşırtmayacak,so3eso3yrbo2myh||xu1fo2,شاشیرتمیه‌جق
şaşırtmaz,so3eso3yrbo2mero1,شاشیرتماز
şaşırtmış,so3eso3yrbo2mso3,شاشیرتمش
şaşırtsa,so3eso3yrbo2sh,شاشیرتسه
şaşırttı,so3eso3yrbo2dy,شاشیرتدی
şaşırttılar,so3eso3yrbo2dylr,شاشیرتدیلر
şaşırtıcı,so3eso3yrbo2yxu1y,شاشیرتیجی
şaşırtıp,so3eso3yrbo2wbu1,شاشیرتوب
şaşırtır,so3eso3yrbo2yr,شاشیرتیر
şaşırtırsın,so3eso3yrbo2yrsko3,شاشیرتیرسڭ
şaşırıyor,so3eso3yryywr,شاشیرییور
şaşırıyorum,so3eso3yryywrm,شاشیرییورم
şa’r,so3ar,شعر
şa’ri,so3ary,شعری
şa’riyye,so3aryh||,شعریه‌
şa’şa,so3aso3ah,شعشعه
şa’şa,so3aso3ah||,شعشعه‌
şa’şaa,so3aso3ah,شعشعه
şa’şaa,so3aso3ah||,شعشعه‌
şa’şaalandır,so3aso3ah<>lebo1dyr,شعشعه‌لاندیر
şa’şaalandırmak,so3aso3ah<>lebo1dyrmfo2,شعشعه‌لاندیرمق
şa’şaalandırmak,so3aso3ah||lebo1dbu2rmfo2,شعشعه‌لانديرمق
şa’şaalı,so3aso3ah<>ly,شعشعه‌لی
şa’şaalı,so3aso3ah||ly,شعشعه‌لی
şa’şalandır,so3aso3ah<>lebo1dyr,شعشعه‌لاندیر
şa’şalandırmak,so3aso3ah<>lebo1dyrmfo2,شعشعه‌لاندیرمق
şa’şalandırmak,so3aso3ah||lebo1dbu2rmfo2,شعشعه‌لانديرمق
şa’şalı,so3aso3ah<>ly,شعشعه‌لی
şa’şalı,so3aso3ah||ly,شعشعه‌لی
şa’şa’a,so3aso3ah||,شعشعه‌
şa’şa’adar,so3aso3ah der,شعشعه دار
şe'amet,so3bo5embo2,شئامت
şe'inleri,so3yo5bo1lry,شئنلری
şe'inlerine,so3yo5bo1lryko3h,شئنلریڭه
şe'n,so3eo5bo1,شأن
şe'n,so3o4eo5o0bo1o0,شَأْنْ
şe'n-i zati,so3o4eo5o0bo1u4 do1o4ebo2u4y,شَأْنِ ذَاتِی
şe'n-i zâtî,so3o4eo5o0bo1u4 do1o4ebo2u4bu2,شَأْنِ ذَاتِي
şe'n-i,so3eo5bo1u4,شأنِ
şe'n-i̇ zati̇,so3o4eo5o0bo1u4 do1o4ebo2u4y,شَأْنِ ذَاتِی
şe'nde,so3eo5bo1dh,شأنده
şe'ne,so3eo5bo1h,شأنه
şe'ni,so3eo5bo1y,شأنی
şe'nidir,so3eo5bo1ydr,شأنیدر
şe'nin,so3eo5bo1ko3,شأنڭ
şe'ninde,so3eo5bo1bo1dh,شأننده
şe'ninden,so3eo5bo1bo1dbo1,شأنندن
şe'nindendir,so3eo5bo1bo1dbo1dr,شأنندندر
şe'nindir,so3eo5bo1ko3dr,شأنڭدر
şe'nine,so3eo5bo1bo1h,شأننه
şe'nini,so3eo5bo1bo1y,شأننی
şe'niyet,so3eo5bo1bu2bo2,شأنيت
şe'niyet,so3eo5bo1ybo2,شأنیت
şe'nler,so3eo5bo1lr,شأنلر
şe'nleri,so3eo5bo1lry,شأنلری
şe'nleridir,so3eo5bo1lrydr,شأنلریدر
şe'nlerin,so3eo5bo1lrko3,شأنلرڭ
şe'nlerindendir,so3eo5bo1lrbo1dbo1dr,شأنلرندندر
şe'nlerine,so3eo5bo1lryko3h,شأنلریڭه
şe'nlerini,so3eo5bo1lrybo1y,شأنلرینی
şe'âmet,so3bo5embo2,شئامت
şeair,so3aebo5r,شعائر
şeair,so3aeyo5r,شعائر
şeair-i,so3aeyo5ru4,شعائرِ
şeairde,so3aeyo5rdh,شعائرده
şeairden,so3aeyo5rdbo1,شعائردن
şeaire,so3aeyo5rh,شعائره
şeairi,so3aeyo5ry,شعائری
şeairidir,so3aeyo5rydr,شعائریدر
şeairin,so3aeyo5rko3,شعائرڭ
şeairine,so3aeyo5rybo1h,شعائرینه
şeairini,so3aeyo5rybo1y,شعائرینی
şeairinin,so3aeyo5rybo1ko3,شعائرینڭ
şeairiyle,so3aeyo5rylh,شعائریله
şeairler,so3aeyo5rlr,شعائرلر
şeairleri,so3aeyo5rlry,شعائرلری
şeairlerin,so3aeyo5rlrko3,شعائرلرڭ
şeairlerinden,so3aeyo5rlrbo1dbo1,شعائرلرندن
şeai̇r,so3aebo5r,شعائر
şeamet,so3bo5embo2,شئامت
şeamet,so3eo6mbo2,شآمت
şeamet,so3o4bo5o4emo4bo2o0,شَئَامَتْ
şeamet,so3yo5embo2,شئامت
şeametin,so3yo5eo6mbo2ko3,شئآمتڭ
şeametinle,so3yo5eo6mbo2ko3lh,شئآمتڭله
şeametleridir,so3yo5eo6mbo2lrydr,شئآمتلریدر
şeametli,so3bo5embo2lw,شئامتلو
şeametli,so3bo5embo2ly,شئامتلی
şeametli,so3yo5eo6mbo2ly,شئآمتلی
şeametlidir,so3yo5eo6mbo2lydr,شئآمتلیدر
şeb -i arus,so3bu1 arws,شب عروس
şeb -i yelda,so3bu1 ylde,شب یلدا
şeb,so3bu1,شب
şeb-i arus,so3bu1  arws,شب  عروس
şeb-i arûs,so3bu1  arws,شب  عروس
şeb-i yelda,so3bu1 ylde,شب یلدا
şeb-i yeldâ,so3bu1 ylde,شب یلدا
şeb-i,so3bu1u4,شبِ
şeb-i̇ arus,so3bu1  arws,شب  عروس
şeb-i̇ yelda,so3bu1 ylde,شب یلدا
şebab,so3bu1ebu1,شباب
şebaba,so3bu1ebu1h,شبابه
şebabanelerine,so3bu1ebu1ebo1h||lrybo1h,شبابانه‌لرینه
şebabet,so3bu1ebu1bo2,شبابت
şebabeti,so3bu1ebu1bo2y,شبابتی
şebabetidir,so3bu1ebu1bo2ydr,شبابتیدر
şebabetinden,so3bu1ebu1bo2bo1dbo1,شبابتندن
şebabetiyle,so3bu1ebu1bo2ylh,شبابتیله
şebabiyet,so3bu1ebu1ybo2,شبابیت
şebabiyetini,so3bu1ebu1ybo2bo1y,شبابیتنی
şebabîden,so3bu1ebu1ydbo1,شبابیدن
şebahet,so3bu1ehbo2,شباهت
şeban,so3bu1ebo1,شبان
şebangah,so3bu1ebo1ko7eh||,شبانگاه‌
şebangâh,so3bu1ebo1ko7eh,شبانگاه
şebaviz,so3bu1ewyro1,شباویز
şebboy,so3bu1bu1wy,شببوی
şebboy,so3bu1o8wy,شبّوی
şebbuy,so3bu1 bu1wy,شب بوی
şebbûy,so3bu1 bu1wy,شب بوی
şebefruz,so3bu1 efo1rwro1,شب افروز
şebefrûz,so3bu1 efo1rwro1,شب افروز
şebek,so3bu1k,شبک
şebeke,so3bu1bu2kh,شبيکه
şebeke,so3bu1kh,شبکه
şebeke,so3bu1kh||,شبکه‌
şebeke,so3bu1ykh||,شبیکه‌
şebekesi,so3bu1kh||sy,شبکه‌سی
şebekesinin,so3bu1kh||sbo1ko3,شبکه‌سنڭ
şebgerd,so3bu1ko7rd,شبگرد
şebgir,so3bu1ko7yr,شبگیر
şebgîr,so3bu1ko7bu2r,شبگير
şebhun,so3bu1xo1wbo1,شبخون
şebhûn,so3bu1xo1wbo1,شبخون
şebih,so3bu1yh,شبیه
şebih,so3bu1yh||,شبیه‌
şebihi,so3bu1yhy,شبیهی
şebihsiz,so3bu1yhsro1,شبیهسز
şebihun,so3bu1yxo1wbo1,شبیخون
şebike,so3bu1ykh||,شبیکه‌
şebin karahisar,so3bu1yfo2 fo2rh<>xzer,شبیق قره‌حصار
şebistan,so3bu1sbo2ebo1,شبستان
şebnem,so3bu1bo1m,شبنم
şebnem,so3o4bu1o0bo1o4mo0,شَبْنَمْ
şebnem-misal,so3bu1bo1m||mbo3el,شبنم‌مثال
şebnemdir,so3bu1bo1mdr,شبنمدر
şebnemin,so3bu1bo1mko3,شبنمڭ
şebnemlerin,so3bu1bo1mlrko3,شبنملرڭ
şebpere,so3bu1 bu3rh,شب پره
şebpere,so3bu1 bu3rh||,شب پره‌
şebreng,so3bu1 rbo1ko7,شب رنگ
şebtab,so3bu1bo2ebu1,شبتاب
şebtâb,so3bu1bo2ebu1,شبتاب
şeburuz,so3bu1 w rwro1,شب و روز
şeburûz,so3bu1 w rwro1,شب و روز
şebzindedar,so3bu1 ro1bo1dh der,شب زنده دار
şebzindedâr,so3bu1 ro1bo1dh der,شب زنده دار
şebâb,so3bu1ebu1,شباب
