
v,w,و
vakur,wfo2wr,وقور
vakurane,wfo2wrebo1h||,وقورانه‌
vakurdur,wfo2wrdr,وقوردر
vakâi',wfo2ebo5a,وقائع
vakâr,wfo2er,وقار
vakâretli,wfo2erbo2lw,وقارتلو
vakâyi',wfo2eya,وقایع
vakî,wefo2y,واقی
vakûr,wfo2wr,وقور
vakûrâne,wfo2wrebo1h,وقورانه
vakĀr,wo4fo2o4ero0,وَقَارْ
vakār,wo4fo2o4ero0,وَقَارْ
vakıa mutabık,wo4efo2u4ao4h mo9to4ebu1u4fo2o0,وَاقِعَه مُطَابِقْ
vakıa,wefo2ae,واقعا
vakıa,wefo2ah,واقعه
vakıa,wefo2ah||,واقعه‌
vakıa,wo4efo2u4ao4h||,وَاقِعَه‌
vakıa-i,wefo2ahu4,واقعهِ
vakıa-yı,wefo2ahu4,واقعهِ
vakıa-ı,wefo2ahu4,واقعهِ
vakıada,wefo2ah||dh,واقعه‌ده
vakıadan,wefo2ah||dbo1,واقعه‌دن
vakıadır,wefo2ah||dr,واقعه‌در
vakıalar,wefo2ah||lr,واقعه‌لر
vakıalara,wefo2ah||lrh,واقعه‌لره
vakıalardan,wefo2ah||lrdbo1,واقعه‌لردن
vakıalarla,wefo2ah||lrlh,واقعه‌لرله
vakıaları,wefo2ah||lry,واقعه‌لری
vakıaların,wefo2ah||lrko3,واقعه‌لرڭ
vakıalarından,wefo2ah||lrbo1dbo1,واقعه‌لرندن
vakıalarını,wefo2ah||lrybo1y,واقعه‌لرینی
vakıanın,wefo2ah||bo1ko3,واقعه‌نڭ
vakıasının,wefo2ah||sbo1ko3,واقعه‌سنڭ
vakıasıyla,wefo2ah||sylh,واقعه‌سیله
vakıat,wefo2aebo2,واقعات
vakıat-ı,wefo2aebo2u4,واقعاتِ
vakıatla,wefo2aebo2lh,واقعاتله
vakıatlarına,wefo2aebo2lrybo1h,واقعاتلرینه
vakıatta,wefo2aebo2dh,واقعاتده
vakıatı,wefo2aebo2y,واقعاتی
vakıatın,wefo2aebo2ko3,واقعاتڭ
vakıaya,wefo2ah||yh,واقعه‌یه
vakıayı,wefo2ah||yy,واقعه‌یی
vakıf olmak,wefo2fo1 ew,واقف او
vakıf,wefo2fo1,واقف
vakıf,wfo2fo1,وقف
vakıf,wo4efo2u4fo1o0,وَاقِفْ
vakıf,wo4fo2u4fo1o0,وَقِفْ
vakıflarda,wfo2fo1lrdh,وقفلرده
vakıfları,wfo2fo1lry,وقفلری
vakıfta,wfo2fo1dh,وقفده
vakıftır,wfo2fo1dr,وقفدر
vak’a,wfo2ah,وقعه
vak’a,wfo2ah||,وقعه‌
vak’anüvis,wfo2ah bo1wys,وقعه نویس
vak’anüvisan,wfo2ah bo1wysebo1,وقعه نویسان
vala,wele,والا
valacah,welexu1eh||,والاجاه‌
valakadr,welefo2dr,والاقدر
vali,wely,والی
valid,weld,والد
valide sultan,weldh sltebo1,والده سلطان
valide,weldh,والده
valide,weldh||,والده‌
valide,wo4elu4do4h||,وَالِدَه‌
validelerin,weldh||lrko3,والده‌لرڭ
valideyn,weldybo1,والدین
valih,welh||,واله‌
valiler,welylr,والیلر
valilerin,welylrko3,والیلرڭ
valilerinin,welylrybo1ko3,والیلرینڭ
valilik,welylk,والیلک
valinin,welybo1ko3,والینڭ
valisi,welysy,والیسی
valisinden,welysbo1dbo1,والیسندن
valisine,welysbo1h,والیسنه
valisini,welysbo1y,والیسنی
valisinin,welysbo1ko3,والیسنڭ
valiyan,welyebo1,والیان
valiye,wely||yh,والی‌یه
valiz,welbu2ro1,واليز
valiz,welyro1,والیز
vali̇de,wo4elu4do4h||,وَالِدَه‌
vallah,weellh,واالله
vallah,wellh,والله
vallah,wellh||,والله‌
vallahi,weellhu4,وااللهِ
vallahi,wellh,والله
vallahi,wellh||,والله‌
vallahu,weellho9,وااللهُ
vals,wels,والس
vam,wem,وام
vamdar,wemder,وامدار
vamhah,wemxo1weh||,وامخواه‌
vampir,wembu3bu2r,وامپير
vampir,wembu3yr,وامپیر
van'a,webo1h,وانه
van'da,webo1dh,وانده
van'daki,webo1dh||ky,وانده‌کی
van'dan,webo1dbo1,واندن
van'lı,webo1ly,وانلی
van'ı,webo1y,وانی
van'ın,webo1ko3,وانڭ
van,webo1,وان
vandalizm,webo1delbu2ro1m,وانداليزم
vandalizm,webo1delyro1m,واندالیزم
vanilya çiçeği,webo1lbu2h xu3bu2xu3ky,وانليه چيچکی
vanilya çiçeği,webo1lyh xu3yxu3ky,وانلیه چیچکی
vanilya,webo1bu2lbu2e,وانيليا
vanilya,webo1ylye,وانیلیا
vantilatör,webo1bo2bu2lebo2wr,وانتيلاتور
vantilatör,webo1bo2ylebo2wr,وانتیلاتور
vantrolok,webo1bo2rbu2lwfo2,وانتريلوق
vantrolok,webo1bo2rylwfo2,وانتریلوق
vantuz,webo1bo2wro1,وانتوز
vapesin,webu3sybo1,واپسین
vapur arabası,webu3wro1arbu1h sy,واپوزعربه سی
vapur çarkı,webu3wrxu3rxo1y,واپورچرخی
vapur çarkının tahtası,webu3wrxu3rxo1bo1k bo2xo1bo2h sy,واپورچرخنک تخته سی
vapur,webu3wr,واپور
vapura,webu3wrh,واپوره
vapurda,webu3wrdh,واپورده
var etmek,were,وارا
var kuvvetiyle,werfo2wbo2bu2lh,وارقوتيله
var kuvvetiyle,werfo2wbo2ylh||,وارقوتیله‌
var olan,werewlebo1,واراولان
var olmak,werew,واراو
var'ı,wery,واری
var,wer,وار
varabilen,werebu1ylbo1,وارابیلن
varacaklardır,werh||xu1fo2lrdr,واره‌جقلردر
varagele,wereklh,واراکله
varagele,wereklh||,واراکله‌
varak,wrfo2,ورق
varaka'nın,wrfo2h||bo1ko3,ورقه‌نڭ
varaka,wo4ro4fo2o4h,وَرَقَه
varaka,wo4ro4fo2o4h||,وَرَقَه‌
varaka,wrfo2h,ورقه
varaka,wrfo2h||,ورقه‌
varakası,wrfo2h||sy,ورقه‌سی
varakla,wrfo2le,ورقلا
varaklamak,wrfo2lemfo2,ورقلامق
varaklı,wrfo2ly,ورقلی
varakpare,wo4ro4fo2o0||bu3o4erh,وَرَقْ‌پَاره
varakpare,wrfo2 bu3erh||,ورق پاره‌
varakpare,wrfo2bu3erh||,ورقپاره‌
varakpare-i,wrfo2||bu3erhu4,ورق‌پارهِ
varakpareyi,wrfo2||bu3erh||yy,ورق‌پاره‌یی
varakpâre,wrfo2 bu3erh,ورق پاره
varakpâre,wrfo2bu3erh,ورقپاره
varakçı,wrfo2xu1y,ورقجی
varalım,werelm,وارالم
varamadığım,weremdyao1m,وارامدیغم
varan,werebo1,واران
varda beklemek,werdh bu1klmk,وارده بکلمک
varda,werde,واردا
varda,werdh,وارده
varda,werdh||,وارده‌
vardacı,werdexu1y,وارداجی
vardacı,werdh xu1y,وارده جی
vardacılık etmek,werdh xu1bu2lfo2 e,وارده جيلق ا
vardacılık etmek,werdh xu1ylfo2 e,وارده جیلق ا
vardiya,werdbu2e,وارديا
vardiya,werdye,واردیا
vardı,werdy,واردی
vardık,werdfo2,واردق
vardıkları,werdfo2lry,واردقلری
vardım,werdm,واردم
vardır,werdr,واردر
vardır,werdyr,واردیر
vardırlar,werdrlr,واردرلر
vardırmak,werdbu2rmfo2,وارديرمق
vardırmak,werdyrmfo2,واردیرمق
vardığımda,werdyao1mdh,واردیغمده
vardığımızda,werdyao1mro1dh,واردیغمزده
vardığında,werdyao1bo1dh,واردیغنده
vareste,wersbo2h||,وارسته‌
varet,wereybo2,وارایت
varetmek,werebu2bo2mk,وارايتمک
varetmek,wereybo2mk,وارایتمک
vari,wery,واری
varid,werd,وارد
varid,wo4eru4do0,وَارِدْ
varidat,werdebo2,واردات
varidat,wo4eru4do4ebo2o0,وَارِدَاتْ
varidatı,werdebo2y,وارداتی
varide,werdh||,وارده‌
varil,werbu2l,واريل
varil,weryl,واریل
varilci,werbu2lxu1y,واريلجی
varilci,werylxu1y,واریلجی
varis olmak,werbo3 ew,وارث او
varis,werbo3,وارث
varis,wo4eru4bo3o0,وَارِثْ
varise,werbo3h||,وارثه‌
variyet,werybo2,واریت
variyetli,werybo2ly,واریتلی
variyos,werbu2ws,واريوس
variyos,weryws,واریوس
variyyet,werbu2bo2,واريت
variyyet,werybo2,واریت
variyyet,wrebu2bo2,ورايت
variyyet,wreybo2,ورایت
vari̇d,wo4eru4do0,وَارِدْ
vari̇dat,wo4eru4do4ebo2o0,وَارِدَاتْ
vari̇s,wo4eru4bo3o0,وَارِثْ
varken,werkbo1,وارکن
varlar,werlr,وارلر
varlarmış,werlrmso3,وارلرمش
varlık,werlfo2,وارلق
varlıkla,werlfo2lh,وارلقله
varlıklardan,werlfo2lrdbo1,وارلقلردن
varlıkları,werlfo2lry,وارلقلری
varlıkların,werlfo2lrko3,وارلقلرڭ
varlıklarına,werlfo2lrybo1h,وارلقلرینه
varlıklarını,werlfo2lrybo1y,وارلقلرینی
varlığa,werlao1h,وارلغه
varlığı,werlao1y,وارلغی
varlığıdır,werlao1ydr,وارلغیدر
varlığımla,werlao1mlh,وارلغمله
varlığımın,werlao1mko3,وارلغمڭ
varlığın,werlao1ko3,وارلغڭ
varlığına,werlao1bo1h,وارلغنه
varlığında,werlao1bo1dh,وارلغنده
varlığından,werlao1bo1dbo1,وارلغندن
varlığınla,werlao1ko3lh,وارلغڭله
varlığını,werlao1bo1y,وارلغنی
varlığınızla,werlao1ko3ro1lh,وارلغڭزله
varlığıyla,werlao1ylh,وارلغیله
varma,wermh,وارمه
varma,wermh||,وارمه‌
varmadı,wermedy,وارمادی
varmadım,wermedm,وارمادم
varmadınız,wermdyko3ro1,وارمدیڭز
varmak,wermfo2,وارمق
varmamak,wermh||mfo2,وارمه‌مق
varmaması,wermh||msy,وارمه‌مسی
varmasın,wermh||sybo1,وارمه‌سین
varmağa,wermao1h,وارمغه
varmış,wermso3,وارمش
varmışlar,wermso3lr,وارمشلر
varmışlardı,wermso3lrdy,وارمشلردی
varmışlardır,wermso3lrdr,وارمشلردر
varmışsa,wermso3sh,وارمشسه
varmıştık,wermso3dfo2,وارمشدق
varmıştır,wermso3dr,وارمشدر
varol,werewl,واراول
varolmak,werewlmfo2,واراولمق
varoş,werwso3,واروش
varsa,wersh,وارسه
varsın,wersko3,وارسڭ
varsınlar,wersybo1lr,وارسینلر
varsınız,wersko3ro1,وارسڭز
varta,werth,وارطه
varta,werth||,وارطه‌
varta,wo4ro0to4h,وَرْطَه
varta,wo4ro0to4h||,وَرْطَه‌
varta,wrth,ورطه
varta,wrth||,ورطه‌
varta-i,wrthu4,ورطهِ
varta-yı,wrth||yu4,ورطه‌یِ
vartadan,wrth||dbo1,ورطه‌دن
vartadır,wrth||dr,ورطه‌در
vartakis,wrtks,ورطکس
vartalara,wrth||lrh,ورطه‌لره
vartalardan,wrth||lrdbo1,ورطه‌لردن
vartaları,wrth||lry,ورطه‌لری
vartalarına,wrth||lrybo1h,ورطه‌لرینه
vartalarını,wrth||lrybo1y,ورطه‌لرینی
vartanın,wrth||bo1ko3,ورطه‌نڭ
vartası,wrth||sy,ورطه‌سی
vartasına,wrth||sbo1h,ورطه‌سنه
vartasından,wrth||sbo1dbo1,ورطه‌سندن
vartasını,wrth||sbo1y,ورطه‌سنی
vartaya,wrth||yh,ورطه‌یه
vartayı,wrth||yy,ورطه‌یی
varto,wertw,وارطو
varun,werwbo1,وارون
varune,werwbo1h||,وارونه‌
varuş,werwso3,واروش
varîd,werd,وارد
varûş,werwso3,واروش
varı,wery,واری
varıl,weryl,واریل
varılarak,werylerfo2,واریلارق
varıldı,weryldy,واریلدی
varılmak,werbu2lmfo2,واريلمق
varılmak,werylmfo2,واریلمق
varılmasın,werylmesybo1,واریلماسین
varılmış,werylmso3,واریلمش
varılmıştır,werylmso3dr,واریلمشدر
varılıyor,werylyywr,واریلییور
varım,werm,وارم
varıncaya,werbo1xu1h||yh,وارنجه‌یه
varını,weryko3y,واریڭی
varıp,werwbu1,واروب
varır,werr,وارر
varıyete,werbu2h||bo2h,واريه‌ته
varıyete,weryh<>bo2h||,واریه‌ته‌
varıyordu,weryywrdy,وارییوردی
varıyorlar,weryywrlr,وارییورلر
varış,werbu2so3,واريش
varış,werso3,وارش
varış,weryso3,واریش
varışlı,werbu2so3ly,واريشلی
varışlı,weryso3ly,واریشلی
varışmak,werbu2so3mfo2,واريشمق
varışmak,weryso3mfo2,واریشمق
varşova'ya,werso3wweyh,وارشووایه
varşova,werso3wwe,وارشووا
vas'i,wesa,واسع
vasat,wo4so4t,وَسَط
vasat,wst,وسط
vasati,wsty,وسطی
vasattır,wstdr,وسطدر
vasatî,wo4so4ty,وَسَطی
vasatî,wsty,وسطی
vasatı,wsty,وسطی
vasatında,wstbo1dh,وسطنده
vasatındaki,wstbo1dh||ky,وسطنده‌کی
vasf,wzfo1,وصف
vasf-ı,wzfo1u4,وصفِ
vasfa,wzfo1h,وصفه
vasfet,wzfo1 eybo2,وصف ایت
vasfetsen,wzfo1 eybo2sh||ko3,وصف ایتسه‌ڭ
vasfettiği,wzfo1 eybo2dyko7y,وصف ایتدیگی
vasfeylemek,wzfo1 eo5ylh||mk,وصف أیله‌مک
vasfeyleyemez,wzfo1 eo5ylh||yh||mro1,وصف أیله‌یه‌مز
vasfiyet-i,wzfo1ybo2u4,وصفیتِ
vasfı,wzfo1y,وصفی
vasfın,wzfo1ko3,وصفڭ
vasfına,wzfo1bo1h,وصفنه
vasfında,wzfo1bo1dh,وصفنده
vasfından,wzfo1bo1dbo1,وصفندن
vasfındır,wzfo1ko3dr,وصفڭدر
vasfını,wzfo1bo1y,وصفنی
vasi',wesa,واسع
vasi',wo4esu4ao0,وَاسِعْ
vasi'dir,wesadr,واسعدر
vasi,wesa,واسع
vasi,wzy,وصی
vasia,wesah,واسعه
vasia,wesah||,واسعه‌
vasia-i,wesahu4,واسعهِ
vasiada,wesah||dh,واسعه‌ده
vasianın,wesah||bo1ko3,واسعه‌نڭ
vasiası,wesah||sy,واسعه‌سی
vasiasını,wesah||sbo1y,واسعه‌سنی
vasiaten,wesaho2o44,واسعةً
vasiayı,wesah||yy,واسعه‌یی
vasif,wo4zu4fo1o0,وَصِفْ
vasif,wzfo1,وصف
vasii,wesay,واسعی
vasil,wo4ezu4lo0,وَاصِلْ
vasilik,wzylk,وصیلک
vasita,westh,واسطه
vasita,westh||,واسطه‌
vasiya sipariş olunmuş yetim,wzy yh sbu3erso3 ewlbo1mso3 ybo2ym,وصی یه سپارش اولنمش یتیم
vasiyet,wzbu2bo2,وصيت
vasiyet,wzybo2,وصیت
vasiyeti,wzybo2y,وصیتی
vasiyetimi,wzybo2my,وصیتمی
vasiyetin,wzybo2ko3,وصیتڭ
vasiyetine,wzybo2bo1h,وصیتنه
vasiyetini,wzybo2bo1y,وصیتنی
vasiyetname,wzybo2bo1emh,وصیتنامه
vasiyetname,wzybo2bo1emh||,وصیتنامه‌
vasiyetname-i,wzybo2bo1emhu4,وصیتنامهِ
vasiyetnamelerimi,wzybo2bo1emh||lrymy,وصیتنامه‌لریمی
vasiyetnamem,wzybo2bo1emh||m,وصیتنامه‌م
vasiyetnamemdeki,wzybo2bo1emh||mdh||ky,وصیتنامه‌مده‌کی
vasiyetnamemdir,wzybo2bo1emh||mdr,وصیتنامه‌مدر
vasiyetnamemi,wzybo2bo1emh||my,وصیتنامه‌می
vasiyetnamemin,wzybo2bo1emh||bo1ko3,وصیتنامه‌نڭ
vasiyetnamenin,wzybo2bo1emh||bo1ko3,وصیتنامه‌نڭ
vasiyetnamenizde,wzybo2bo1emh||ko3ro1dh,وصیتنامه‌ڭزده
vasiyetnamenizi,wzybo2bo1emh||ko3ro1y,وصیتنامه‌ڭزی
vasiyetnamesi,wzybo2bo1emh||sy,وصیتنامه‌سی
vasiyetnameyi,wzybo2bo1emh||yy,وصیتنامه‌یی
vasiyetnâme,wzbu2bo2bo1emh,وصيتنامه
vasiyetten,wzybo2dbo1,وصیتدن
vasiyyet etmek,wzbu2bo2 e,وصيت ا
vasiyyet etmek,wzybo2 e,وصیت ا
vasiyyet,wzbu2bo2,وصيت
vasiyyet,wzybo2,وصیت
vasiyyetname,wzybo2 bo1emh||,وصیت نامه‌
vasiyyetname,wzybo2bo1emh||,وصیتنامه‌
vasiyyetnâme,wzbu2bo2 bo1emh,وصيت نامه
vasiyyetnâme,wzbu2bo2bo1emh,وصيتنامه
vasi̇',wo4esu4ao0,وَاسِعْ
vasi’,wesa,واسع
vasl etmek,wzl e,وصل ا
vasl,wzl,وصل
vasletmek,wzl eybo2mk,وصل ایتمک
vaslını,wzlbo1y,وصلنی
vassaf,wzefo1,وصاف
vassaf,wzo8efo1,وصّاف
vassafı,wzo8efo1y,وصّافی
vassal,wzel,وصال
vastan'da,westebo1dh,واسطانده
vastan'lı,westebo1ly,واسطانلی
vastan'ın,westebo1ko3,واسطانڭ
vastan,westebo1,واسطان
vasî,wzy,وصی
vasîlik,wzbu2lk,وصيلک
vasîya sipariş olunmuş yetîm,wzy bu2h sbu3erso3 ewlbo1mso3 bu2bo2bu2m,وصی يه سپارش اولنمش يتيم
vasıf,wo4zu4fo1o0,وَصِفْ
vasıf,wzfo1,وصف
vasıfane,wezfo1ebo1h,واصفانه
vasıflandırarak,wzfo1lebo1dyrh||rfo2,وصفلاندیره‌رق
vasıflandırayım,wzfo1lebo1dyrh||ym,وصفلاندیره‌یم
vasıflandırdığı,wzfo1lebo1dyrdyao1y,وصفلاندیردیغی
vasıflandırmaktadır,wzfo1lebo1dyrmfo2dh||dr,وصفلاندیرمقده‌در
vasıflandırılabilen,wzfo1lebo1drylebu1ylbo1,وصفلاندریلابیلن
vasıflandırılması,wzfo1lebo1dyrylmesy,وصفلاندیریلماسی
vasıflandırılmasında,wzfo1lebo1dyrylmesbo1dh,وصفلاندیریلماسنده
vasıflandırılmasıyla,wzfo1lebo1dyrylmesylh,وصفلاندیریلماسیله
vasıflandırır,wzfo1lbo1dyrr,وصفلندیرر
vasıflanır,wzfo1lebo1yr,وصفلانیر
vasıflar,wzfo1lr,وصفلر
vasıflardan,wzfo1lrdbo1,وصفلردن
vasıflardır,wzfo1lrdr,وصفلردر
vasıflariyle,wzfo1lrylh,وصفلریله
vasıfları,wzfo1lry,وصفلری
vasıfların,wzfo1lrko3,وصفلرڭ
vasıflarını,wzfo1lrybo1y,وصفلرینی
vasıflarınızı,wzfo1lryko3ro1y,وصفلریڭزی
vasıflarıyla,wzfo1lrylh,وصفلریله
vasıfça,wzfo1xu1h,وصفجه
vasıl olmak,wezl ew,واصل او
vasıl,wezl,واصل
vasıl,wo4ezu4lo0,وَاصِلْ
vasıta,westh,واسطه
vasıta,westh||,واسطه‌
vasıta-i kuvvet,westhcfo2wbo2,واسطهءقوت
vasıta-i müruru olmak,westhcmrwry ew,واسطهءمروری او
vasıta-i,westhu4,واسطهِ
vasıta-yı,westhu4,واسطهِ
vasıta-ı,westhu4,واسطهِ
vasıtadan,westh||dbo1,واسطه‌دن
vasıtadır,westh||dr,واسطه‌در
vasıtalar,westh||lr,واسطه‌لر
vasıtalara,westh||lrh,واسطه‌لره
vasıtalardan,westh||lrdbo1,واسطه‌لردن
vasıtalardır,westh||lrdr,واسطه‌لردر
vasıtalarla,westh||lrlh,واسطه‌لرله
vasıtaları,westh||lry,واسطه‌لری
vasıtalarıdır,westh||lrydr,واسطه‌لریدر
vasıtaların,westh||lrko3,واسطه‌لرڭ
vasıtalarını,westh||lrybo1y,واسطه‌لرینی
vasıtalarının,westh||lrybo1ko3,واسطه‌لرینڭ
vasıtamla,westh||mlh,واسطه‌مله
vasıtamız,westh||mro1,واسطه‌مز
vasıtamızla,westh||mro1lh,واسطه‌مزله
vasıtanın,westh||bo1ko3,واسطه‌نڭ
vasıtanız,westh||ko3ro1,واسطه‌ڭز
vasıtanızla,westh||ko3ro1lh,واسطه‌ڭزله
vasıtasiyle,westh||sylh,واسطه‌سیله
vasıtası,westh||sy,واسطه‌سی
vasıtasıyla,westh||sylh,واسطه‌سیله
vasıtasız,westh<>sro1,واسطه‌سز
vasıtasız,westh||sro1,واسطه‌سز
vasıtaya,westh||yh,واسطه‌یه
vasıtayı,westh||yy,واسطه‌یی
vasıyet,wzbu2bo2,وصيت
vasıyet,wzybo2,وصیت
vasıyetname,wzybo2bo1emh||,وصیتنامه‌
vasıyetnâme,wzbu2bo2bo1emh,وصيتنامه
vatan gayretinde olan kimse,wtbo1 ao1bu2rbo2bo1dh ewlebo1 kmsbo1h,وطن غيرتنده اولان کمسنه
vatan gayretinde olan kimse,wtbo1 ao1yrbo2bo1dh ewlebo1 kmsbo1h||,وطن غیرتنده اولان کمسنه‌
vatan,wtbo1,وطن
vatan-millet,wtbo1  mlo8bo2,وطن  ملّت
vatan-ı,wtbo1u4,وطنِ
vatana,wtbo1h,وطنه
vatana-millete,wtbo1h mlo8bo2h,وطنه ملّته
vatanda,wtbo1dh,وطنده
vatandaki,wtbo1dh||ky,وطنده‌کی
vatandan,wtbo1dbo1,وطندن
vatandaş,wtbo1deso3,وطنداش
vatandaşa,wtbo1deso3h,وطنداشه
vatandaşlar,wtbo1deso3lr,وطنداشلر
vatandaşlara,wtbo1deso3lrh,وطنداشلره
vatandaşlarla,wtbo1deso3lrlh,وطنداشلرله
vatandaşları,wtbo1deso3lry,وطنداشلری
vatandaşlarım,wtbo1deso3lrm,وطنداشلرم
vatandaşlarıma,wtbo1deso3lrymh,وطنداشلریمه
vatandaşlarımın,wtbo1deso3lrymko3,وطنداشلریمڭ
vatandaşlarımıza,wtbo1deso3lrymro1h,وطنداشلریمزه
vatandaşlarımızı,wtbo1deso3lrymro1y,وطنداشلریمزی
vatandaşların,wtbo1deso3lrko3,وطنداشلرڭ
vatandaşlarına,wtbo1deso3lrybo1h,وطنداشلرینه
vatandaşlarını,wtbo1deso3lrybo1y,وطنداشلرینی
vatandaşlarınızı,wtbo1deso3lryko3ro1y,وطنداشلریڭزی
vatandaşlık,wtbo1deso3lfo2,وطنداشلق
vatandaşı,wtbo1deso3y,وطنداشی
vatandaşın,wtbo1deso3ko3,وطنداشڭ
vatandır,wtbo1dr,وطندر
vatani,wtbo1y,وطنی
vataniye,wtbo1yh,وطنیه
vataniyede,wtbo1yh||dh,وطنیه‌ده
vataniyedir,wtbo1yh||dr,وطنیه‌در
vataniyem,wtbo1yh||m,وطنیه‌م
vataniyemi,wtbo1yh||my,وطنیه‌می
vataniyeye,wtbo1yh||yh,وطنیه‌یه
vataniyeyi,wtbo1yh||yy,وطنیه‌یی
vatanla,wtbo1lh,وطنله
vatanları,wtbo1lry,وطنلری
vatanlarımda,wtbo1lrmdh,وطنلرمده
vatanlarımızı,wtbo1lrymro1y,وطنلریمزی
vatanlarına,wtbo1lrybo1h,وطنلرینه
vatanlarını,wtbo1lrybo1y,وطنلرینی
vatanlarının,wtbo1lrybo1ko3,وطنلرینڭ
vatanperver,wtbo1 bu3rwr,وطن پرور
vatanperver,wtbo1bu3rwr,وطنپرور
vatanperver,wtbo1||bu3rwr,وطن‌پرور
vatanperverane,wtbo1 bu3rwrebo1h||,وطن پرورانه‌
vatanperverane,wtbo1||bu3rwrebo1h,وطن‌پرورانه
vatanperveri,wtbo1||bu3rwry,وطن‌پروری
vatanperverler,wtbo1||bu3rwrlr,وطن‌پرورلر
vatanperverleri,wtbo1||bu3rwrlry,وطن‌پرورلری
vatanperverlik,wtbo1bu3rwrlk,وطنپرورلک
vatanperverlik,wtbo1||bu3rwrlk,وطن‌پرورلک
vatanperverâne,wtbo1 bu3rwrebo1h,وطن پرورانه
vatansever,wtbo1||swr,وطن‌سور
vatanî,wtbo1y,وطنی
vatanîdir,wtbo1ydr,وطنیدر
vatanı,wtbo1y,وطنی
vatanım,wtbo1m,وطنم
vatanıma,wtbo1mh,وطنمه
vatanımda,wtbo1mdh,وطنمده
vatanımdaki,wtbo1mdh||ky,وطنمده‌کی
vatanımdan,wtbo1mdbo1,وطنمدن
vatanımdır,wtbo1mdr,وطنمدر
vatanımı,wtbo1my,وطنمی
vatanımın,wtbo1mko3,وطنمڭ
vatanımıza,wtbo1mro1h,وطنمزه
vatanımızda,wtbo1mro1dh,وطنمزده
vatanımızdaki,wtbo1mro1dh||ky,وطنمزده‌کی
vatanımızın,wtbo1mro1ko3,وطنمزڭ
vatanın,wtbo1ko3,وطنڭ
vatanına,wtbo1bo1h,وطننه
vatanında,wtbo1ko3dh,وطنڭده
vatanını,wtbo1bo1y,وطننی
vatanının,wtbo1bo1ko3,وطننڭ
vatanınız,wtbo1ko3ro1,وطنڭز
vatanıyla,wtbo1ylh,وطنیله
vatar,wtr,وطر
vatikan,webo2yfo2ebo1,واتیقان
vatman,webo2mebo1,واتمان
vaty etmek,wty e,وطی ا
vav'a,wewh,واوه
vav'ın,wewko3,واوڭ
vav'ına,wewybo1h,واوینه
vav'ının,wewybo1ko3,واوینڭ
vav,wew,واو
vav-ı,wewu4,واوِ
vaveyl-i,wewylu4,واویلِ
vaveyla,wewyle,واویلا
vaveyla,wo4ewo4yo0lo4e,وَاوَیْلَا
vaveyla-yi fi̇rak,wo4ewo4yo0lo4eyu4 fo1u4ro4efo2o0,وَاوَیْلَایِ فِرَاقْ
vaveyla-yi mevt,wo4ewo4yo0lo4eyu4 mo4wo0bo2o0,وَاوَیْلَایِ مَوْتْ
vaveyla-yı firak,wo4ewo4yo0lo4eyu4 fo1u4ro4efo2o0,وَاوَیْلَایِ فِرَاقْ
vaveyla-yı mevt,wo4ewo4yo0lo4eyu4 mo4wo0bo2o0,وَاوَیْلَایِ مَوْتْ
vaveylay-i fi̇rak,wo4ewo4yo0lo4eyu4 fo1u4ro4efo2o0,وَاوَیْلَایِ فِرَاقْ
vaveylay-ı firak,wo4ewo4yo0lo4eyu4 fo1u4ro4efo2o0,وَاوَیْلَایِ فِرَاقْ
vaveylâ,wewyle,واویلا
vaveylâ-i,wewylecu4,واویلاءِ
vaveylâ-yı,wewyleyu4,واویلایِ
vaveylâlar,wewylelr,واویلالر
vaveylâlara,wewylelrh,واویلالره
vaveylâlardan,wewylelrdbo1,واویلالردن
vaveylâlardır,wewylelrdr,واویلالردر
vaveylâları,wewylelry,واویلالری
vaveylâlarından,wewylelrbo1dbo1,واویلالرندن
vaveylâlarını,wewylelrybo1y,واویلالرینی
vaveylâsı,wewylesy,واویلاسی
vaveylâsıdır,wewylesydr,واویلاسیدر
vaveylâsına,wewylesbo1h,واویلاسنه
vaveylâya,wewyleyh,واویلایه
vay,wey,وای
vaye,weyh||,وایه‌
vaz geçirmek,wero1kxu3wrmk,وازکچورمک
vaz geçmek,wero1kxu3mk,وازکچمک
vaz' etmek,wzo1a e,وضع ا
vaz',wzo1a,وضع
vaz'-i haml,wzo1a xml,وضع حمل
vaz'-i kadi̇m,wzo1a fo2dym,وضع قدیم
vaz'-i kadîm,wzo1a fo2dym,وضع قدیم
vaz'-i yed,wzo1a yd,وضع ید
vaz'-ı haml,wzo1a xml,وضع حمل
vaz'-ı kadim,wzo1a fo2dym,وضع قدیم
vaz'-ı kadîm,wzo1a fo2dym,وضع قدیم
vaz'-ı yed,wzo1a yd,وضع ید
vaz'-ı,wzo1au4,وضعِ
vaz'an,wzo1ae,وضعا
vaz'edecektir,wzo1a eydh||xu1kdr,وضع ایده‌جکدر
vaz'eden,wzo1a eydbo1,وضع ایدن
vaz'eder,wzo1a eydr,وضع ایدر
vaz'edildi,wzo1a eydyldy,وضع ایدیلدی
vaz'edildiğini,wzo1a eydyldyko7bo1y,وضع ایدیلدیگنی
vaz'edilen,wzo1a eydylbo1,وضع ایدیلن
vaz'ediliyor,wzo1a eydylyywr,وضع ایدیلییور
vaz'edilmemiştir,wzo1a eydylmh||mso3dr,وضع ایدیلمه‌مشدر
