a'cam,eo5axu1em,أعجام
ahlak-i nazari̇,exo1lefo2 bo1to1ry,اخلاق نظری
ahlak-i seyyi̇e,eo4xo1o0lo4efo2u4 so4yu4o8bo5o4h||,اَخْلَاقِ سَیِّئَه‌
ahlak-i zemi̇me,exo1lefo2 do1mymh||,اخلاق ذمیمه‌
ahlak-ı ameli,exo1lefo2 amly,اخلاق عملی
ahlak-ı hasene,eo4xo1o0lo4efo2u4 xo4so4bo1o4h||,اَخْلَاقِ حَسَنَه‌
ahlak-ı hasene,exo1lefo2 xsbo1h||,اخلاق حسنه‌
ahlak-ı nazari,exo1lefo2 bo1to1ry,اخلاق نظری
ahlak-ı seyyie,eo4xo1o0lo4efo2u4 so4yu4o8bo5o4h||,اَخْلَاقِ سَیِّئَه‌
ahlak-ı zemime,exo1lefo2 do1mymh||,اخلاق ذمیمه‌
ahlak-ı,eo5xo1lefo2u4,أخلاقِ
ahlaka,eo5xo1lefo2h,أخلاقه
ahlak_en,exo1lefo2e,اخلاقا
ahlak_i,exo1lefo2y,اخلاقی
ahlak_iyat,exo1lefo2yebo2,اخلاقیات
ahlak_iyun,exo1lefo2ywbo1,اخلاقیون
ahlak_sız,exo1lefo2sro1,اخلاقسز
ahlak_ıyat,exo1lefo2yebo2,اخلاقیات
ahlak_ıyun,exo1lefo2ywbo1,اخلاقیون
ahlam,exlem,احلام
ahların,eo6hlrko3,آهلرڭ
ahlat-ı erba’a,exo1let erbu1ah||,اخلاط اربعه‌
ahlat,eo6xo1let,آخلاط
ahlat,exo1let,اخلاط
ahlat-i erba'a,exo1let erbu1ah||,اخلاط اربعه‌
ahlat-ı erba'a,exo1let erbu1ah||,اخلاط اربعه‌
ahlâf,exlefo1,احلاف
ahlâf,exo1lefo1,اخلاف
ahlâk,eo5xo1lefo2,أخلاق
ahlâk,exo1lefo2,اخلاق
ahlâk-i amelî,exo1lefo2 amly,اخلاق عملی
ahlâk-i hasene,exo1lefo2 xsbo1h,اخلاق حسنه
ahlâk-i nazarî,exo1lefo2 bo1to1ry,اخلاق نظری
ahlâk-i seyyie,eo4xo1o0lo4efo2u4 so4bu2u4o8bo5o4h,اَخْلَاقِ سَيِّئَه
ahlâk-i zemîme,exo1lefo2 do1mbu2mh,اخلاق ذميمه
ahlâk-ı amelî,exo1lefo2 amly,اخلاق عملی
ahlâk-ı hasene,eo4xo1o0lo4efo2u4 xo4so4bo1o4h,اَخْلَاقِ حَسَنَه
ahlâk-ı hasene,exo1lefo2 xsbo1h,اخلاق حسنه
ahlâk-ı nazarî,exo1lefo2 bo1to1ry,اخلاق نظری
ahlâk-ı seyyie,eo4xo1o0lo4efo2u4 so4bu2u4o8bo5o4h,اَخْلَاقِ سَيِّئَه
ahlâk-ı zemîme,exo1lefo2 do1mbu2mh,اخلاق ذميمه
ahlâk-ı,eo5xo1lefo2u4,أخلاقِ
ahlâk_a,eo5xo1lefo2h,أخلاقه
ahlâk_en,eo5xo1lefo2o44e,أخلاقًا
ahlâk_en,exo1lefo2e,اخلاقا
ahlâki,eo5xo1lefo2y,أخلاقی
ahlâkiyat,exo1lefo2bu2ebo2,اخلاقيات
ahlâkiyatı,eo5xo1lefo2yebo2y,أخلاقیاتی
ahlâkiye,eo5xo1lefo2yh,أخلاقیه
ahlâkiyede,eo5xo1lefo2yh||dh,أخلاقیه‌ده
ahlâkiyelerine,eo5xo1lefo2yh||lrybo1h,أخلاقیه‌لرینه
ahlâkiyelerini,eo5xo1lefo2yh||lrybo1y,أخلاقیه‌لرینی
ahlâkiyesi,eo5xo1lefo2yh||sy,أخلاقیه‌سی
ahlâkiyesine,eo5xo1lefo2yh||sbo1h,أخلاقیه‌سنه
ahlâkiyeye,eo5xo1lefo2yh||yh,أخلاقیه‌یه
ahlâkiyunun,eo5xo1lefo2ywbo1ko3,أخلاقیونڭ
ahlâkiyye,eo5xo1lefo2yh,أخلاقیه
ahlâkiyyun,eo5xo1lefo2ywbo1,أخلاقیون
ahlâkiyyunların,eo5xo1lefo2ywbo1lrko3,أخلاقیونلرڭ
ahlâkiyyunun,eo5xo1lefo2ywbo1ko3,أخلاقیونڭ
ahlâkiyûn,exo1lefo2bu2wbo1,اخلاقيون
ahlâkla,eo5xo1lefo2lh,أخلاقله
ahlâklanarak,eo5xo1lefo2lebo1erfo2,أخلاقلانارق
ahlâklandırmak,eo5xo1lefo2lbo1drmfo2,أخلاقلندرمق
ahlâklar,eo5xo1lefo2lr,أخلاقلر
ahlâklara,eo5xo1lefo2lrh,أخلاقلره
ahlâkları,eo5xo1lefo2lry,أخلاقلری
ahlâklarımızı,eo5xo1lefo2lrymro1y,أخلاقلریمزی
ahlâkların,eo5xo1lefo2lrko3,أخلاقلرڭ
ahlâklarına,eo5xo1lefo2lrybo1h,أخلاقلرینه
ahlâklarını,eo5xo1lefo2lrybo1y,أخلاقلرینی
ahlâklı,eo5xo1lefo2ly,أخلاقلی
ahlâksız,eo5xo1lefo2sro1,أخلاقسز
ahlâksız,exo1lefo2sro1,اخلاقسز
ahlâksızcasına,eo5xo1lefo2sro1xu1h||sbo1h,أخلاقسزجه‌سنه
ahlâksızdır,eo5xo1lefo2sro1dr,أخلاقسزدر
ahlâksızlar,eo5xo1lefo2sro1lr,أخلاقسزلر
ahlâksızları,eo5xo1lefo2sro1lry,أخلاقسزلری
ahlâksızların,eo5xo1lefo2sro1lrko3,أخلاقسزلرڭ
ahlâksızlık,eo5xo1lefo2sro1lfo2,أخلاقسزلق
ahlâksızlıklara,eo5xo1lefo2sro1lfo2lrh,أخلاقسزلقلره
ahlâksızlıktan,eo5xo1lefo2sro1lfo2dbo1,أخلاقسزلقدن
ahlâksızlığa,eo5xo1lefo2sro1lao1h,أخلاقسزلغه
ahlâksızlığı,eo5xo1lefo2sro1lao1y,أخلاقسزلغی
ahlâksızlığın,eo5xo1lefo2sro1lao1ko3,أخلاقسزلغڭ
ahlâkta,eo5xo1lefo2dh,أخلاقده
ahlâktaki,eo5xo1lefo2dh||ky,أخلاقده‌کی
ahlâktan,eo5xo1lefo2dbo1,أخلاقدن
ahlâkça,eo5xo1lefo2xu1h,أخلاقجه
ahlâkî,eo5xo1lefo2y,أخلاقی
ahlâkî,exo1lefo2y,اخلاقی
ahlâkîdir,eo5xo1lefo2ydr,أخلاقیدر
ahlâkı,eo5xo1lefo2y,أخلاقی
ahlâkım,eo5xo1lefo2m,أخلاقم
ahlâkımda,eo5xo1lefo2mdh,أخلاقمده
ahlâkımla,eo5xo1lefo2mlh,أخلاقمله
ahlâkımız,eo5xo1lefo2mro1,أخلاقمز
ahlâkımıza,eo5xo1lefo2mro1h,أخلاقمزه
ahlâkımızdan,eo5xo1lefo2mro1dbo1,أخلاقمزدن
ahlâkımızla,eo5xo1lefo2mro1lh,أخلاقمزله
ahlâkımızı,eo5xo1lefo2mro1y,أخلاقمزی
ahlâkın,eo5xo1lefo2ko3,أخلاقڭ
ahlâkına,eo5xo1lefo2bo1h,أخلاقنه
ahlâkında,eo5xo1lefo2bo1dh,أخلاقنده
ahlâkını,eo5xo1lefo2bo1y,أخلاقنی
ahlâkının,eo5xo1lefo2bo1ko3,أخلاقنڭ
ahlâkıye,eo5xo1lefo2yh,أخلاقیه
ahlâkıyelerine,eo5xo1lefo2yh||lrybo1h,أخلاقیه‌لرینه
ahlâkıyenin,eo5xo1lefo2yh||bo1ko3,أخلاقیه‌نڭ
ahlâkıyeyi,eo5xo1lefo2yh||yy,أخلاقیه‌یی
ahlâkıyla,eo5xo1lefo2ylh,أخلاقیله
ahlâkıyât,exo1lefo2bu2ebo2,اخلاقيات
ahlâkıyûn,exo1lefo2bu2wbo1,اخلاقيون
ahlâm,exlem,احلام
ahlât,exo1let,اخلاط
ahlât-i erba'a,exo1let erbu1ah,اخلاط اربعه
ahlât-ı erba'a,exo1let erbu1ah,اخلاط اربعه
ahmak defteri,exmfo2 dfo1bo2ry,احمق دفتری
ahmak,eo5xmfo2,أحمق
ahmak,exmfo2,احمق
ahmak-is,eo5xmfo2 el,أحمق ال
ahmak-ul,eo5xmfo2 el,أحمق ال
ahmak-un,eo5xmfo2 el,أحمق ال
ahmakane,eo5xmfo2ebo1h,أحمقانه
ahmakane,exmfo2ebo1h||,احمقانه‌
ahmakaneden,eo5xmfo2ebo1h||dbo1,أحمقانه‌دن
ahmakcasına,eo5xmfo2xu1h||sbo1h,أحمقجه‌سنه
ahmaki,exmfo2y,احمقی
ahmaklar,eo5xmfo2lr,أحمقلر
ahmaklara,eo5xmfo2lrh,أحمقلره
ahmaklardan,eo5xmfo2lrdbo1,أحمقلردن
ahmakların,eo5xmfo2lrko3,أحمقلرڭ
ahmaklaşan,eo5xmfo2leso3ebo1,أحمقلاشان
ahmaklaştırmış,eo5xmfo2leso3dyrmso3,أحمقلاشدیرمش
ahmaklık,eo5xmfo2lfo2,أحمقلق
ahmaklıkla,eo5xmfo2lfo2lh,أحمقلقله
ahmaklıklarından,eo5xmfo2lfo2lrbo1dbo1,أحمقلقلرندن
ahmaklıkta,eo5xmfo2lfo2dh,أحمقلقده
ahmaklıktır,eo5xmfo2lfo2dr,أحمقلقدر
ahmaklığın,eo5xmfo2lao1ko3,أحمقلغڭ
ahmaklığına,eo5xmfo2lao1bo1h,أحمقلغنه
ahmaklığından,eo5xmfo2lao1bo1dbo1,أحمقلغندن
ahmaktan,eo5xmfo2dbo1,أحمقدن
ahmaktır,eo5xmfo2dr,أحمقدر
ahmakâne,eo5xmfo2ebo1h,أحمقانه
ahmakâne,exmfo2ebo1h,احمقانه
ahmakça,eo5xmfo2xu1h,أحمقجه
ahmakçasına,eo5xmfo2xu1h||sbo1h,أحمقجه‌سنه
ahmakî,exmfo2y,احمقی
ahmakı,eo5xmfo2y,أحمقی
ahmağı,eo5xmao1y,أحمغی
ahmağın,eo5xmfo2ko3,أحمقڭ
ahmed'de,eo5xmddh,أحمدده
ahmed'den,eo5xmddbo1,أحمددن
ahmed'dir,eo5xmddr,أحمددر
ahmed'e,eo5xmdh,أحمده
ahmed'i,eo5xmdy,أحمدی
ahmed'in,eo5xmdko3,أحمدڭ
ahmed'ler,eo5xmdlr,أحمدلر
ahmed'lere,eo5xmdlrh,أحمدلره
ahmed'leri,eo5xmdlry,أحمدلری
ahmed'lerin,eo5xmdlrko3,أحمدلرڭ
ahmed'lerinin,eo5xmdlrybo1ko3,أحمدلرینڭ
ahmed,eo5xmd,أحمد
ahmed,exmd,احمد
ahmed-i,eo5xmdu4,أحمدِ
ahmed-üs,eo5xmd el,أحمد ال
ahmediye'de,eo5xmdyh||dh,أحمدیه‌ده
ahmediye'deki,eo5xmdyh||dh||ky,أحمدیه‌ده‌کی
ahmediye'den,eo5xmdyh||dbo1,أحمدیه‌دن
ahmediye'dir,eo5xmdyh||dr,أحمدیه‌در
ahmediye'nin,eo5xmdyh||bo1ko3,أحمدیه‌نڭ
ahmediye'si,eo5xmdyh||sy,أحمدیه‌سی
ahmediye'ye,eo5xmdyh||yh,أحمدیه‌یه
ahmediye'yi,eo5xmdyh||yy,أحمدیه‌یی
ahmediye,eo5xmdyh,أحمدیه
ahmediyede,eo5xmdyh||dh,أحمدیه‌ده
ahmediyeden,eo5xmdyh||dbo1,أحمدیه‌دن
ahmediyedir,eo5xmdyh||dr,أحمدیه‌در
ahmediyenin,eo5xmdyh||bo1ko3,أحمدیه‌نڭ
ahmediyesini,eo5xmdyh||sbo1y,أحمدیه‌سنی
ahmediyeye,eo5xmdyh||yh,أحمدیه‌یه
ahmediyeyi,eo5xmdyh||yy,أحمدیه‌یی
ahmediyye'ye,eo5xmdyh||yh,أحمدیه‌یه
ahmediyye'yi,eo5xmdyh||yy,أحمدیه‌یی
ahmediyye,eo5xmdyh,أحمدیه
ahmediyyenin,eo5xmdyh||bo1ko3,أحمدیه‌نڭ
ahmediyyeye,eo5xmdyh||yh,أحمدیه‌یه
ahmediyyeyi,eo5xmdyh||yy,أحمدیه‌یی
ahmedler,eo5xmdlr,أحمدلر
ahmedî'de,eo5xmdy||dh,أحمدی‌ده
ahmedî'den,eo5xmdydbo1,أحمدیدن
ahmedî'nin,eo5xmdybo1ko3,أحمدینڭ
ahmedî,eo5xmdy,أحمدی
ahmedîden,eo5xmdydbo1,أحمدیدن
ahmedîdir,eo5xmdydr,أحمدیدر
ahmedînin,eo5xmdybo1ko3,أحمدینڭ
ahmedîyi,eo5xmdy||yy,أحمدی‌یی
ahmedîyiz,eo5xmdy||yro1,أحمدی‌یز
ahmer'e,eo5xmrh,أحمره
ahmer,exmr,احمر
ahmerdir,eo5xmrdr,أحمردر
ahmere,eo5xmrh,أحمره
ahmesiyy-il,eo5xmsy el,أحمسی ال
ahmesî,eo5xmsy,أحمسی
ahmet,eo5xmd,أحمد
ahmetlerin,eo5xmdlrko3,أحمدلرڭ
ahram,exrem,احرام
ahrar,eo5xrer,أحرار
ahrar,exrer,احرار
ahrara,eo5xrerh,أحراره
ahrarane,exrerebo1h||,احرارانه‌
ahrardan,eo5xrerdbo1,أحراردن
ahrarlar,eo5xrerlr,أحرارلر
ahrarların,eo5xrerlrko3,أحرارلرڭ
ahras,exres,احراس
ahres,exo1rs,اخرس
ahret,eo6xo1rbo2,آخرت
ahretlik,eo6xo1rbo2lk,آخرتلک
ahrâm,exrem,احرام
ahrâr,exrer,احرار
ahrârâne,exrerebo1h,احرارانه
ahrâs,exres,احراس
ahsas,exses,احساس
ahsen,eo4xo0so4bo1o0,اَحْسَنْ
ahsen,eo5xsbo1,أحسن
ahsen,exsbo1,احسن
ahsen,exso3,احش
ahsen-i takvim,eo4xo0so4bo1u4 bo2o4fo2o0wu4bu2mo0,اَحْسَنِ تَقْوِيمْ
ahsen-i takvim,eo4xo0so4bo1u4 bo2o4fo2o0wu4ymo0,اَحْسَنِ تَقْوِیمْ
ahsen-i,eo5xsbo1u4,أحسنِ
ahsen-i̇ takvi̇m,eo4xo0so4bo1u4 bo2o4fo2o0wu4ymo0,اَحْسَنِ تَقْوِیمْ
ahsen-ül,eo4xo0so4bo1o9 el,اَحْسَنُ ال
ahsenden,eo5xsbo1dbo1,أحسندن
ahsendi,eo5xsbo1dy,أحسندی
ahsendir,eo5xsbo1dr,أحسندر
ahseni,eo5xsbo1y,أحسنی
ahsenindedir,eo5xsbo1bo1dh||dr,أحسننده‌در
ahsenini,eo5xsbo1bo1y,أحسننی
ahseniyet,eo5xsbo1ybo2,أحسنیت
ahsâs,exses,احساس
ahtab,eo5xtebu1,أحطاب
ahtab,extebu1,احطاب
ahtapot,eo6xo1bo2ebu3wd,آختاپود
ahtapotlar,eo6xo1bo2ebu3wtlr,آختاپوطلر
ahtar,exo1ter,اخطار
ahte,eo6xo1bo2h||,آخته‌
ahter -i dünbaledar,exo1bo2r dbo1bu1elh der,اختر دنباله دار
ahter,exo1bo2r,اختر
ahter-i dünbaledar,exo1bo2r dbo1bu1elh der,اختر دنباله دار
ahter-i dünbâledâr,exo1bo2r dbo1bu1elh der,اختر دنباله دار
ahter-i̇ dünbaledar,exo1bo2r dbo1bu1elh der,اختر دنباله دار
ahterbin,exo1bo2rbu1ybo1,اختربین
ahterbîn,exo1bo2rbu1bu2bo1,اختربين
ahterşinas,exo1bo2rso3bo1es,اخترشناس
ahterşinâs,exo1bo2rso3bo1es,اخترشناس
ahterşümar,exo1bo2rso3mer,اخترشمار
ahterşümâr,exo1bo2rso3mer,اخترشمار
ahtâb,extebu1,احطاب
ahtâr,exo1ter,اخطار
ahu,ehw,اهو
ahu,eo6hw,آهو
ahu,exo1w,اخو
ahubaba,eo6xo1w||bu1ebu1e,آخو‌بابا
ahubere,eo6hwbu1rh||,آهوبره‌
ahudil,eo6hwdl,آهودل
ahududu,eo6hw||twdy,آهو‌طودی
ahund,eo6xo1wbo1d,آخوند
ahunigah,eo6hwbo1ko7eh||,آهونگاه‌
ahur,eo6xo1r,آخر
ahur,exo1wr,اخور
ahuvan,eo6hwebo1,آهوان
ahuvane,eo6hwebo1h||,آهوانه‌
ahval -i adiye,exwel aedyh||,احوال عادیه‌
ahval -i sıhhiye,exwel zxyh||,احوال صحیه‌
ahval,eo4xo0wo4elo0,اَحْوَالْ
ahval,eo5xwel,أحوال
ahval,exwel,احوال
ahval-i adiye,exwel aedyh||,احوال عادیه‌
ahval-i ahirin,eo4xo0wo4elu4 eo6xo1u4ru4ybo1o0,اَحْوَالِ آخِرِینْ
ahval-i beşeriyye,exwel bu1so3ryh||,احوال بشریه‌
ahval-i dünyeviye,eo4xo0wo4elu4 do9bo1o0yo4wu4yo4h||,اَحْوَالِ دُنْیَوِیَه‌
ahval-i sıhhiye,exwel zxyh||,احوال صحیه‌
ahval-i zaman,eo4xo0wo4elu4 ro1o4mo4ebo1o0,اَحْوَالِ زَمَانْ
ahval-i,eo5xwelu4,أحوالِ
ahval-i̇ adi̇ye,exwel aedyh||,احوال عادیه‌
ahval-i̇ ahi̇ri̇n,eo4xo0wo4elu4 eo6xo1u4ru4ybo1o0,اَحْوَالِ آخِرِینْ
ahval-i̇ dünyevi̇ye,eo4xo0wo4elu4 do9bo1o0yo4wu4yo4h||,اَحْوَالِ دُنْیَوِیَه‌
ahval-i̇ sihhi̇ye,exwel zxyh||,احوال صحیه‌
ahval-i̇ zaman,eo4xo0wo4elu4 ro1o4mo4ebo1o0,اَحْوَالِ زَمَانْ
ahvalde,eo5xweldh,أحوالده
ahvaldeki,eo5xweldh||ky,أحوالده‌کی
ahvalden,eo5xweldbo1,أحوالدن
ahvaldir,eo5xweldr,أحوالدر
ahvale,eo5xwelh,أحواله
ahvali,eo5xwely,أحوالی
ahvalidir,eo5xwelydr,أحوالیدر
ahvalime,eo5xwelmh,أحوالمه
ahvalimi,eo5xwelmy,أحوالمی
ahvalimiz,eo5xwelmro1,أحوالمز
ahvalimizi,eo5xwelmro1y,أحوالمزی
ahvalin,eo5xwelko3,أحوالڭ
ahvalinde,eo5xwelbo1dh,أحوالنده
ahvalinden,eo5xwelbo1dbo1,أحوالندن
ahvaline,eo5xwelbo1h,أحوالنه
ahvalini,eo5xwelbo1y,أحوالنی
ahvalinin,eo5xwelbo1ko3,أحوالنڭ
ahvaliyle,eo5xwelylh,أحوالیله
ahvalleri,eo5xwellry,أحواللری
ahvallerinde,eo5xwellrbo1dh,أحواللرنده
ahvallerinden,eo5xwellrbo1dbo1,أحواللرندن
ahvallerini,eo5xwellrybo1y,أحواللرینی
ahvalleriyle,eo5xwellrylh,أحواللریله
ahvalât,eo5xwelebo2,أحوالات
ahvalâta,eo5xwelebo2h,أحوالاته
ahvalâtından,eo5xwelebo2bo1dbo1,أحوالاتندن
ahvef,exo1wfo1,اخوف
ahvel,eo5xwl,أحول
ahvel,exwl,احول
ahvâl,eo4xo0wo4elo0,اَحْوَالْ
ahvâl,eo5xwel,أحوال
ahvâl,exwel,احوال
ahvâl-i beşeriyye,exwel bu1so3rbu2h,احوال بشريه
ahvâl-i dünyevîye,eo4xo0wo4elu4 do9bo1o0bu2o4wu4bu2o4h,اَحْوَالِ دُنْيَوِيَه
ahvâl-i sihhiye,exwel zxbu2h,احوال صحيه
ahvâl-i sıhhiye,exwel zxbu2h,احوال صحيه
ahvâl-i âdiye,exwel aedyh,احوال عادیه
ahvâl-i âhirîn,eo4xo0wo4elu4 eo6xo1u4ru4bu2bo1o0,اَحْوَالِ آخِرِينْ
ahvâl-i,eo5xwelu4,أحوالِ
ahvâl-ı,eo5xwelu4,أحوالِ
ahvâlde,eo5xweldh,أحوالده
ahvâle,eo5xwelh,أحواله
ahvâli,eo5xwely,أحوالی
ahvâlin,eo5xwelko3,أحوالڭ
ahvâlinde,eo5xwelbo1dh,أحوالنده
ahvâlinden,eo5xwelbo1dbo1,أحوالندن
ahvâline,eo5xwelbo1h,أحوالنه
ahvâlini,eo5xwelbo1y,أحوالنی
ahvâliyle,eo5xwelylh,أحوالیله
ahvâlleri,eo5xwellry,أحواللری
ahvâllerini,eo5xwellrybo1y,أحواللرینی
ahya,eo5xye,أحیا
ahya,exye,احیا
ahyal,exo1yel,اخیال
ahyanen,exyebo1e,احیانا
ahyar,eo5xo1yer,أخیار
ahyar,exo1yer,اخیار
ahyar-ı,eo5xo1yeru4,أخیارِ
ahyara,eo5xo1yerh,أخیاره
ahyarı,eo5xo1yery,أخیاری
ahyat,exo1yet,اخیاط
ahyayı,eo5xyeyy,أحیایی
ahyed,eo4xo0yo4do0,اَحْیَدْ
ahyâ,exbu2e,احيا
ahyâl,exo1bu2el,اخيال
ahyânen,exbu2ebo1e,احيانا
ahyâr,exo1bu2er,اخيار
ahyât,exo1bu2et,اخياط
ahz etmek,exo1do1e,اخذا
ahz u girift etmek,exo1do1wkrfo1bo2 e,اخذوکرفت ا
ahz u girift,exo1do1wkrfo1bo2,اخذوکرفت
ahz u kabul,exo1do1wfo2bu1wl,اخذوقبول
ahz u kabûl,exo1do1wfo2bu1wl,اخذوقبول
ahz ü ita,exo1do1wate,اخذوعطا
ahz ü itâ,exo1do1wate,اخذوعطا
ahz,eo4xo1o0do1o0,اَخْذْ
ahz,eo5xo1do1,أخذ
ahz,exo1do1,اخذ
ahz-i ücret,eo4xo1o0do1u4 eo9xu1o0ro4bo2o0,اَخْذِ اُجْرَتْ
ahz-ı ücret,eo4xo1o0do1u4 eo9xu1o0ro4bo2o0,اَخْذِ اُجْرَتْ
ahz-ı,eo5xo1do1u4,أخذِ
ahzab'da,eo5xro1ebu1dh,أحزابده
ahzab'dan,eo5xro1ebu1dbo1,أحزابدن
ahzab'ın,eo5xro1ebu1ko3,أحزابڭ
ahzab,eo5xro1ebu1,أحزاب
ahzab,exro1ebu1,احزاب
ahzab-ı,eo5xro1ebu1u4,أحزابِ
ahzabına,eo5xro1ebu1bo1h,أحزابنه
ahzan,eo5xro1ebo1,أحزان
ahzan,exro1ebo1,احزان
ahzanı,eo5xro1ebo1y,أحزانی
ahzar,exo1zo1r,اخضر
ahzedebilir,eo5xo1do1 eydh||bu1ylyr,أخذ ایده‌بیلیر
ahzeder,eo5xo1do1 eydr,أخذ ایدر
ahzederek,eo5xo1do1 eydh||rk,أخذ ایده‌رک
ahzedilen,eo5xo1do1 eydylbo1,أخذ ایدیلن
ahzedilmek,eo5xo1do1 eydylmk,أخذ ایدیلمک
ahzedip,eo5xo1do1 eydwbu1,أخذ ایدوب
ahzen,exro1bo1,احزن
ahzetmek,eo5xo1do1 eybo2mk,أخذ ایتمک
ahzetmek,exo1do1,اخذ
ahzetmiştir,eo5xo1do1 eybo2mso3dr,أخذ ایتمشدر
ahziyle,eo5xo1do1ylh,أخذیله
ahzâb,exro1ebu1,احزاب
ahzân,eo5xro1ebo1,أحزان
ahzân,exro1ebo1,احزان
ahzüi'ta,exo1do1 w ate,اخذ و عطا
ahzüi'tâ,exo1do1 w ate,اخذ و عطا
ahzüi’ta,exo1do1 w ate,اخذ و عطا
ahzükabz,exo1do1 w fo2bu1zo1,اخذ و قبض
ahâli,eo4ho4elbu2,اَهَالي
ahâli,eo5hely,أهالی
ahâlinin,eo5helybo1ko3,أهالینڭ
ahâlisi,eo5helysy,أهالیسی
ahâlisine,eo5helysbo1h,أهالیسنه
ahâliye,eo5hely||yh,أهالی‌یه
ahâlî,ehely,اهالی
ahâlîden hâlî kılmak,ehelbu2dbo1 xo1ely fo2bu2lmfo2,اهاليدن خالی قيلمق
ahçı,eo6xo1xu1y,آخجی
ahçılık,eo6xo1xu1bu2lfo2,آخجيلق
ahçılık,eo6xo1xu1ylfo2,آخجیلق
ahîr,eo6xo1r,آخر
ahîrde,eo5xo1yrdh,أخیرده
ahîre,eo5xo1yrh,أخیره
ahîren,exo1bu1reo44,اخبراً
ahîren,exo1bu2re,اخيرا
ahüvah,eo6h w weh||,آه و واه‌
ahüvaveyla,eo6h w wewyle,آه و واویلا
ahüzar,eo6h w ro1er,آه و زار
ahı,eo6hy,آهی
ahır,eo6xo1wr,آخور
ahırda,eo6xo1wrdh,آخورده
ahırla,eo6xo1wrle,آخورلا
ahırlamak,eo6xo1wrlemfo2,آخورلامق
ahşa',exso3ec,احشاء
ahşab,exo1so3ebu1,اخشاب
ahşab,exso3bu1,احشب
ahşab,exso3ebu1,احشاب
ahşam,exso3em,احشام
ahşap,eo5xo1so3ebu1,أخشاب
ahşap,exso3bu1,احشب
ahşa’,exso3ec,احشاء
ahşâ',exso3ec,احشاء
ahşâb,exo1so3ebu1,اخشاب
ahşâb,exso3ebu1,احشاب
ahşâm,exso3em,احشام
aid olmak,aebo5d ew,عائد او
aid,adebu2,عداي
aid,adey,عدای
aid,aebo5d,عائد
aid,aeyo5d,عائد
aidat,aebo5debo2,عائدات
aiddir,aeyo5ddr,عائددر
aide,aebo5dh||,عائده‌
aidiyeti,aeyo5dybo2y,عائدیتی
aika,aebo5fo2h||,عائقه‌
aile,aebo5lh||,عائله‌
aile,aeyo5lh,عائله
ailede,aeyo5lh||dh,عائله‌ده
aileden,aeyo5lh||dbo1,عائله‌دن
aileleri,aeyo5lh||lry,عائله‌لری
ailelerin,aeyo5lh||lrko3,عائله‌لرڭ
ailelerini,aeyo5lh||lrybo1y,عائله‌لرینی
ailelerinin,aeyo5lh||lrybo1ko3,عائله‌لرینڭ
ailenin,aeyo5lh||bo1ko3,عائله‌نڭ
ailesine,aeyo5lh||sbo1h,عائله‌سنه
ailesiyle,aeyo5lh||sylh,عائله‌سیله
ailevi,aebo5lwy,عائلوی
ailevî,aebo5lwy,عائلوی
ailevî,aeyo5lh||wy,عائله‌وی
ailevîsi,aeyo5lh||wysy,عائله‌ویسی
aileye,aeyo5lh||yh,عائله‌یه
ait,aeyo5d,عائد
aitdir,aeyo5ddr,عائددر
aittir,aeyo5ddr,عائددر
aişe,aeyo5so3h,عائشه
aişe-i,aeyo5so3h||u4,عائشه‌ِ
ai̇d,aebo5d,عائد
ajan,eo6ro3ebo1,آژان
ajans,eo6ro3bo1s,آژنس
ajansı'nda,eo6ro3ebo1sbo1dh,آژانسنده
ajeng,eo6ro3bo1ko7,آژنگ
ak mermer,efo2 mrmr,اق مرمر
ak sakallı,efo2 zfo2ellw,اق صقاللو
ak sakallı,efo2 zfo2elly,اق صقاللی
ak,aefo2,عاق
ak,efo2,اق
ak,eo6fo2,آق
ak-sulemen,efo2 swlmbo1,اق سولمن
aka'id,afo2ebo5d,عقائد
aka,eo6fo2e,آقا
aka,eo6fo2h,آقه
akaarat,afo2erebo2,عقارات
akab,afo2bu1,عقب
akabat,afo2bu1ebo2,عقبات
akabe,afo2bu1h,عقبه
akabe,afo2bu1h||,عقبه‌
akabinde,afo2bu1bo1dh,عقبنده
akabindeki,afo2bu1bo1dh||ky,عقبنده‌کی
akabât,afo2bu1ebo2,عقبات
akacak,eo6fo2exu1fo2,آقاجق
akademi,eo6fo2edh||my,آقاده‌می
akademi,eo6fo2edmy,آقادمی
akademisi,eo6fo2edmysy,آقادمیسی
akaid,afo2ebo5d,عقائد
akaid,afo2eyo5d,عقائد
akaid-i,afo2eyo5du4,عقائدِ
akaide,afo2eyo5dh,عقائده
akaidi,afo2eyo5dy,عقائدی
akaidine,afo2eyo5dybo1h,عقائدینه
akaidinin,afo2eyo5dybo1ko3,عقائدینڭ
akaidî,afo2eyo5dy,عقائدی
akamber,eo6fo2 abo1bu1r,آق عنبر
akamet,afo2embo2,عقامت
akamete,afo2embo2h,عقامته
akan,eo6fo2ebo1,آقان
akanlar,eo6fo2ebo1lr,آقانلر
akanlardır,eo6fo2ebo1lrdr,آقانلردر
akar,afo2er,عقار
akar,efo2er,اقار
akar,eo6fo2er,آقار
akarat,afo2erebo2,عقارات
akarat,afo2rebo2,عقرات
akarib,eo5fo2erbu1,أقارب
akaribim,eo5fo2erbu1m,أقاربم
akaribimden,eo5fo2erbu1mdbo1,أقاربمدن
