
p,bu3,پ
parçalanarak,bu3erxu3h||lebo1h||rfo2,پارچه‌لانه‌رق
parçalandı,bu3erxu3h||lebo1dy,پارچه‌لاندی
parçalandığını,bu3erxu3h||lebo1dyao1bo1y,پارچه‌لاندیغنی
parçalanmadan,bu3erxu3h||lebo1mh||dbo1,پارچه‌لانمه‌دن
parçalanmak,bu3erxu3elebo1mfo2,پارچالانمق
parçalanmak,bu3erxu3h||lebo1mfo2,پارچه‌لانمق
parçalanmaması,bu3erxu3h||lebo1memsy,پارچه‌لانمامسی
parçalanmasiyle,bu3erxu3h||lebo1mesylh,پارچه‌لانماسیله
parçalanması,bu3erxu3h||lebo1msy,پارچه‌لانمسی
parçalanmasına,bu3erxu3h||lebo1msbo1h,پارچه‌لانمسنه
parçalanmasından,bu3erxu3h||lebo1mesbo1dbo1,پارچه‌لانماسندن
parçalanmasını,bu3erxu3h||lebo1msbo1y,پارچه‌لانمسنی
parçalanmasıyla,bu3erxu3h||lebo1mesylh,پارچه‌لانماسیله
parçalanmaya,bu3erxu3h||lebo1mao1h,پارچه‌لانمغه
parçalanmayan,bu3erxu3h||lebo1myebo1,پارچه‌لانمیان
parçalanmağa,bu3erxu3h||lebo1mao1h,پارچه‌لانمغه
parçalanmış,bu3erxu3h||lebo1mso3,پارچه‌لانمش
parçalanmıştır,bu3erxu3h||lebo1mso3dr,پارچه‌لانمشدر
parçalansa,bu3erxu3h||lebo1sh,پارچه‌لانسه
parçalanıp,bu3erxu3h||lebo1wbu1,پارچه‌لانوب
parçalanır,bu3erxu3h||lebo1yr,پارچه‌لانیر
parçalanırsam,bu3erxu3h||lebo1yrsh||m,پارچه‌لانیرسه‌م
parçalanıyor,bu3erxu3h||lebo1ywr,پارچه‌لانیور
parçalar,bu3erxu3h||lr,پارچه‌لر
parçalara,bu3erxu3h||lrh,پارچه‌لره
parçalardan,bu3erxu3h||lrdbo1,پارچه‌لردن
parçalardır,bu3erxu3h||lrdr,پارچه‌لردر
parçalarla,bu3erxu3h||lrlh,پارچه‌لرله
parçalarsın,bu3erxu3h||lersko3,پارچه‌لارسڭ
parçaları,bu3erxu3h||lry,پارچه‌لری
parçalarıdır,bu3erxu3h||lrydr,پارچه‌لریدر
parçalarımızı,bu3erxu3h||lrymro1y,پارچه‌لریمزی
parçaların,bu3erxu3h||lrko3,پارچه‌لرڭ
parçalarına,bu3erxu3h||lrybo1h,پارچه‌لرینه
parçalarında,bu3erxu3h||lrbo1dh,پارچه‌لرنده
parçalarından,bu3erxu3h||lrbo1dbo1,پارچه‌لرندن
parçalarını,bu3erxu3h||lrybo1y,پارچه‌لرینی
parçalarının,bu3erxu3h||lrybo1ko3,پارچه‌لرینڭ
parçalarıyla,bu3erxu3h||lrylh,پارچه‌لریله
parçalasın,bu3erxu3h||lesybo1,پارچه‌لاسین
parçalat,bu3erxu3elebo2,پارچالات
parçalatmak,bu3erxu3elebo2mfo2,پارچالاتمق
parçalayabilir,bu3erxu3h||leyh||bu1ylyr,پارچه‌لایه‌بیلیر
parçalayacak,bu3erxu3h||leyh||xu1fo2,پارچه‌لایه‌جق
parçalayacaktır,bu3erxu3h||leyh||xu1fo2dr,پارچه‌لایه‌جقدر
parçalayacağız,bu3erxu3h||leyh||xu1ao1ro1,پارچه‌لایه‌جغز
parçalayan,bu3erxu3h||leyebo1,پارچه‌لایان
parçalayarak,bu3erxu3h||leyh||rfo2,پارچه‌لایه‌رق
parçalayıcı,bu3erxu3h||leyyxu1y,پارچه‌لاییجی
parçalayıp,bu3erxu3h||leywbu1,پارچه‌لایوب
parçalıyor,bu3erxu3h||leywr,پارچه‌لایور
parçalıyorlar,bu3erxu3h||leywrlr,پارچه‌لایورلر
parçalıyorsun,bu3erxu3h||leywrsko3,پارچه‌لایورسڭ
parçanın,bu3erxu3h||bo1ko3,پارچه‌نڭ
parçası,bu3erxu3h||sy,پارچه‌سی
parçasıdır,bu3erxu3h||sydr,پارچه‌سیدر
parçasına,bu3erxu3h||sbo1h,پارچه‌سنه
parçasında,bu3erxu3h||sbo1dh,پارچه‌سنده
parçasındaki,bu3erxu3h||sbo1dh||ky,پارچه‌سنده‌کی
parçasından,bu3erxu3h||sbo1dbo1,پارچه‌سندن
parçasını,bu3erxu3h||sbo1y,پارچه‌سنی
parçasının,bu3erxu3h||sbo1ko3,پارچه‌سنڭ
parçasıyla,bu3erxu3h||sylh,پارچه‌سیله
parçaya,bu3erxu3h||yh,پارچه‌یه
parçayı,bu3erxu3h||yy,پارچه‌یی
parçe,bu3erxu3h||,پارچه‌
parıl,bu3erbu2l,پاريل
parıl,bu3eryl,پاریل
parıldadığı,bu3eryldedyao1y,پاریلدادیغی
parıldama,bu3erbu2ldemh,پاريلدامه
parıldama,bu3eryldemh||,پاریلدامه‌
parıldamak,bu3rldemfo2,پرلدامق
parıldamaktadır,bu3eryldemfo2dh||dr,پاریلدامقده‌در
parıldayan,bu3eryldeyebo1,پاریلدایان
parıldıyor,bu3eryldyywr,پاریلدییور
parıltı,bu3erbu2lbo2y,پاريلتی
parıltı,bu3erylbo2y,پاریلتی
parıltıdır,bu3erylbo2ydr,پاریلتیدر
parıltılar,bu3erylbo2ylr,پاریلتیلر
parıltıları,bu3erylbo2ylry,پاریلتیلری
parıltılarının,bu3erylbo2ylrybo1ko3,پاریلتیلرینڭ
parıltısı,bu3erlbo2ysy,پارلتیسی
parıltısına,bu3erylbo2ysbo1h,پاریلتیسنه
parıltısından,bu3erylbo2ysbo1dbo1,پاریلتیسندن
parıltısını,bu3erlbo2ysbo1y,پارلتیسنی
pas,bu3es,پاس
pasak,bu3esefo2,پاساق
pasaklı,bu3esefo2ly,پاساقلی
pasaport,bu3esebu3wrbo2,پاساپورت
pasaport,bu3esh bu3wrth,پاسه پورطه
pasaport,bu3esh bu3wrth||,پاسه پورطه‌
pasaportudur,bu3esebu3wrbo2ydr,پاساپورتیدر
pasban,bu3esbu1ebo1,پاسبان
pasinler'in,bu3esybo1lrko3,پاسینلرڭ
pasinler,bu3esybo1lr,پاسینلر
paskal,bu3esfo2el,پاسقال
paskalya,bu3esfo2elbu2e,پاسقاليا
paskalya,bu3esfo2elye,پاسقالیا
paskalyalık,bu3esfo2elbu2elfo2,پاسقاليالق
paskalyalık,bu3esfo2elyelfo2,پاسقالیالق
paslan,bu3eslebo1,پاسلان
paslandıran,bu3ezlebo1dyrebo1,پاصلاندیران
paslandırmak,bu3eslebo1drmfo2,پاسلاندرمق
paslandırmak,bu3ezlebo1drmfo2,پاصلاندرمق
paslanmak,bu3eslebo1mfo2,پاسلانمق
paslanmamış,bu3ezlebo1memso3,پاصلانمامش
paslanmış,bu3eslebo1mso3,پاسلانمش
paslanmış,bu3ezlebo1mso3,پاصلانمش
paslanmıştı,bu3ezlebo1mso3dy,پاصلانمشدی
paslanıp,bu3ezlebo1wbu1,پاصلانوب
paslarını,bu3ezlrybo1y,پاصلرینی
paslı,bu3eslw,پاسلو
paslı,bu3esly,پاسلی
paso,bu3esw,پاسو
paspas,bu3esbu3es,پاسپاس
pasta,bu3esbo2e,پاستا
pastacı,bu3esbo2exu1y,پاستاجی
pastal,bu3ztel,پصطال
pastala,bu3esbo2ele,پاستالا
pastalamak,bu3esbo2elemfo2,پاستالامق
pastalı,bu3esbo2ely,پاستالی
pastırma,bu3ezdbu2rmh,پاصديرمه
pastırma,bu3ezdyrmh||,پاصدیرمه‌
pası,bu3ezy,پاصی
pat,bu3ebo2,پات
patadak düşmek,bu3eth dfo2 dwso3mk,پاطه دق دوشمک
patadak,bu3eth dfo2,پاطه دق
patakla,bu3ebo2efo2le,پاتاقلا
pataklamak,bu3ebo2efo2lemfo2,پاتاقلامق
patenta,bu3ebo2bo1bo2h,پاتنته
patenta,bu3ebo2bo1bo2h||,پاتنته‌
patentalı,bu3ebo2bo1bo2h lw,پاتنته لو
patik,bu3ebo2bu2k,پاتيک
patik,bu3ebo2yk,پاتیک
patika,bu3ebo2bu2fo2e,پاتيقا
patika,bu3ebo2yfo2e,پاتیقا
patinaj,bu3ebo2bu2bo1ero3,پاتيناژ
patinaj,bu3ebo2ybo1ero3,پاتیناژ
patiska,bu3ebo2bu2sfo2e,پاتيسقا
patiska,bu3ebo2ysfo2e,پاتیسقا
patiska,bu3ebo2ysfo2h,پاتیسقه
patiska,bu3o4ebo2u4so0fo2ho4,پَاتِسْقهَ
patiskadan,bu3ebo2ysfo2h||dbo1,پاتیسقه‌دن
pati̇ska,bu3o4ebo2u4so0fo2ho4,پَاتِسْقهَ
patküt,bu3ebo2<>kwbo2,پات‌کوت
patküt,bu3ebo2||kwbo2,پات‌کوت
patla,bu3ebo2le,پاتلا
patladı,bu3etledy,پاطلادی
patlak,bu3ebo2lefo2,پاتلاق
patlak,bu3etlefo2,پاطلاق
patlama,bu3ebo2lemh,پاتلامه
patlama,bu3ebo2lemh||,پاتلامه‌
patlama,bu3etlemh,پاطلامه
patlamak,bu3ebo2lefo2,پاتلاق
patlamak,bu3ebo2lemfo2,پاتلامق
patlamak,bu3etlemfo2,پاطلامق
patlamalı,bu3etlemely,پاطلامالی
patlaması,bu1etlemesy,باطلاماسی
patlamasıdır,bu3etlemesydr,پاطلاماسیدر
patlamasına,bu3etlemesbo1h,پاطلاماسنه
patlamasıyla,bu3etlemsylh,پاطلامسیله
patlangaç,bu3ebo2lebo1ao1bu2xu1,پاتلانغيج
patlangaç,bu3ebo2lebo1ao1yxu1,پاتلانغیج
patlar,bu3etler,پاطلار
patlasa,bu3ebo2lesh,پاتلاسه
patlasalar,bu3etlesh||lr,پاطلاسه‌لر
patlat,bu3ebo2lebo2,پاتلات
patlatmak,bu3ebo2lebo2mfo2,پاتلاتمق
patlattırdı,bu3ebo2lebo2dyrdy,پاتلاتدیردی
patlattırdılar,bu3etlebo2dyrdylr,پاطلاتدیردیلر
patlatıp,bu3etlebo2wbu1,پاطلاتوب
patlatır,bu3etlebo2yr,پاطلاتیر
patlayacak,bu3etleyh||xu1fo2,پاطلایه‌جق
patlayıp,bu3etleywbu1,پاطلایوب
patlayış,bu3ebo2lebu2bu2so3,پاتلاييش
patlayış,bu3ebo2lebu2so3,پاتلايش
patlayış,bu3ebo2leyso3,پاتلایش
patlayış,bu3ebo2leyyso3,پاتلاییش
patlayış,bu3etlebu2so3,پاطلايش
patlayış,bu3etleyso3,پاطلایش
patlayış,bu3etleyyso3,پاطلاییش
patlıcan,bu3etlbu2xu1ebo1,پاطليجان
patlıcan,bu3etlxu1ebo1,پاطلجان
patlıcan,bu3etlyxu1ebo1,پاطلیجان
patlıcanları,bu3ebo2lyxu1ebo1lry,پاتلیجانلری
patrik,bu3trbu2fo2,پطريق
patrik,bu3tryfo2,پطریق
patrikane,bu3tryfo2xo1ebo1h||,پطریقخانه‌
patrikleri,bu3etryfo2lry,پاطریقلری
patriklik,bu3trbu2fo2lk,پطريقلک
patriklik,bu3tryfo2lk,پطریقلک
patrikâne,bu3trbu2fo2xo1ebo1h,پطريقخانه
patron,bu3ebo2rwbo1,پاترون
patrona paşa,bu3trwbo1h bu3eso3e,پطرونه پاشا
patrona,bu3ebo2rwbo1e,پاترونا
patır patır,bu3ebo2bu2r bu3ebo2bu2r,پاتير پاتير
patır patır,bu3ebo2yr bu3ebo2yr,پاتیر پاتیر
patırdı,bu3ebo2bu2rdy,پاتيردی
patırdı,bu3ebo2yrdy,پاتیردی
patırkütür,bu3ebo2bu2rkwbo2wr,پاتيرکوتور
patırkütür,bu3ebo2yrkwbo2wr,پاتیرکوتور
patırtı,bu3etrdy,پاطردی
patırtısı,bu3etyrbo2ysy,پاطیرتیسی
pavyon,bu3ewbu2bu2wbo1,پاوييون
pavyon,bu3ewyywbo1,پاوییون
pay,bu3ey,پای
pay-i taht,bu3eybo2xo1bo2,پایتخت
pay-mal,bu3eymel,پایمال
payan,bu3eyebo1,پایان
payan,bu3o4eyo4ebo1o0,پَایَانْ
payanada,bu3ebu2ebo1de,پاياندا
payanada,bu3eyebo1de,پایاندا
payansız,bu3eyebo1sro1,پایانسز
paybend,bu3ebu2bu1bo1d,پايبند
paybend,bu3eybu1bo1d,پایبند
paybusi,bu3eybu1wsy,پایبوسی
paydak,bu3bu2defo2,پيداق
paydak,bu3ydefo2,پیداق
paydar etmek,bu3eydere,پایدارا
paydar olmak,bu3eyderew,پایداراو
paydar,bu3eyder,پایدار
paydos,bu3ebu2dws,پايدوس
paydos,bu3eydws,پایدوس
paydostan,bu3eydwsdbo1,پایدوسدن
paydostur,bu3eydwsdr,پایدوسدر
paydosundan,bu3eydwsbo1dbo1,پایدوسندن
paydâr olmak,bu3ebu2derew,پايداراو
paydâr,bu3ebu2der,پايدار
paye,bu3eyh,پایه
paye,bu3eyh||,پایه‌
payeleri,bu3eyh||lry,پایه‌لری
payende vurmak,bu3eybo1dh ewrmfo2,پاینده اورمق
payende,bu3ebu2bo1dh,پاينده
payende,bu3eybo1dh||,پاینده‌
payesine,bu3eyh||sbo1h,پایه‌سنه
paygamberlik etmek,bu3bu2ao1mbu1rlk e,پيغمبرلک ا
paygamberlik etmek,bu3yao1mbu1rlk e,پیغمبرلک ا
payidar,bu3eyder,پایدار
payimal,bu3eymel,پایمال
payin,bu3eyybo1,پایین
payitaht,bu3eybo2xo1bo2,پایتخت
payitaht,bu3ey||bo2xo1bo2,پای‌تخت
payitaht,bu3o4eyu4 bo2o4xo1o0bo2o0,پَایِ تَخْتْ
payitaht-ı,bu3ey||bo2xo1bo2u4,پای‌تختِ
payitahtları,bu3ey||bo2xo1bo2lry,پای‌تختلری
payitahtı,bu3ey||bo2xo1bo2y,پای‌تختی
payitahtına,bu3ey||bo2xo1bo2bo1h,پای‌تختنه
payitahtında,bu3ey||bo2xo1bo2bo1dh,پای‌تختنده
payiz,bu3eyyro1,پاییز
payi̇taht,bu3o4eyu4 bo2o4xo1o0bo2o0,پَایِ تَخْتْ
paykub,bu3eykwbu1,پایکوب
payla,bu3eyle,پایلا
paylamak,bu3ebu2lemfo2,پايلامق
paylamak,bu3eylemfo2,پایلامق
paylaş,bu3eyleso3,پایلاش
paylaşdır,bu3eyleso3dyr,پایلاشدیر
paylaşdırmak,bu3ebu2leso3dbu2rmfo2,پايلاشديرمق
paylaşdırmak,bu3eyleso3dyrmfo2,پایلاشدیرمق
paylaşmak,bu3ebu2leso3mfo2,پايلاشمق
paylaşmak,bu3eyleso3mfo2,پایلاشمق
paylaşsam,bu3eyleso3sh||m,پایلاشسه‌م
paylaşsın,bu3eyleso3sybo1,پایلاشسین
paylaşırsınız,bu3eyleso3yrsko3ro1,پایلاشیرسڭز
payı,bu3eyy,پایی
payıtaht,bu3ebu2bo2xo1bo2,پايتخت
payıtaht,bu3eybo2xo1bo2,پایتخت
pazar günü,bu3ero1erkwbo1y,پازارکونی
pazar,bu1ero1er,بازار
pazar,bu3ero1er,پازار
pazar-ertesi,bu3ero1ererbo2sy,پازارارتسی
pazara,bu3ero1erh,پازاره
pazarcı,bu3ero1erxu1y,پازارجی
pazarcık,bu3ero1erxu1fo2,پازارجق
pazarda,bu3ero1erdh,پازارده
pazardan,bu3ero1erdbo1,پازاردن
pazardır,bu3ero1erdr,پازاردر
pazarlaş,bu3ero1erleso3,پازارلاش
pazarlaşmak,bu3ero1erleso3mfo2,پازارلاشمق
pazarlık etmek,bu3ero1erlfo2 e,پازارلق ا
pazarlık,bu3ero1erlfo2,پازارلق
pazartesi,bu3ero1erebu2rbo2h||sy,پازارايرته‌سی
pazartesi,bu3ero1ereyrbo2h<>sy,پازارایرته‌سی
pazarı,bu3ero1ery,پازاری
pazarıdır,bu3ero1erydr,پازاریدر
pazarına,bu3ero1erybo1h,پازارینه
pazı,bu3ero1y,پازی
paça,bu3exu3e,پاچا
paça,bu3exu3h,پاچه
paça,bu3exu3h||,پاچه‌
paçacı,bu3exu3exu1y,پاچاجی
paçalı,bu3exu3ely,پاچالی
paçavra,bu3exu3ewre,پاچاورا
paçavra,bu3xu1ewrh,پجاوره
paçavra,bu3xu1ewrh||,پجاوره‌
paçavra,bu3xu3ewrh,پچاوره
paçavra,bu3xu3ewrh||,پچاوره‌
paçavracı,bu3exu3ewrexu1y,پاچاوراجی
paçavradır,bu3exu3ewredr,پاچاورادر
paçavralar,bu3exu3ewrelr,پاچاورالر
paçavraları,bu3exu3ewrelry,پاچاورالری
paçavraya,bu3exu3ewreyh,پاچاورایه
paçe,bu3exu3h||,پاچه‌
paş,bu3eso3,پاش
paşa gemisi,bu3eso3ekmbu2sy,پاشاکميسی
paşa gemisi,bu3eso3ekmysy,پاشاکمیسی
paşa kapısı,bu3eso3e fo2bu3wsy,پاشا قپوسی
paşa'nın,bu3eso3ebo1ko3,پاشانڭ
paşa'ya,bu3eso3eyh,پاشایه
paşa'yı,bu3eso3eyy,پاشایی
paşa,bu3eso3e,پاشا
paşalar,bu3eso3elr,پاشالر
paşalara,bu3eso3elrh,پاشالره
paşaları,bu3eso3elry,پاشالری
paşaların,bu3eso3elrko3,پاشالرڭ
paşalık,bu3eso3elfo2,پاشالق
paşanın,bu3eso3ebo1ko3,پاشانڭ
paşasıdır,bu3eso3esydr,پاشاسیدر
paşaya,bu3eso3eyh,پاشایه
pedagog,bu3dh||ao1wao1,پده‌غوغ
pedagoglar,bu3dh||ao1wao1lr,پده‌غوغلر
pedagoji,bu3h<>deao1wro3y,په‌داغوژی
pedagoji,bu3h||deao1wro3y,په‌داغوژی
pedagok,bu3h<>deao1wao1,په‌داغوغ
pedagok,bu3h||deao1wao1,په‌داغوغ
pedal,bu3h<>del,په‌دال
pedal,bu3h||del,په‌دال
pedegoglar,bu3dh||ao1wao1lr,پده‌غوغلر
peder,bu3dr,پدر
peder,bu3o4do4ro0,پَدَرْ
pederane,bu3drebo1h,پدرانه
pederane,bu3drebo1h||,پدرانه‌
pederanenin,bu3drebo1h||bo1ko3,پدرانه‌نڭ
pederaneyi,bu3drebo1h||yy,پدرانه‌یی
pederde,bu3drdh,پدرده
pedere,bu3drh,پدره
pederi,bu3dry,پدری
pederidir,bu3drydr,پدریدر
pederim,bu3drm,پدرم
pederime,bu3drymh,پدریمه
pederimin,bu3drymko3,پدریمڭ
pederin,bu3drko3,پدرڭ
pederinden,bu3drbo1dbo1,پدرندن
pederine,bu3drybo1h,پدرینه
pederini,bu3drybo1y,پدرینی
pederinin,bu3drybo1ko3,پدرینڭ
pederiniz,bu3dryko3ro1,پدریڭز
pederinize,bu3dryko3ro1h,پدریڭزه
pederinizin,bu3dryko3ro1ko3,پدریڭزڭ
pederiyle,bu3drylh,پدریله
pederler,bu3drlr,پدرلر
pederleri,bu3drlry,پدرلری
pederlerim,bu3drlrm,پدرلرم
pederlerimize,bu3drlrymro1h,پدرلریمزه
pederlerinde,bu3drlrbo1dh,پدرلرنده
pederlerine,bu3drlrybo1h,پدرلرینه
pederlerini,bu3drlrybo1y,پدرلرینی
pederlerinin,bu3drlrybo1ko3,پدرلرینڭ
pederleriniz,bu3drlryko3ro1,پدرلریڭز
pederlerinizdir,bu3drlryko3ro1dr,پدرلریڭزدر
pederlik,bu3drlk,پدرلک
pedersiz,bu3drsro1,پدرسز
pederâne,bu3drebo1h,پدرانه
pederî,bu3dry,پدری
pederşahi,bu3drso3ehy,پدرشاهی
pederşâhî,bu3drso3ehy,پدرشاهی
pehlevan,bu3hlwebo1,پهلوان
pehlevân,bu3hlwebo1,پهلوان
pehlivan,bu3hlwebo1,پهلوان
pehlivanları,bu3hlwebo1lry,پهلوانلری
pehlivanı,bu3hlwebo1y,پهلوانی
pehlivân,bu3hlwebo1,پهلوان
pehlu,bu3hlw,پهلو
pehlû,bu3hlw,پهلو
pehn,bu3hbo1,پهن
pehnaver,bu3hbo1ewr,پهناور
pehnâver,bu3hbo1ewr,پهناور
pehpeh,bu3h<>h<>bu3h<>h||,په‌ه‌په‌ه‌
pehpeh,bu3h||h||bu3h||h,په‌ه‌په‌ه
pehpehle,bu3h<>h<>bu3h<>hlh<>,په‌ه‌په‌هله‌
pehpehlemek,bu3h<>h<>bu3h<>hlh<>mk,په‌ه‌په‌هله‌مک
pehpehlemek,bu3h||h||bu3h||hlh||mk,په‌ه‌په‌هله‌مک
pehriz,bu3rhbu2ro1,پرهيز
pehriz,bu3rhyro1,پرهیز
pejmürde,bu1ro3mrdh,بژمرده
pejmürde,bu1ro3mrdh||,بژمرده‌
pejmürde,bu3ro3mrdh,پژمرده
pejmürde,bu3ro3mrdh||,پژمرده‌
pek a'la,bu3k eale,پک اعلا
pek a'lâ,bu3k eale,پک اعلا
pek acıkmış,bu3k exu1fo2mso3,پک اجقمش
pek ala,bu3k eale,پک اعلا
pek alevlenmek,bu3k alw lbo1mk,پک علو لنمک
pek arzulu,bu3k erro1wlw,پک ارزولو
pek aç,bu3k exu1,پک اج
pek bakmak,bu3k bu1efo2mfo2,پک باقمق
pek benzer,bu3k bu1kro1r,پک بکزر
pek boylanmış,bu3k bu1wbu2lbo1mso3,پک بويلنمش
pek boylanmış,bu3k bu1wylbo1mso3,پک بویلنمش
pek büyük,bu3k bu1bu2wk,پک بيوک
pek büyük,bu3k bu1ywk,پک بیوک
pek büyümüş,bu3k bu1bu2wmso3,پک بيومش
pek büyümüş,bu3k bu1ywmso3,پک بیومش
pek cüz'i,bu3k xu1ro1bo5y,پک جزئی
pek cüz'î,bu3k xu1ro1bo5y,پک جزئی
pek de lüzumu olmayan,bu3kdh lro1wmy ewlmyebo1,پکده لزومی اولمیان
pek de lüzûmu olmayan,bu3kdh lro1wmy ewlmbu2ebo1,پکده لزومی اولميان
pek de zararı olmayan,bu3kdh zo1rry ewlmbu2ebo1,پکده ضرری اولميان
pek de zararı olmayan,bu3kdh zo1rry ewlmyebo1,پکده ضرری اولمیان
pek dikkat eder,bu3k dfo2bo2 ebu2dr,پک دقت ايدر
pek dikkat eder,bu3k dfo2bo2 eydr,پک دقت ایدر
pek dikkat edici,bu3k dfo2bo2 ebu2dbu2xu1y,پک دقت ايديجی
pek dikkat edici,bu3k dfo2bo2 eydyxu1y,پک دقت ایدیجی
pek fena gelmek,bu3k fo1bo1e klmk,پک فنا کلمک
pek fena kokmak,bu3k fo1bo1e fo2wfo2mfo2,پک فنا قوقمق
pek fena,bu3k fo1bo1e,پک فنا
pek fenâ gelmek,bu3k fo1bo1e klmk,پک فنا کلمک
pek fenâ,bu3k fo1bo1e,پک فنا
pek fırtına olmak,bu3k fo1rtwbo1h ew,پک فرطونه او
pek gevrek,bu3k kwrk,پک کورک
pek güzel,bu3k kwro1l,پک کوزل
pek istekli,bu3k esbo2klw,پک استکلو
pek istemek,bu3k esbo2mk,پک استمک
pek iyi,bu3k ebu2w,پک ايو
pek iyi,bu3k ebu2y,پک ايی
pek iyi,bu3k eyw,پک ایو
pek iyi,bu3k eyy,پک ایی
pek kabih,bu3k fo2bu1yx,پک قبیح
pek kabîh,bu3k fo2bu1bu2x,پک قبيح
pek kavi söyler,bu3k fo2wy swylr,پک قوی سویلر
pek kavî söyler,bu3k fo2wy swbu2lr,پک قوی سويلر
pek kerih,bu3k kryh||,پک کریه‌
pek kerîh,bu3k krbu2h,پک کريه
pek kolay kırılır,bu3k fo2wley fo2bu2rbu2lwr,پک قولای قيريلور
pek kolay kırılır,bu3k fo2wley fo2yrylwr,پک قولای قیریلور
pek korkulu,bu3k fo2wrfo2wlw,پک قورقولو
pek külliyetli,bu3k klbu2bo2lw,پک کليتلو
pek külliyetli,bu3k klybo2lw,پک کلیتلو
pek kıymetli,bu3k fo2bu2mbo2lw,پک قيمتلو
pek kıymetli,bu3k fo2ymbo2lw,پک قیمتلو
pek latif,bu3k ltyfo1,پک لطیف
pek latîf,bu3k ltbu2fo1,پک لطيف
pek layıksız,bu3k leyfo2sro1,پک لایقسز
pek lâyıksız,bu3k lebu2fo2sro1,پک لايقسز
pek mahuf,bu3k mxo1wfo1,پک مخوف
pek mahûf,bu3k mxo1wfo1,پک مخوف
pek muhibb,bu3k mhybu1,پک مهیب
pek muhîbb,bu3k mhbu2bu1,پک مهيب
pek münasebetsiz,bu3k mbo1esbu1bo2sro1,پک مناسبتسز
pek münâsebetsiz,bu3k mbo1esbu1bo2sro1,پک مناسبتسز
pek nazik,bu3k bo1ero1k,پک نازک
pek niyaz etmek,bu3k bo1yero1e,پک نیازا
pek niyâz etmek,bu3k bo1bu2ero1e,پک نيازا
pek nâzik,bu3k bo1ero1k,پک نازک
pek okumak,bu3k ewfo2wmfo2,پک اوقومق
pek oynamak seven çocuk,bu3k ewbu2bo1emfo2 swbo1 xu3wxu1fo2,پک اوينامق سون چوجق
pek oynamak seven çocuk,bu3k ewybo1emfo2 swbo1 xu3wxu1fo2,پک اوینامق سون چوجق
pek parlamak,bu3k bu3erlemfo2,پک پارلامق
pek parlayış,bu3k bu3erlebu2so3,پک پارلايش
pek parlayış,bu3k bu3erleyso3,پک پارلایش
pek rica etmek,bu3k rxu1e e,پک رجا ا
pek ricâ etmek,bu3k rxu1e e,پک رجا ا
pek sabah,bu3k zbu1ex,پک صباح
pek sert,bu3k srbo2,پک سرت
pek ses vermek,bu3k ss wbu2rmk,پک سس ويرمک
pek ses vermek,bu3k ss wyrmk,پک سس ویرمک
pek ses,bu3k ss,پک سس
pek sesli,bu3k sslw,پک سسلو
pek sever,bu3k swr,پک سور
pek sevinmiş,bu3k swbo1mso3,پک سونمش
pek sevinçli,bu3k swbo1xu1lw,پک سونجلو
pek solumak,bu3k zwlwmfo2,پک صولومق
pek söylemek,bu3k swbu2lmk,پک سويلمک
pek söylemek,bu3k swylmk,پک سویلمک
pek sıklık,bu3k zbu2fo2lfo2 ao1lbu1h lfo2,پک صيقلق غلبه لق
pek sıklık,bu3k zyfo2lfo2 ao1lbu1h lfo2,پک صیقلق غلبه لق
pek tafsilata girişmek,bu3k bo2fo1zylebo2h kyrso3mk,پک تفصیلاته کیرشمک
pek tafsîlâta girişmek,bu3k bo2fo1zbu2lebo2h kbu2rso3mk,پک تفصيلاته کيرشمک
pek tatlı,bu3k tebo2lw,پک طاتلو
pek teklifsiz,bu3k bo2klyfo1sro1,پک تکلیفسز
pek teklîfsiz,bu3k bo2klbu2fo1sro1,پک تکليفسز
pek yalvarmak,bu3k bu2elwermfo2,پک يالوارمق
pek yalvarmak,bu3k yelwermfo2,پک یالوارمق
pek yüz vermek,bu3k bu2wro1wbu2rmk,پک يوزويرمک
pek yüz vermek,bu3k ywro1wyrmk,پک یوزویرمک
pek âlâ,bu3k eale,پک اعلا
pek çağırmak,bu3k xu3eao1rmfo2,پک چاغرمق
pek çirkin,bu3k xu3rkbu2bo1,پک چرکين
pek çirkin,bu3k xu3rkybo1,پک چرکین
pek ümidçi,bu3k emydxu1y,پک امیدجی
pek ümîdçi,bu3k embu2dxu1y,پک اميدجی
pek,bu3k,پک
pekala,bu3k eale,پک اعلا
pekce,bu3kxu3h,پکچه
pekce,bu3kxu3h||,پکچه‌
peki,bu3ky,پکی
pekiş,bu3kyso3,پکیش
pekişmek,bu3kbu2so3mk,پکيشمک
pekişmek,bu3kso3mk,پکشمک
pekişmek,bu3kyso3mk,پکیشمک
pekiştir,bu3kyso3dyr,پکیشدیر
pekiştirmek,bu3kbu2so3dbu2rmk,پکيشديرمک
pekiştirmek,bu3kso3drmk,پکشدرمک
pekiştirmek,bu3kyso3dyrmk,پکیشدیرمک
peklik,bu3klk,پکلک
pekmez,bu1kmro1,بکمز
pekmez,bu3kmro1,پکمز
peksimet,bu3ksmebo2,پکسمات
pekâlâ,bu3k eale,پک اعلا
pekçok,bu3k xu3wfo2,پک چوق
pekçoktur,bu3k xu3wfo2dr,پک چوقدر
pekî,bu3ky,پکی
pelas,bu3les,پلاس
peleng,bu3lbo1ko7,پلنگ
pelesenk ağacı,bu3lsbo1k eao1exu1y,پلسنک اغاجی
