
c,xu1,ج
cebren kabul ettirmek,xu1bu1reo44 fo2bu1wl eybo2drmk,جبراً قبول ایتدرمک
cebren kabûl ettirmek,xu1bu1reo44 fo2bu1wl ebu2bo2drmk,جبراً قبول ايتدرمک
cebren,xu1bu1re,جبرا
cebren,xu1bu1reo44,جبراً
cebren,xu1bu1ro44e,جبرًا
cebren,xu1o4bu1o0ro44e,جَبْرًا
cebretmesi,xu1bu1r eybo2mh||sy,جبر ایتمه‌سی
cebretmeyi,xu1bu1r eybo2mko7y,جبر ایتمگی
cebretmez,xu1bu1r eybo2mro1,جبر ایتمز
cebrettiği,xu1bu1r eybo2dyko7y,جبر ایتدیگی
cebri,xu1bu1ry,جبری
cebri,xu1o4bu1o0ru4y,جَبْرِی
cebrin,xu1bu1rko3,جبرڭ
cebrinefs,xu1bu1rbo1fo1s,جبرنفس
cebriye,xu1bu1rbu2h,جبريه
cebriye,xu1bu1ryh,جبریه
cebriye,xu1bu1ryh||,جبریه‌
cebriyle,xu1bu1rylh,جبریله
cebri̇,xu1o4bu1o0ru4y,جَبْرِی
cebrâil,xu1bu1reyo5yl,جبرائیل
cebrî,xu1bu1ry,جبری
cebrî,xu1o4bu1o0ru4bu2,جَبْرِي
cebrîsiyle,xu1bu1rysylh,جبریسیله
cebâbire,xu1bu1ebu1rh,جبابره
cebânet,xu1bu1ebo1bo2,جبانت
cebânetin,xu1bu1ebo1bo2ko3,جبانتڭ
cebîn,xu1bu1bu2bo1,جبين
cebîn,xu1bu1ybo1,جبین
cebînindeki,xu1bu1ybo1bo1dh||ky,جبیننده‌کی
cebînlerinde,xu1bu1ybo1lrbo1dh,جبینلرنده
ced,xu1d,جد
cedavil,xu1dewl,جداول
cedavil-i,xu1dewlu4,جداولِ
cedavili,xu1dewly,جداولی
cedaviliyle,xu1dewlylh,جداولیله
cedd u cihet,xu1dwxu1hd,جدوجهد
cedd,xu1d,جد
cedd-i,xu1do8u4,جدِّ
cedde,xu1do8h,جدّه
ceddi,xu1do8y,جدّی
ceddimin,xu1do8ymko3,جدّیمڭ
ceddin,xu1do8ko3,جدّڭ
ceddinden,xu1do8bo1dbo1,جدّندن
ceddine,xu1do8ybo1h,جدّینه
ceddini,xu1do8ybo1y,جدّینی
ceddinin,xu1do8ybo1ko3,جدّینڭ
cedel,xu1dl,جدل
cedeli,xu1dly,جدلی
cedelî,xu1dly,جدلی
cedi,xu1dy,جدی
cedid u mücedded,xu1dydwmxo1dd,جدیدومخدد
cedid,xu1dyd,جدید
cedide,xu1dydh,جدیده
cedide,xu1dydh||,جدیده‌
cedide-i,xu1dydh||u4,جدیده‌ِ
cedidede,xu1dydh||dh,جدیده‌ده
cedideden,xu1dydh||dbo1,جدیده‌دن
cedidenin,xu1dydh||bo1ko3,جدیده‌نڭ
cedideye,xu1dydh||yh,جدیده‌یه
cedideyi,xu1dydh||yy,جدیده‌یی
cedidi,xu1dydy,جدیدی
cedleri,xu1dlry,جدلری
cedlerinden,xu1dlrbo1dbo1,جدلرندن
cedlerinizden,xu1dlryko3ro1dbo1,جدلریڭزدن
cedvel şeklinde,xu1dwl so3klbo1dh,جدول شکلنده
cedvel şeklinde,xu1dwl so3klbo1dh||,جدول شکلنده‌
cedvel,xu1dwl,جدول
cedvel,xu1o4do0wo4lo0,جَدْوَلْ
cedvelde,xu1dwldh,جدولده
cedvelden,xu1dwldbo1,جدولدن
cedveldir,xu1dwldr,جدولدر
cedvele,xu1dwlh,جدوله
cedveli,xu1dwly,جدولی
cedvelimiz,xu1dwlmro1,جدولمز
cedvelin,xu1dwlko3,جدولڭ
cedvelinde,xu1dwlbo1dh,جدولنده
cedvelinden,xu1dwlbo1dbo1,جدولندن
cedvelini,xu1dwlbo1y,جدولنی
cedvelinin,xu1dwlbo1ko3,جدولنڭ
cedveliyle,xu1dwlylh,جدولیله
cedveller,xu1dwllr,جدوللر
cedvellerden,xu1dwllrdbo1,جدوللردن
cedvelleri,xu1dwllry,جدوللری
cedvellerin,xu1dwllrko3,جدوللرڭ
cedâvil,xu1dewl,جداول
cedî,xu1dy,جدی
cedîd u mücedded,xu1dbu2dwmxo1dd,جديدومخدد
cedîd,xu1dbu2d,جديد
cedîd,xu1dyd,جدید
cedîde,xu1dydh,جدیده
cefa,xu1fo1e,جفا
cefa,xu1o4fo1o4e,جَفَا
cefa-ender,xu1fo1e eo5bo1dr,جفا أندر
cefacu,xu1fo1exu1w,جفاجو
cefada,xu1fo1edh,جفاده
cefadan,xu1fo1edbo1,جفادن
cefadide,xu1fo1edydh||,جفادیده‌
cefakar,xu1fo1eker,جفاکار
cefakar,xu3fo1eker,چفاکار
cefakari,xu1fo1ekery,جفاکاری
cefakeş,xu1fo1ekso3,جفاکش
cefakâr,xu1fo1eker,جفاکار
cefalar,xu1fo1elr,جفالر
cefalara,xu1fo1elrh,جفالره
cefalarını,xu1fo1elrybo1y,جفالرینی
cefapişe,xu1fo1ebu3yso3h||,جفاپیشه‌
cefasını,xu1fo1esbo1y,جفاسنی
cefayı,xu1fo1eyy,جفایی
cefcaf,xu1fo1xu1efo1,جفجاف
cefcâf,xu1fo1xu1efo1,جفجاف
ceffelkalem,xu1fo1 elfo2lm,جف القلم
cefne,xu1fo1bo1h,جفنه
cefr,xu1fo1r,جفر
cefâ,xu1fo1e,جفا
cefâ,xu1o4fo1o4e,جَفَا
cefâcû,xu1fo1exu1w,جفاجو
cefâdîde,xu1fo1edydh,جفادیده
cefâkeş,xu1fo1ekso3,جفاکش
cefâkâr,xu1fo1eker,جفاکار
cefâkâr,xu3fo1eker,چفاکار
cefâkârî,xu1fo1ekery,جفاکاری
cefâpîşe,xu1fo1ebu3bu2so3h,جفاپيشه
cehalatından,xu1helebo2bo1dbo1,جهالاتندن
cehalet,xu1helbo2,جهالت
cehalet,xu1o4ho4elo4bo2o0,جَهَالَتْ
cehalete,xu1helbo2h,جهالته
cehaleti,xu1helbo2y,جهالتی
cehaletim,xu1helbo2m,جهالتم
cehaletimiz,xu1helbo2mro1,جهالتمز
cehaletimizin,xu1helbo2mro1ko3,جهالتمزڭ
cehaletin,xu1helbo2ko3,جهالتڭ
cehaletine,xu1helbo2bo1h,جهالتنه
cehaletini,xu1helbo2bo1y,جهالتنی
cehaletinizden,xu1helbo2ko3ro1dbo1,جهالتڭزدن
cehaletinizi,xu1helbo2ko3ro1y,جهالتڭزی
cehaletle,xu1helbo2lh,جهالتله
cehaletleri,xu1helbo2lry,جهالتلری
cehaletlerin,xu1helbo2lrko3,جهالتلرڭ
cehaletlerine,xu1helbo2lrybo1h,جهالتلرینه
cehaletlerini,xu1helbo2lrybo1y,جهالتلرینی
cehaletleriyle,xu1helbo2lrylh,جهالتلریله
cehaletperver,xu1helbo2||bu3rwr,جهالت‌پرور
cehalette,xu1helbo2dh,جهالتده
cehalettedir,xu1helbo2dh||dr,جهالتده‌در
cehaletten,xu1helbo2dbo1,جهالتدن
cehalettir,xu1helbo2dr,جهالتدر
cehd,xu1hd,جهد
cehd-i,xu1hdu4,جهدِ
cehdi,xu1hdy,جهدی
cehdidir,xu1hdydr,جهدیدر
cehdine,xu1hdybo1h,جهدینه
cehdini,xu1hdybo1y,جهدینی
cehdle,xu1hdlh,جهدله
cehele,xu1hlh,جهله
cehele,xu1hlh||,جهله‌
cehennem ol,xu1hbo1m ewl,جهنم اول
cehennem olmak,xu1hbo1m ew,جهنم او
cehennem taşı,xu1hbo1m teso3y,جهنم طاشی
cehennem'de,xu1hbo1o8mdh,جهنّمده
cehennem'den,xu1hbo1o8mdbo1,جهنّمدن
cehennem'dir,xu1hbo1o8mdr,جهنّمدر
cehennem'e,xu1hbo1o8mh,جهنّمه
cehennem'i,xu1hbo1o8my,جهنّمی
cehennem'in,xu1hbo1o8mko3,جهنّمڭ
cehennem'le,xu1hbo1o8mlh,جهنّمله
cehennem'siz,xu1hbo1o8msro1,جهنّمسز
cehennem,xu1hbo1m,جهنم
cehennem,xu1hbo1o8m,جهنّم
cehennem-i,xu1hbo1o8mu4,جهنّمِ
cehennem-nümun,xu1hbo1o8m||bo1mwbo1,جهنّم‌نمون
cehennemde,xu1hbo1o8mdh,جهنّمده
cehennemdedir,xu1hbo1o8mdh||dr,جهنّمده‌در
cehennemden,xu1hbo1o8mdbo1,جهنّمدن
cehennemdir,xu1hbo1o8mdr,جهنّمدر
cehenneme göndermek,xu1hbo1mh kwbo1drmk,جهنمه کوندرمک
cehenneme,xu1hbo1o8mh,جهنّمه
cehennemi,xu1hbo1my,جهنمی
cehennemi,xu1hbo1o8my,جهنّمی
cehennemidir,xu1hbo1o8mydr,جهنّمیدر
cehennemin,xu1hbo1o8mko3,جهنّمڭ
cehenneminden,xu1hbo1o8mbo1dbo1,جهنّمندن
cehennemini,xu1hbo1o8mbo1y,جهنّمنی
cehennemle,xu1hbo1o8mlh,جهنّمله
cehennemlerden,xu1hbo1o8mlrdbo1,جهنّملردن
cehennemlere,xu1hbo1o8mlrh,جهنّملره
cehennemleri,xu1hbo1o8mlry,جهنّملری
cehennemlerini,xu1hbo1o8mlrybo1y,جهنّملرینی
cehennemlik,xu1hbo1mlk,جهنملک
cehennemlik,xu1hbo1o8mlk,جهنّملک
cehennemliksiniz,xu1hbo1o8mlksko3ro1,جهنّملکسڭز
cehennemnümun,xu1hbo1o8m||bo1mwbo1,جهنّم‌نمون
cehennemî,xu1hbo1my,جهنمی
cehennemî,xu1hbo1o8my,جهنّمی
cehil'den,xu1hldbo1,جهلدن
cehil'in,xu1hlko3,جهلڭ
cehil'lerde,xu1hllrdh,جهللرده
cehil,xu1hl,جهل
cehil,xu1o4hu4lo0,جَهِلْ
cehil-i,xu1hlu4,جهلِ
cehilde,xu1hldh,جهلده
cehilden,xu1hldbo1,جهلدن
cehildendir,xu1hldbo1dr,جهلدندر
cehildir,xu1hldr,جهلدر
cehiller,xu1hllr,جهللر
cehilleri,xu1hllry,جهللری
cehillerini,xu1hllrybo1y,جهللرینی
cehi̇l,xu1o4hu4lo0,جَهِلْ
cehl'i,xu1hly,جهلی
cehl'in,xu1hlko3,جهلڭ
cehl,xu1hl,جهل
cehl-i azim,xu1o4ho0lu4 ao4to1u4ymo0,جَهْلِ عَظِیمْ
cehl-i azîm,xu1o4ho0lu4 ao4to1u4bu2mo0,جَهْلِ عَظِيمْ
cehl-i,xu1hlu4,جهلِ
cehl-i̇ azi̇m,xu1o4ho0lu4 ao4to1u4ymo0,جَهْلِ عَظِیمْ
cehle,xu1hlh,جهله
cehli,xu1hly,جهلی
cehlim,xu1hlm,جهلم
cehlimden,xu1hlmdbo1,جهلمدن
cehlime,xu1hlmh,جهلمه
cehlimizden,xu1hlmro1dbo1,جهلمزدن
cehlimizi,xu1hlmro1y,جهلمزی
cehlimizle,xu1hlmro1lh,جهلمزله
cehlin,xu1hlko3,جهلڭ
cehlinden,xu1hlbo1dbo1,جهلندن
cehlindendir,xu1hlko3dbo1dr,جهلڭدندر
cehline,xu1hlbo1h,جهلنه
cehlini,xu1hlbo1y,جهلنی
cehliniz,xu1hlko3ro1,جهلڭز
cehlistan,xu1hlsbo2ebo1,جهلستان
cehliyle,xu1hlylh,جهلیله
cehran,xu1hreo44,جهراً
cehrde,xu1hrdh,جهرده
cehren,xu1hre,جهرا
cehren,xu1hreo44,جهراً
cehren,xu1hro44e,جهرًا
cehri,xu1hry,جهری
cehriye,xu1hryh,جهریه
cehrî,xu1hry,جهری
cehâlet,xu1helbo2,جهالت
cehâlet,xu1o4ho4elo4bo2o0,جَهَالَتْ
cehûl,xu1hwl,جهول
cehûldür,xu1hwldr,جهولدر
cek,xu1k,جک
celadet,xu1ledbo2,جلادت
celadet-i,xu1ledbo2u4,جلادتِ
celadeti,xu1ledbo2y,جلادتی
celadetine,xu1ledbo2bo1h,جلادتنه
celadetle,xu1ledbo2lh,جلادتله
celadette,xu1ledbo2dh,جلادتده
celal'de,xu1leldh,جلالده
celal'den,xu1leldbo1,جلالدن
celal'e,xu1lelh,جلاله
celal'i,xu1lely,جلالی
celal'in,xu1lelko3,جلالڭ
celal'ler,xu1lellr,جلاللر
celal,xu1lel,جلال
celal,xu1o4lo4elo0,جَلَالْ
celal-i,xu1lelu4,جلالِ
celaldarane,xu1lelderebo1h,جلالدارانه
celalden,xu1leldbo1,جلالدن
celaldir,xu1leldr,جلالدر
celale,xu1lelh,جلاله
celaleddin'i,xu1lel eldybo1y,جلال الدینی
celaleddin'in,xu1lel eldybo1ko3,جلال الدینڭ
celaleddin,xu1lel eldybo1,جلال الدین
celaleddin-i,xu1lel eldybo1u4,جلال الدینِ
celalet,xu1lelbo2,جلالت
celaleti,xu1lelbo2y,جلالتی
celaletine,xu1lelbo2bo1h,جلالتنه
celaletini,xu1lelbo2bo1y,جلالتنی
celali,xu1lely,جلالی
celali,xu1o4lo4ely,جَلَالی
celalin,xu1lelko3,جلالڭ
celalinden,xu1lelko3dbo1,جلالڭدن
celaline,xu1lelbo1h,جلالنه
celalini,xu1lelbo1y,جلالنی
celalinin,xu1lelbo1ko3,جلالنڭ
celaliye,xu1lelyh,جلالیه
celaliye-i,xu1lelyh||u4,جلالیه‌ِ
celaliyenin,xu1lelyh||bo1ko3,جلالیه‌نڭ
celaliyesi,xu1lelyh||sy,جلالیه‌سی
celaliyesine,xu1lelyh||sbo1h,جلالیه‌سنه
celaliyesini,xu1lelyh||sbo1y,جلالیه‌سنی
celaliyesinin,xu1lelyh||sbo1ko3,جلالیه‌سنڭ
celaliyeye,xu1lelyh||yh,جلالیه‌یه
celaliyeyi,xu1lelyh||yy,جلالیه‌یی
celaliyle,xu1lelylh,جلالیله
celali̇,xu1o4lo4ely,جَلَالی
celalli,xu1lelly,جلاللی
celaluhu,xu1lelh,جلاله
celalî,xu1lely,جلالی
celalîdir,xu1lelydr,جلالیدر
celalühü'nün,xu1lelh||bo1ko3,جلاله‌نڭ
celalühü,xu1lelh,جلاله
celb etmek,xu1lbu1 e,جلب ا
celb,xu1lbu1,جلب
celb,xu1o4lo0bu1o0,جَلْبْ
celb-i dikkat,xu1o4lo0bu1u4 du4fo2o4o8bo2o0,جَلْبِ دِقَّتْ
celb-i,xu1lbu1u4,جلبِ
celb-i̇ di̇kkat,xu1o4lo0bu1u4 du4fo2o4o8bo2o0,جَلْبِ دِقَّتْ
celb-ül,xu1lbu1 el,جلب ال
celbe,xu1lbu1h,جلبه
celbedebilir,xu1lbu1 eydh||bu1ylyr,جلب ایده‌بیلیر
celbedebiliriz,xu1lbu1 eydh||bu1ylyrro1,جلب ایده‌بیلیرز
celbedecek,xu1lbu1 eydh||xu1k,جلب ایده‌جک
celbedecektir,xu1lbu1 eydh||xu1kdr,جلب ایده‌جکدر
celbedeceğiz,xu1lbu1 eydh||xu1ko7ro1,جلب ایده‌جگز
celbeden,xu1lbu1 eydbo1,جلب ایدن
celbeder,xu1lbu1 eydr,جلب ایدر
celbederek,xu1lbu1 eydh||rk,جلب ایده‌رک
celbederler,xu1lbu1 eydrlr,جلب ایدرلر
celbederse,xu1lbu1 eydrsh,جلب ایدرسه
celbedeyim,xu1lbu1 eydh||ym,جلب ایده‌یم
celbedilebilir,xu1lbu1 eydylh||bu1ylyr,جلب ایدیله‌بیلیر
celbedilen,xu1lbu1 eydylbo1,جلب ایدیلن
celbediliyor,xu1lbu1 eydylyywr,جلب ایدیلییور
celbedilmesi,xu1lbu1 eydylmh||sy,جلب ایدیلمه‌سی
celbedilmiş,xu1lbu1 eydylmso3,جلب ایدیلمش
celbedilsin,xu1lbu1 eydylsybo1,جلب ایدیلسین
celbedince,xu1lbu1 eydbo1xu1h,جلب ایدنجه
celbedip,xu1lbu1 eydwbu1,جلب ایدوب
celbediyor,xu1lbu1 eydyywr,جلب ایدییور
celbediyorlar,xu1lbu1 eydyywrlr,جلب ایدییورلر
celbediyorum,xu1lbu1 eydyywrm,جلب ایدییورم
celbediyoruz,xu1lbu1 eydyywrro1,جلب ایدییورز
celbet,xu1lbu1 eybo2,جلب ایت
celbetmek,xu1lbu1 eybo2mk,جلب ایتمک
celbetmekle,xu1lbu1 eybo2mklh,جلب ایتمکله
celbetmekliğin,xu1lbu1 eybo2mklko7ko3,جلب ایتمکلگڭ
celbetmekte,xu1lbu1 eybo2mkdh,جلب ایتمکده
celbetmektedir,xu1lbu1 eybo2mkdh||dr,جلب ایتمکده‌در
celbetmekti,xu1lbu1 eybo2mkdy,جلب ایتمکدی
celbetmektir,xu1lbu1 eybo2mkdr,جلب ایتمکدر
celbetmeliyiz,xu1lbu1 eybo2mh||ly||yro1,جلب ایتمه‌لی‌یز
celbetmemek,xu1lbu1 eybo2mh||mk,جلب ایتمه‌مک
celbetmeniz,xu1lbu1 eybo2mh||ko3ro1,جلب ایتمه‌ڭز
celbetmesi,xu1lbu1 eybo2mh||sy,جلب ایتمه‌سی
celbetmesin,xu1lbu1 eybo2mh||sybo1,جلب ایتمه‌سین
celbetmesinden,xu1lbu1 eybo2mh||sbo1dbo1,جلب ایتمه‌سندن
celbetmesine,xu1lbu1 eybo2mh||sbo1h,جلب ایتمه‌سنه
celbetmeye,xu1lbu1 eybo2mh||yh,جلب ایتمه‌یه
celbetmeyen,xu1lbu1 eybo2mh||ybo1,جلب ایتمه‌ین
celbetmeyi,xu1lbu1 eybo2mh||yy,جلب ایتمه‌یی
celbetmez,xu1lbu1 eybo2mro1,جلب ایتمز
celbetmeğe,xu1lbu1 eybo2mko7h,جلب ایتمگه
celbetmiş,xu1lbu1 eybo2mso3,جلب ایتمش
celbetmiştir,xu1lbu1 eybo2mso3dr,جلب ایتمشدر
celbetse,xu1lbu1 eybo2sh,جلب ایتسه
celbetsin,xu1lbu1 eybo2sybo1,جلب ایتسین
celbetti,xu1lbu1 eybo2dy,جلب ایتدی
celbettiler,xu1lbu1 eybo2dylr,جلب ایتدیلر
celbettim,xu1lbu1 eybo2dm,جلب ایتدم
celbettireceğini,xu1lbu1 eybo2dyrh||xu1ko7bo1y,جلب ایتدیره‌جگنی
celbettirip,xu1lbu1 eybo2dyrwbu1,جلب ایتدیروب
celbettiriyor,xu1lbu1 eybo2dyryywr,جلب ایتدیرییور
celbettiği,xu1lbu1 eybo2dyko7y,جلب ایتدیگی
celbettiğinden,xu1lbu1 eybo2dyko7bo1dbo1,جلب ایتدیگندن
celbettiğine,xu1lbu1 eybo2dyko7bo1h,جلب ایتدیگنه
celbettiğini,xu1lbu1 eybo2dyko7bo1y,جلب ایتدیگنی
celbettiğinin,xu1lbu1 eybo2dyko7bo1ko3,جلب ایتدیگنڭ
celbeylemek,xu1lbu1 eo5ylh||mk,جلب أیله‌مک
celbi,xu1lbu1y,جلبی
celbinden,xu1lbu1bo1dbo1,جلبندن
celbine,xu1lbu1bo1h,جلبنه
celbkârane,xu1lbu1kerebo1h,جلبکارانه
celbname,xu1lbu1 bo1emh||,جلب نامه‌
celbname,xu1lbu1bo1emh||,جلبنامه‌
celbnamesiyle,xu1lbu1bo1emh||sylh,جلبنامه‌سیله
celbnâme,xu1lbu1 bo1emh,جلب نامه
celbnâme,xu1lbu1bo1emh,جلبنامه
celbolunsun,xu1lbu1 ewlwbo1swbo1,جلب اولونسون
celbolunur,xu1lbu1 ewlwbo1wr,جلب اولونور
celbolup,xu1lbu1 ewlwbu1,جلب اولوب
celboluyor,xu1lbu1 ewlwywr,جلب اولویور
celcelutiye'de,xu1lxu1lwbo2yh||dh,جلجلوتیه‌ده
celcelutiye'den,xu1lxu1lwbo2yh||dbo1,جلجلوتیه‌دن
celcelutiye'mde,xu1lxu1lwbo2yh||mdh,جلجلوتیه‌مده
celcelutiye'nin,xu1lxu1lwbo2yh||bo1ko3,جلجلوتیه‌نڭ
celcelutiye'sinde,xu1lxu1lwbo2yh||sbo1dh,جلجلوتیه‌سنده
celcelutiye'sindeki,xu1lxu1lwbo2yh||sbo1dh||ky,جلجلوتیه‌سنده‌کی
celcelutiye'yi,xu1lxu1lwbo2yh||yy,جلجلوتیه‌یی
celcelutiye,xu1lxu1lwbo2yh,جلجلوتیه
celcelutiyesi,xu1lxu1lwbo2yh||sy,جلجلوتیه‌سی
celcelutiyesinde,xu1lxu1lwbo2yh||sbo1dh,جلجلوتیه‌سنده
celeb,xu1lbu1,جلب
celesat,xu1lsebo2,جلسات
celesât,xu1lsebo2,جلسات
celevat,xu1lwebo2,جلوات
celevat-ı,xu1lwebo2u4,جلواتِ
celevatı,xu1lwebo2y,جلواتی
celevât-ı,xu1lwebo2u4,جلواتِ
celevâtı,xu1lwebo2y,جلواتی
celfa,xu1lfo1e,جلفا
celi,xu1ly,جلی
celil'in,xu1lylko3,جلیلڭ
celil,xu1lyl,جلیل
celil,xu1o4lu4ylo0,جَلِیلْ
celil-i,xu1lylu4,جلیلِ
celildir,xu1lyldr,جلیلدر
celile,xu1lylh,جلیله
celile-i,xu1lylh||u4,جلیله‌ِ
celileden,xu1lylh||dbo1,جلیله‌دن
celiledir,xu1lylh||dr,جلیله‌در
celileleri,xu1lylh||lry,جلیله‌لری
celilenin,xu1lylh||bo1ko3,جلیله‌نڭ
celilesi,xu1lylh||sy,جلیله‌سی
celilesindeki,xu1lylh||sbo1dh||ky,جلیله‌سنده‌کی
celilesine,xu1lylh||sbo1h,جلیله‌سنه
celilesini,xu1lylh||sbo1y,جلیله‌سنی
celilesinin,xu1lylh||sbo1ko3,جلیله‌سنڭ
celilesiyle,xu1lylh||sylh,جلیله‌سیله
celileye,xu1lylh||yh,جلیله‌یه
celili,xu1lyly,جلیلی
celilin,xu1lylko3,جلیلڭ
celilince,xu1lylbo1xu1h,جلیلنجه
celilinden,xu1lylbo1dbo1,جلیلندن
celiline,xu1lylbo1h,جلیلنه
celilini,xu1lylbo1y,جلیلنی
celilinin,xu1lylbo1ko3,جلیلنڭ
celilüşşan,xu1lyl elso3o8ebo1,جلیل الشّان
celis,xu1lys,جلیس
celi̇l,xu1o4lu4ylo0,جَلِیلْ
cellab,xu1leo8bu1,جلاّب
cellad,xu1led,جلاد
cellad-ı,xu1leo8du4,جلاّدِ
celladi,xu1ledy,جلادی
celladının,xu1leo8dybo1ko3,جلاّدینڭ
celladıyla,xu1leo8dylh,جلاّدیله
celle,xu1lo8,جلّ
cellâd,xu1led,جلاد
cellâdî,xu1ledy,جلادی
cellâdı,xu1leo8dy,جلاّدی
celse,xu1lsh,جلسه
celse,xu1lsh||,جلسه‌
celse-i,xu1lsh||u4,جلسه‌ِ
celsede,xu1lsh||dh,جلسه‌ده
celsesine,xu1lsh||sbo1h,جلسه‌سنه
celâdet,xu1ledbo2,جلادت
celâl,xu1lel,جلال
celâl,xu1o4lo4elo0,جَلَالْ
celâl-i,xu1lelu4,جلالِ
celâle,xu1lelh,جلاله
celâleddin-i,xu1lel eldybo1u4,جلال الدینِ
celâleti,xu1lelbo2y,جلالتی
celâline,xu1lelbo1h,جلالنه
celâliyenin,xu1lelyh||bo1ko3,جلالیه‌نڭ
celâliyyesine,xu1lelyh||sbo1h,جلالیه‌سنه
celâliyyesini,xu1lelyh||sbo1y,جلالیه‌سنی
celâliyyeyi,xu1lelyh||yy,جلالیه‌یی
celâlli,xu1lelly,جلاللی
celâlî,xu1o4lo4elbu2,جَلَالي
celî,xu1ly,جلی
celîdir,xu1lydr,جلیدر
celîl,xu1lbu2l,جليل
celîl,xu1lyl,جلیل
celîl,xu1o4lu4bu2lo0,جَلِيلْ
celîl-i,xu1lylu4,جلیلِ
celîli,xu1lyly,جلیلی
celîlin,xu1lylko3,جلیلڭ
celîs,xu1lbu2s,جليس
cem' etmek,xu1ma e,جمع ا
cem' olmak,xu1ma ew,جمع او
cem',xu1ma,جمع
cem',xu1o4mo0ao0,جَمْعْ
cem'-i,xu1mau4,جمعِ
cem'-ül,xu1ma el,جمع ال
cem'an,xu1mae,جمعا
cem'an,xu1mao44e,جمعًا
cem'de,xu1madh,جمعده
cem'dir,xu1madr,جمعدر
cem'e,xu1mah,جمعه
cem'edebilirsin,xu1ma eydh||bu1ylyrsko3,جمع ایده‌بیلیرسڭ
cem'eden,xu1ma eydbo1,جمع ایدن
cem'edenler,xu1ma eydbo1lr,جمع ایدنلر
cem'eder,xu1ma eydr,جمع ایدر
cem'ederek,xu1ma eydh||rk,جمع ایده‌رک
cem'edilen,xu1ma eydylbo1,جمع ایدیلن
cem'edilerek,xu1ma eydylh||rk,جمع ایدیله‌رک
cem'edilmiş,xu1ma eydylmso3,جمع ایدیلمش
cem'edilse,xu1ma eydylsh,جمع ایدیلسه
cem'edip,xu1ma eydwbu1,جمع ایدوب
cem'ediyor,xu1ma eydyywr,جمع ایدییور
cem'en,xu1maeo44,جمعاً
cem'et,xu1ma eybo2,جمع ایت
cem'etmek,xu1ma eybo2mk,جمع ایتمک
cem'etmekle,xu1ma eybo2mklh,جمع ایتمکله
cem'etmesi,xu1ma eybo2msy,جمع ایتمسی
cem'etmesidir,xu1ma eybo2mh||sydr,جمع ایتمه‌سیدر
cem'etmiş,xu1ma eybo2mso3,جمع ایتمش
cem'etmiştik,xu1ma eybo2mso3dk,جمع ایتمشدک
cem'etmiştir,xu1ma eybo2mso3dr,جمع ایتمشدر
cem'etti,xu1ma eybo2dy,جمع ایتدی
cem'ettik,xu1ma eybo2dk,جمع ایتدک
cem'ettikten,xu1ma eybo2dkdbo1,جمع ایتدکدن
cem'ettiği,xu1ma eybo2dyko7y,جمع ایتدیگی
cem'ettiğinden,xu1ma eybo2dyko7bo1dbo1,جمع ایتدیگندن
cem'i,xu1may,جمعی
cem'idir,xu1maydr,جمعیدر
cem'in,xu1mako3,جمعڭ
cem'indendir,xu1mabo1dbo1dr,جمعندندر
cem'ine,xu1mabo1h,جمعنه
cem'iyat-ı,xu1mayebo2u4,جمعیاتِ
cem'iyet,xu1maybo2,جمعیت
cem'iyet,xu1o4mo0au4bu2o4bo2o0,جَمْعِيَتْ
cem'iyet,xu1o4mo0au4yo4bo2o0,جَمْعِیَتْ
cem'iyet-i,xu1maybo2u4,جمعیتِ
cem'iyet-memiyet,xu1maybo2 mmaybo2,جمعیت ممعیت
cem'iyete,xu1maybo2h,جمعیته
cem'iyeti'ni,xu1maybo2bo1y,جمعیتنی
cem'iyeti'nin,xu1maybo2bo1ko3,جمعیتنڭ
cem'iyeti,xu1maybo2y,جمعیتی
cem'iyetidir,xu1maybo2ydr,جمعیتیدر
cem'iyetimiz,xu1maybo2mro1,جمعیتمز
cem'iyetimizden,xu1maybo2mro1dbo1,جمعیتمزدن
cem'iyetimize,xu1maybo2mro1h,جمعیتمزه
cem'iyetimizin,xu1maybo2mro1ko3,جمعیتمزڭ
cem'iyetin,xu1maybo2ko3,جمعیتڭ
cem'iyetinde,xu1maybo2bo1dh,جمعیتنده
cem'iyetinden,xu1maybo2bo1dbo1,جمعیتندن
cem'iyetindenim,xu1maybo2bo1dbo1m,جمعیتندنم
cem'iyetine,xu1maybo2bo1h,جمعیتنه
cem'iyetini,xu1maybo2bo1y,جمعیتنی
cem'iyetinin,xu1maybo2bo1ko3,جمعیتنڭ
cem'iyetinize,xu1maybo2ko3ro1h,جمعیتڭزه
cem'iyetiyle,xu1maybo2ylh,جمعیتیله
cem'iyetiz,xu1maybo2ro1,جمعیتز
cem'iyetle,xu1maybo2lh,جمعیتله
cem'iyetler,xu1maybo2lr,جمعیتلر
cem'iyetlerde,xu1maybo2lrdh,جمعیتلرده
cem'iyetlerden,xu1maybo2lrdbo1,جمعیتلردن
cem'iyetlere,xu1maybo2lrh,جمعیتلره
cem'iyetleri,xu1maybo2lry,جمعیتلری
cem'iyetlerin,xu1maybo2lrko3,جمعیتلرڭ
cem'iyetlerinden,xu1maybo2lrbo1dbo1,جمعیتلرندن
cem'iyetlerine,xu1maybo2lrybo1h,جمعیتلرینه
