
â'da,eade,اعدا
âhû,eo6hw,آهو
âhûbere,eo6hwbu1rh,آهوبره
âhûdil,eo6hwdl,آهودل
âhûnigah,eo6hwbo1ko7eh,آهونگاه
âhûvâne,eo6hwebo1h,آهوانه
âhüvâh,eo6h w weh,آه و واه
âhüvâveylâ,eo6h w wewyle,آه و واویلا
âhüzâr,eo6h w ro1er,آه و زار
âhı,eo6hy,آهی
âhıma,eo6hymh,آهیمه
âhını,eo6hbo1y,آهنی
âid olmak,aebo5d ew,عائد او
âid,aebo5d,عائد
âide,aebo5dh,عائده
âidiyeti,aeyo5dybo2y,عائدیتی
âidât,aebo5debo2,عائدات
âika,aebo5fo2h,عائقه
âile,aebo5lh,عائله
âile,aeyo5lh,عائله
âilevî,aebo5lwy,عائلوی
âit,aeyo5d,عائد
âittir,aeyo5ddr,عائددر
âiz,aeyo5do1,عائذ
âişe'den,aeyo5so3h||dbo1,عائشه‌دن
âişe'nin,aeyo5so3h||bo1ko3,عائشه‌نڭ
âişe,aeyo5so3h,عائشه
âişe-i,aeyo5so3h||u4,عائشه‌ِ
âjeng,eo6ro3bo1ko7,آژنگ
âk,aefo2,عاق
âkibet,aefo2bu1bo2,عاقبت
âkid,aefo2d,عاقد
âkif'i,aekfo1y,عاکفی
âkif'in,aekfo1ko3,عاکفڭ
âkif'ler,aekfo1lr,عاکفلر
âkif,aekfo1,عاکف
âkil,aefo2l,عاقل
âkil,eo6kl,آکل
âkil-ül,eo6kl el,آکل ال
âkil-ün,eo6kl el,آکل ال
âkil-üs,eo6kl el,آکل ال
âkile,eklh,اکله
âkile,eo6klh,آکله
âkilâne,aefo2lebo1h,عاقلانه
âkilüllahm,eo6ku4lo9 ello8o4xm,آکِلُ اللَّحم
âkıbet,aefo2bu1bo2,عاقبت
âkıbet,ao4efo2u4bu1o4bo2o0,عَاقِبَتْ
âkıbet-endîşlik,aefo2bu1bo2 ebo1dbu2so3lk,عاقبت انديشلک
âkıbetbîn,aefo2bu1bo2 bu1bu2bo1,عاقبت بين
âkıbetendîş,aefo2bu1bo2 ebo1dyso3,عاقبت اندیش
âkıbeti vahîm olan vak'a,aefo2bu1bo2y wxo1bu2m ewlebo1 wfo2ah,عاقبتی وخيم اولان وقعه
âkıbeti,aefo2bu1bo2y,عاقبتی
âkıbetleri,aefo2bu1bo2lry,عاقبتلری
âkıbetsiz,aefo2bu1bo2sro1,عاقبتسز
âkıbette,aefo2bu1bo2dh,عاقبتده
âkıbetülemr,aefo2bu1bo2 elemr,عاقبت الامر
âkıl,aefo2l,عاقل
âkıl,ao4efo2u4lo0,عَاقِلْ
âkıla,aefo2lh,عاقله
âkılane,aefo2lebo1h,عاقلانه
âkıle,aefo2lh,عاقله
âkıllar,aefo2llr,عاقللر
âkıller,aefo2llr,عاقللر
âkıllerine,aefo2llrybo1h,عاقللرینه
âkılsınız,aefo2lsko3ro1,عاقلسڭز
âkılâne,aefo2l,عاقل
âkılâne,aefo2lebo1h,عاقلانه
âkılın,aefo2lko3,عاقلڭ
âkır,aefo2r,عاقر
âl u ahfâd,eo6l wexfo1ed,آل واحفاد
âl'den,eo6ldbo1,آلدن
âl,ael,عال
âl,elo0,الْ
âl,eo6l,آل
âl-i abâ,elu4 ao4bu1o4e,الِ عَبَا
âl-i beyt-i nebevî,elu4 bu1o4bu2o0bo2u4 bo1o4bu1o4wbu2,الِ بَيْتِ نَبَوي
âl-i,eo6lu4,آلِ
âl-ül,ael el,عال ال
âlde,eo6ldh,آلده
âlem'den,aelmdbo1,عالمدن
âlem'dir,aelmdr,عالمدر
âlem'e,aelmh,عالمه
âlem'i,aelmy,عالمی
âlem'in,aelmko3,عالمڭ
âlem,aelm,عالم
âlem-i asgar,ao4elo4mu4 eo4zo0ao1o4ro0,عَالَمِ اَصْغَرْ
âlem-i berzah,ao4elo4mu4 bu1o4ro0ro1o4xo1o0,عَالَمِ بَرْزَخْ
âlem-i bâtin,ao4elo4mu4 bu1o4etu4bo1o0,عَالَمِ بَاطِنْ
âlem-i bâtın,ao4elo4mu4 bu1o4etu4bo1o0,عَالَمِ بَاطِنْ
âlem-i dünyâ,aelm dbo1bu2e,عالم دنيا
âlem-i ekber,ao4elo4mu4 eo4ko0bu1o4ro0,عَالَمِ اَکْبَرْ
âlem-i ervâh,ao4elo4mu4 eo4ro0wo4exo0,عَالَمِ اَرْوَاحْ
âlem-i fenâ,aelm fo1bo1e,عالم فنا
âlem-i fenâ,ao4elo4mu4 fo1o4bo1eo4,عَالَمِ فَناَ
âlem-i gayb,ao4elo4mu4 ao1o4bu2o0bu1o0,عَالَمِ غَيْبْ
âlem-i hakîkî,ao4elo4mu4 xo4fo2bu2fo2bu2,عَالَمِ حَقيقي
âlem-i hâricî,ao4elo4mu4 xo1o4eru4xu1u4bu2,عَالَمِ خَارِجِي
âlem-i kebîr,ao4elo4mu4 ko4bu1u4bu2ro0,عَالَمِ کَبِيرْ
âlem-i kesret,ao4elo4mu4 ko4bo3o0ro4bo2o0,عَالَمِ کَثْرَتْ
âlem-i kesîf ve süflî,ao4elo4mu4 ko4bo3u4bu2fo1o0 wo4 so9fo1o0lu4bu2,عَالَمِ کَثِيفْ وَ سُفْلِي
âlem-i kevn u fesâd,aelm kwbo1 w fo1sed,عالم کون و فساد
âlem-i ma'nevî,ao4elo4mu4 mo4ao0bo1o4wbu2,عَالَمِ مَعْنَوي
âlem-i ma'nâ,ao4elo4mu4 mo4ao0bo1o4e,عَالَمِ مَعْنَا
âlem-i maddî,ao4elo4mu4 mo4edo8bu2,عَالَمِ مَادّي
âlem-i misâl,aelm mbo3el,عالم مثال
âlem-i misâl,ao4elo4mu4 mu4bo3o4elo0,عَالَمِ مِثَالْ
âlem-i mülk,ao4elo4mu4 mo9lo0ko0,عَالَمِ مُلْکْ
âlem-i rûhânî,ao4elo4mu4 ro9wxo4ebo1bu2,عَالَمِ رُوحَاني
âlem-i süflî,ao4elo4mu4 so9fo1o0lu4bu2,عَالَمِ سُفْلِي
âlem-i uhrevî,ao4elo4mu4 eo9xo1o0ro4wu4bu2,عَالَمِ اُخْرَوِي
âlem-i uhrevîye,ao4elo4mu4 eo9xo1o0ro4wu4bu2o4h,عَالَمِ اُخْرَوِيَه
âlem-i zuhûr,ao4elo4mu4 to1o9ho9wro0,عَالَمِ ظُهُورْ
âlem-i şehâdet,ao4elo4mu4 so3o4ho4edo4bo2o0,عَالَمِ شَهَادَتْ
âlem-i,aelmu4,عالمِ
âlem-pesend,aelm||bu3sbo1d,عالم‌پسند
âlem-ül,aelm el,عالم ال
âlem-şümuldür,aelm||so3mwldr,عالم‌شمولدر
âlemce,aelmxu1h,عالمجه
âlemde,aelmdh,عالمده
âlemdedir,aelmdh||dr,عالمده‌در
âlemdeki,aelmdh||ky,عالمده‌کی
âlemden,aelmdbo1,عالمدن
âlemdir,aelmdr,عالمدر
âleme,aelmh,عالمه
âlemefrûz,aelm efo1rwro1,عالم افروز
âlemgîr,aelmko7bu2r,عالمگير
âlemi,aelmy,عالمی
âlemidir,aelmydr,عالمیدر
âlemimde,aelmmdh,عالممده
âlemime,aelmmh,عالممه
âlemimi,aelmmy,عالممی
âlemimiz,aelmmro1,عالممز
âlemimizi,aelmmro1y,عالممزی
âlemin malûmu,aelmk malwmy,عالمک معلومی
âlemin,aelmko3,عالمڭ
âlemince,aelmbo1xu1h,عالمنجه
âleminde,aelmbo1dh,عالمنده
âlemindeki,aelmbo1dh||ky,عالمنده‌کی
âleminden,aelmbo1dbo1,عالمندن
âlemindendir,aelmbo1dbo1dr,عالمندندر
âlemine,aelmbo1h,عالمنه
âlemini,aelmbo1y,عالمنی
âleminin,aelmbo1ko3,عالمنڭ
âleminindir,aelmbo1ko3dr,عالمنڭدر
âleminizde,aelmko3ro1dh,عالمڭزده
âleminizi,aelmko3ro1y,عالمڭزی
âlemiyiz,aelmy||yro1,عالمی‌یز
âlemiyle,aelmylh,عالمیله
âlemiyân,aelmbu2ebo1,عالميان
âlemle,aelmlh,عالمله
âlemler,aelmlr,عالملر
âlemlerde,aelmlrdh,عالملرده
âlemlerdeki,aelmlrdh||ky,عالملرده‌کی
âlemlerden,aelmlrdbo1,عالملردن
âlemlere,aelmlrh,عالملره
âlemleri,aelmlry,عالملری
âlemlerin,aelmlrko3,عالملرڭ
âlemlerinde,aelmlrbo1dh,عالملرنده
âlemlerindeki,aelmlrbo1dh||ky,عالملرنده‌کی
âlemlerine,aelmlrybo1h,عالملرینه
âlemlerini,aelmlrybo1y,عالملرینی
âlemlerinin,aelmlrybo1ko3,عالملرینڭ
âlemleriyle,aelmlrylh,عالملریله
âlempesend,aelm||bu3sbo1d,عالم‌پسند
âlemsin,aelmsko3,عالمسڭ
âlemtâb,aelmbo2ebu1,عالمتاب
âlemârâ,aelm eo6re,عالم آرا
âlemîn'den,aelmybo1dbo1,عالمیندن
âlemîn'dir,aelmybo1dr,عالمیندر
âlemîn'e,aelmybo1h,عالمینه
âlemîn'i,aelmybo1y,عالمینی
âlemîn'in,aelmybo1ko3,عالمینڭ
âlemîn,aelmybo1,عالمین
âlemşümul,aelmso3mwl,عالمشمول
âlemşümul,aelm||so3mwl,عالم‌شمول
âlemşümûl,alm so3mwl,علم شمول
âlesta,elsbo2h,السته
âlet,elbo2,الت
âlet,eo6lbo2,آلت
âlet,eo6lo4bo2,آلَت
âlet-i harb,elbo2 xrbu1,الت حرب
âlet-i tenâsül,elbo2 bo2bo1esl,الت تناسل
âlet-i,eo6lo4bo2u4,آلَتِ
âlete,eo6lo4bo2h,آلَته
âleti,eo6lo4bo2y,آلَتی
âletidir,eo6lo4bo2ydr,آلَتیدر
âletin,eo6lo4bo2ko3,آلَتڭ
âletine,eo6lo4bo2bo1h,آلَتنه
âletiyetten,eo6lo4bo2ybo2dbo1,آلَتیتدن
âletle,eo6lo4bo2lh,آلَتله
âletler,eo6lo4bo2lr,آلَتلر
âletlere,eo6lo4bo2lrh,آلَتلره
âletleri,eo6lo4bo2lry,آلَتلری
âletlerin,eo6lo4bo2lrko3,آلَتلرڭ
âletlerini,eo6lo4bo2lrybo1y,آلَتلرینی
âletleriyle,eo6lo4bo2lrylh,آلَتلریله
âletlerle,eo6lo4bo2lrlh,آلَتلرله
âlettir,eo6lo4bo2dr,آلَتدر
âli,eo6ly,آلی
âlicenab,aely||xu1bo1ebu1,عالی‌جناب
âlicenablık,aelbu2xu1bo1ebu1lfo2,عاليجنابلق
âlicenap,aely||xu1bo1ebu1,عالی‌جناب
âlicenâb,aelbu2xu1bo1ebu1,عاليجناب
âliden,aely||dbo1,عالی‌دن
âlihe,eo6lhh,آلهه
âliheler,eo6lhh||lr,آلهه‌لر
âlihelerdir,eo6lhh||lrdr,آلهه‌لردر
âliheleri,eo6lhh||lry,آلهه‌لری
âliheleriniz,eo6lhh||lryko3ro1,آلهه‌لریڭز
âlihelerinizden,eo6lhh||lryko3ro1dbo1,آلهه‌لریڭزدن
âlihi,eo6lh,آله
âlikadr,aely||fo2dr,عالی‌قدر
âlim,aelm,عالم
âlim-i,aelmu4,عالمِ
âlim-üs,aelm el,عالم ال
âlimane,aelmebo1h,عالمانه
âlimden,aelmdbo1,عالمدن
âlimdir,aelmdr,عالمدر
âlime,aelmh,عالمه
âlimi,aelmy,عالمی
âlimidir,aelmydr,عالمیدر
âlimin,aelmko3,عالمڭ
âlimine,aelmbo1h,عالمنه
âliminin,aelmbo1ko3,عالمنڭ
âlimiyim,aelmy||ym,عالمی‌یم
âlimler,aelmlr,عالملر
âlimlerden,aelmlrdbo1,عالملردن
âlimlerdir,aelmlrdr,عالملردر
âlimlere,aelmlrh,عالملره
âlimleri,aelmlry,عالملری
âlimlerim,aelmlrm,عالملرم
âlimlerimiz,aelmlrymro1,عالملریمز
âlimlerin,aelmlrko3,عالملرڭ
âlimlerinden,aelmlrbo1dbo1,عالملرندن
âlimlerine,aelmlrybo1h,عالملرینه
âlimlerinin,aelmlrybo1ko3,عالملرینڭ
âlimleriniz,aelmlryko3ro1,عالملریڭز
âlimlerle,aelmlrlh,عالملرله
âlimlikle,aelmlklh,عالملکله
âlimâne,aelmebo1h,عالمانه
âlinden,eo6lbo1dbo1,آلندن
âlisin,aelysko3,عالیسڭ
âlisiyle,aelysylh,عالیسیله
âliye,aelbu2h,عاليه
âliye,aelyh,عالیه
âliye-i,aelyh||u4,عالیه‌ِ
âliye-yi,aelyh||u4,عالیه‌ِ
âliyede,aelyh||dh,عالیه‌ده
âliyedeki,aelyh||dh||ky,عالیه‌ده‌کی
âliyeden,aelyh||dbo1,عالیه‌دن
âliyedir,aelyh||dr,عالیه‌در
âliyeleri,aelyh||lry,عالیه‌لری
âliyelerini,aelyh||lrybo1y,عالیه‌لرینی
âliyelerinin,aelyh||lrybo1ko3,عالیه‌لرینڭ
âliyelerinizin,aelyh||lryko3ro1ko3,عالیه‌لریڭزڭ
âliyemiz,aelyh||mro1,عالیه‌مز
âliyemizi,aelyh||mro1y,عالیه‌مزی
âliyenin,aelyh||bo1ko3,عالیه‌نڭ
âliyenizde,aelyh||ko3ro1dh,عالیه‌ڭزده
âliyenize,aelyh||ko3ro1h,عالیه‌ڭزه
âliyenizin,aelyh||ko3ro1ko3,عالیه‌ڭزڭ
âliyenizle,aelyh||ko3ro1lh,عالیه‌ڭزله
âliyesi,aelyh||sy,عالیه‌سی
âliyesinde,aelyh||sbo1dh,عالیه‌سنده
âliyesinden,aelyh||sbo1dbo1,عالیه‌سندن
âliyesine,aelyh||sbo1h,عالیه‌سنه
âliyesini,aelyh||sbo1y,عالیه‌سنی
âliyesinin,aelyh||sbo1ko3,عالیه‌سنڭ
âliyeti,aelyho2,عالیة
âliyeye,aelyh||yh,عالیه‌یه
âliyeyi,aelyh||yy,عالیه‌یی
âliyye-i,aelyo8h||u4,عالیّه‌ِ
âliyyeyi,aelyh||yy,عالیه‌یی
âlişan,aelyso3ebo1,عالیشان
âlişanda,aelyso3ebo1dh,عالیشانده
âlâ,eale,اعلا
âlâ,ealy,اعلی
âlâ,eo5aly,أعلی
âlâ-i,eo6lecu4,آلاءِ
âlâ-yı,eo5aleyu4,أعلایِ
âlâdadır,eo5aledh||dr,أعلاده‌در
âlâdan,eo5aledbo1,أعلادن
âlâf,eo6lefo1,آلاف
âlâm,elo4emo0,الَامْ
âlâm,eo6lem,آلام
âlâm-i firak,eo6lo4emu4 fo1u4ro4efo2o0,آلَامِ فِرَاقْ
âlâm-ı firak,eo6lo4emu4 fo1u4ro4efo2o0,آلَامِ فِرَاقْ
âlâm-ı,eo6lemu4,آلامِ
âlâma,eo6lemh,آلامه
âlâmlar,eo6lemlr,آلاملر
âlâmlarıyla,eo6lemlrylh,آلاملریله
âlâmı,eo6lemy,آلامی
âlâmın,eo6lemko3,آلامڭ
âlâmından,eo6lembo1dbo1,آلامندن
âlâmını,eo6lembo1y,آلامنی
âlâmıyla,eo6lemylh,آلامیله
âlâsından,eo5alesbo1dbo1,أعلاسندن
âlât edâvât,elebo2 edwebo2,الات ادوات
âlât,elebo2,الات
âlât,eo6lebo2,آلات
âlât-edavât,elebo2 edwebo2,الات ادوات
âlât-i tenâsül,elebo2 bo2bo1esl,الات تناسل
âlât-ı,eo6lebo2u4,آلاتِ
âlâta,eo6lebo2h,آلاته
âlâtla,eo6lebo2lh,آلاتله
âlâtı,eo6lebo2y,آلاتی
âlâtın,eo6lebo2ko3,آلاتڭ
âlâtıyla,eo6lebo2ylh,آلاتیله
âlâyiş,eo6leyso3,آلایش
âlâyişin,eo6leyso3ko3,آلایشڭ
âlâyişine,eo6leyso3bo1h,آلایشنه
âlî'de,aely||dh,عالی‌ده
âlî'nin,aely||bo1ko3,عالی‌نڭ
âlî,aely,عالی
âlî,ao4elbu2,عَالي
âlî-himmet,aely||hmo8bo2,عالی‌همّت
âlî-i,aelyo5u4,عالئِ
âlî-kadr,aely||fo2dr,عالی‌قدر
âlî-tebâr,aely bo2bu1er,عالی تبار
âlî-yi,aelyo5u4,عالئِ
âlîcenab,aely||xu1bo1ebu1,عالی‌جناب
âlîcenabane,aely||xu1bo1ebu1ebo1h,عالی‌جنابانه
âlîcenablığınızdan,aely||xu1bo1ebu1lao1ko3ro1dbo1,عالی‌جنابلغڭزدن
âlîcenabı,aely||xu1bo1ebu1y,عالی‌جنابی
âlîcenâb,aely xu1bo1ebu1,عالی جناب
âlîcâh,aely xu1eh,عالی جاه
âlîde,aelydh,عالیده
âlîden,aelydbo1,عالیدن
âlîdir,aelydr,عالیدر
âlîhimmet,aely hmbo2,عالی همت
âlîhimmet,aely||hmo8bo2,عالی‌همّت
âlîhimmeti,aely||hmo8bo2y,عالی‌همّتی
âlîhimmettir,aely||hmo8bo2dr,عالی‌همّتدر
âlîkadir,aelbu2fo2dr,عاليقدر
âlîkadr,aely fo2dr,عالی قدر
âlîkadr,aely||fo2dr,عالی‌قدر
âlîkadrimden,aely||fo2drmdbo1,عالی‌قدرمدن
âlîleri,aelylry,عالیلری
âlîleridir,aelylrydr,عالیلریدر
âlîlerine,aelylrybo1h,عالیلرینه
âlîlerinin,aelylrybo1ko3,عالیلرینڭ
âlîlerinizden,aelylryko3ro1dbo1,عالیلریڭزدن
âlîlerinize,aelylryko3ro1h,عالیلریڭزه
âlîmakâm,aely mfo2em,عالی مقام
âlînazar,aely bo1to1r,عالی نظر
âlînin,aelybo1ko3,عالینڭ
âlîniz,aelyko3ro1,عالیڭز
âlînizce,aelyko3ro1xu1h,عالیڭزجه
âlînizde,aelyko3ro1dh,عالیڭزده
âlînizden,aelyko3ro1dbo1,عالیڭزدن
âlînize,aelyko3ro1h,عالیڭزه
âlînizi,aelyko3ro1y,عالیڭزی
âlînizle,aelyko3ro1lh,عالیڭزله
âlîsi,aelysy,عالیسی
âlîsin,aelysko3,عالیسڭ
âlîsinde,aelysbo1dh,عالیسنده
âlîsinden,aelysbo1dbo1,عالیسندن
âlîsine,aelysbo1h,عالیسنه
âlîsini,aelysbo1y,عالیسنی
âlîsinin,aelysbo1ko3,عالیسنڭ
âlîsiyle,aelysylh,عالیسیله
âlîye,aely||yh,عالی‌یه
âlîyi,aely||yy,عالی‌یی
âlîşan,aely so3ebo1,عالی شان
âlîşan,aely||so3ebo1,عالی‌شان
âlîşanda,aely||so3ebo1dh,عالی‌شانده
âlîşanı,aely||so3ebo1y,عالی‌شانی
âlîşanım,aely||so3ebo1m,عالی‌شانم
âlîşanın,aely||so3ebo1ko3,عالی‌شانڭ
âlîşanına,aely||so3ebo1bo1h,عالی‌شاننه
âlîşanından,aely||so3ebo1bo1dbo1,عالی‌شانندن
âlû,eo6lw,آلو
âlûbâlu,eo6lwbu1elw,آلوبالو
âlûd,eo6lwd,آلود
âlûde,eo6lwdh,آلوده
âlûdedâmen,eo6lwdh dembo1,آلوده دامن
âlûdegî,eo6lwdko7y,آلودگی
âlüfte,eo6lfo1bo2h,آلفته
âlüfte,eo6lo9fo1bo2h,آلُفته
âlüfte,eo6lo9fo1o0bo2o4h,آلُفْتَه
âm,aem,عام
âmdır,aemdr,عامدر
âmed,eo6md,آمد
âmedî,eo6mdy,آمدی
âmedüreft,eo6mdwrfo1bo2,آمدورفت
âmedüşüd,eo6mdwso3d,آمدوشد
âmedşüd,eo6mdso3d,آمدشد
âmenna,eo6mbo1e,آمنا
âmennâ,eo6mbo1e,آمنا
âmennâ,eo6mbo1o8e,آمنّا
âmennâ,eo6mo4bo1o4o8e,آمَنَّا
âmentü,eo6mbo1bo2,آمنت
âmentü,eo6mbo1bo2o9,آمنتُ
âmi,aemy,عامی
âmiden,aemydbo1,عامیدن
âmidir,aemydr,عامیدر
âmil,aeml,عامل
âmil,ao4emu4lo0,عَامِلْ
âmildir,aemldr,عاملدر
âmilerdeki,aemylrdh||ky,عامیلرده‌کی
âmileşmiş,aemylso3mso3,عامیلشمش
âmili,aemly,عاملی
âmilidir,aemlydr,عاملیدر
âmiliği,aemylko7y,عامیلگی
âmiller,aemllr,عامللر
âmillerden,aemllrdbo1,عامللردن
âmillerdendir,aemllrdbo1dr,عامللردندر
âmilleri,aemllry,عامللری
âmin,eo6mybo1,آمین
âminen,eo6mbo1e,آمنا
âminin,aemybo1ko3,عامینڭ
âmir olmak,eo6mrew,آمراو
âmir'i,aemry,عامری
âmir,eo6mr,آمر
âmir-i,eo6mru4,آمرِ
âmirane,eo6mrebo1h,آمرانه
âmiraneyi,eo6mrebo1h||yy,آمرانه‌یی
âmire,aemrh,عامره
âmire,eo6mrh,آمره
âmiri,eo6mry,آمری
âmirin,eo6mrko3,آمرڭ
âmirinden,eo6mrbo1dbo1,آمرندن
âmirine,eo6mrybo1h,آمرینه
âmirini,eo6mrybo1y,آمرینی
âmirinin,eo6mrybo1ko3,آمرینڭ
âmirinize,eo6mryko3ro1h,آمریڭزه
âmiriyet,eo6mrybo2,آمریت
âmiriyet-i,eo6mrybo2u4,آمریتِ
âmiriyeti,eo6mrybo2y,آمریتی
âmiriyetin,eo6mrybo2ko3,آمریتڭ
âmiriyetle,eo6mrybo2lh,آمریتله
âmirlerinden,eo6mrlrbo1dbo1,آمرلرندن
âmirlerine,eo6mrlrybo1h,آمرلرینه
âmirlerini,eo6mrlrybo1y,آمرلرینی
âmirlerinin,eo6mrlrybo1ko3,آمرلرینڭ
âmirsiz,eo6mrsro1,آمرسز
âmirâne,emrebo1h,امرانه
âmirâne,eo6mrebo1h,آمرانه
âmisinin,aemysbo1ko3,عامیسنڭ
âmiyane,aemyebo1h,عامیانه
âmiyanedir,aemyebo1h||dr,عامیانه‌در
âmiye,aemy||yh,عامی‌یه
âmiyâne,aembu2ebo1h,عاميانه
âmiyâne,aemyebo1h,عامیانه
âmiyâne,ao4emu4bu2o4ebo1o4h,عَامِيَانَه
âmiyânedir,aemyebo1h||dr,عامیانه‌در
âmlara,aemlrh,عاملره
âmm,aem,عام
âmmdır,aemdr,عامدر
âmme,aemh,عامه
âmme,aemo8h,عامّه
âmme,ao4emo4o8h,عَامَّه
âmme-i,aemo8h||u4,عامّه‌ِ
âmmece,aemo8h||xu1h,عامّه‌جه
âmmede,aemo8h||dh,عامّه‌ده
âmmedeki,aemo8h||dh||ky,عامّه‌ده‌کی
âmmeden,aemo8h||dbo1,عامّه‌دن
âmmedir,aemo8h||dr,عامّه‌در
âmmenin,aemo8h||bo1ko3,عامّه‌نڭ
âmmesi,aemo8h||sy,عامّه‌سی
âmmesinden,aemo8h||sbo1dbo1,عامّه‌سندن
âmmesine,aemo8h||sbo1h,عامّه‌سنه
âmmesinin,aemo8h||sbo1ko3,عامّه‌سنڭ
âmmeye,aemo8h||yh,عامّه‌یه
âmmeyi,aemo8h||yy,عامّه‌یی
âmmın,aemo8ko3,عامّڭ
âmurziş,eo6mrro1so3,آمرزش
âmâc,eo6mexu1,آماج
âmâcgâh,eo6mexu1ko7eh,آماجگاه
âmâde,emedh,اماده
âmâde,eo6medh,آماده
âmâde,eo6mo4edo4h,آمَادَه
âmâdegî,eo6medko7y,آمادگی
âmâl,eo6mel,آمال
âmâl,eo6mo4elo0,آمَالْ
âmâl-i,eo6melu4,آمالِ
âmâlden,eo6meldbo1,آمالدن
âmâle,eo6melh,آماله
âmâli,eo6mely,آمالی
âmâlim,eo6melm,آمالم
âmâlin,eo6melko3,آمالڭ
âmâlindeki,eo6melbo1dh||ky,آمالنده‌کی
âmâlinden,eo6melbo1dbo1,آمالندن
âmâline,eo6melbo1h,آمالنه
âmâlini,eo6melbo1y,آمالنی
âmâlinin,eo6melbo1ko3,آمالنڭ
âmâliniz,eo6melko3ro1,آمالڭز
âmâller,eo6mellr,آماللر
âmâr,eo6mer,آمار
âmî,aemy,عامی
âmîden,aemydbo1,عامیدن
âmîhte,eo6mbu2xo1bo2h,آميخته
âmîn,embu2bo1,امين
âmîn,eo6mbo1,آمن
âmîn,eo6mybo1,آمین
âmîn-i,eo6mybo1u4,آمینِ
âmîndir,eo6mybo1dr,آمیندر
âmînin,aemybo1ko3,عامینڭ
âmînini,eo6mybo1bo1y,آمیننی
âmînlerin,eo6mybo1lrko3,آمینلرڭ
âmînlerle,eo6mybo1lrlh,آمینلرله
âmîsi,aemysy,عامیسی
âmûz,eo6mwro1,آموز
âmûzgâr,eo6mwro1ko7er,آموزگار
âmürzgâr,eo6mrro1ko7er,آمرزگار
âmürziş,eo6mrro1so3,آمرزش
ân,ebo1,ان
ân,eo6bo1,آن
ân-ı,eo6bo1u4,آنِ
âna,eo6bo1h,آنه
ânda,eo6bo1dh,آنده
âne,ebo1h,انه
âne,eo6bo1h||,آنه‌
ânen,eo6bo1o44e,آنًا
âni,eo6bo1y,آنی
ânidir,eo6bo1ydr,آنیدر
ânif-ül,eo6bo1fo1 el,آنف ال
ânifen,eo6bo1fo1e,آنفا
âniyen,eo6bo1bu2e,آنيا
ânân,eo6bo1ebo1,آنان
ânât,eo6bo1ebo2,آنات
ânî,eo6bo1y,آنی
ânîda,ebo1bu2dh,انيده
ânîde,eo6bo1ydh,آنیده
ânîdir,eo6bo1y||dr,آنی‌در
ânı,eo6bo1y,آنی
ânıda,ebo1bu2dh,انيده
ânım,eo6bo1m,آنم
ânımı,eo6bo1ymy,آنیمی
ânın,eo6bo1ko3,آنڭ
ânında,eo6bo1bo1dh,آننده
ânınçün,eo6bo1ko3xu3wbo1,آنڭچون
âr,aer,عار
âramgâh,eo6remkeh,آرامکاه
âramsız,eo6remsro1,آرامسز
ârd,eo6rd,آرد
âri,aery,عاری
âric,aerxu1,عارج
ârif,aerfo1,عارف
ârif,ao4eru4fo1o0,عَارِفْ
ârif-i,aerfo1u4,عارفِ
ârifane,aerfo1ebo1h,عارفانه
ârifanelerinden,aerfo1ebo1h||lrbo1dbo1,عارفانه‌لرندن
ârifanelerine,aerfo1ebo1h||lrybo1h,عارفانه‌لرینه
ârife,aerfo1h,عارفه
ârifin,aerfo1ybo1,عارفین
ârifler,aerfo1lr,عارفلر
âriflerden,aerfo1lrdbo1,عارفلردن
âriflerin,aerfo1lrko3,عارفلرڭ
ârifâne,aerfo1ebo1h,عارفانه
ârifâne,ao4eru4fo1o4ebo1o4h,عَارِفَانَه
ârifîn,aerfo1ybo1,عارفین
ârifîn,ao4eru4fo1u4bu2bo1o0,عَارِفِينْ
ârifînden,aerfo1ybo1dbo1,عارفیندن
ârifîni,aerfo1ybo1y,عارفینی
âriye,aeryh,عاریه
âriyet,aerybo2,عاریت
âriyeten,aeryho2o44,عاریةً
âriyeten,ao4eru4bu2o4ho2o44,عَارِيَةً
âriyeyi,aeryh||yy,عاریه‌یی
âriyyet,aerybo2,عاریت
âriyyeten vermek,aerbu2ho2wbu2rmk,عاريةويرمک
âriyyeti (eyreti),aerbu2bo2y,عاريتی
âriz,aerzo1,عارض
ârsız,aersro1,عارسز
ârsızlanmak,aersro1lbo1mfo2,عارسزلنمق
ârsızlık etmek,aersro1lfo2,عارسزلق
ârsızlık,aersro1lfo2,عارسزلق
ârzû,eo6rro1w,آرزو
ârzûkeş,eo6rro1wkso3,آرزوکش
ârzûlamak,eo6rro1wlemfo2,آرزولامق
ârzûlu,eo6rro1wly,آرزولی
ârzûmend,eo6rro1wmbo1d,آرزومند
ârâ',eo6rec,آراء
ârâ,eo6re,آرا
ârâ,eo6rec,آراء
ârâ-yı,eo6reyu4,آرایِ
ârâm,eo6rem,آرام
ârâmbahş,eo6rem bu1xo1so3,آرام بخش
ârâmgah,eo6remkeh,آرامکاه
ârâmgâh,eo6remko7eh,آرامگاه
ârâmgâh-ı,eo6remko7ehu4,آرامگاهِ
ârâmiş,eo6remso3,آرامش
ârâmsâz,eo6remsero1,آرامساز
ârâmsız,eo6remsro1,آرامسز
ârâmsızlık,eo6remsro1lfo2,آرامسزلق
ârâste,eo6resbo2h,آراسته
ârâyiş,eo6rebu2so3,آرايش
