
b,bu1,ب
bediine,bu1dyabo1h,بدیعنه
bediisinde,bu1dyaysbo1dh,بدیعیسنده
bediiyatın,bu1dyayebo2ko3,بدیعیاتڭ
bediiye'nin,bu1dyayh||bo1ko3,بدیعیه‌نڭ
bediiye'ye,bu1dyayh||yh,بدیعیه‌یه
bediiye,bu1dyayh,بدیعیه
bediiyeyi,bu1dyayh||yy,بدیعیه‌یی
bediiyyat,bu1dyayebo2,بدیعیات
bedir'de,bu1drdh,بدرده
bedir'deki,bu1drdh||ky,بدرده‌کی
bedir'den,bu1drdbo1,بدردن
bedir,bu1dr,بدر
bedir,bu1o4du4ro0,بَدِرْ
bedirlenmiş,bu1drlbo1mso3,بدرلنمش
bediîsi,bu1dyaysy,بدیعیسی
bediülbeyan,bu1dya elbu1yebo1,بدیع البیان
bediüzzaman'a,bu1dya elro1mebo1h,بدیع الزمانه
bediüzzaman'da,bu1dya elro1mebo1dh,بدیع الزمانده
bediüzzaman'dan,bu1dya elro1mebo1dbo1,بدیع الزماندن
bediüzzaman'dır,bu1dya elro1mebo1dr,بدیع الزماندر
bediüzzaman'la,bu1dya elro1mebo1lh,بدیع الزمانله
bediüzzaman'ı,bu1dya elro1mebo1y,بدیع الزمانی
bediüzzaman'ıdır,bu1dya elro1o8mebo1ydr,بدیع الزّمانیدر
bediüzzaman'ın,bu1dya elro1mebo1ko3,بدیع الزمانڭ
bediüzzaman,bu1dbu2a elro1mebo1,بديع الزمان
bediüzzaman,bu1dya elro1mebo1,بدیع الزمان
bediüzzaman-ül,bu1dya elro1mebo1 el,بدیع الزمان ال
bediüzzaman-ı,bu1dya elro1mebo1u4,بدیع الزمانِ
bediüzzamandır,bu1dya elro1o8mebo1dr,بدیع الزّماندر
bediüzzamanı,bu1dya elro1mebo1y,بدیع الزمانی
bediüzzamanımız,bu1dya elro1mebo1mro1,بدیع الزمانمز
bedi̇',bu1o4dyao0,بَدیعْ
bedi̇a,bu1o4du4yao4h||,بَدِیعَه‌
bedi̇hi̇,bu1dyhy,بدیهی
bedi̇hi̇,bu1o4dyhy,بَدیهی
bedi̇r,bu1o4du4ro0,بَدِرْ
bedi̇üzzaman,bu1dya elro1mebo1,بدیع الزمان
bedi’,bu1dya,بدیع
bedkar,bu1dker,بدکار
bedkâr,bu1dker,بدکار
bedlika,bu1dlfo2e,بدلقا
bedlikâ,bu1dlfo2e,بدلقا
bedmaye,bu1dmeyh||,بدمایه‌
bedmayeler,bu1dmeyh||lr,بدمایه‌لر
bedmest,bu1dmsbo2,بدمست
bedmesti,bu1dmsbo2y,بدمستی
bedmestî,bu1dmsbo2y,بدمستی
bedmihr,bu1dmhr,بدمهر
bedmâye,bu1dmeyh,بدمایه
bednam,bu1dbo1em,بدنام
bednigah,bu1dbo1ko7eh||,بدنگاه‌
bednigâh,bu1dbo1ko7eh,بدنگاه
bednihad,bu1dbo1hed,بدنهاد
bednihâd,bu1dbo1hed,بدنهاد
bednâm,bu1dbo1em,بدنام
bedr'in,bu1drko3,بدرڭ
bedr,bu1dr,بدر
bedr-i,bu1dru4,بدرِ
bedraka-i,bu1drfo2h||u4,بدرقه‌ِ
bedre'de,bu1drh||dh,بدره‌ده
bedre'deki,bu1drh||dh||ky,بدره‌ده‌کی
bedre'nin,bu1drh||bo1ko3,بدره‌نڭ
bedre,bu1drh,بدره
bedre,bu1drh||,بدره‌
bedreddin'e,bu1dr eldybo1h,بدر الدینه
bedreddin'i,bu1dr eldybo1y,بدر الدینی
bedreddin'in,bu1dr eldybo1ko3,بدر الدینڭ
bedreddin'lerin,bu1dr eldo8ybo1lrko3,بدر الدّینلرڭ
bedreddin,bu1dr eldybo1,بدر الدین
bedreftar,bu1drfo1bo2er,بدرفتار
bedreftâr,bu1drfo1bo2er,بدرفتار
bedreka,bu1drfo2h,بدرقه
bedreka,bu1drfo2h||,بدرقه‌
bedriye'ye,bu1dryh||yh,بدریه‌یه
bedrud,bu1drwd,بدرود
bedrûd,bu1drwd,بدرود
bedsigal,bu1dsko7el,بدسگال
bedsigâl,bu1dsko7el,بدسگال
bedsiret,bu1dsyrbo2,بدسیرت
bedsirişt,bu1dsrso3bo2,بدسرشت
bedsîret,bu1dsbu2rbo2,بدسيرت
bedter,bu1dbo2r,بدتر
bedtıynet,bu1dtbu2bo1bo2,بدطينت
bedtıynet,bu1dtybo1bo2,بدطینت
bedzeban,bu1dro1bu1ebo1,بدزبان
bedzebân,bu1dro1bu1ebo1,بدزبان
bedzehre,bu1dro1hrh,بدزهره
bedzehre,bu1dro1hrh||,بدزهره‌
bedâhet,bu1dehbo2,بداهت
bedâhet,bu1o4do4eho4bo2o0,بَدَاهَتْ
bedâheten,bu1dehho2,بداهة
bedâheten,bu1dehho2o44,بداهةً
bedâheten,bu1o4do4eho4bo2o44e,بَدَاهَتًا
bedâhetle,bu1dehbo2lh,بداهتله
bedâva,bu1dewe,بداوا
bedâva,bu1edhwe,بادهوا
bedâvet,bu1dewbo2,بداوت
bedâvette,bu1dewbo2dh,بداوتده
bedâvâz,bu1deo6wero1,بدآواز
bedâyi',bu1deya,بدایع
bedâyi,bu1deya,بدایع
bedâyiine,bu1deyabo1h,بدایعنه
bedçeşm,bu1dxu3so3m,بدچشم
bedî',bu1dya,بدیع
bedî',bu1o4dbu2ao0,بَديعْ
bedî'in,bu1dyako3,بدیعڭ
bedîa,bu1dyah,بدیعه
bedîa,bu1o4du4bu2ao4h,بَدِيعَه
bedîaları,bu1dyah||lry,بدیعه‌لری
bedîaya,bu1dyah||yh,بدیعه‌یه
bedîd,bu1dbu2d,بديد
bedîdâr,bu1dbu2der,بديدار
bedîhe,bu1dyhh,بدیهه
bedîhiyy-üz-zuhûr,bu1dbu2hy elto1hwr,بديهی الظهور
bedîhî,bu1dbu2hy,بديهی
bedîhî,bu1dyhy,بدیهی
bedîhî,bu1o4dbu2hbu2,بَديهي
beg,bu1k,بک
begayet,bu1ao1eybo2,بغایت
begonya,bu1h<>ao1wbo1ye,به‌غونیا
begonya,bu1h||ao1wbo1ye,به‌غونیا
begâyet,bu1ao1ebu2bo2,بغايت
begâyet,bu1ao1eybo2,بغایت
beha,bu1he,بها
behaim,bu1heyo5m,بهائم
behayadır,bu1heyedr,بهایادر
behbud,bu1hbu1wd,بهبود
behbûd,bu1hbu1wd,بهبود
behcet,bu1hxu1bo2,بهجت
behem,bu1hm,بهم
behemehal,bu1hh xel,بهه حال
behemehal,bu1hmh<>xel,بهمه‌حال
behemehal,bu1hmh||xel,بهمه‌حال
behemehâl,bu1hh xel,بهه حال
beher,bu1hr,بهر
beherine,bu1hrbu2bo1h,بهرينه
beherine,bu1hrybo1h||,بهرینه‌
behey,bu1hy,بهی
behic,bu1hbu2xu1,بهيج
behic,bu1hyxu1,بهیج
behimat,bu1hymebo2,بهیمات
behime,bu1hymh,بهیمه
behime,bu1hymh||,بهیمه‌
behimi,bu1hymy,بهیمی
behimiyat,bu1hymyebo2,بهیمیات
behimiye,bu1hymyh,بهیمیه
behimiyyet,bu1hymybo2,بهیمیت
behimî,bu1hymy,بهیمی
behiyeleri,bu1hyh||lry,بهیه‌لری
behiyye,bu1hbu2h,بهيه
behiyye,bu1hyh||,بهیه‌
behişt,bu1hso3bo2,بهشت
behişt-i,bu1hso3bo2u4,بهشتِ
behişti,bu1hso3bo2y,بهشتی
behiştî,bu1hso3bo2y,بهشتی
behman,bu1hmebo1,بهمان
behmân,bu1hmebo1,بهمان
behre,bu1hrh,بهره
behre,bu1hrh||,بهره‌
behre,bu1o4ho0ro4h,بَهْرَه
behre,bu1o4ho0ro4h||,بَهْرَه‌
behremend,bu1hrmbo1d,بهرمند
behresiz,bu1hrh<>sro1,بهره‌سز
behresiz,bu1hrh||sro1,بهره‌سز
behresizliğiyle,bu1hrh||sro1lko7ylh,بهره‌سزلگیله
behreyab,bu1hrh||yebu1,بهره‌یاب
beht,bu1hbo2,بهت
beht,bu1o4ho0bo2o0,بَهْتْ
behâ,bu1he,بها
behçet,bu1hxu1bo2,بهجت
behçet-i,bu1hxu1bo2u4,بهجتِ
behîmiyyet,bu1hbu2mbu2bo2,بهيميت
behîmî,bu1hbu2my,بهيمی
beis,bu1eo5s,بأس
beisleri,bu1eo5slry,بأسلری
beka'da,bu1fo2edh,بقاده
beka'nın,bu1fo2ebo1ko3,بقانڭ
beka,bu1fo2e,بقا
beka-i,bu1fo2ecu4,بقاءِ
beka-yı,bu1fo2eyu4,بقایِ
beka-âlûd,bu1fo2eeo6lwd,بقاآلود
bekada,bu1fo2edh,بقاده
bekadaki,bu1fo2edh||ky,بقاده‌کی
bekadan,bu1fo2edbo1,بقادن
bekadır,bu1fo2edr,بقادر
bekaiyenin,bu1fo2eyo5yh||bo1ko3,بقائیه‌نڭ
bekaları,bu1fo2elry,بقالری
bekalarına,bu1fo2elrybo1h,بقالرینه
bekalarını,bu1fo2elrybo1y,بقالرینی
bekalarıyla,bu1fo2elrylh,بقالریله
bekam,bu1kem,بکام
bekamı,bu1fo2emy,بقامی
bekamın,bu1fo2emko3,بقامڭ
bekan,bu1fo2eko3,بقاڭ
bekanı,bu1fo2eko3y,بقاڭی
bekanın,bu1fo2ebo1ko3,بقانڭ
bekar,bu1ker,بکار
bekar,bu1yker,بیکار
bekaret,bu1kerbo2,بکارت
bekarlık,bu1kerlfo2,بکارلق
bekarlık,bu1ykerlfo2,بیکارلق
bekası,bu1fo2esy,بقاسی
bekasına,bu1fo2esbo1h,بقاسنه
bekasında,bu1fo2esbo1dh,بقاسنده
bekasındaki,bu1fo2esbo1dh||ky,بقاسنده‌کی
bekasından,bu1fo2esbo1dbo1,بقاسندن
bekasını,bu1fo2esbo1y,بقاسنی
bekasının,bu1fo2esbo1ko3,بقاسنڭ
bekasıyla,bu1fo2esylh,بقاسیله
bekasıyladır,bu1fo2esylh||dr,بقاسیله‌در
bekasız,bu1fo2esro1,بقاسز
bekaya,bu1fo2eye,بقایا
bekaya,bu1fo2eyh,بقایه
bekayı,bu1fo2eyy,بقایی
bekaî,bu1fo2eyo5y,بقائی
bekir'e,bu1krh,بکره
bekir'in,bu1krko3,بکرڭ
bekir,bu1kr,بکر
bekir-i,bu1kru4,بکرِ
bekir-is,bu1kr el,بکر ال
bekirler,bu1krlr,بکرلر
bekle,bu1klh,بکله
bekle,bu1klh<>,بکله‌
bekledi,bu1klh||dy,بکله‌دی
bekledikleri,bu1klh||dklry,بکله‌دکلری
beklediklerini,bu1klh||dklrybo1y,بکله‌دکلرینی
beklediler,bu1klh||dylr,بکله‌دیلر
bekledim,bu1klh||dm,بکله‌دم
beklediği,bu1klh||dyko7y,بکله‌دیگی
beklediğim,bu1klh||dyko7m,بکله‌دیگم
beklediğimiz,bu1klh||dyko7mro1,بکله‌دیگمز
beklediğin,bu1klh||dyko7ko3,بکله‌دیگڭ
beklediğiniz,bu1klh||dyko7ko3ro1,بکله‌دیگڭز
beklediğinizi,bu1klh||dyko7ko3ro1y,بکله‌دیگڭزی
bekleme,bu1klh||mh,بکله‌مه
bekleme,bu1klmh,بکلمه
bekleme,bu1klmh||,بکلمه‌
beklemediğin,bu1klh||mdyko7ko3,بکله‌مدیگڭ
beklemek,bu1klh<>mk,بکله‌مک
beklemek,bu1klh||mk,بکله‌مک
beklemek,bu1klmk,بکلمک
beklemeksizin,bu1klh||mksro1ybo1,بکله‌مکسزین
beklemekte,bu1klh||mkdh,بکله‌مکده
beklemektedir,bu1klh||mkdh||dr,بکله‌مکده‌در
beklemekteyiz,bu1klh||mkdh||yro1,بکله‌مکده‌یز
beklemeleri,bu1klh||mh||lry,بکله‌مه‌لری
beklemeliyim,bu1klh||mly||ym,بکله‌ملی‌یم
beklemeliyiz,bu1klh||mly||yro1,بکله‌ملی‌یز
beklemeniz,bu1klh||mh||ko3ro1,بکله‌مه‌ڭز
beklemesi,bu1klmh||sy,بکلمه‌سی
beklemesinden,bu1klmh||sbo1dbo1,بکلمه‌سندن
beklemeye,bu1klh||mko7h,بکله‌مگه
beklemeyen,bu1klh||mh||ybo1,بکله‌مه‌ین
beklemeyerek,bu1klh||myh||rk,بکله‌میه‌رک
beklemeyiniz,bu1klh||mh||yko3ro1,بکله‌مه‌یڭز
beklemeyiz,bu1klh||mh||yro1,بکله‌مه‌یز
beklemiyerek,bu1klh||myh||rk,بکله‌میه‌رک
beklemiyor,bu1klh||myywr,بکله‌مییور
beklemiyordum,bu1klh||myywrdm,بکله‌مییوردم
beklemiyorlar,bu1klh||myywrlr,بکله‌مییورلر
beklemiyorum,bu1klh||myywrm,بکله‌مییورم
beklemiyoruz,bu1klh||myywrro1,بکله‌مییورز
beklemiş,bu1klh||mso3,بکله‌مش
beklemişler,bu1klh||mso3lr,بکله‌مشلر
beklen,bu1klh<>bo1,بکله‌ن
beklenen,bu1klh||bo1bo1,بکله‌نن
beklenilemez,bu1klh||bo1ylh||mro1,بکله‌نیله‌مز
beklenilen,bu1klh||bo1ylbo1,بکله‌نیلن
beklenilmeden,bu1klh||bo1ylmh||dbo1,بکله‌نیلمه‌دن
beklenilmez,bu1klh||bo1lmro1,بکله‌نلمز
beklenilmiştir,bu1klh||bo1lmso3dr,بکله‌نلمشدر
beklenir,bu1klh||bo1yr,بکله‌نیر
beklenirken,bu1klh||bo1yrkbo1,بکله‌نیرکن
bekleniyordu,bu1klh||bo1yywrdy,بکله‌نییوردی
beklenmek,bu1klh<>bo1mk,بکله‌نمک
beklenmek,bu1klh||bo1mk,بکله‌نمک
beklenmez,bu1klbo1mro1,بکلنمز
beklenmiştir,bu1klbo1mso3dr,بکلنمشدر
bekler,bu1klr,بکلر
beklerdi,bu1klrdy,بکلردی
beklerdim,bu1klrdm,بکلردم
beklerim,bu1klh||rm,بکله‌رم
bekleriz,bu1klrro1,بکلرز
beklerken,bu1klrkbo1,بکلرکن
beklerler,bu1klrlr,بکلرلر
beklerlerdi,bu1klrlrdy,بکلرلردی
beklermiş,bu1klrmso3,بکلرمش
beklersin,bu1klrsko3,بکلرسڭ
beklesin,bu1klh||sybo1,بکله‌سین
beklet,bu1klh<>bo2,بکله‌ت
bekletilmek,bu1klbo2lmk,بکلتلمک
bekletmek,bu1klh<>bo2mk,بکله‌تمک
bekletmek,bu1klh||bo2mk,بکله‌تمک
beklettirdi,bu1klbo2dyrdy,بکلتدیردی
beklettirilmiştir,bu1klbo2dyrylmso3dr,بکلتدیریلمشدر
bekleyebilirim,bu1klh||yh||bu1ylyrm,بکله‌یه‌بیلیرم
bekleyebiliriz,bu1klh||yh||bu1ylyrro1,بکله‌یه‌بیلیرز
bekleyecek,bu1klh||yh||xu1k,بکله‌یه‌جک
bekleyeceklerdi,bu1klh||yh||xu1klrdy,بکله‌یه‌جکلردی
bekleyeceğini,bu1klh||yh||xu1ko7bo1y,بکله‌یه‌جگنی
bekleyen,bu1klh||ybo1,بکله‌ین
bekleyenin,bu1klh||yh||bo1ko3,بکله‌یه‌نڭ
bekleyenlere,bu1klh||ybo1lrh,بکله‌ینلره
bekleyiniz,bu1klh||yko3ro1,بکله‌یڭز
bekleyip,bu1klh||ywbu1,بکله‌یوب
bekleş,bu1klh<>so3,بکله‌ش
bekleşiyor,bu1klh||so3yywr,بکله‌شییور
bekleşmek,bu1klh<>so3mk,بکله‌شمک
bekleşmek,bu1klh||so3mk,بکله‌شمک
bekliyebilirsiniz,bu1klyh||bu1ylyrsko3ro1,بکلیه‌بیلیرسڭز
bekliyen,bu1klh||ybo1,بکله‌ین
bekliyor,bu1klh||ywr,بکله‌یور
bekliyordu,bu1klh||ywrdy,بکله‌یوردی
bekliyorduk,bu1klyywrdfo2,بکلییوردق
bekliyordum,bu1klh||ywrdm,بکله‌یوردم
bekliyorken,bu1klh||ywrkbo1,بکله‌یورکن
bekliyorlar,bu1klh||ywrlr,بکله‌یورلر
bekliyorlardı,bu1klh||ywrlrdy,بکله‌یورلردی
bekliyorlarmış,bu1klh||ywrlrmso3,بکله‌یورلرمش
bekliyorum,bu1klh||ywrm,بکله‌یورم
bekliyoruz,bu1klh||ywrro1,بکله‌یورز
bekmez,bu1kmro1,بکمز
bekr-i,bu1kru4,بکرِ
bekri,bu1kry,بکری
bekrin-is,bu1kr|| el,بکر‌ ال
bekrî,bu1kry,بکری
beksimat,bu1ksmebo2,بکسمات
bektaşi üzümü,bu1kteso3y ewro1wmy,بکطاشی اوزومی
bektaşi'ye,bu1kbo2eso3y||yh,بکتاشی‌یه
bektaşi,bu1kbo2eso3y,بکتاشی
bektaşiye,bu1kbo2eso3y||yh,بکتاشی‌یه
bektaşî'ye,bu1kbo2eso3y||yh,بکتاشی‌یه
bektaşî,bu1kbo2eso3y,بکتاشی
bektaşîdir,bu1kbo2eso3ydr,بکتاشیدر
bektaşîlikten,bu1kbo2eso3ylkdbo1,بکتاشیلکدن
bektâşî üzümü,bu1kteso3y ewro1wmy,بکطاشی اوزومی
bekuf'e,bu1kwfo1h,بکوفه
bekuf'un,bu1kwfo1ko3,بکوفڭ
bekuf,bu1kwfo1,بکوف
bekâ,bu1fo2e,بقا
bekâm,bu1kem,بکام
bekâr,bu1bu2ker,بيکار
bekâr,bu1ker,بکار
bekâret,bu1kerbo2,بکارت
bekârlık,bu1bu2kerlfo2,بيکارلق
bekârlık,bu1kerlfo2,بکارلق
bekâya,bu1fo2eye,بقایا
bekçi,bu1kxu1y,بکجی
bekçi-i,bu1kxu1yo5u4,بکجئِ
bekçibaşı,bu1kxu1y||bu1eso3y,بکجی‌باشی
bekçiler,bu1kxu1ylr,بکجیلر
bekçilerden,bu1kxu1ylrdbo1,بکجیلردن
bekçilere,bu1kxu1ylrh,بکجیلره
bekçileridir,bu1kxu1ylrydr,بکجیلریدر
bekçilerle,bu1kxu1ylrlh,بکجیلرله
bekçilik etmek,bu1kxu1bu2lk e,بکجيلک ا
bekçilik etmek,bu1kxu1ylk e,بکجیلک ا
bekçilik,bu1kxu1ylk,بکجیلک
bekçisi,bu1kxu1ysy,بکجیسی
bekçisidir,bu1kxu1ysydr,بکجیسیدر
bekçisini,bu1kxu1ysbo1y,بکجیسنی
bekçisisin,bu1kxu1ysysko3,بکجیسیسڭ
bel vermek,bu1l wbu2rmk,بل ويرمک
bel vermek,bu1l wyrmk,بل ویرمک
bel' etmek,bu1la e,بلع ا
bel',bu1la,بلع
bel',bu1o4lo0ao0,بَلْعْ
bel'ederdi,bu1la eydrdy,بلع ایدردی
bel'ettiği,bu1la eybo2dyko7y,بلع ایتدیگی
bel,bu1l,بل
bel-bele,bu1l bu1lh,بل بله
bela olmak,bu1le ew,بلا او
bela,bu1le,بلا
bela,bu1ly,بلی
bela-ender,bu1le eo5bo1dr,بلا أندر
bela-yı,bu1leyu4,بلایِ
beladan,bu1ledbo1,بلادن
beladet,bu1ledbo2,بلادت
beladide,bu1ledydh||,بلادیده‌
beladır,bu1ledr,بلادر
belag,bu1lao1,بلغ
belagan,bu1lao1o44e,بلغًا
belagat,bu1leao1bo2,بلاغت
belagat,bu1o4lo4eao1o4bo2o0,بَلَاغَتْ
belahet,bu1lehbo2,بلاهت
belalar,bu1lelr,بلالر
belalara,bu1lelrh,بلالره
belalardan,bu1lelrdbo1,بلالردن
belalarla,bu1lelrlh,بلالرله
belaları,bu1lelry,بلالری
belaların,bu1lelrko3,بلالرڭ
belalarından,bu1lelrbo1dbo1,بلالرندن
belalarını,bu1lelrybo1y,بلالرینی
belalarıyla,bu1lelrylh,بلالریله
belalı,bu1lely,بلالی
belamızı,bu1lemro1y,بلامزی
belanın,bu1lebo1ko3,بلانڭ
belanız,bu1leko3ro1,بلاڭز
belası,bu1lesy,بلاسی
belasına,bu1lesbo1h,بلاسنه
belasında,bu1lesbo1dh,بلاسنده
belasından,bu1lesbo1dbo1,بلاسندن
belasındandır,bu1lesbo1dbo1dr,بلاسندندر
belasını,bu1lesbo1y,بلاسنی
belasının,bu1lesbo1ko3,بلاسنڭ
belasıyla,bu1lesylh,بلاسیله
belaya,bu1leye,بلایا
belaya,bu1leyh,بلایه
belayı,bu1leyy,بلایی
belde,bu1ldh,بلده
belde,bu1ldh||,بلده‌
belde-i,bu1ldh||u4,بلده‌ِ
beldede,bu1ldh||dh,بلده‌ده
beldedir,bu1ldh||dr,بلده‌در
beldeler,bu1ldh||lr,بلده‌لر
beldelerden,bu1ldh||lrdbo1,بلده‌لردن
beldeye,bu1ldh||yh,بلده‌یه
beled,bu1ld,بلد
beledi,bu1ldy,بلدی
belediye,bu1ldyh,بلدیه
belediye,bu1ldyh||,بلدیه‌
belediyesi,bu1ldyh||sy,بلدیه‌سی
belediyye,bu1ldyh,بلدیه
belediyye,bu1ldyh||,بلدیه‌
beledî,bu1ldy,بلدی
beleş,bu1lso3,بلش
belgesinin,bu1lko7h||sbo1ko3,بلگه‌سنڭ
beli gelmek,bu1ly klmk,بلی کلمک
beli,bu1ly,بلی
belig,bu1lyao1,بلیغ
belig-i,bu1lyao1u4,بلیغِ
beligane,bu1lyao1ebo1h,بلیغانه
beliganesi,bu1lyao1ebo1h||sy,بلیغانه‌سی
beliganesini,bu1lyao1ebo1h||sbo1y,بلیغانه‌سنی
beliganesiyle,bu1lyao1ebo1h||sylh,بلیغانه‌سیله
beligdir,bu1lyao1dr,بلیغدر
beligi,bu1lyao1y,بلیغی
beligidir,bu1lyao1ydr,بلیغیدر
beligleri,bu1lyao1lry,بلیغلری
beliglerin,bu1lyao1lrko3,بلیغلرڭ
beliglerinin,bu1lyao1lrybo1ko3,بلیغلرینڭ
beligleriniz,bu1lyao1lryko3ro1,بلیغلریڭز
belimde,bu1lmdh,بلمده
belime,bu1lymh,بلیمه
belimizi,bu1lymro1y,بلیمزی
belin,bu1lko3,بلڭ
belinde,bu1lbo1dh,بلنده
belindeki,bu1lbo1dh||ky,بلنده‌کی
beline,bu1lbo1h,بلنه
belini,bu1lbo1y,بلنی
belinizde,bu1lko3ro1dh,بلڭزده
belir,bu1lyr,بلیر
belirdi,bu1lyrdy,بلیردی
belirir,bu1lyrr,بلیرر
belirmek,bu1lyrmk,بلیرمک
belirmiş,bu1lyrmso3,بلیرمش
belirsiz,bu1lyrsro1,بلیرسز
belirten,bu1lyrbo2bo1,بلیرتن
belirterek,bu1lyrbo2h||rk,بلیرته‌رک
belirtilmiş,bu1lyrbo2ylmso3,بلیرتیلمش
belirtmek,bu1lyrbo2mk,بلیرتمک
belirtmekle,bu1lyrbo2mklh,بلیرتمکله
belirtmeliyim,bu1lyrbo2mly||ym,بلیرتملی‌یم
belirtmeğe,bu1lyrbo2mko7h,بلیرتمگه
belirtmiş,bu1lyrbo2mso3,بلیرتمش
beliyyat,bu1lyebo2,بلیات
beliyyat,bu1lyo8ebo2,بلیّات
beliyyata,bu1lyo8ebo2h,بلیّاته
beliyyattır,bu1lyo8ebo2dr,بلیّاتدر
beliyyatı,bu1lyo8ebo2y,بلیّاتی
beliyyatın,bu1lyo8ebo2ko3,بلیّاتڭ
beliyye,bu1lyh,بلیه
beliyye,bu1lyh||,بلیه‌
beliyye,bu1lyo8h,بلیّه
beliyye-i,bu1lyo8h||u4,بلیّه‌ِ
beliyyedir,bu1lyo8h||dr,بلیّه‌در
beliyyeler,bu1lyo8h||lr,بلیّه‌لر
beliyyelere,bu1lyo8h||lrh,بلیّه‌لره
beliyyelerin,bu1lyo8h||lrko3,بلیّه‌لرڭ
beliyyesinden,bu1lyo8h||sbo1dbo1,بلیّه‌سندن
beliyyât,bu1lbu2ebo2,بليات
beliğ,bu1lyao1,بلیغ
beliğ,bu1o4lyao1o0,بَلیغْ
beli̇ğ,bu1o4lyao1o0,بَلیغْ
belkan,bu1o4lo0kebo1,بَلْکان
belkemiği,bu1l kmyky,بل کمیکی
belkemiği,bu1l||kmyko7y,بل‌کمیگی
belki,bu1lkh,بلکه
belki,bu1lkh||,بلکه‌
belki,bu1lky,بلکی
belkîs'i,bu1lfo2ysy,بلقیسی
belkıs'ın,bu1lfo2ysko3,بلقیسڭ
belkıs,bu1lfo2ys,بلقیس
belkısî,bu1lfo2ysy,بلقیسی
belladon,bu1h<>lledwbo1,به‌للادون
belle,bu1lh<>,بله‌
belleme,bu1lh<>mh||,بله‌مه‌
belleme,bu1lh||mh,بله‌مه
bellemek,bu1lh<>mk,بله‌مک
bellemek,bu1lh||mk,بله‌مک
bellemek,bu1llh||mk,بلله‌مک
bellemek,bu1llmk,بللمک
bellen,bu1lh<>bo1,بله‌ن
bellenmek,bu1lh<>bo1mk,بله‌نمک
bellenmek,bu1lh||bo1mk,بله‌نمک
bellenmiş,bu1lh<>bo1mso3,بله‌نمش
bellenmiş,bu1lh||bo1mso3,بله‌نمش
bellerinde,bu1llrbo1dh,بللرنده
bellerine,bu1llrybo1h,بللرینه
bellerini,bu1llrybo1y,بللرینی
bellet,bu1lh<>bo2,بله‌ت
belletmek,bu1lh<>bo2mk,بله‌تمک
belletmek,bu1lh||bo2mk,بله‌تمک
belli başlı,bu1llw bu1eso3lw,بللو باشلو
belli başlı,bu1llwbu1eso3lw,بللوباشلو
belli belirsiz piyade yolu,bu1llw bu1llw sro1bu3yedh bu3wly,بللو بللو سزپیاده پولی
belli belirsiz piyâde yolu,bu1llw bu1llw sro1bu3bu2edh bu3wly,بللو بللو سزپياده پولی
belli değil,bu1llwdkl,بللودکل
belli olmak,bu1llw ew,بللو او
belli,bu1llw,بللو
belli,bu1lly,بللی
bellisiz,bu1llwsro1,بللوسز
bellisiz,bu1llysro1,بللیسز
bellâdon,bu1h||lledwbo1,به‌للادون
belsoğukluğu,bu1l zwao1wfo2lao1y,بل صوغوقلغی
belsoğuğu,bu1l zwao1wao1y,بل صوغوغی
belsoğuğu,bu1lzwao1wao1y,بلصوغوغی
beltea'nın,bu1o4lbo2ah||bo1ko3,بَلتعه‌نڭ
belut,bu1lwt,بلوط
belva,bu1lwo99y,بلوٌی
belva-yı,bu1lwo99yu4,بلوٌیِ
belvada,bu1lwo99y||dh,بلوٌی‌ده
belâ olmak,bu1le ew,بلا او
belâ'dan,bu1ledbo1,بلادن
belâ,bu1le,بلا
belâ,bu1ly,بلی
belâ-ender,bu1le eo5bo1dr,بلا أندر
belâbil,bu1lebu1l,بلابل
belâdan,bu1ledbo1,بلادن
belâdet,bu1ledbo2,بلادت
belâdîde,bu1ledydh,بلادیده
belâdır,bu1ledr,بلادر
belâga,bu1leao1h,بلاغه
belâgat'ta,bu1leao1bo2dh,بلاغتده
belâgat'ın,bu1leao1bo2ko3,بلاغتڭ
belâgat,bu1leao1bo2,بلاغت
belâgat,bu1o4lo4eao1o4bo2o0,بَلَاغَتْ
belâgat-ı,bu1leao1bo2u4,بلاغتِ
belâgata,bu1leao1bo2h,بلاغته
belâgatkârane,bu1leao1bo2kerebo1h,بلاغتکارانه
belâgatla,bu1leao1bo2lh,بلاغتله
belâgatları,bu1leao1bo2lry,بلاغتلری
belâgatların,bu1leao1bo2lrko3,بلاغتلرڭ
belâgatlarından,bu1leao1bo2lrbo1dbo1,بلاغتلرندن
belâgatlı,bu1leao1bo2ly,بلاغتلی
belâgatta,bu1leao1bo2dh,بلاغتده
belâgattadır,bu1leao1bo2dh||dr,بلاغتده‌در
belâgattaki,bu1leao1bo2dh||ky,بلاغتده‌کی
belâgattan,bu1leao1bo2dbo1,بلاغتدن
belâgattır,bu1leao1bo2dr,بلاغتدر
belâgatça,bu1leao1bo2xu1h,بلاغتجه
belâgatı,bu1leao1bo2y,بلاغتی
belâgatın,bu1leao1bo2ko3,بلاغتڭ
belâgatına,bu1leao1bo2bo1h,بلاغتنه
belâgatındaki,bu1leao1bo2bo1dh||ky,بلاغتنده‌کی
belâgatından,bu1leao1bo2bo1dbo1,بلاغتندن
belâgatını,bu1leao1bo2bo1y,بلاغتنی
belâgatının,bu1leao1bo2bo1ko3,بلاغتنڭ
