a,ه
bîcâ,بيجا
bîcan,بی جان
bîçâre,بيچاره
bîçâregân,بيچارگان
bîçunuçirâ,بی چون و چرا
bîd,بيد
bîdâd,بيداد
bîdâdger,بيدادگر
bîdâr,بيدار
bîdârbaht,بيداربخت
bid'at,بدعت
bidâyet,بدایت
bîdil,بيدل
bîdin,بی دین
bîedeb,بی ادب
bîeman,بی امان
bîendişe,بی اندیشه
bîgâne,بيگانه
bîgüman,بی گمان
bîgünah,بی گناه
bîh,بيخ
bîhaber,بی خبر
bîhadd,بی حد
bihakkın,بحق
bihamdillah,بحمدالله
bihâr,بحار
bîhareket,بی حرکت
bîhâsıl,بی حاصل
bîhayâ,بی حيا
bîhayat,بی حيات
bihâzelemr,بهذا الامر
bihbûd,بهبود
bîhemtâ,بی همتا
bîhesâb,بی حساب
bîhiss,بی حس
bihişt,بهشت
bîhod,بيخود
bihter,بهتر
bîhude,بيهده
bîinsâf,بی انصاف
bîkâr,بيکار
bîkarâr,بی قرار
bikr,بكر
bikr,بکر
bîl,بيل
bilâd,بلاد
bilâfâsıla,بلافاصله
bilâhareket,بلاحرکت
bilâhere,بالآخره
bilâinkıtâ,بلاانقطاع
bilâkayt,بلاقيد
bilakis,بالعکس
bilâmâni'a,بلامانعه
bilâmazeret,بلامعذرت
bilâmerhamet,بلامرحمت
bilâmühlet,بلامهلت
bilâpervâ,بلاپروا
bilâşikâyet,بلاشکایت
bilâte'ehhür,بلاتأخر
bilâtefrik,بلاتفریق
bilâtehlike,بلاتهلکه
bilâteminat,بلاتأمينات
bilâücret,بلاأجرت
bilcümle,بالجمله
bilfarz,بالفرض
bilfiil,بالفعل
bilhassa,بالخاصه
biliktizâ,بالاقتضا
bililtizâm,بالالتزام
bilistifade,بالاستفاده
bilistihsâl,بالاستحصال
biliştirâk,بالاشتراک
billûr,بلور
bilmecbûriye,بالمجبئریه
bilmukabele,بالمقابله
bilmünâsebe,بالمناسبه
bilmünâvebe,بالمناوبه
bilmüzakere,بالمذاکره
bilumum,بالعموم
bilvâsıta,بالواسطه
bîm,بيم
bîma'nâ,بی معنی
bîmâr,بيمار
bîmârân,بيماران
bîmecâl,بی مجال
bîmekân,بی مکان
bîmerhamet,بی مرحمت
bîmeze,بی مزه
bîmihr,بی مهر
bîmisâl,بی مثال
bîmuhâbâ,بی محابا
bîmübâlât,بی مبالات
bîmürüvvet,بی مروت
bin,بن
binâ,بناء
bînâ,بينا
binâberin,بنابرىن
binâberin,بنابرین
binâen,بناء
binâenaleyh,بناء عليه
bînâm,بينام
bînamaz,بی نماز
bînasîb,بی نصيب
bînazîr,بی نظير
bînemek,بی نمک
bînevâ,بينوا
bînî,بينی
bînihaye,بی نهایه
binnetice,بالنتيجه
binnisbe,بالنسبه
bint,بنت
bîpâyân,بی پایان
bîpervâ,بی پروا
bi'r,بئر
birâder,برادر
bîrahm,بی رحم
bîrayb,بی ریب
birinc,برنج
birişte,برشته
birr,بر
bîrûn,بيرون
biryân,بریان
bisât,بساط
bîsebat,بی ثبات
bîsebeb,بی سبب
bîser,بی سر
bi'set,بئثت
bîst,بيست
bister,بستر
bîsûd,بی سود
bisyâr,بسيار
bîşe,بيشه
bîşerm,بی شرم
bîşuur,بی شعور
bîşübhe,بی شبهه
bîşümâr,بی شمار
bîtâb,بيتاب
bîtâbane,بيتابانه
bitamâmihâ,بتمامها
bîtaraf,بی طرف
bîtarafâne,بی طرفانه
biti,بيتى
bittab',بالطبع
bittafsîl,بالتفصيل
bittamâm,بالتمام
bittecrübe,بالتجربه
bîve,بيوه
bîvefâ,بی وفا
bîvezen,بيوه زن
bîzâr,بيزار
bizâtihi,بذاته
bizzarûre,بالضروره
bostân,بوستان
bû,بو
bû,بو
bu'd,بعد
bûd,بود
bu'diyet,بعدیت
buğrâ,بغرا
buhalâ,بخلا
buhar,بخار
buhâr,بخار
buhl,بخل
buhrân,بحران
buht,بهت
buhûr,بخور
buhurdan,بخوردان
buk'a,بقعه
buk'avî,بقعوی
bûm,بوم
bûm,بوم
bûmehen,بومهن
bûr,بور
burc,برج
burhan,برهان
bûriya,بوریا
burûc,بروج
burûdet,برودت
bûse,بوسه
bûstân,بوستان
bûte,بوته
bûtimar,بوتيمار
butlân,بطلان
butûn,بطون
bûy,بوی
bûydâr,بویدار
bûzîne,بوزینه
bühtân,بهتان
bükâ,بکاء
bülaceb,بوالعجب
büldân,بلدان
büleğâ,بلغاء
bülend,بلند
bülendbâlâ,بلندبالا
bülendpervâz,بلندپرواز
bülheves,بوالهوس
bülûğ,بلوغ
bün,بن
bünyâd,بنياد
bünye,بنيه
bünyeviyat,بنيویات
bürdbâr,بردبار
bürde,برده
bürhân,برهان
bürîde,بریده
bürka,برقع
bürnâ,برنا
bürrân,بران
bürûdet,برودت
bürûz,بروز
büstân,بستان
büşrâ,بشرا
büt,بت
büthâne,بت خانه
bütperest,بت پرست
bütûn,بطون
büyût,بيوت
büz,بز
büzdil,بزدل
büzûr,بذور
büzürg,بزرگ
büzürgân,بزرگان
büzürgzâde,بزرگ زاده
câ,جا
câbecâ,جابجا
câbir,جابر
câdde,جاده
câdû,جادو
câdûger,جادوگر
câh,جاه
câhid,جاهد
câhil,جاهل
câhilâne,جاهلانه
câiz,جائز
câize,جائزه
ca'l,جعل
ca'lî,جعلی
câlib,جالب
câm,جام
câme,جامه
câmedân,جامه دان
câmegî,جامگی
câmekan,جامکان
câmekan,جامکان
câmeşûy,جامه شوی
câmi',جامع
câmia,جامعه
câmid,جامد
câmûs,جاموس
cân,جان
cânâ,جانا
cânân,جانان
cânâne,جانانه
cânbâz,جانباز
cândâr,جاندار
canefşân,جان افشان
cânefzâ,جان افزا
cânfersâ,جان فرسا
cânfeşân,جان فشان
cânfezâ,جان فزا
cângüdâz,جان گداز
canhıraş,جان خراش
cânib,جانب
cânişin,جانشين
cânnisâr,جان نثار
cânsipâr,جان سپار
cânsiperâne,جان سپرانه
cânsitân,جان ستان
cânver,جان ور
câr,جار
cârî,جارِ
câriha,جارحه
câriye,جاریه
cârû,جارو
cârûb,جاروب
câsûsî,جاسوسی
câvid,جاود
câvidân,جاودان
cây,جای
câygâh,جایگاه
câyi',جایع
câynişîn,جاینشين
câzib,جاذب
câzibe,جاذبه
cazibedar,جاذبه دار
câzibiyyet,جاذبيت
cebâbire,جبابره
cebânet,جبانت
cebbâr,جبار
cebbârî,جباری
cebel,جبل
cebhe,جبهه
cebîn,جبين
cebr,جبر
cebren,جبرا
cebrî,جبری
cedâvil,جداول
cedd,جد
cedel,جدل
cedelî,جدلی
cedî,جدی
cedîd,جدید
cedîde,جدیده
cedvel,جدول
cefâ,جفا
cefâcû,جفاجو
cefâdîde,جفادیده
cefâkâr,جفاکار
cefâkârî,جفاکاری
cefâkeş,جفاکش
cefâpîşe,جفاپيشه
cefcâf,جفجاف
ceffelkalem,جف القلم
cefr,جفر
cehâlet,جهالت
cehd,جهد
cehele,جهله
cehennemî,جهنمی
cehl,جهل
cehren,جهرا
celâdet,جلادت
celâl,جلال
celb,جلب
celbnâme,جلب نامه
celeb,جلب
celesât,جلسات
celîl,جليل
celîs,جليس
cellâd,جلاد
cellâdî,جلادی
celse,جلسه
cem',جمع
cemâat,جماعت
cemâd,جماد
cemâdât,جمادات
cemâhîr,جماهير
cemâl,جمال
cem'an,جمعا
cemel,جمل
cemî',جميع
cemî'an,جميعا
cemil,جميل
cemîle,جميله
cemiyet,جمعيت
cem'iyyât,جمعيات
cem'iyyet,جمعيت
cemm,جم
cenâb,جناب
cenâbet,جنابت
cenâh,جناح
cenb,جنب
cendere,جندره
ceng,جنگ
cengâver,جنگاور
cengâverî,جنگاوری
cengcû,جنگجو
cengel,جنگل
cennât,جنات
cennet,جنت
cennetmekân,جنت مکان
cenûb,جنوب
cenûbî,جنوبی
cerâd,جراد
cerâhat,جراحت
cerâid,جرائد
cerâim,جرائم
cerbeze,جربزه
ceres,جرس
cereyân,جریان
cerge,جرگه
cerh,جرح
cerîde,جریده
cerîha,جریحه
cerîme,جریمه
cerrâh,جراح
cerrâhî,جراحی
cesâmet,جسامت
cesâret,جسارت
cesîm,جسيم
cesîmülcüsse,جسيم الجثه
cesûr,جسور
cev,جو
cevâb,جواب
cevâben,جوابا
cevâd,جواد
cevâhir,جواهر
cevâmi',جوامع
cevâmid,جوامد
cevâmîs,جواميس
cevân,جوان
cevânib,جوانب
cevârî,جواری
cevâz,جواز
cevdet,جودت
cevelân,جولان
cevelângâh,جولانگاه
cevf,جوف
cevher,جوهر
cevherfürûş,جوهرفروش
cevherî,جوهری
cevîn,جوین
cevir,جور
cevr,جور
cevşen,جوشن
cevv,جو
cevvâl,جوال
cevvî,جوی
cevzâ,جوزاء
ceyb,جيب
ceyş,جيس
ceyyid,جيد
cezâ,جزاء
cezâir,جزائر
cezâlet,جزالت
cezb,جذب
cezbe,جذبه
cezer,جزر
cezîre,جزیره
cezm,جزم
cezzâb,جذاب
cibâl,جبال
cibillet,جبلت
cibilliyet,جبليت
cibilliyetsiz,جبلتسز
cidâl,جدال
cidâlcû,جدال جو
cidâr,جدار
cidden,جدا
ciddî,جدی
ciddiyyet,جدیت
cîfe,جيفه
ciger,جگر
cigergûşe,جگرگوشه
cigerpâre,جگرپاره
cigersûz,جگرسوز
cihâd,جهاد
cihân,جهان
cihânâferîn,جهان آفرین
cihandar,جهاندار
cihandîde,جخان دیده
cihangîr,جهانگير
cihangîrî,جهانگيری
cihângüşâ,جهانگشا
cihânî,جهانی
cihannüma,جهان نما
cihâr,چهار
cihâren,جهارا
cihât,جهات
cihâz,جهاز
cihet,جهت
cilâ,جلاء
cilâdar,جلادار
cild,جلد
cilve,جلوه
cilvegâh,جلوه گاه
cilveger,جلوه گر
cilvesâz,جلوه ساز
cimâ',جماع
cinâ'î,جنائی
cinân,جنان
cinayetkâr,جنایتکار
cinâze,جنازه
cindar,جندار
cinnet,جنت
cins,جنس
cinsî,جنسی
cirm,جرم
cism,جسم
cismânî,جسمانی
cismen,جسما
cisr,جسر
civan,جوان
civânân,جوانان
civanbaht,جوان بخت
civânî,جوانی
civânmerd,جوانمرد
civâr,جوار
cîve,جيوه
cizye,جزیه
cû,جو
cû,جو
cû',جوش
cûce,جوجه
cûd,جود
cuğd,جغد
cûlâh,جولاه
cum'a,جمعه
cumhûr,جمهور
cumhûrî,جمهوری
cumhûriyyet,جمهوریت
cûş,جوش
cûşâcûş,جوشاجوش
cûşân,جوشان
cûşiş,جوشش
cûy,جوی
cûy,جوی
cûybâr,جویبار
cûyende,جوینده
cübn,جبن
cüdâ,جدا
cüdâyî,جدایی
cüdrân,جدران
cüft,جفت
cüfte,جفته
cühelâ,جهلاء
cühhâl,جهال
cüllâh,جلاه
cülûs,جلوس
cülûsiyye,جلوسيه
cümcüme,جمجمه
cümel,جمل
cümle,جمله
cümleten,جملة
cümûd,جمود
cümûdiyye,جمودیه
cünbân,جنبان
cünbiş,جنبش
cünd,جند
cündî,جندی
cünha,جنحه
cünûd,جنود
cürm,جرم
cürûf,جروف
cüsse,جثه
cüstücû,جست و جو
cüvâl,جوال
cüz',جزء
cüzâm,جذام
cüzdan,جزئدان
cüz'î,جزئی
cüz'iyyât,جزئيات
çâbük,چابک
çâbükî,چابکی
çâbükpâ,چابک پا
çâbükrev,چابک رو
çâbüksüvar,چابک سوار
çâder,چادر
çâdernişin,چادرنشين
çadır,چادر
çağz,چغز
çâh,چاه
çâk,چاک
çâkâçâk,چاکاچاک
çâker,چاکر
çâkerî,چاکری
çâkûç,چاکوچ
çâlâk,چالاک
çâlâkî,چالاکی
çâlik,چاليک
çâlpâre,چارپاره
çâme,چامه
çâne,چانه
çâpâr,چاپار
çâplûs,چاپلوس
çâr,چار
çâr,چار
çârçûbe,چارچوبه
çardak,چارطاق
çârdeh,چارده
çâre,چاره
çârecû,چاره جو
çâresâz,چاره ساز
çâresâzî,چاره سازی
çârgâh,چارگاه
çârgûşe,چارگوشه
çarh,چرخ
çarmıh,چارميخ
çârnâçâr,چارناچار
çârpâ,چارپا
çârsû,چارسو
çârsû,چارسو
çârşeb,چارشب
çârşenbe,چارشنبه
çârtâk,چارطاق
çârüm,چارم
çâryâr,چاریار
çâşni,چاشنی
çâşnigîr,چاشنی گير
çâşt,چاشت
çay,چاى
çeğâle,چغاله
çeh,چه
çehâr,چهار
çehre,چهره
çehreperdâz,چهره پرداز
çekâçâk,چکاچاک
çekîde,چکيده
çekûç,چکوچ
çelîpâ,چليپا
çem,چم
çemen,چمن
çemenzâr,چمنزار
çenâr,چنار
çenber,چنبر
çend,چند
çendan,چندان
çendin,چندین
çeng,چنگ
çengâl,چنگال
çengî,چنگی
çep,چپ
çerâ,چرا
çerâgâh,چراگاه
çerâğ,چراغ
çerâğân,چراغان
çerâkese,چراکسه
çerb,چرب
çerbzebân,چرب زبان
çerh,چرخ
çerm,چرم
çeşm,چشم
çeşmân,چشمان
çeşmderîde,چشم دریده
çeşme,چشمه
çetr,چتر
çevgân,چوگان
çeyrek,چهاریک
çîgûne,چگونه
çigûnegî,چگونگی
çihâr,چهار
çihar yâr,چهاریار
çihârüdü,چهار و دو
çihârüse,چهار و سه
çihârüyek,چهار و یک
çihil,چهل
çihilpâ,چهل پا
çihre,چهره
çil,چل
çile,چله
çilekeş,چله کش
çimen,چمن
çîn,چين
çirâğ,چراغ
çîredest,چيره دست
çirk,چرک
çirkâb,چرک آب
çirkîn,چرکين
çîz,چيز
çûb,چوب
çûbân,چوبان
çûbek,چوبک
çun,چون
çün,چن
çünki,چونکه
çüst,چست
çüstî,چستی
çüvâl,چوال
çüvaldûz,چوالدوز
dâd,داد
dâd,داد
dâdgâh,دادگاه
dâdhâh,دادخواه
dâdres,دادرس
dâdû,دادو
dâdüferyâd,دادوفریاد
dâdüsited,داد و ستد
dâfi',دافع
dâğ,داغ
dağal,دغل
dağalbâz,دغل باز
dağdağa,دغدغه
dahi,دخي
dâhî,داهی
dâhil,داخل
dâhile,داخله
dâhilen,داخلا
dâhilî,داخلی
dâhiliye,داخليه
dahl,دخل
dahme,ضخمه
dâ'î,داعی
dâim,دائم
dâimî,دائمی
dâir,دائر
dâire,دائره
dâirenmâdâr,دائرا مادار
dâirevî,دائروی
dâirezen,دائره زن
dâiye,داعيه
dakâyık,دقایق
dakîk,دقيق
dakîka,دقيقه
dalâlet,ضلالت
dâll,دال
dâlle,ضاله
dâm,دام
dâmâd,داماد
dâmân,دامان
dâmen,دامن
dâmenâlûde,دامن آلوده
dâmenbûs,دامن بوس
dâmene,دامنه
dâmengîr,دامن گير
dâmgâh,دامگاه
dân,دان
dân,دان
dânâ,دانا
dâne,دانه
dânende,داننده
dâng,دانگ
dâniş,دانش
dânişâmûz,دانش آموز
dânişgâh,دانشگاه
dânişmend,دانشمند
dânişver,دانشور
dâr,دار
dâr,دار
dâr,دار
dârâ,دارا
darabân,ضربان
darabât,ضربات
darb,ضرب
darbe,ضربه
darbhâne,ضرب خانه
darbımesel,ضرب مثل
dârçîn,دارچين
dârende,دارنده
darîr,ضریر
dârû,دارو
dârûhâne,داروخانه
dârülaceze,دارالعجزه
dârülbedâyi,دارالبدایع
dârülelhân,دارالالحان
dârüleytâm,دارالایتام
dârülfünun,دارالفنون
dârülhilâfe,دارالخلافه
dârülkütüb,دارالکتب
dârülmuallimât,دارالمعلمات
dârülmuallimîn,دارالمعلمين
dârülmülk,دارالملک
dârülvilâde,دارالولاده
dârüssaltana,دارالسلطنه
dârüsselam,دارالسلام
dâs,داس
dâstân,داستان
dâstânî,داستانی
dâ'ussıla,داء الصله
davâ,دعوی
dâver,داور
davet,دعوت
dâye,دایه
dâyin,داین
deâvî,دعاوی
debbağ,دباغ
debdebe,دبدبه
debir,دبير
ded,دد
def,دف
def',دفع
def'a,دفعه
defaât,دفعات
defâin,دفائن
def'aten,دفعة
defâtir,دفاتير
define,دفينه
defn,دفن
defter,دفتر
defterdâr,دفتردار
defzen,دفزن
değirmi,دكرمى
deh,ده
dehâ,دها
dehâlet,دخالت
dehâlîz,دهاليز
dehân,دهان
dehânbeste,دهان بسته
dehen,دهن
dehliz,دهليز
dehr,دهر
dehrî,دهری
dehriyye,دهریه
dehşetâver,دهشت آور
dehşetengîz,دهشت انگيز
dekâkîn,دکاکين
delâil,دلائل
delâlet,دلالت
delîl,دليل
delk,دلق
dellâk,دلاک
dellâl,دلال
delv,دلو
dem,دم
dem,دم
demâdem,دمادم
dembedem,دمبدم
demsâz,دمساز
denâet,دنائت
dendân,دندان
dendanmüzd,دندان مزد
denî,دنی
deniz,دڭيز
denli,دڭلى
der,در
derâhim,دراهم
derakab,درعقب
derâmed,در آمد
derâz,دراز
derbân,دربان
derbâr,دربار
derbeder,دربدر
derbend,دربند
derc,درج
derd,درد
derdâ,دردا
derdest,دردست
derdiser,درد سر
derdmend,دردمند
derecât,درجات
derece,درجه
derekât,درکات
dereke,درکه
derende,درنده
dergâh,درگاه
derhâl,درحال
derhâst,درخواست
derhâtır,در خاطر
derhor,درخور
derîçe,دریچه
derk,درك
derkenâr,درکنار
dermân,درمان
dermânde,درمانده
dermeyân,درميان
derpîş,درپيش
derrâk,دراک
derre,دره
dersaadet,در سعادت
dershân,درسخوان
der-uhte,درعهده
derûn,درون
derûnî,درونی
dervâze,دروازه
dervîş,درویش
dervîşân,درویشان
deryâ,دریا
deryâdil,دریادل
deryâneverd,دریانورد
derzî,درزی
desâis,دسائس
desîse,دسيسه
desîsekâr,دسيسه کار
dessâs,دساس
dest,دست
destân,دستان
destâr,دستار
destâvîz,دستاویز
destbedest,دست بدست
destbûs,دست بوس
destbûsî,دست بوسی
deste,دسته
destere,دستره
destgâh,دستگاه
destgîr,دستگير
destî,دستی
destkâr,دستکار
destmâl,دستمال
destmüzd,دست مزد
destres,دسترس
destûr,دستور
deşne,دشنه
deşt,دشت
devâ,دواء
devâbb,دواب
devâir,دوائر
devâm,دوام
devâsâz,دواساز
devât,دوات
devâvîn,دواوین
deverân,دوران
devlet,دولت
devr,دور
devrân,دوران
devre,دوره
dey,دی
deyn,دین
deyr,دیر
dıl',ضلع
dırâz,دراز
dî,دي
dîbâ,دیبا
dîbâce,دیباجه
dicâce,دجاجه
dîdâr,دیدار
dîde,دیده
dîde,دیده
dîdegân,دیدگان
dîg,دیگ
diger,دگر
dîgergûn,دگرگون
dîgerkâm,دیگرکام
dih,ده
dihât,دهات
dihhodâ,دهخدا
dihkân,دهقان
dikkat,دقت
dil,دل
dil,ديل
dilârâ,دل آرا
dilâşûb,دل آشوب
dilâver,دلاور
dilâvîz,دلاویز
dilâzâr,دل آزار
dilâzürde,دل آزرده
dilbâz,دلباز
dilbend,دلبند
dilber,دلبر
dilbeste,دلبسته
dilcû,دلجو
dildâde,دل داده
dildâr,دلدار
dildüzd,دل دزد
dilefgâr,دل افگار
dilefrûz,دل افروز
dilfigâr,دل فگار
dilfirîb,دل فریب
dilgîr,دلگير
dilgüdâz,دل گداز
dilgüşâ,دلگشا
dilhâh,دلخواه
dilhaste,دلخواسته
dilhırâş,دل خراش
dilhûn,دلخون
dilîr,دلير
dilkeş,دلکش
dilnişîn,دلنشين
dilnüvaz,دل نواز
dilpesend,دل پسند
dilrübâ,دلربا
dilsûhte,دل سوخته
dilsûz,دلسوز
dilşâd,دلشاد
dilşikâr,دل شکار
dilşiken,دل شکن
dilşikeste,دل شکسته
dilteng,دل تنگ
dilteşne,دل تشنه
dimâğ,دماغ
dindârî,دینداری
dînen,دینا
dînî,دینی
dîr,دیر
dirahşân,درخشان
diraht,درخت
direfş,درفش
direm,درم
diriğ,دريغ
dirîğ,دریغ
diriğa,دريغا
dirîğâ,دریغا
dîrîn,دیرین
dîrîne,دیرینه
dîşeb,دیشب
dîvân,دیوان
dîvâne,دیوانه
dîvânegî,دیوانگی
dîvâr,دیوار
diyâr,دیار
dizdâr,دزدار
doğu,طوغى
dost,دوست
dostâne,دوستانه
dostî,دوستی
dostkâm,دوستکام
duâgû,دعاگو
dûçâr,دچار
dûd,دود
dûd,دود
dûde,دوده
dûdmân,دودمان
dûğ,دوغ
duhân,دخان
duht,دخت
duhter,دختر
duhûl,دخول
duhûliye,دخوليه
dumûr,دمور
dûn,دون
dûnperver,دون پرور
dûr,دور
dûrbîn,دوربين
dûrdest,دوردست
dûrendîş,دوراندیش
dûrî,دوری
durûb-i emsâl,ضروب امثال
durûd,درود
dûst,دوست
dûş,دوش
dûş,دوش
dûşîze,دوشيزه
dûzah,دوزخ
dü,دو
dü,دو
dübâre,دوباره
dübb,دب
dübür,دبر
dücâce,دجاجه
düdil,دودل
dühûr,دهور
dühül,دهل
düm,دم
dümbâl,دنبال
dümel,دمل
dümûy,دوموی
dünbâl,دنبال
dünbek,دنبک
dünîm,دونيم
dünyâ,دنيا
dünyâperest,دنياپرست
dünyevî,دنيوی
dürc,درج
dürd,درد
dürdâne,دردانه
dürdkeş,دردکش
dürer,درر
dürr,در
dürrâ'a,دراعه
dürre,دره
dürû,دورو
dürûğ,دروغ
dürûğzen,دروغ زن
dürûs,دروس
dürüst,درست
dürüşt,درشت
düstûr,دستور
düşenbe,دوشنبه
düşine,دوشينه
düşmen,دشمن
düşnâm,دشنام
düşvâr,دشوار
düvâzdeh,دوازده
düvel,دول
düvist,دویست
düvüm,دوم
düyûn,دیون
düzd,دزد
düzdî,دزدی
düzdîde,دزدیده
eâcîb,اعاجب
eamm,اعم
eâzım,اعاظم
eazz,اعز
eb,اب
eba,ابا
ebâbil,ابابيل
ebad,ابعاد
ebad,ابعد
eb'ad,ابعد
eb'âd,ابعاد
ebalis,اباليس
ebâtil,اباطل
ebced,ابجد
ebcedhân,ابجدخوان
ebdâl,ابدال
ebdan,ابدلن
ebdân,ابدان
ebe,ابه
ebe gümeci,ابه‌كومجى
ebed,ابد
ebeden,ابدا
ebedi,ابدى
ebedî,ابدی
ebediyet,ابديت
ebediyyen,ابدیا
ebediyyet,ابدیت
ebeveyn,ابوين
ebeveyn,ابوین
ebhar,ابحار
ebhâr,ابحار
ebhâs,ابحاث
ebhire,ابخرة
ebhur,ابحر
ebî,ابی
ebkâr,ابكار
ebkem,ابکم
eblağ,ابلغ
eblak,ابلق
ebleh,ابله
eblehâne,ابلهانه
eblehî,ابلهی
ebna,ابنا
ebnâ,ابنا
ebnayi sebil,ابناى‌سبيل
ebniye,ابنيه
ebniyye,ابنيه
ebniyye-i hayriye,ابنيه‌خيريه
ebr,ابر
ebrâlûd,ابرآلود
ebrar,ابرار
ebrâr,ابرار
ebras,ابرص
ebred,ابرد
ebreş,ابرش
ebrişüm,ابریشم
ebru,ابرو
ebrû,ابرو
ebsar,ابصار
ebsâr,ابصار
ebtal,ابطال
ebu,ابو
ebusina,ابوسينا
ebülbeşer,ابوالبشر
ebvab,ابواب
ebvâb,ابواب
ebyad,ابيض
ebyat,ابيات
ebyât,ابيات
ebyaz,ابيض
ebyen,ابين
ecanib,اجانب
ecânib,اجانب
ecbal,اجبال
ecdad,اجداد
ecdâd,اجداد
ecel,اجل
ecell,اجل
echel,اجهل
echelüminkaragöz,اجهل من قره گوز
ecir,اجر
ecnâs,اجناس
ecnebi,اجنبى
ecnebî,اجنبی
ecr,اجر
ecrâm,اجرام
ecsâd,اجساد
ecsâm,اجسام
ecvef,اجوف
ecvibe,اجوبه
eczâ,اجزا
eczâhâne,اجزاخانه
edâ,ادا
edeb,ادب
edebî,ادبي
edevât,ادوات
edîb,ادیب
edîbe,ادیبه
edille,ادله
edîm,ادیم
ed'iye,ادعيه
ednâ,ادنی
edvâr,ادوار
edviye,ادویه
edyân,ادیان
edyâr,ادیار
ef'âl,افعال
efâzıl,افاضل
efdal,افضل
efgân,افغان
ef'î,افعی
efkâr,افکار
eflâk,افلاک
eflâtun,افلاطون
efrâd,افراد
efrenc,افرنج
efsâne,افسانه
efsâr,افسار
efser,افسر
efser,افسر
efsun,افسون
efsunger,افسونگر
efsûs,افسوس
efsürde,افسرده
efşüre,افشره
efvâc,افواج
efvâh,افواه
efyûn,افيون
efzâr,افزار
efzâyiş,افزایش
efzûn,افزون
eger,اگر
ehad,احد
ehâdîs,احادیث
ehadiyyet,احدیت
ehâlî,اهالی
ehass,اخص
ehdâf,اهداف
ehemm,اهم
ehemmiyyet,اهميت
ehibbâ,احبا
ehil,اهل
ehl,اهل
ehliyyet,اهليت
ehrâm,اهرام
ehrimen,اهرمن
ehsâs,احساس
ehven,اهون
ehzâb,احزاب
eimme,ائمه
eizze,اعزه
ejder,اژدر
ejderhâ,اژدرها
ekâbir,اکابر
ekâlîm,اقاليم
ekall,اقل
ekalliyet,اقليت
ekârib,اقارب
ekâvîl,اقاویل
ekber,اکبر
ekdâr,اکدار
ekfân,اکفان
ekhâl,اکحال
ekîd,اکيد
ekîden,اکيدا
ekl,اکل
ekmek,اتمك
ekmek,اكمك
ekmel,اکمل
eknâf,اکناف
eknûn,اکنون
ekrem,اکرم
ekser,اکثر
ekserî,اکثری
ekseriyyâ,اکثریا
ekseriyyet,اکثریت
ektâf,اکتاف
ekûl,اکول
ekvân,اکوان
ekyâl,اکيال
ekzeb,اکذب
elaman,الامان
el'an,الآن
elbise,البسه
eleğimsağma,الگم صاغمه
eleğimsağma,الگيم صاغمه
elem,الم
elemzede,الم زده
elf,الف
elfâz,الفاظ
elhâc,الحاج
elhâlet hâzihi,الحالة هذه
elhân,الحان
elhâsıl,الحاصل
elif,الف
elifba,الفبا
elîm,اليم
elîme,اليمه
elkıssa,القصه
elsine,السنه
eltâf,الطاف
elvâh,الواح
elvân,الوان
elvedâ,الوداع
elviye,الویه
elyâf,الياف
el-yevm,اليوم
elzem,الزم
em'â,امعا
emâkin,اماکن
emân,امان
emânât-ı mübâreke,امانات مبارکه
emânet,امانت
emânetdâr,امانت دار
emâneten,امانة
emârât,امارات
emâre,اماره
emaret,امارت
emced,امجد
emel,امل
emhâl,امهال
emhâr,امهار
emîn,امين
emir,امر
emîr,امير
emirnâme,امرنامه
emkine,امکنه
emlâk,املاک
emmâre,اماره
emn,امن
emniyyet,امنيت
emr,امر
emrâz,امراض
emred,امرد
emsâl,امثال
emsâl,امثال
emsile,امثله
emtia,امتعه
emvâc,امواج
emvâl,اموال
emvât,اموات
emzice,امزجه
enâm,انام
enbân,انبان
enbâr,انبار
enbîk,انبيق
enbiyâ,انبيا
enbûh,انبوه
encâm,انجام
encîr,انجير
encüm,انجم
encümen,انجمن
endâm,اندام
endâze,اندازه
endek,اندک
ender,اندر
enderûn,اندرون
enderü'l-vukû,اندرالوقوع
endîşe,اندیشه
endîşnâk,اندیشناک
endûh,اندوه
ene,انا
enf,انف
enfâs,انفاس
enfes,انفس
enfüs,انفس
engâr,انگار
engûr,انگور
engübin,انگبن
engüşt,انگشت
engüşter,انگشتر
engüştnümâ,انگشت نما
enhâr,انهار
enîn,انين
enîs,انيس
enkâz,انقاض
enmûzec,انموزج
ensâb,انساب
ensâc,انساج
ensâl,انسال
ensâr,انصار
ensice,انسجه
envâ',انواع
envâr,انوار
enver,انور
enzâr,انظار
erâcîf,اراجيف
erâmil,ارامل
erâzî,اراضی
erâzil,اراذل
erba',اربع
erba'a,اربعه
erbâb,ارباب
erbain,اربعين
erc,ارج
ercmend,ارجمند
ercümend,ارجمند
erfa',ارفع
erganun,ارغنون
ergevân,ارغوان
erguvân,ارغوان
erguvânî,ارغوانی
erîke,اریکه
eriş,ارش
erkâm,ارقام
erkân,ارکان
erken,اركن
ermeğân,ارمغان
erneb,ارنب
erre,اره
ervâh,ارواح
erz,ارز
erzâk,ارزاق
erzân,ارزان
erzânî,ارزانی
erzel,ارذل
erzen,ارزن
erziş,ارزش
erzîz,ارزیز
es'ad,اسعد
esâmî,اسامی
es'âr,اسعار
esâret,اسارت
esas,اثاث
esâs,اساس
esâsât,اساسات
esâsen,اساسا
