âbâ,eo6bu1ec
ehl-i kemâl,eo4ho0lu4 ko4mo4elo0
ehl-i keşfe'l-kubûr,eo4ho0lu4 ko4so3o0fo1o4 elo0fo2o9bu1o9wro0
ehl-i keşif,eo4ho0lu4 ko4so3u4fo1o0
ehl-i kubûr,eo4ho0lu4 fo2o9bu1o9wro0
ehl-i kur'ân,eo4ho0lu4 fo2o9ro0eo6bo1o0
ehl-i kalb,eo4ho0lu4 fo2o4lo0bu1o0
ehl-i maârif,eo4ho0lu4 mo4ao4eru4fo1o0
ehl-i ma'rifet,eo4ho0lu4 mo4ao0ru4fo1o4bo2o0
ehl-i ma'rifet,eo4ho0lu4 mo4ao0ru4fo1o4bo2o0
ehl-i nâmûs,eo4ho0lu4 bo1o4emo9wso0
ehl-i necât,eo4ho0lu4 bo1o4xu1o4ebo2o0
ehl-i nifâk,eo4ho0lu4 bo1u4fo1o4efo2o0
ehl-i siyâset,eo4ho0lu4 su4bu2o4eso4bo2o0
ehl-i sünnet ve cemaat,eo4ho0lu4 so9bo1o4o8bo2o0 wo4xu1o4mo4eao4bo2o0
ehl-i sadâkat,eo4ho0lu4 zo4do4efo2o4bo2o0
ehl-i salâh,eo4ho0lu4 zo4lo4exo0
ehl-i şirk,eo4ho0lu4 so3u4ro0ko0
ehl-i şirk ve dalâlet,eo4ho0lu4 so3u4ro0ko0 wo4 zo1o4lo4elo4bo2o0
ehl-i şirk ve tuğyân,eo4ho0lu4 so3u4ro0ko0 wo4to9ao1o0bu2o4ebo1o0
ehl-i tefsîr,eo4ho0lu4 bo2o4fo1o0su4bu2ro0
ehl-i temâşâ ve tefekkür,eo4ho0lu4 bo2o4mo4eso3o4e wo4 bo2o4fo1o4ko9o8ro0
ehl-i teslîs,eo4ho0lu4 bo2o4bo3o0lu4bu2bo3o0
ehl-i tevhîd,eo4ho0lu4 bo2o4wo0xbu2do0
ehl-i tuğyân,eo4ho0lu4 to9ao1o0bu2o4ebo1o0
ehl-i tahkîk,eo4ho0lu4 bo2o4xo0fo2bu2fo2o0
ehl-i takvâ,eo4ho0lu4 bo2o4fo2o0wo4e
ehl-i tasavvuf,eo4ho0lu4 bo2o4zo4wo9o8fo1o0
ehl-i velâyet,eo4ho0lu4 wo4lo4ebu2o4bo2o0
ehl-i uzlet,eo4ho0lu4 ao9ro1o0lo4bo2o0
ehl-i akıl ve tahkîk,eo4ho0lu4 ao4fo2u4lo0 wo4 bo2o4xo0fo2bu2fo2o0
ehl-i zevk,eo4ho0lu4 do1o4wo0fo2o0
ehrâm,eo4ho0ro4emo0
ehad,eo4xo4do0
ehad-i samed,eo4xo4du4 zo4mo4do0
ehadiyet,eo4xo4du4bu2o4bo2o0
ehadiyet,eo4xo4du4bu2o4bo2o0
ehak,eo4xo4fo2o8o0
ehass-ı havâs,eo4xo1o4zu4o8 xo1o4wo4ezo0
ekber,eo4ko0bu1o4ro0
ekmel,eo4ko0mo4lo0
ekser,eo4ko0bo3o4ro0
ekser-i mutlak,eo4ko0bo3o4ru4 mo9to0lo4fo2o0
ekserîn-i avâm,eo4ko0bo3o4ru4bu2bo1u4 ao4wo4emo0
ekseriyet,eo4ko0bo3o4ru4bu2o4bo2o0
ekseriyet-i mutlaka,eo4ko0bo3o4ru4bu2o4bo2u4 mo9to0lo4fo2o4h
ekseriya,eo4ko0bo3o4ru4bu2o4e
ekvân,eo4ko0wo4ebo1o0
ekall,eo4fo2o4lo0
ekall-i zalim,eo4fo2o4lu4o8 to1o4elu4mo0
ekalliyet,eo4fo2o4lu4o8bu2o4bo2o0
el'ân,eo4lo0ebo1o0
elem,eo4lo4mo0
el-emân,eo4lo0eo4mo4ebo1o0
elem-i elîm,eo4lo4mu4 eo4lu4bu2mo0
elfâz,eo4lo0fo1o4eto1o0
elhâsıl,eo4lo0xo4ezu4lo0
elhak,eo4lo0xo4fo2o0
el-hak,eo4lo0xo4fo2o0
elhamdülillâh,eo4lo0xo4mo0do9 lu4lo8ho0
elîm,eo4lbu2mo0
elsine-i enâm,eo4lo0su4bo1o4u4 eo4bo1o4emo0
eltaf,eo4lo0to4fo1o0
elvân,eo4lo0wo4ebo1o0
elyak,eo4lo0bu2o4fo2o0
elzem,eo4lo0ro1o4mo0
emân,eo4mo4ebo1o0
emâre,eo4mo4ero4h
emâret,eo4mo4ero4bo2o0
emel,eo4mo4lo0
emîn,eo4mbu2bo1o0
emir,eo4mu4ro0
emîr,eo4mbu2ro0
emirber,eo4mu4ro0bu1o4ro0
emn,eo4mo0bo1o0
emn ü adâlet,eo4mo0bo1o9 w ao4do4elo4bo2o0
emniyet,eo4mo0bo1u4bu2o4bo2o0
emniyet-i dâhiliye,eo4mo0bo1u4bu2o4bo2o0 do4exo1u4lu4bu2o4h
emrâz,eo4mo0ro4ezo1o0
emr-i bâtıl,eo4mru4 bu1o4etu4lo0
emr-i cebrî,eo4mo0ru4 xu1o4bu1o0rbu2
emr-i ademî,eo4mo0ru4 ao4do4mbu2
emsâl,eo4mo0bo3o4elo0
emsâl,eo4mo0bo3o4elo0
enâm,eo4bo1o4emo0
enbiyâ,eo4bo1o0bu1u4bu2o4e
ender,eo4bo1o0do4ro0
ene,eo4bo1o4e
enfüsî,eo4bo1o0fo1o9su4bu2
enfa',eo4bo1o0fo1o4ao0
engizisyon,eo4bo1o0ko7u4bu2ro1u4bu2so0bu2o9wbo1o0
enîn,eo4bo1bu2bo1o0
enîs,eo4bo1bu2so0
entrika,eo4bo1o0bo2o0ru4bu2fo2o4h
envâ',eo4bo1o0wo4eao0
envâr,eo4bo1o0wo4ero0
erbâb-ı denâet,eo4ro0bu1o4ebu1u4 do4bo1o4ebo5o4bo2o0
erbaîn,eo4ro0bu1o4abu2bo1o0
erkân,eo4ro0ko4ebo1o0
erkân-ı âlem,eo4ro0ko4ebo1u4 ao4elo4mo0
erkân-ı hamse-i islâm,eo4ro0ko4ebo1u4 xo1o4mo0so4u4 eu4so0lo4emu4bu2o4h
erkân-ı harb,eo4ro0ko4ebo1u4 xo4ro0bu1o0
erkân-ı sitte-i îmân,eo4ro0ko4ebo1u4 su4bo2o4o8u4 eu4bu2mo4ebo1u4bu2o4h
ervâh,eo4ro0wo4exo0
ervâh-ı âfilîn,eo4ro0wo4exu4 eo6fo1u4lu4bu2bo1o0
ervâh-ı bâkiye,eo4ro0wo4exu4 bu1o4efo2u4bu2o4h
ervâh-ı habîse,eo4ro0wo4exu4 xo1o4bu1bu2bo3o4h
ervâh-ı neyyire,eo4ro0wo4exu4 bo1o4bu2u4o8ro4h
ervâh-ı sâfile,eo4ro0wo4exu4 so4efo1u4lo4h
ervâh-ı tayyibe,eo4ro0wo4exu4 to4bu2u4o8bu1o4h
erzâk,eo4ro0ro1o4efo2o0
esâret,eo4so4ero4bo2o0
esbâb-ı kâinat,eo4so0bu1o4ebu1u4 ko4ebo5u4bo1o4ebo2o0
esbâb-ı mûcibe,eo4so0bu1o4ebu1u4 mo9wxu1u4bu1o4h
esbâb-ı maddiye,eo4so0bu1o4ebu1u4 mo4edu4o8bu2o4h
esbâb-ı tabîiye,eo4so0bu1o4ebu1u4 to4bu1bu2au4bu2o4h
esbâb-ı zâhiriye,eo4so0bu1o4ebu1u4 to1o4ehu4ru4bu2o4h
esedullâh,eo4so4do9 ello8ho0
esef,eo4so4fo1o0
eser-i hata,eo4bo3o4ru4 xo1o4to4e
eser-i ikrâm,eo4bo3o4ru4 eu4ko0ro4emo0
esfel-i sâfilîn,eo4so0fo1o4lu4 so4efo1u4lbu2bo1o0
eshel,eo4so0ho4lo0
es'ile,eo4so0bo5u4lo4h
esîr,eo4bo3bu2ro0
eslem,eo4so0lo4mo0
esliha,eo4so0lu4xo4h
esmâ,eo4so0mo4e
esmâ-yı ilâhiye,eo4so0mo4ebu2u4 eu4lhu4bu2o4h
esmâ-yı kudsiye-i ilâhiye,eo4so0mo4ebu2u4 fo2o9do0su4bu2o4u4 eu4lhu4bu2o4h
esmâ-yı sitte,eo4so0mo4ebu2u4 su4bo2o4o8h
esmâ-yı sitte-i meşhûre,eo4so0mo4ebu2u4 su4bo2o4o8u4 mo4so3o0ho9wro4h
esnâf,eo4zo0bo1o4efo1o0
esnâm,eo4zo0bo1o4emo0
esrâr,eo4so0ro4ero0
esrâr-ı gaybiye,eo4so0ro4eru4 ao1o4bu2o0bu1u4bu2o4h
esrâr-ı kelâm,eo4so0ro4eru4 ko4lo4emo0
esrâr-ı kur'âniye,eo4so0ro4eru4 fo2o9ro0ebo1u4bu2o4h
esrâr-ı mestûre,eo4so0ro4eru4 mo4so0bo2o9wro4h
eşedd-i ihtiyaç,eo4so3o4du4o8 eu4xo0bo2u4bu2o4exu1o0
eşedd-i zulüm,eo4so3o4du4o8 to1o9lo9mo0
eşeff,eo4so3o4fo1o8o0
eşhĀs,eo4so3o0xo1o4ezo0
eşkâl,eo4so3o0ko4elo0
eşrâf,eo4so3o0ro4efo1o0
eşref,eo4so3o0ro4fo1o0
etemm,eo4bo2o4mo8o0
et'ıme,eo4to0au4mo4h
et'ime,eo4to0au4mo4h
evhâm,eo4wo0ho4emo0
evhâm-ı seyyie,eo4wo0ho4emu4 so4bu2u4o8bo5o4h
evlâ,eo4wo0lo4bu2
evliyâ,eo4wo0lu4bu2o4e
evrâk,eo4wo0ro4efo2o0
evrâk-ı muzırra,eo4wo0ro4efo2u4 mo9zo1u4ro4o8h
evride,eo4wo0ru4do4h
evsĀf,eo4wo0zo4efo1o0
evsâf-ı kemâl,eo4wo0zo4efo1u4 ko4mo4elo0
evsâf-ı kemâliye,eo4wo0zo4efo1u4 ko4mo4elu4bu2o4h
evsĀf-ı mükerreme,eo4wo0zo4efo1u4 mo9ko4ro4o8mo4h
evsaf-ı cemâl ve celâl ve kemâl,eo4wo0zo4efo1u4 xu1o4mo4elo0 wo4xu1o4lo4elo0 wo4 ko4mo4elo0
evsat,eo4wo0so4to0
evvel,eo4wo4o8lo0
evvelen,eo4wo4o8leo44
evvel-i fıtrat,eo4wo4o8lu4 fo1u4to0ro4bo2o0
eyyâm,eo4bu2o4o8emo0
ezcümle,eo4ro1o0 xu1o9mo0lo4h
ezel,eo4ro1o4lo0
ezelî,eo4ro1o4lu4bu2
ezhân,eo4do1o0ho4ebo1o0
fâik,fo1o4ebo5u4fo2o0
fâil,fo1o4eau4lo0
fâil-i muhtâr,fo1o4eau4lu4 mo9xo1o0bo2o4ero0
fâkihe,fo1o4eku4ho4h
fâkat,fo1o4efo2o4bo2o0
fânî,fo1o4ebo1bu2
fânîye,fo1o4ebo1u4bu2o4h
fârfâra,fo1o4ero0fo1o4ero4h
fârika,fo1o4eru4fo2o4h
fârisî,fo1o4eru4sbu2
fâsıla,fo1o4ezu4lo4h
fâtiha,fo1o4ebo2u4xo4h
fâtiha,fo1o4ebo2u4xo4h
fâ-yı âtıf,fo1o4ebu2u4 ao4etu4fo1o0
fecir,fo1o4xu1u4ro0
fehim,fo1o4hu4mo0
fehvâ,fo1o4xo0wo4e
felâh,fo1o4lo4exo0
felekiyât,fo1o4lo4ku4bu2o4ebo2o0
felsefe-i tabîiye,fo1o4lo0so4fo1o4u4 to4bu1bu2au4bu2o4h
fenâ,fo1o4bo1o4e
fenâ fil'ihvân,fo1o4bo1o4e fo1u4bu2 elo0eu4xo1o0wo4ebo1o0
fenâ fillâh,fo1o4bo1o4e fo1u4bu2 ello4o8ho0
fenâfillâh,fo1o4bo1o4e fo1u4bu2 ello8o0ho0
fenâ-yı dünyevî,fo1o4bo1o4e
fenn-i belâgat,fo1o4bo1u4o8 bu1o4lo4eao1o4bo2o0
fenn-i beyân,fo1o4bo1u4o8 bu1o4bu2o4ebo1o0
fenn-i hikmet,fo1o4bo1u4o8 xu4ko0mo4bo2o0
fenn-i kitâbet,fo1o4bo1u4o8 ku4bo2o4ebu1o4bo2o0
fenn-i mantık,fo1o4bo1u4o8 mo4bo1o0tu4fo2o0
fena-yı dünya,fo1o4bo1o4ebu2u4 do9bo1o0bu2o4e
fer,fo1o4ro0
fer',fo1o4ro0ao0
ferâgat,fo1o4ro4eao1o4bo2o0
ferâset,fo1u4ro4eso4bo2o0
ferd-i âhar,fo1o4ro0du4 exo1o4ro0
ferd-i ekmel,fo1o4ro0du4 eo4ko0mo4lo0
ferd-i ferîd,fo1o4ro0du4  fo1o4rbu2do0
ferd-i ferîd,fo1o4ro0du4 fo1o4rbu2do0
ferd-i mümtâz,fo1o4ro0du4 mo9mbo2o4ero1o0
ferd-i vâhid,fo1o4ro0du4 wo4exu4do0
ferdiyet,fo1o4ro0du4bu2o4bo2o0
ferec,fo1o4ro4xu1o0
fer'î,fo1o4ro0abu2
ferîk,fo1o4rbu2fo2o0
fermân,fo1o4ro0mo4ebo1o0
fermânber,fo1o4ro0mo4ebo1o0bu1o4ro0
fermân-ı âlî,fo1o4ro0mo4ebo1u4 ao4elbu2
ferman,fo1o4ro0mo4ebo1o0
ferman-ı celîl,fo1o4ro0mo4ebo1u4 xu1o4lu4bu2lo0
ferş,fo1o4ro0so3o0
ferahnâk,fo1o4ro4xo0bo1o4eko0
fesâhat,fo1o4zo4exo4bo2o0
feth-i suver,fo1o4bo2o0xu4 zo9wo4ro0
fetih,fo1o4bo2u4xo0
fetret,fo1o4bo2o0ro4bo2o0
fetret,fo1o4bo2o0ro4bo2o0
fettâh,fo1o4bo2o4o8exo0
fettân,fo1o4bo2o4o8ebo1o0
fetva,fo1o4bo2o0wo4e
feverân,fo1o4wo4ro4ebo1o0
fevk,fo1o4wo0fo2o0
fevkalâde,fo1o4wo0fo2o4 elo0ao4edo4h
feyezân,fo1o4bu2o4zo1o4ebo1o0
feyiz,fo1o4bu2o0zo1o0
feylesof,fo1o4bu2o0lo4so9wfo1o0
feyyâz,fo1o4bu2o4o8ezo1o0
feyyâz-ı müteâl,fo1o4bu2o4o8ezo1u4 mo9bo2o4ao4elo0
feyz-i îmân,fo1o4bu2u4zo1u4 eu4bu2mo4ebo1o0
feyz-i sohbet-i nübüvvet,fo1o4bu2o0zo1u4 zo9xo0bu1o4bo2u4 bo1o9bu1o9wo4o8bo2o0
feyz-i tecellî,fo1o4bu2o0zo1u4 bo2o4xu1o4lu4o8bu2
feyz-i ziya,fo1o4bu2o0zo1u4 zo1u4bu2o4e
fezâ,fo1o4zo1o4e
fezâ-yı âlem,fo1o4zo1o4ebu2u4 ao4elo4mo0
fezleke,fo1o4do1o0lo4ko4h
feza-yı kâinât,fo1o4zo1ebu2u4 ko4ebo5u4bo1o4ebo2o0
feza-yı ulvî,fo1o4zo1ebu2u4 ao9lo0wu4bu2
fıkra,fo1u4fo2o0ro4h
fırka,fo1u4ro0fo2o4h
fırka,fo1u4ro0fo2o4h
fısk,fo1u4so0fo2o0
fıtrî,fo1u4to0rbu2
fıtrat,fo1u4to0ro4bo2o0
fıtraten,fo1u4to0ro4bo2o44e
fıtrat-ı selîme,fo1u4to0ro4bo2u4 so4lbu2mo4h
fihrist,fo1u4ho0ru4so0bo2o0
fihriste,fo1u4ho0ru4so0bo2o4h
fikr-i insanî,fo1u4ko0ru4 eu4bo1o0so4ebo1u4bu2
filhakîka,fo1u4bu2 elo0xo4fo2bu2fo2o4h
firâk,fo1u4ro4efo2o0
firâk-ı ebedî,fo1u4ro4efo2u4 eo4bu1o4du4bu2
firdevs,fo1u4ro0do4wo0so0
firkat,fo1u4ro0fo2o4bo2o0
fitne,fo1u4bo2o0bo1o4h
fitne-i nisâiye,fo1u4bo2o0bo1o4u4 bo1u4so4ebo5u4bu2o4h
fitne-i azîme,fo1u4bo2o0bo1o4u4 ao4to1bu2mo4h
fonograf,fo1o9wbo1o9wao1o0ro4efo1o0
frengî,fo1u4ro4bo1o0ko7bu2
füc'eten,fo1o9xu1o0eo5o4ho2o44
fücûr,fo1o9xu1o9wro0
fürce,fo1o9ro0xu1o4h
fütûhât,fo1o9bo2o9wxo4ebo2o0
fütûr,fo1o9bo2o9wro0
fuzûlî,fo1o9zo1o9wlbu2
fuzuli,fo1o9zo1o9wlbu2
fa'âl,fo1o4ao4o8elo0
fahır,fo1o4xo1u4ro0
fahr-i âlem,fo1o4xo1o0ru4 ao4elo4mo0
fahr-i beşer,fo1o4xo1o0ru4 bu1o4so3o4ro0
fahr-i kâinât,fo1o4xo1o0ru4 ko4ebo5u4bo1o4ebo2o0
fahr-i risâlet,fo1o4xo1o0ru4 ru4so4elo4bo2o0
fakirâne,fo1o4fo2bu2ro4ebo1o4h
fakr,fo1o4fo2o0ro0
fakr u zarûret,fo1o4fo2o0ro9w zo1o4ro9wro4bo2o0
farîza,fo1o4rbu2zo1o4h
farazî,fo1o4ro4zo1bu2
farz,fo1o4ro0zo1o0
farz-ı muhâl,fo1o4ro0zo1u4 mo9xo4elo0
fasıl,fo1o4zu4lo0
fasîh,fo1o4zbu2xo0
fasl-ı bahâr,fo1o4zo0lu4  bu1o4ho4ero0
faysal,fo1o4bu2o0zo4lo0
fazîlet,fo1o4zo1bu2lo4bo2o0
fazilet-i külliye,fo1o4zo1u4bu2lo4bo2u4 ko9lu4o8bu2o4h
fazl ve kerem,fo1o4zo1o0lo0 wo4 ko4ro4mo0
fazl-ı ilâhî,fo1o4zo1o0lu4 eu4lhbu2
fazl-ı kebîr,fo1o4zo1o0lu4 ko4bu1bu2o0r
gâfil,ao1o4efo1u4lo0
gĀye-i hilkat,ao1o4ebu2o4u4 xo1u4lo0fo2o4bo2o0
gâyet-i kemâl,ao1o4ebu2o4bo2u4 ko4mo4elo0
gedâ,ko7o4do4e
gıbta,ao1u4bu1o0to4h
gıda-yı ervâh,ao1u4do4ebu2u4 eo4ro0wo4exo0
gınâ,ao1u4bo1o4e
gına-yı mutlak,ao1u4bo1o4ebu2u4 mo9to0lo4fo2o0
gıyâben,ao1u4bu2o4ebu1o44e
gıyâbî,ao1u4bu2o4ebu1bu2
gıybet,ao1u4bu2o0bu1o4bo2o0
girift,ko7u4ru4fo1o0bo2o0
giriftâr,ko7u4ru4fo1o0bo2o4ero0
gümrâh,ko9mo0ro4eho0
gürûh,ko7o9rwo9ho0
güzîde,ko7o9ro1bu2do4h
güzîn,ko7o9ro1bu2bo1o0
gulâm,ao1o9lo4emo0
gussa,ao1o9zo4o8h
gabâvet,ao1o4bu1o4ewo4bo2o0
gabî,ao1o4bu1bu2
gaddâr,ao1o4do4o8ero0
gadir,ao1o4du4ro0
gadren,ao1o4do0ro4bo1o0
gaffâr,ao1o4fo1o4o8ero0
gaflet,ao1o4fo1o0lo4bo2o0
galebe,ao1o4lo4bu1o4h
galeyân,ao1o4lo4bu2o4ebo1o0
galîz,ao1o4lbu2to1o0
galat,ao1o4lo4to0
galat-ı his,ao1o4lo4tu4 xu4so0
gam,ao1o4mo0
ganiyy-i mutlak,ao1o4bo1u4bu2u4o8 mo9to0lo4fo2o0
ganiyy-i alel'ıtlâk,ao1o4bo1u4bu2u4o8 ao4lo4bu2 elo0eu4to0lo4efo2o0
garâbet,ao1o4ro4ebu1o4bo2o0
garâib-i hilkat,ao1o4ro4ebo5u4bu1u4 xo1u4lo0fo2o4bo2o0
garb,ao1o4ro0bu1o0
garîb,ao1o4rbu2bu1o0
garîb,ao1o4rbu2bu1o0
gark,ao1o4ro0fo2o0
gark,ao1o4ro0fo2o0
garaz,ao1o4ro4zo1o0
garazkâr,ao1o4ro4zo1o0ko4ero0
gavs,ao1o4wo0bo3o0
gavsiyet,ao1o4wo0bo3u4bu2o4bo2o0
gaybûbet,ao1o4bu2o0bu1o9wbu1o4bo2o0
gayetsiz,ao1o4ebu2o4bo2o0su4ro1o0
gayr,ao1o4bu2o0ro0
gayr,ao1o4bu2o0ro0
gayr-i fıtrî,ao1o4bu2o0ru4 fo1u4to0rbu2
gayr-i ilmî,ao1o4bu2o0ru4 au4lo0mbu2
gayr-i meşrû',ao1o4bu2o0ru4 mo4so3o0ro9wao0
gayr-i meşrû',ao1o4bu2o0ru4 mo4so3o0ro9wao0
gayr-i mevcûd,ao1o4bu2o0ru4 mo4wo0xu1o9wdo0
gayr-i müstakîm,ao1o4bu2o0ru4 mo9so0bo2o4fo2bu2mo0
gayr-i mahrem,ao1o4bu2o0ru4 mo4xo0ro4mo0
gayr-i vârid,ao1o4bu2o0ru4 wo4eru4do0
gayr-i ahlaki,ao1o4bu2o0ru4 eo4xo1o0lo4efo2bu2
gayyâ,ao1o4bu2o4o8e
gayz,ao1o4bu2o0to1o0
gazanfer,ao1o4zo1o4bo1o0fo1o4ro0
hâcet,xo4exu1o4bo2o0
hâcet-i âmme,xo4exu1o4bo2u4 ao4emo4o8h
hâdî,ho4edbu2
hâdî,ho4edbu2
hâdim,xo1o4edu4mo0
hâdim-i iman,xo1o4edu4mu4 ebu2mo4ebo1o0
hâdis,xo4edu4bo3o0
hâdisât,xo4edu4bo3o4ebo2o0
hâdisât-ı cevviye ve semaviye,xo4edu4bo3o4ebo2u4 xu1o4wu4o8bu2o4h wo4 so4mo4ewu4bu2o4h
hâdisât-ı kevniye,xo4edu4bo3o4ebo2u4 ko4wo0bo1u4bu2o4h
hâdisât-ı necmiye,xo4edu4bo3o4ebo2u4 bo1o4xu1o0mu4bu2o4h
hâfız,xo4efo1u4to1o0
hâfız-ı hakîkî,xo4efo1u4to1u4 xo4fo2bu2fo2bu2
hâfıza,xo4efo1u4to1o4h
hâil,xo4ebo5u4lo0
hâiz,xo4ebo5u4ro1o0
hâkezâ,hko4do1o4e
hâkim,xo4eku4mo0
hâkimâne,xo4eku4mo4ebo1o4h
hâkim-i âdil,xo4eku4mu4 ao4edu4lo0
hâkim-i ezel ve ebed,xo4eku4mu4 eo4ro1o4lo0 wo4 eo4bu1o4do0
hâkim-i ezelî,xeo4ku4mu4 eo4ro1o4lbu2
hâkim-i hakîm,xo4eku4mu4 xo4ku4bu2mo0
hâkim-i mutlak,xeo4ku4mu4 mo9to0lo4fo2o0
hâkim-i zülcelâl,xo4eku4mu4 do1o9welo0xu1o4lo4elo0
hâkimiyet,xo4eku4mu4bu2o4bo2o0
hâkimiyet-i âmme,xo4eku4mu4bu2o4bo2u4 ao4emo4o8h
hâkimiyet-i mutlaka,xo4eku4mu4bu2o4bo2u4 mo9to0lo4fo2o4h
hâlât,xo4elo4ebo2o0
hâlât-ı telakkî,xeo4lo4ebo2u4 bo2o4lo4fo2u4o8bu2
hâlet,xo4elo4bo2o0
hâlet-i rûhiye,xo4elo4bo2u4 ro9wxu4bu2o4h
hâlî,xo1o4elbu2
hâlik,xo1o4elu4fo2o0
hâlik,ho4elu4ko0
hâlis,xo1o4elu4zo0
hâlis,xo1o4elu4zo0
hâlisâne,xo1o4elu4zo4ebo1o4h
hâlli,xo4elo0lu4bu2
hâmî,xo4embu2
hâmid,xo4emu4do0
hâmil,xo4emu4lo0
hâne,xo1o4ebo1o4h
hânedân,xo1o4ebo1o4do4ebo1o0
hâricî,xo1o4eru4xu1bu2
hĀricî,xo1o4eru4xu1bu2
hâric-i akıl,xo1o4eru4xu1u4 ao4fo2u4lo0
hâriç,xo1o4eru4xu1o0
hâs,xo1o4ezo0
hâsıl,xo4ezu4lo0
hâsılât,xo4ezu4lo4ebo2o0
hâsiyet,xo1o4ezu4bu2o4bo2o0
hâsiyet-i isâbet,xo1o4ezu4bu2o4bo2u4 eu4zo4ebu1o4bo2o0
hâsse,xo4eso4o8h
hâssa,xo1o4ezo4o8h
hĀssaten,xo1o4ezo4o8ho2o44
hâşâ,xo4eso3o4e
hâşâ sümme hâşâ,xo4eso3o4e bo3o9mo4o8 xo4eso3o4e
hâşiye,xo4eso3u4bu2o4h
hâtem,xo1o4ebo2o4mo0
hâtırât,xo1o4etu4ro4ebo2o0
hâtif,ho4ebo2u4fo1o0
hâtime,xo1o4ebo2u4mo4h
hâvî,xo4ewbu2
hâzık,xo4edo1u4fo2o0
hebâ,ho4bu1o4e
heder,ho4do4ro0
hemcins,ho4mo0xu1u4bo1o0so0
hemşîre,ho4mo0so3bu2ro4h
hemze-i vasıl,ho4mo0ro1o4u4 wo4zo0lo0
hendese,ho4bo1o0do4so4h
hengâm,ho4bo1o0ko7o4emo0
herc ü merc,ho4ro0xu1o9 w mo4ro0xu1o0
heves,ho4wo4so0
heves-i nefsânî,ho4wo4su4 bo1o4fo1o0so4ebo1bu2
hevheve-i yaprak,ho4wo0ho4wo4u4 bu2o4ebu3o0ro4efo2o0
hevl,ho4wo0lo0
hey'ât,ho4bu2o0bo5o4ebo2o0
heybet,ho4bu2o0bu1o4bo2o0
hey'et,ho4bu2o0bo5o4bo2o0
hey'et-i mecmûa,ho4bu2o0bo5o4bo2u4 mo4xu1o0mo9wao4h
hey'et-i vekîle,ho4bu2o0bo5o4bo2u4  wo4kbu2lo4h
hey'et-i zâbıta,ho4bu2o0bo5o4bo2u4 zo1o4ebu1u4to4h
heyhât,ho4bu2o0ho4ebo2o0
heyûlâ,ho4bu2o9wlo4e
hezeyân,ho4do1o4bu2o4ebo1o0
hezeyân-ı fikrî,ho4do1o4bu2o4ebo1u4 fo1u4ko0rbu2
hıffet,xo1u4fo1o4o8bo2o0
hıfz,xu4fo1o0to1o0
hıfz-ı inâyet,xu4fo1o0to1u4 au4bo1o4ebu2o4bo2o0
hıllet,xo1u4lo4o8bo2o0
hırs,xu4ro0zo0
hırz-ı cân,xu4ro0ro1u4 xu1o4ebo1o0
hısset,xo1u4so4o8bo2o0
hıyanet,xo1u4bu2o4ebo1o4bo2o0
hicâb,xu4xu1o4ebu1o0
hicâb,xu4xu1o4ebu1o0
hicret,hu4xu1o0ro4bo2o0
hicran-ı ebedî,hu4xu1o0ro4ebo1u4 eo4bu1o4du4bu2
hicab,xu4xu1o4ebu1o0
hiç-ender-hiç,hu4bu2xu3o0 eo4bo1o0do4ro0 hu4bu2xu3o0
hidâyet,hu4do4ebu2o4bo2o0
hiddet,xu4do4o8bo2o0
hikmet,xu4ko0mo4bo2o0
hikmet-i âmme,xu4ko0mo4bo2u4 ao4emo4o8h
hikmet-i beşer,xu4ko0mo4bo2u4 bu1o4so3o4ro0
hikmet-i dakika,xu4ko0mo4bo2u4 do4fo2bu2fo2o4h
hikmet-i ecnebiye,xu4ko0mo4bo2u4 eo4xu1o0bo1o4bu1u4bu2o4h
hikmet-i hilkat,xu4ko0mo4bo2u4 xo1u4lo0fo2o4bo2o0
hikmet-i hükûmet,xu4ko0mo4bo2u4 xo9ko9wmo4bo2o0
hikmet-i ilahiye,xu4ko0mo4bo2u4 eu4lhu4bu2o4h
hilâf,xo1u4lo4efo1o0
hilâfet,xo1u4lo4efo1o4bo2o0
hilâfet-i aliye-i osmâniye,xo1u4lo4efo1o4bo2u4 ao4lu4bu2o4u4 ao9bo3o0mo4ebo1u4bu2o4h
hilâf-ı âdet,xo1u4lo4efo1u4  ao4edo4bo2o0
hilâf-ı edeb,xo1u4lo4efo1u4 eo4do4bu1o0
hilâf-ı emir,xo1u4lo4efo1u4 eo4mu4ro0
hilâf-ı fıtrat,xo1u4lo4efo1u4 fo1u4to0ro4bo2o0
hilâf-ı hikmet,xo1u4lo4efo1u4 xu4ko0mo4bo2o0
hilâf-ı hakîkat,xo1u4lo4efo1u4 xo4fo2bu2fo2o4bo2o0
hilâf-ı me'mûl,xo1u4lo4efo1u4 mo4eo5o0mo9wlo0
hilâf-ı şerîat,xo1u4lo4efo1u4 so3o4rbu2ao4bo2o0
hilâf-ı vâki',xo1u4lo4efo1u4 wo4efo2u4ao0
hilâf-ı usûl,xo1u4leo4fo1u4 eo9zo9wlo0
hilâf-ı akıl,xo1u4lo4efo1u4 ao4fo2u4lo0
hilkat,xo1u4lo0fo2o4bo2o0
hilkaten,xo1u4lo0fo2o4bo2eo44
hilkat-i insaniye,xo1u4lo0fo2o4bo2u4 eu4bo1o0so4ebo1u4bu2o4h
