a,h
hemkadd,hm fo2d
hemkâr,hmker
hemkîş,hmkbu2so3
hemm,hm
hemnâm,hmbo1em
hempâ,hmbu3e
hemrâh,hmreh
hemrâz,hmrero1
hemrîş,hmryso3
hemsâl,hmsel
hemsâye,hmseyh
hemsefer,hmsfo1r
hemser,hmsr
hemsinn,hm sbo1
hemsohbet,hm zxbu1bo2
hemşehrî,hm so3hry
hemşîre,hmso3bu2rh
hemtâ,hmbo2e
hemvâr,hmwer
hemvâre,hmwerh
hemyân,hmbu2ebo1
hemzâd,hmro1ed
hemze,hmro1h
hemzebân,hmro1bu1ebo1
henâzir,xo1bo1ero1yr
hendesî,hbo1dsy
hengâm,hbo1ko7em
hengâme,hbo1ko7emh
henüz,hbo1wro1
her,hr
herâyîne,hr eo6ybu2bo1h
herbâr,hrbu1er
hercâî,hrxu1ebo5y
hercümerc,hrxu1 w mrxu1
herçend,hrxu3bo1d
herçibâdâbâd,hrxu3h bu1ede bu1ed
herdem,hrdm
herem,hrm
hergele,xo1rko7lh
hergiz,hrko7ro1
herze,hrro1h
herzegû,hrro1h ko7w
herzegûyî,hrro1h ko7wyy
hesâb,xsebu1
hestî,hsbo2y
heşt,hso3bo2
heştâd,hso3bo2ed
hetk,hbo2k
hettâk,hbo2ek
hevâ,hwe
hevâperest,hwebu3rsbo2
heves,hws
hevesât,hwsebo2
hevesdâr,hwsder
heveskâr,hwsker
hevl,hwl
hevlnâk,hwlbo1ek
heyâkil,hbu2ekl
heyecân,hbu2xu1ebo1
heyelân,hbu2lebo1
hey'et,hbu2bo5bo2
hey'etşinâs,hbu2bo5bo2 so3bo1es
heyhât,hbu2hebo2
heykel,hbu2kl
heykeltıraş,hbu2kl bo2reso3
heyûlâ,hbu2wle
heyzüm,hbu2ro1m
hezâr,hro1er
hezârdestân,hro1erdsbo2ebo1
hezârpâ,hro1erbu3e
hezeyân,hro1yebo1
hezîmet,hro1ymbo2
hezl,hro1l
hezlgû,hro1l ko7w
hıdiv,xo1dyw
hıfz,xfo1to1
hıfzıssıhha,xfo1to1 elzxh
hılt,xo1lt
hınâ,xbo1e
hınzîr,xo1bo1ro1yr
hırâmân,xo1remebo1
hıred,xo1rd
hıredmend,xo1rdmbo1d
hırka,xo1rfo2h
hırkapûş,xo1rfo2h bu3wso3
hırmân,xrmebo1
hırz,xrro1
hısâl,xo1zel
hısn,xzbo1
hışım,xo1so3m
hışm,xo1so3m
hışmgîn,xo1so3mko7bu2bo1
hışt,xo1so3bo2
hıtat,xo1tt
hıtta,xo1th
hıyâbân,xo1bu2ebu1ebo1
hıyânet,xo1bu2ebo1bo2
hıyânetkâr,xo1bu2ebo1bo2ker
hıyâr,xo1bu2er
hıyre,xo1bu2rh
hıyreçeşm,xo1bu2rh xu3so3m
hıyreser,xo1bu2rh sr
hibâb,xbu1ebu1
hibâle,xbu1elh
hibe,hbu1h
hibr,xbu1r
hibre,xo1bu1rh
hicâ,hxu1e
hicâb,xxu1ebu1
hicaz,xxu1ero1
hiciv,hxu1w
hicr,hxu1r
hicrân,hxu1rebo1
hicret,hxu1rbo2
hicv,hxu1w
hicviyye,hxu1wyh
hîç,hbu2xu3
hîçkes,hbu2xu3ks
hidâ',xo1dea
hidayet,hdeybo2
hiddet,xdbo2
hidemat,xo1dmebo2
hidiv,xo1dyw
hidmet,xo1dmbo2
hidmetkâr,xo1dmbo2ker
hiffet,xo1fo1bo2
hijdeh,hro3dh
hîk,xo1bu2k
hikâyât,xkeyebo2
hikâyet,xkeybo2
hikem,xkm
hikmet,xkmbo2
hikmetşinâs,xkmbo2 so3bo1es
hilâf,xo1lefo1
hil'at,xo1labo2
hîle,xbu2lh
hîlebaz,xbu2lh bu1ero1
hîlekâr,xbu2lh ker
hilkat,xo1lfo2bo2
hilm,xlm
hilye,xlbu2h
himâr,xmer
himaye,xmeyh
hîme,hbu2mh
himem,hmm
himmet,hmbo2
hîn,xbu2bo1
hinduvâne,hbo1dwebo1h
hirâs,hres
hired,xo1rd
hiref,xrfo1
hirem,hrm
hirfet,xrfo1bo2
hirmân,xrmebo1
hisâb,xsebu1
hisân,xzebo1
hisar,xzer
hiss,xs
hisse,xzh
hissedar,xzh der
hisset,xo1sbo2
hisseyâb,xzh yebu1
hissî,xsy
hiss-i kablelvukû,xs fo2bu1l elwfo2wa
hissiyât,xsbu2ebo2
hissiye,xsbu2h
hîş,xo1wyso3
hitâb,xo1tebu1
hitâbe,xo1tebu1h
hitabet,xo1tebu1bo2
hitâm,xo1bo2em
hitan,xo1bo2ebo1
hiyel,xbu2l
hizâ,xdo1e
hizâb,xo1bu2ro1ebu1
hizâne,xo1ro1ebo1h
hizb,xro1bu1
hizmet,xo1dmbo2
hoca,xo1wexu1h
hod,xo1wd
hodbehod,xo1wdbu1xo1wd
hodbin,xo1wdbu1bu2bo1
hodkâm,xo1wdkem
hodrey,xo1wdrey
hodsitâ,xo1wdsbo2e
hokka,xfo2h
hokkabaz,xfo2h bu1ero1
hoşab,xo1wso3ebu1
hoşaf,xo1wso3ebu1
hoşâmedgû,xo1wso3 eo6md ko7w
hoşâvâz,xo1wso3 eo6wero1
hoşbû,xo1wso3bu1w
hoşgüvâr,xo1wso3 ko7wer
hoşnûd,xo1so3bo1wd
hoşrû,xo1wso3 rw
hoşsohbet,xo1wso3 zxbu1bo2
hû,hw
hub,xbu1
hûb,xo1wbu1
hubbü'l-vatan mine'l-îmân,xbu1 elwtbo1 mbo1 eleymebo1
hubeb,xbu1bu1
hûbî,xo1wbu1y
hûbrûy,xo1wbu1rwy
hûbter,xo1wbu1bo2r
hubûb,xbu1wbu1
hububat,xbu1wbu1ebo2
hubz,xo1bu1ro1
huccâc,xxu1exu1
huccet,xxu1bo2
huceste,xo1xu1sbo2h
hûd,xo1wd
hud'a,xo1dah
hudâ,xo1de
hudâdâd,xo1deded
hudânekerde,xo1debo1krdh
hudârâ,xo1wdeo6re
hudâşinas,xo1deso3bo1es
hudâvend,xo1dewbo1d
hudâvendigâr,xo1dewbo1dko7er
hudâyâ,xo1deye
huddâm,xo1dem
hudperest,xo1wdbu3rsbo2
hudûd,xdwd
hudûs,xdws
huffâş,xo1fo1eso3
huffâz,xfo1eto1
hufre,xfo1rh
hufte,xo1fo1bo2h
hûk,xo1wk
hukne,xfo2bo1h
hukuk,xfo2wfo2
hukukşinas,xfo2wfo2 so3bo1es
hulâsa,xo1lezh
hulâsaten,xo1lezho2
huld,xo1ld
hulefa,xo1lfo1e
hulk,xo1lfo2
hulkum,xlfo2wm
hulûl,xlwl
hulûs,xo1lwz
hulûskâr,xo1lwzker
hum,xo1m
humâr,xo1mer
humekâ,xmfo2e
humhâne,xo1m xo1ebo1h
humk,xmfo2
hummâ,xme
humret,xmrbo2
hums,xo1ms
humûzet,xmwzo1bo2
hûn,xo1wbo1
hûnâlûd,xo1wbo1 eo6lwd
hunbehâ,xo1wbo1 bu1he
hunhâr,xo1wbo1xo1wer
hunnâk,xo1bo1efo2
hunrîz,xo1wbo1ryro1
hunyâger,xo1bo1bu2eko7r
hûr,xwr
hurâfât,xo1refo1ebo2
hurafe,xo1refo1h
hurafeperver,xo1refo1h bu3rwr
hurd,xo1rd
hurdebin,xo1rdh bu1bu2bo1
hurdegîr,xo1rdh ko7bu2r
hûri,xwry
hûrşîd,xwrso3bu2d
hurûc,xo1rwxu1
hurûf,xrwfo1
hurûş,xo1rwso3
husemâ,xo1zme
husûf,xo1swfo1
husûl,xo1zwl
husûmet,xo1zwmbo2
husûs,xo1zwz
husûsat,xo1zwzebo2
hususî,xo1zwzy
husûsiyet,xo1zwzbu2bo2
hûş,hwso3
hûşe,xo1wso3h
huşk,xo1so3k
huşksâlî,xo1so3k sely
huşû,xo1so3wa
huşûnet,xo1so3wbo1bo2
huşyâr,hso3bu2er
hutût,xo1twt
hûy,xo1wy
huzme,xro1mh
huzûr,xzo1wr
huzzâr,xzo1er
hüccet,xxu1bo2
hücec,xxu1xu1
hüceyrat,xxu1bu2rebo2
hüceyre,xxu1bu2rh
hücre,xxu1rh
hücum,hxu1wm
hücürât,xxu1rebo2
hüdhüd,hdhd
hükemâ,xkme
hükkâm,xkem
hükm,xkm
hükümat,xkwmebo2
hükümdar,xkmder
hükümet,xkwmbo2
hükümran,xkmrebo1
hükümrânî,xkmrebo1y
hülâsa,xo1lezh
hülâsatan,xo1lezho2
hümâ,hme
hümâyûn,hmeywbo1
hüner,hbo1r
hünermend,hbo1rmbo1d
hünkâr,xo1bo1ker
hünsâ,xo1bo1bo3y
hür,xr
hürmet,xrmbo2
hürmetkâr,xrmbo2ker
hürr,xr
hürriyet,xrybo2
hüsam,xsem
hüsn,xsbo1
hüsn-i ahlak,xsbo1 exo1lefo2
hüsn-i idare,xsbo1 ederh
hüsn-i sûret,xsbo1 zwrbo2
hüsr,xo1sr
hüsran,xo1srebo1
hüsranhîz,xo1srebo1 xo1bu2ro1
hüsrev,xo1srw
hüveydâ,hwyde
hüviyyet,hwybo2
hüzn,xro1bo1
hüznengîz,xro1bo1 ebo1ko7bu2ro1
hüzzam,xro1em
ık'âd,efo2aed
ıkd,afo2d
ıklîm,efo2lbu2m
ıktıdâ,efo2bo2de
ırdâ,erzo1ea
ırk,arfo2
ırken,arfo2e
ırkî,arfo2y
ırz,arzo1
ırzâ,erzo1ea
ısdâr,ezder
ısfırâr,ezfo1rer
ıskât,esfo2et
ıslâh,ezlex
ıslâhât,ezlexebo2
ıslâhpezîr,ezlex bu3do1yr
ısrar,ezrer
ıstıbâr,eztbu1er
ıstıfâ,eztfo1e
ıstıfâî,eztfo1ebo5y
ıstılâh,eztlex
ıstılâhât,eztlexebo2
ıstınâ',eztbo1ea
ıstırab,ezo1trebu1
ışk,aso3fo2
ışka,aso3fo2h
ıtk,abo2fo2
ıtknâme,abo2fo2 bo1emh
ıtlak,etlefo2
ıtnâb,etbo1ebu1
ıtr,atr
ıtrî,atry
ıtriyyât,atryebo2
ıttılâ',etlea
ıttılâât,etleaebo2
ıttırâd,etred
ıyâdet,abu2edbo2
ıyâl,abu2el
ız'âf,ezo1aefo1
ızdırap,ezo1trebu1
ızrâr,ezo1rer
ıztırâb,ezo1trebu1
ıztırâbâver,ezo1trebu1 eo6wr
ıztırâr,ezo1trer
ıztırârî,ezo1trery
iâde,eaedh
iâdeten,eaedho2
iânât,eaebo1ebo2
iâne,eaebo1h
iâşe,eaeso3h
iba,ebu1e
ibâ',ebu1ec
ibâd,abu1ed
ib'âd,ebu1aed
ibâdât,abu1edebo2
ibâdet,abu1edbo2
ibadetgâh,abu1edbo2ko7eh
ibâdethâne,abu1edbo2 xo1ebo1h
ibâdullah,abu1edellh
ibâhat,ebu1exbo2
ibâhî,ebu1exy
ibârât,abu1erebo2
ibâre,abu1erh
ibâret,abu1erbo2
ibâte,ebu1ebo2h
ibda,ebu1dea
ibdâ',ebu1dea
ibdâ'kâr,ebu1deaker
ibham,ebu1hem
ibhâm,ebu1hem
ibhâmât,ebu1hemebo2
ibka,ebu1fo2e
ibkâ,ebu1fo2e
ibkâen,ebu1fo2ec
ibl,ebu1l
iblağ,ebu1leao1
iblâğ,ebu1leao1
iblik,ebu2bu1lfo2
iblis,ebu1lbu2s
iblîs,ebu1lbu2s
iblîsâne,ebu1lbu2sebo1h
ibn,ebu1bo1
ibnet,ebu1bo1ho2
ibra,ebu1re
ibrâ',ebu1rec
ibram,ebu1rem
ibrâm,ebu1rem
ibrânâme,ebu1rebo1emh
ibraz,ebu1rero1
ibrâz,ebu1rero1
ibre,ebu1rh
ibret,abu1rbo2
ibretâmîz,abu1rbo2 eo6mbu2ro1
ibretbahş,abu1rbo2 bu1xo1so3
ibreten,abu1rho2
ibrik,ebu1rbu2fo2
ibrîk,ebu1ryfo2
ibtâl,ebu1tel
ibtidâ,ebu1bo2de
ibtidâ'î,ebu1bo2debo5y
ibtidâr,ebu1bo2der
ibtihâc,ebu1bo2hexu1
ibtika,ebu1bo2kec
ibtika',ebu1bo2fo2ea
ibtilâ,ebu1bo2le
ibtinâ,ebu1bo2bo1e
ibtinâ'en,ebu1bo2bo1ec
ibzâr,ebu1ro1er
îcâb,eyxu1ebu1
îcâbât,eyxu1ebu1ebo2
icabet,exu1ebu1bo2
icâbet,exu1ebu1bo2
icabet etmek,exu1ebu1bo2 ebu2bo2mk
îcâd,eyxu1ed
icale,exu1elh
icâleten,axu1elho2
îcâr,eyxu1er
icare,exu1erh
icâre,exu1erh
icarei muacele,exu1erhcmaxu1lh
icarei muecele,exu1erhcmwo5xu1lh
i'câz,eaxu1ero1
îcâz,eyxu1ero1
icazet,exu1ero1bo2
icâzet,exu1ero1bo2
icâzetnâme,exu1ero1bo2 bo1emh
icbar,exu1bu1er
icbâr,exu1bu1er
icbar etmek,exu1bu1er ebu2bo2mk
iclâl,exu1lel
icmâ',exu1mea
icmâl,exu1mel
icmâlen,exu1mele
icmâlî,exu1mely
icrâ,exu1re
icrâât,exu1reeo6bo2
ictiba,exu1bo2bu1e
ictihâd,exu1bo2hed
ictimâ',exu1bo2mea
ictimâât,exu1bo2meaebo2
ictimâî,exu1bo2meay
ictimâiyyât,exu1bo2meabu2ebo2
ictimâiyyûn,exu1bo2meabu2wbo1
ictinab,exu1bo2bo1ebu1
ictinâb,exu1bo2bo1ebu1
ictinab etmek,exu1bo2bo1ebu1 ebu2bo2mk
ictira,exu1bo2re
ictira etmek,exu1bo2re ebu2bo2mk
ictisâr,exu1bo2ser
içtihat,exu1bo2hed
içtima,exu1bo2mea
îd,abu2d
i'dâdî,eadedy
i'dâm,eadem
idâme,edemh
idâre,ederh
idârehâne,ederh xo1ebo1h
idârî,edery
idbâr,edbu1er
iddiâ,edae
idhâl,edxo1el
idhâlât,edxo1elebo2
îdiyye,abu2dyh
idmân,edmebo1
idrâk,edrek
idrâr,edrer
îfâ,eyfo1e
ifâdât,efo1edebo2
ifâde,efo1edh
ifâkat,efo1efo2bo2
ifâze,efo1ezo1h
iffet,afo1bo2
ifhâm,efo1hem
iflâh,efo1lex
iflâs,efo1les
ifnâ,efo1bo1e
ifrâğ,efo1reao1
ifrât,efo1ret
ifrâtkâr,efo1retker
ifratperestî,efo1ret bu3rsbo2y
ifrâz,efo1rero1
ifrâzât,efo1rezo1ebo2
ifrît,afo1rybo2
ifsâd,efo1sed
ifşâ,efo1so3e
ifşâât,efo1so3eeo6bo2
iftâr,efo1ter
iftâriyye,efo1teryh
iftihâr,efo1bo2xo1er
iftikâr,efo1bo2fo2er
iftirâ,efo1bo2re
iftirâk,efo1bo2refo2
iftirâs,efo1bo2res
iftitâh,efo1bo2bo2ex
iftizâh,efo1bo2zo1ex
iğbirâr,eao1bu1rer
iğfâl,eao1fo1el
iğlâk,eao1lefo2
iğlât,eao1let
iğmâz,eao1mezo1
iğnâ,eao1bo1e
iğrâk,eao1refo2
iğtinâm,eao1bo2bo1em
iğtişâş,eao1bo2so3eso3
iğtişâşât,eao1bo2so3eso3ebo2
iğvâ,eao1we
ihâle,exelh
îhâm,eyhem
ihânet,ehebo1bo2
ihâta,exeth
ihbâr,exo1bu1er
ihbârnâme,exo1bu1erbo1emh
ihdâ,ehde
ihdâs,exdebo3
ihfâ,exo1fo1e
ihfâf,exo1fo1efo1
ihkâk,exfo2efo2
ihlâ,exo1le
ihlâk,ehlek
ihlâl,exo1lel
ihlâs,exo1lez
ihmâl,ehmel
ihmâlkâr,ehmelker
ihrâc,exo1rexu1
ihrâcât,exo1rexu1ebo2
ihrâk,exrefo2
ihrâm,exrem
ihrâz,exrero1
ihsâ,exze
ihsâî,exzebo5y
ihsâiyyât,exzebo5bu2ebo2
ihsâiyye,exzebo5bu2h
ihsân,exsebo1
ihsâs,exses
ihtâr,exo1ter
ihticâc,exbo2xu1exu1
ihtidâ,ehbo2de
ihtifâ,exo1bo2fo1e
ihtifâl,exbo2fo1el
ihtikâr,exbo2ker
ihtilâc,exo1bo2lexu1
ihtilâf,exo1bo2lefo1
ihtilâfat,exo1bo2lefo1ebo2
ihtilâl,exo1bo2lel
ihtilâlat,exo1bo2lelebo2
ihtilâm,exbo2lem
ihtilâs,exo1bo2les
ihtilât,exo1bo2let
ihtimâl,exbo2mel
ihtimal ki,exbo2mel kh
ihtimâlât,exbo2melebo2
ihtimâm,ehbo2mem
ihtinâk,exo1bo2bo1efo2
ihtirâ,exo1bo2rea
ihtirâat,exo1bo2reaebo2
ihtirak,exbo2refo2
ihtirâm,exbo2rem
ihtirâmen,exbo2reme
ihtirâs,exbo2rez
ihtirâz,exbo2rero1
ihtisâr,exo1bo2zer
ihtisâren,exo1bo2zere
ihtisâs,exo1bo2zez
ihtişâm,exbo2so3em
ihtitâm,exo1bo2bo2em
ihtivâ,exbo2we
ihtiyâc,exbo2bu2exu1
ihtiyâcât,exbo2bu2exu1ebo2
ihtiyâl,exbo2bu2el
ihtiyâr,exo1bo2bu2er
ihtiyârî,exo1bo2bu2ery
ihtiyât,exbo2bu2et
ihtiyâten,exbo2bu2ete
ihtiyatkâr,exbo2bu2et ker
ihtizâr,exbo2zo1er
ihtizâz,ehbo2ro1ero1
ihvân,exo1webo1
ihyâ,exbu2e
ihzâr,exzo1er
ihzârî,exzo1ery
îkâ,eyfo2e
ikâb,afo2ebu1
ik'âd,efo2aed
ikâl,afo2el
ikâme,efo2emh
ikâmet,efo2embo2
ikâmetgah,efo2embo2ko7eh
îkâz,eyfo2eto1
ikbâl,efo2bu1el
ikdâm,efo2dem
iklîm,efo2lbu2m
ikmâl,ekmel
iknâ,efo2bo1ea
ikrâh,ekreh
ikrâhen,ekrehe
ikrâm,ekrem
ikrâmiyye,ekrembu2h
ikrâr,efo2rer
ikrâz,efo2rezo1
iksîr,ekbo3bu2r
iktibâs,efo2bo2bu1es
iktibâsât,efo2bo2bu1esebo2
iktidâ,efo2bo2de
iktidâr,efo2bo2der
iktifâ,ekbo2fo1e
iktihâl,ekbo2xel
iktirâh,efo2bo2reh
iktirân,efo2bo2rebo1
iktisâ,ekbo2se
iktisâb,ekbo2sebu1
iktisâd,efo2bo2zed
iktisâdî,efo2bo2zedy
iktisâdiyyât,efo2bo2zedyebo2
iktisâdiyyûn,efo2bo2zedywbo1
iktisâr,efo2bo2zer
iktitâf,efo2bo2tefo1
iktiza,efo2bo2zo1e
iktizâ,efo2bo2zo1e
ilâ,ely
i'lâ,eale
ilâc,alexu1
ilâcnâpezîr,alexu1 bo1ebu3do1yr
ilâhe,elhh
ilâhiyyât,elhbu2ebo2
i'lâm,ealem
i'lân,ealebo1
ilânihâye,ely bo1heyh
ilâvât,alewebo2
ilâve,alewh
ilâveten,alewho2
ilel,all
ilelebed,ely elebu1d
ilelebet,ely||elebu1d
ilgâ,elao1e
ilhâd,elxed
ilhâk,elxefo2
ilhâm,elhem
ilhâmât,elhemebo2
ilim,alm
ilkâ,elfo2e
ilkâh,elfo2ex
illâ,ele
illet,albo2
illî,aly
illiyyet,albu2bo2
ilm,alm
ilmî,almy
ilmiyye,almbu2h
ilsâk,elzefo2
iltibâs,elbo2bu1es
ilticâ,elbo2xu1e
ilticâgâh,elbo2xu1eko7eh
iltifat,elbo2fo1ebo2
iltihâb,elbo2hebu1
iltihak,elbo2xefo2
iltihâm,elbo2hem
iltikâm,elbo2fo2em
iltimâs,elbo2mes
iltisâk,elbo2zefo2
iltiyâm,elbo2bu2em
iltizâm,elbo2ro1em
iltizâz,elbo2do1edo1
ilzâm,elro1em
îmâ,eyme
imâd,amed
i'mâl,eamel
imâle,emelh
imâm,emem
îmân,eymebo1
i'mâr,eamer
imâret,amerbo2
imdâd,emded
imhâ,emxe
imkân,emkebo1
imrâr,emrer
imsâk,emsek
imsâkiyye,emsekbu2h
imtihân,embo2xebo1
imtinâ,embo2bo1ea
imtisâl,embo2bo3el
imtiyâz,embo2bu2ero1
imtizâc,embo2ro1exu1
în,eybo1
inâd,abo1ed
in'âm,ebo1aem
inân,abo1ebo1
inâre,ebo1erh
inâyât,abo1eyebo2
inâyet,abo1eybo2
inbisât,ebo1bu1set
incizâb,ebo1xu1do1ebu1
ind,abo1d
indî,abo1dy
indifâ,ebo1dfo1ea
ineb,abo1bu1
infâk,ebo1fo1efo2
infâz,ebo1fo1edo1
infiâl,ebo1fo1ael
infihâm,ebo1fo1hem
infilâk,ebo1fo1lefo2
infirâd,ebo1fo1red
infisâd,ebo1fo1sed
infisâl,ebo1fo1zel
inhibât,ebo1hbu1et
inhidâm,ebo1hdem
inhilâl,ebo1xlel
inhimâk,ebo1hmek
inhinâ,ebo1xbo1e
inhirâf,ebo1xrefo1
inhisâf,ebo1xo1sefo1
inhisâr,ebo1xzer
inhitat,ebo1xtet
inhizâm,ebo1hro1em
in'ikâd,ebo1afo2ed
in'itâf,ebo1atefo1
in'izâl,ebo1aro1el
inkâr,ebo1ker
inkılâb,ebo1fo2lebu1
inkıtâ,ebo1fo2tea
inkıyâd,ebo1fo2bu2ed
inkızâ,ebo1fo2zo1e
inkibâz,ebo1fo2bu1ezo1
inkirâz,ebo1fo2rezo1
inkisâm,ebo1fo2sem
inkisâr,ebo1kser
inkişâf,ebo1kso3efo1
insâf,ebo1zefo1
insânî,ebo1sebo1y
insaniyu'l-merkez,ebo1sebo1y elmrkro1
insâniyyet,ebo1sebo1bu2bo2
insicâm,ebo1sxu1em
insidâd,ebo1sded
insikâb,ebo1sfo2ebu1
insiyâk,ebo1sbu2efo2
insiyâkî,ebo1sbu2efo2y
insücin,ebo1s w xu1bo1
inşâ,ebo1so3e
inşiâb,ebo1so3aebu1
inşikâk,ebo1so3fo2efo2
inşirâh,ebo1so3rex
intâc,ebo1bo2exu1
intâk,ebo1tefo2
intânî,ebo1bo2ebo1y
intibâ,ebo1tbu1ea
intibâh,ebo1bo2bu1eh
intibâk,ebo1tbu1efo2
intifâ,ebo1tfo1e
intifâ',ebo1bo2fo1ea
intihâ,ebo1bo2he
intihâb,ebo1bo2xo1ebu1
intihâbât,ebo1bo2xo1ebu1ebo2
intihâl,ebo1bo2xel
intihâr,ebo1bo2xer
intihaz,ebo1bo2hero1
intikâd,ebo1bo2fo2ed
intikâl,ebo1bo2fo2el
intikâm,ebo1bo2fo2em
intikâmcû,ebo1bo2fo2em xu1w
intikaş,ebo1bo2fo2eso3
intisâb,ebo1bo2sebu1
intişâr,ebo1bo2so3er
intizâ',ebo1bo2ro1ea
intizâm,ebo1bo2to1em
intizamperver,ebo1bo2to1em bu3rwr
intizâr,ebo1bo2to1er
inzâl,ebo1ro1el
inzibât,ebo1zo1bu1et
inzimâm,ebo1zo1mem
inzivâ,ebo1ro1we
inzivagâh,ebo1ro1weko7eh
iplik,ebu3lk
iprenmek,ebu3rbo1mk
ipretmek,ebu3rbo2mk
iptida,ebu1bo2de
iptidar,ebu1bo2der
iptihaç,ebu1bo2hexu1
iptila,ebu1bo2le
iptisam,ebu1bo2sem
îrâd,eyred
irâde,eredh
irâdet,eredbo2
irâ'e,erebo5h
îrânî,eyrebo1y
i'râz,earezo1
ircâ',erxu1ea
irfân,arfo1ebo1
irfanperver,arfo1ebo1 bu3rwr
irs,erbo3
irsâl,ersel
irsen,erbo3e
irsî,erbo3y
irsiyyet,erbo3bu2bo2
irşâd,erso3ed
irtiâş,erbo2aeso3
irtibât,erbo2bu1et
irticâ,erbo2xu1ea
irticakâr,erbo2xu1eaker
irticâlen,erbo2xu1ele
irtidâd,erbo2ded
irtifâ,erbo2fo1ea
irtihâl,erbo2xel
irtikâ,erbo2fo2e
irtikâb,erbo2kebu1
irtişâ,erbo2so3e
irtizâk,erbo2ro1efo2
irzâ,erzo1e
irzâ',erzo1ea
isâbet,ezebu1bo2
is'âd,ezaed
isâet,esebo5bo2
îsâl,eyzel
isâle,eselh
is'âr,esaer
isbât,ebo3bu1ebo2
îsevî,abu2swy
îseviyyet,abu2swybo2
isfenc,esfo1bo1xu1
ishâl,eshel
iskân,eskebo1
iskat,esfo2et
iskât,eskebo2
islâm,eslem
islâmiyyet,eslembu2bo2
ismet,azmbo2
isnâ'aşer,ebo3bo1y aso3r
isnâd,esbo1ed
isneyn,ebo3bo1bu2bo1
ispat,ebo3bu1ebo2
isrâf,esrefo1
issare,ebo3erh
İstanbul,esbo2ebo1bu1wl
istî'âb,esbo2bu2aebu1
istiâne,esbo2aebo1h
istib'âd,esbo2bu1aed
istibdâd,esbo2bu1ded
istibdâdkâr,esbo2bu1dedker
isticâbet,esbo2xu1ebu1bo2
isti'câl,esbo2axu1el
istid'â,esbo2dae
istîdâd,esbo2aded
istid'ânâme,esbo2daebo1emh
istidlâl,esbo2dlel
isti'fâ,esbo2afo1e
istifâdebahş,esbo2fo1edh bu1xo1so3
istifhâm,esbo2fo1hem
istifrâğ,esbo2fo1reao1
istigâse,esbo2ao1ebo3h
istiğnâ,esbo2ao1bo1e
istiğrâk,esbo2ao1refo2
istihâle,esbo2xelh
istihâre,esbo2xo1erh
istihâse,esbo2xebo3h
istihbâr,esbo2xo1bu1er
istihbârât,esbo2xo1bu1erebo2
istihdâf,esbo2hdefo1
istihdâm,esbo2xo1dem
istihfâf,esbo2xo1fo1efo1
istihfâfkâr,esbo2xo1fo1efo1ker
istihkak,esbo2xfo2efo2
istihkâm,esbo2xkem
istihkâr,esbo2xfo2er
istihlâk,esbo2hlek
istihmâm,esbo2xmem
istihrâc,esbo2xo1rexu1
istihsâl,esbo2xzel
istihsân,esbo2xsebo1
istihyâ,esbo2xbu2e
istihzâ,esbo2hro1e
istihzâr,esbo2xzo1er
isti'kâf,esakefo1
istikâmet,esbo2fo2embo2
istikbâh,esbo2fo2bu1ex
istikbâl,esbo2fo2bu1el
istikbâr,esbo2kbu1er
istikfâf,esbo2kfo1efo1
istiklâl,esbo2fo2lel
istikmâl,esbo2kmel
istikrâh,esbo2kreh
istikrâr,esbo2fo2rer
istikrâz,esbo2fo2rezo1
istikşâf,esbo2kso3efo1
istîlâ,esbo2bu2le
isti'lâm,esbo2alem
istilzâm,esbo2lro1em
istimâ',esbo2mea
isti'mâl,esbo2amel
istimdâd,esbo2mded
istimhâl,esbo2mhel
istimlâk,esbo2mlek
istimnâ',esbo2mbo1ec
istimrâr,esbo2mrer
istinâd,esbo2bo1ed
istinâden,esbo2bo1ede
istinadgâh,esbo2bo1edko7eh
istînâf,esbo2bu2bo1efo1
istinbât,esbo2bo1bu1et
istinkâf,esbo2bo1kefo1
istinşâk,esbo2bo1so3efo2
istintâk,esbo2bo1tefo2
istirâhat,esbo2rexbo2
istirdâd,esbo2rded
istirhâm,esbo2rxem
istirhamkâr,esbo2rxemker
istiskâ,esbo2sfo2e
istiskâl,esbo2bo3fo2el
istisnâ,esbo2bo3bo1e
istisnâ'î,esbo2bo3bo1ebo5y
istişâre,esbo2so3erh
istişhâd,esbo2so3hed
istitâat,esbo2teabo2
istitâr,esbo2bo2er
istitrâden,esbo2trede
istivâ,esbo2we
istiz'âf,esbo2zo1aefo1
istîzâh,esbo2bu2zo1ex
istîzân,esbo2bu2do1ebo1
isyân,azbu2ebo1
îş,abu2so3
işâa,eso3eah
iş'âr,eso3aer
işârât,eso3erebo2
işâret,eso3erbo2
işâreten,eso3erho2
işbâ',eso3bu1ea
işgâl,eso3ao1el
işhâd,eso3hed
işkence,eso3kbo1xu1h
işmi'zâz,eso3mbo5ro1ero1
işrâk,eso3refo2
işrâkî,eso3refo2y
işret,aso3rbo2
işrîn,aso3rybo1
işti'âl,eso3bo2ael
iştibâh,eso3bo2bu1eh
iştigâl,eso3bo2ao1el
iştihâ,eso3bo2he
iştihâengîz,eso3bo2he ebo1ko7bu2ro1
iştihâr,eso3bo2her
iştikâk,eso3bo2fo2efo2
iştimâl,eso3bo2mel
iştirâ,eso3bo2re
iştirâk,eso3bo2rek
iştirâkiyye,eso3bo2rekbu2h
iştiyâk,eso3bo2bu2efo2
