abes,abu1bo3
alâkat,alefo2bo2
alâkaya,alefo2h||yh
alakaya,alfo2h||yh
alâkayı,alefo2h||yy
alâküllihal,aly klo8 xel
alâküllihâl,aly klo8 xel
alalım,eo6lelm
alallah,aly e||ellh
alâllah,aly e||ellh
âlâm,eo6lem
âlâm-ı,eo6lemu4
âlâma,eo6lemh
alamadığı,eo6lemdyao1y
alamadığım,eo6lemdyao1m
alamadığımdan,eo6lemdyao1mdbo1
alamadığımız,eo6lemdyao1mro1
alamadığından,eo6lemdyao1bo1dbo1
alamadığının,eo6lemdyao1bo1ko3
alamadık,eo6lemdfo2
alamadıkları,eo6lemdfo2lry
alamadım,eo6lemdm
alamamakta,eo6lememfo2dh
alamamış,eo6lememso3
alamamışlardır,eo6lememso3lrdr
alamamıştım,eo6lememso3dm
alâmat,alemebo2
alâmat-ı,alemebo2u4
alâmatı,alemebo2y
alâmatın,alemebo2ko3
alâmatlarında,alemebo2lrbo1dh
alamayan,eo6lemyebo1
alamayız,eo6lemeyro1
alamaz,eo6lemero1
alamazdık,eo6lemero1dfo2
alamazlar,eo6lemero1lr
alamazsa,eo6lemero1sh
alamazsan,eo6lemero1sh||ko3
alamazsın,eo6lemero1sko3
alamescid,eo5ale msxu1d
alâmet,alembo2
alâmet-i,alembo2u4
alâmeti,alembo2y
alâmetidir,alembo2ydr
alâmetini,alembo2bo1y
alâmetiyle,alembo2ylh
alâmetle,alembo2lh
alâmetler,alembo2lr
alâmetlerden,alembo2lrdbo1
alâmetleri,alembo2lry
alâmetleridir,alembo2lrydr
alâmetlerin,alembo2lrko3
alâmetlerinden,alembo2lrbo1dbo1
alâmetlerine,alembo2lrybo1h
alâmetlerini,alembo2lrybo1y
alâmettir,alembo2dr
âlâmı,eo6lemy
âlâmın,eo6lemko3
âlâmından,eo6lembo1dbo1
âlâmını,eo6lembo1y
âlâmıyla,eo6lemylh
alamıyor,eo6lemyywr
alamıyorum,eo6lemyywrm
alamıyoruz,eo6lemyywrro1
âlâmlar,eo6lemlr
âlâmlarıyla,eo6lemlrylh
alan,eo6lebo1
alanda,eo6lebo1dh
alanı,eo6lebo1y
alanın,eo6lebo1ko3
alanlar,eo6lebo1lr
alanlara,eo6lebo1lrh
alanlarca,eo6lebo1lrxu1h
alanlarda,eo6lebo1lrdh
alanlardır,eo6lebo1lrdr
alanları,eo6lebo1lry
alanların,eo6lebo1lrko3
alanlarını,eo6lebo1lrybo1y
alarak,eo6lerfo2
alasın,eo6lesko3
alâsından,eo5alesbo1dbo1
âlâsından,eo5alesbo1dbo1
alasınız,eo6lesko3ro1
âlât,eo6lebo2
âlât-ı,eo6lebo2u4
âlâta,eo6lebo2h
âlâtı,eo6lebo2y
âlâtın,eo6lebo2ko3
âlâtıyla,eo6lebo2ylh
âlâtla,eo6lebo2lh
alaturka,eo6lebo2wrfo2h
alay,eo6ley
# alay'ın,eo6leyko3
alaya,eo6leyh
alayı,eo6leyy
# alayı'na,eo6leyy||bo1h
alayım,eo6leym
alayında,eo6leybo1dh
alayişi,eo6leyso3y
âlâyişin,eo6leyso3ko3
âlâyişine,eo6leyso3bo1h
alayişle,eo6leyso3lh
alayişten,eo6leyso3dbo1
alaylar,eo6leylr
alaylara,eo6leylrh
alaylarında,eo6leylrbo1dh
alçak,eo6lxu3efo2
alçakça,eo6lxu3efo2xu1h
alçaklar,eo6lxu3efo2lr
alçaklara,eo6lxu3efo2lrh
alçakların,eo6lxu3efo2lrko3
alçaklığa,eo6lxu3efo2lao1h
alçaklığı,eo6lxu3efo2lao1y
alçaklığını,eo6lxu3efo2lao1bo1y
alçaklık,eo6lxu3efo2lfo2
alçaklıktan,eo6lxu3efo2lfo2dbo1
alçaklıktır,eo6lxu3efo2lfo2dr
alçaksa,eo6lxu3efo2sh
alçaktır,eo6lxu3efo2dr
alçaktırlar,eo6lxu3efo2drlr
alçalıyor,eo6lxu3elyywr
alçalmış,eo6lxu3elmso3
alçaltmıştır,eo6lxu3elbo2mso3dr
aldanacak,eo6ldebo1h||xu1fo2
aldanan,eo6ldebo1ebo1
aldanandır,eo6ldebo1ebo1dr
aldananların,eo6ldebo1ebo1lrko3
aldanarak,eo6ldebo1h||rfo2
aldandı,eo6ldebo1dy
aldandık,eo6ldebo1dfo2
aldandıkları,eo6ldebo1dfo2lry
aldandıklarına,eo6ldebo1dfo2lrybo1h
aldandıklarını,eo6ldebo1dfo2lrybo1y
aldandılar,eo6ldebo1dylr
aldandım,eo6ldebo1dm
aldandınız,eo6ldebo1dyko3ro1
aldanılır,eo6ldebo1ylyr
aldanıp,eo6ldebo1wbu1
aldanır,eo6ldebo1yr
aldanırız,eo6ldebo1yrro1
aldanırsa,eo6ldebo1yrsh
aldanırsınız,eo6ldebo1yrsko3ro1
aldanıyorlar,eo6ldebo1yywrlr
aldanma,eo6ldebo1me
aldanmak,eo6ldebo1mfo2
aldanmakta,eo6ldebo1mfo2dh
aldanmalarına,eo6ldebo1melrybo1h
aldanmalarında,eo6ldebo1melrbo1dh
aldanmamak,eo6ldebo1memfo2
aldanmamaları,eo6ldebo1memlry
aldanmamalarını,eo6ldebo1memlrybo1y
aldanmanız,eo6ldebo1mh||ko3ro1
aldanmasın,eo6ldebo1mesybo1
aldanmasınlar,eo6ldebo1mesybo1lr
aldanmayalım,eo6ldebo1myh||lm
aldanmayın,eo6ldebo1mh||yko3
aldanmayınız,eo6ldebo1mh||yko3ro1
aldanmayız,eo6ldebo1meyro1
aldanmaz,eo6ldebo1mero1
aldanmış,eo6ldebo1mso3
aldanmışız,eo6ldebo1mso3ro1
aldanmışlar,eo6ldebo1mso3lr
aldanmışlarsa,eo6ldebo1mso3lrsh
aldanmışsın,eo6ldebo1mso3sko3
aldanmışsınız,eo6ldebo1mso3sko3ro1
aldanmıyor,eo6ldebo1myywr
aldansa,eo6ldebo1sh
aldatabilirler,eo6ldebo2h||bu1ylyrlr
aldatacak,eo6ldebo2h||xu1fo2
aldatamayacak,eo6ldebo2h||myh||xu1fo2
aldatamayacaklardır,eo6ldebo2h||myh||xu1fo2lrdr
aldatamaz,eo6ldebo2emero1
aldatamazsın,eo6ldebo2h||mero1sko3
aldatan,eo6ldebo2ebo1
aldatarak,eo6ldebo2h||rfo2
aldatıcı,eo6ldebo2yxu1y
aldatıcıdır,eo6ldebo2yxu1ydr
aldatılmış,eo6ldebo2ylmso3
aldatılmışız,eo6ldebo2ylmyso3ro1
aldatıp,eo6ldebo2wbu1
aldatır,eo6ldebo2yr
aldatıyor,eo6ldebo2yywr
aldatıyorlar,eo6ldebo2yywrlr
aldatıyorsun,eo6ldebo2yywrsko3
aldatıyorsunuz,eo6ldebo2yywrsko3ro1
aldatma,eo6ldebo2mh
aldatmağa,eo6ldebo2mao1h
aldatmak,eo6ldebo2mfo2
aldatmakla,eo6ldebo2mfo2lh
aldatmaktan,eo6ldebo2mfo2dbo1
aldatmalar,eo6ldebo2melr
aldatmaları,eo6ldebo2melry
aldatmalarına,eo6ldebo2melrybo1h
aldatmalarından,eo6ldebo2melrbo1dbo1
aldatmalarıyla,eo6ldebo2mh||lrylh
aldatmalarla,eo6ldebo2melrlh
aldatmamak,eo6ldebo2mh||mfo2
aldatmamalı,eo6ldebo2mh||mly
aldatmasın,eo6ldebo2mesybo1
aldatmasına,eo6ldebo2mh||sbo1h
aldatmasınlar,eo6ldebo2mh||sybo1lr
aldatmaya,eo6ldebo2mao1h
aldatmayan,eo6ldebo2myebo1
aldatmayı,eo6ldebo2mao1y
aldatmayız,eo6ldebo2mh||yro1
aldatmaz,eo6ldebo2mero1
aldatmazsa,eo6ldebo2mero1sh
aldatmış,eo6ldebo2mso3
aldatmışlar,eo6ldebo2mso3lr
aldatmıştı,eo6ldebo2mso3dy
aldatmıştır,eo6ldebo2mso3dr
aldatsın,eo6ldebo2sybo1
aldattı,eo6ldebo2dy
aldattıklarını,eo6ldebo2dfo2lrybo1y
aldattılar,eo6ldebo2dylr
aldattım,eo6ldebo2dm
âlde,eo6ldh
aldı,eo6ldy
aldığı,eo6ldyao1y
aldığım,eo6ldyao1m
aldığımdan,eo6ldyao1mdbo1
aldığımı,eo6ldyao1my
aldığımız,eo6ldyao1mro1
aldığımıza,eo6ldyao1mro1h
aldığımızdır,eo6ldyao1mro1dr
aldığımızı,eo6ldyao1mro1y
aldığın,eo6ldyao1ko3
aldığına,eo6ldyao1ko3h
aldığında,eo6ldyao1bo1dh
aldığından,eo6ldyao1bo1dbo1
aldığını,eo6ldyao1bo1y
aldığınız,eo6ldyao1ko3ro1
aldık,eo6ldfo2
aldıkça,eo6ldfo2xu1h
aldıkları,eo6ldfo2lry
aldıklarından,eo6ldfo2lrbo1dbo1
aldıklarını,eo6ldfo2lrybo1y
aldıktan,eo6ldfo2dbo1
aldılar,eo6ldylr
aldım,eo6ldm
aldın,eo6ldko3
aldınız,eo6ldyko3ro1
aldıran,eo6ldyrebo1
aldırdı,eo6ldyrdy
aldırıldı,eo6ldyrldy
aldırır,eo6ldyrr
aldırma,eo6ldyrmh
aldırmadan,eo6ldyrmdbo1
aldırmadı,eo6ldyrmdy
aldırmadım,eo6ldyrmdm
aldırmamak,eo6ldyrmemfo2
aldırmamalı,eo6ldyrmemly
aldırmamalısın,eo6ldyrmh||mlysko3
aldırmasınlar,eo6ldyrmh||sybo1lr
aldırmayarak,eo6ldyrmyh||rfo2
aldırmayınız,eo6ldyrmh||yko3ro1
aldırmaz,eo6ldyrmero1
aldırmazsan,eo6ldyrmero1sh||ko3
aldırmış,eo6ldyrmso3
aldırmıyorsunuz,eo6ldyrmyywrsko3ro1
aldırmıyorum,eo6ldyrmyywrm
ale'r-re's-i,aly  elreo5su4
ale-l,aly el
ale-l-ıtlak,aly eleu5tlefo2
aleddevam,aly eldwem
alel'ekser,aly eleo5kbo3r
alel'ıtlak,aly eleu5tlefo2
alel'infirad,aly eleu5bo1fo1red
alel'umum,aly elamwm
alel-amyâ,aly elamye
alel-ekser,aly eleo5kbo3r
alel-ıtlak'ın,aly eleu5tlefo2ko3
alel-ıtlak'tır,aly eleu5tlefo2dr
alel-ıtlaktır,aly eleu5tlefo2dr
alelâde,aly elaedh
alelamyâ,aly elamye
alelekser,aly eleo5kbo3r
alelhusus,aly elxo1zwz
alelıtlak,aly eleu5tlefo2
alelıtlak'ın,aly eleu5tlefo2ko3
alelküll,ao4lo4y elko9lo8
alellah,aly e||ellh
alelusûl,aly eleo9zwl
âlem,aelm
alem,ao4lo4m
# âlem'den,aelmdbo1
# âlem'dir,aelmdr
# âlem'e,aelmh
# âlem'i,aelmy
# âlem'in,aelmko3
âlem-i,aelmu4
alem-i,ao4lo4mu4
âlem-pesend,aelm||bu3sbo1d
âlem-şümuldür,aelm||so3mwldr
âlem-ül,aelm el
âlemce,aelmxu1h
alemdarın,almderko3
alemdârın,almderko3
âlemde,aelmdh
âlemdedir,aelmdh||dr
âlemdeki,aelmdh||ky
âlemden,aelmdbo1
âlemdir,aelmdr
alemdir,ao4lo4mo0dr
âleme,aelmh
âlemîn,aelmybo1
# âlemîn'den,aelmybo1dbo1
# âlemîn'dir,aelmybo1dr
# âlemîn'e,aelmybo1h
# âlemîn'i,aelmybo1y
# âlemîn'in,aelmybo1ko3
âlemi,aelmy
alemi,ao4lo4my
âlemidir,aelmydr
âlemimde,aelmmdh
âlemime,aelmmh
âlemimi,aelmmy
âlemimiz,aelmmro1
âlemimizi,aelmmro1y
âlemin,aelmko3
âlemince,aelmbo1xu1h
âleminde,aelmbo1dh
âlemindeki,aelmbo1dh||ky
âleminden,aelmbo1dbo1
âlemindendir,aelmbo1dbo1dr
âlemine,aelmbo1h
âlemini,aelmbo1y
âleminin,aelmbo1ko3
âleminindir,aelmbo1ko3dr
âleminizde,aelmko3ro1dh
âleminizi,aelmko3ro1y
âlemiyiz,aelmy||yro1
âlemiyle,aelmylh
âlemle,aelmlh
âlemler,aelmlr
âlemlerde,aelmlrdh
âlemlerdeki,aelmlrdh||ky
âlemlerden,aelmlrdbo1
âlemlere,aelmlrh
âlemleri,aelmlry
âlemlerin,aelmlrko3
âlemlerinde,aelmlrbo1dh
âlemlerindeki,aelmlrbo1dh||ky
âlemlerine,aelmlrybo1h
âlemlerini,aelmlrybo1y
âlemlerinin,aelmlrybo1ko3
âlemleriyle,aelmlrylh
âlempesend,aelm||bu3sbo1d
âlemsin,aelmsko3
âlemşümul,aelm||so3mwl
alenen,albo1o44e
alenî,albo1y
alenîdir,albo1ydr
aleniye,albo1yh
aleniyesine,ao4lo4bo1u4yh||sbo1h
aleniyete,albo1ybo2h
alerre's-i,aly elreo5su4
alerre'si,aly elreo5s
aleş-şeytan,aly elso3ytebo1
aleşşeytan,aly elso3ytebo1
âlet,eo6lo4bo2
alet-i,eo6lo4bo2u4
âlet-i,eo6lo4bo2u4
âlete,eo6lo4bo2h
aleti,eo6lo4bo2y
âleti,eo6lo4bo2y
âletidir,eo6lo4bo2ydr
âletin,eo6lo4bo2ko3
âletine,eo6lo4bo2bo1h
âletiyetten,eo6lo4bo2ybo2dbo1
âletle,eo6lo4bo2lh
âletler,eo6lo4bo2lr
âletlere,eo6lo4bo2lrh
âletleri,eo6lo4bo2lry
âletlerin,eo6lo4bo2lrko3
âletlerini,eo6lo4bo2lrybo1y
âletleriyle,eo6lo4bo2lrylh
âletlerle,eo6lo4bo2lrlh
aletta'dad,aly elbo2o8aded
alettahmin,aly elbo2o8xo1mybo1
alettevali,aly elbo2o8wely
âlettir,eo6lo4bo2dr
alev,eo6lo4wo0
alevî,ao4lo4wy
alevîde,ao4lo4wydh
alevîler,ao4lo4wylr
alevîlerden,ao4lo4wylrdbo1
alevîlere,ao4lo4wylrh
alevîleri,ao4lo4wylry
alevîlerin,ao4lo4wylrko3
alevîlik,ao4lo4wylk
alevîlikle,ao4lo4wylklh
alevîlikte,ao4lo4wylkdh
alevîyi,ao4lo4wy||yy
aleviye,ao4lo4wyh
aleviye'de,ao4lo4wyh||dh
aleviye'nin,ao4lo4wyh||bo1ko3
aleviye'ye,ao4lo4wyh||yh
aleviye'yi,ao4lo4wyh||yy
aleviyede,ao4lo4wyh||dh
aleviyeden,ao4lo4wyh||dbo1
aleviyeleri,ao4lo4wyh||lry
aleviyenin,ao4lo4wyh||bo1ko3
aleviyeye,ao4lo4wyh||yh
aleviyeyi,ao4lo4wyh||yy
aleviyye,ao4lo4wyh
alevlemiş,eo6lo4wo0lh||mso3
alevlendiriyor,eo6lo4wo0lbo1dyryywr
alevler,eo6lo4wo0lr
alevleri,eo6lo4wo0lry
alevli,eo6lo4wo0ly
alexy,eo6lksy
aleyh,alyh
aleyhdar,alyhder
aleyhdarı,alyhdery
aleyhdarlarım,alyhderlrm
aleyhdarlığı,alyhderlao1y
aleyhdarlık,alyhderlfo2
aleyhdeki,alyhdh||ky
aleyhe,alyhh
aleyhi,alyh
aleyhi-l,alyh el
aleyhim,alyhm
aleyhima,alyhme
aleyhimde,alyhmdh
aleyhimdeki,alyhmdh||ky
aleyhime,alyhmh
aleyhimessalâtü,alyhm elzleho2
aleyhimesselâm,alyhm elslem
aleyhimesselâm'a,alyhm elslemh
aleyhimesselâm'ı,alyhm elslemy
aleyhimesselâm'ın,alyhm elslemko3
aleyhimesselâm'lar,alyhm elslemlr
aleyhimizde,alyhmro1dh
aleyhimizdedir,alyhmro1dh||dr
aleyhimizdeki,alyhmro1dh||ky
aleyhimize,alyhmro1h
aleyhimüsselâm,alyhm elslem
aleyhimüsselâm'a,alyhm elslemh
aleyhimüsselâm'dır,alyhm elslemdr
aleyhimüsselâm'ın,alyhm elslemko3
aleyhimüsselâma,alyhm elslemh
aleyhinde,alyhbo1dh
aleyhindedir,alyhbo1dh||dr
aleyhindeki,alyhbo1dh||ky
aleyhindeyim,alyhbo1dh||ym
aleyhine,alyhbo1h
aleyhissalatü,alyh elzleho2
aleyhissalâtü,alyh elzleho2
aleyhisselâm,alyh elslem
aleyhisselâm'a,alyh elslemh
aleyhisselâm'da,alyh eslemdh
aleyhisselâm'dan,alyh elslemdbo1
aleyhisselâm'dır,alyh elslemdr
aleyhisselâm'ı,alyh elslemy
aleyhisselâm'ın,alyh elslemko3
aleyhisselam'la,alyh elslemlh
aleyhisselâm'la,alyh elslemlh
aleyhisselâma,alyh elslemh
aleyhisselâmdan,alyh elslemdbo1
aleyhisselâmı,alyh elslemy
aleyhisselâmın,alyh elslemko3
aleyhisselâmların,alyh elslemlrko3
aleyhlerinde,alyhlrbo1dh
aleyhlerinden,alyhlrbo1dbo1
aleyhlerine,alyhlrybo1h
aleyhtarı,alyhdery
aleyhtarlığı,alyhderlao1y
aleyhtarlığında,alyhderlao1bo1dh
aleyhte,alyhdh
aleyhteki,alyhdh||ky
aleyhtir,alyhdr
aleyke,alyk
aleyke-s,alyk el
aleyküm,alykm
aleyna,alybo1e
alık,eo6lyfo2
alıkoyan,eo6lyfo2wyebo1
alıkoyanlar,eo6lyfo2wyebo1lr
alıkoyar,eo6lyfo2wyer
alıkoymak,eo6lyfo2wymfo2
alıkoyup,eo6lyfo2wywbu1
alıkoyuyor,eo6lyfo2wywywr
alıkoyuyorlar,eo6lyfo2wywywrlr
alın,eo6lbo1
alınabileceğini,eo6lybo1h||bu1ylh||xu1ko7bo1y
alınabilir,eo6lybo1h||bu1ylyr
alınacağı,eo6lybo1h||xu1ao1y
alınacağından,eo6lybo1h||xu1ao1bo1dbo1
alınacağını,eo6lybo1h||xu1ao1bo1y
alınacak,eo6lybo1h||xu1fo2
alınamadığından,eo6lybo1h||mdyao1bo1dbo1
alınamaz,eo6lybo1h||mero1
alınamıyormuş,eo6lybo1h||myywrmso3
alınan,eo6lybo1ebo1
alınanlardan,eo6lybo1ebo1lrdbo1
alınarak,eo6lybo1h||rfo2
alınca,eo6lbo1xu1h
alıncaya,eo6lbo1xu1h||yh
alındı,eo6lybo1dy
alındığı,eo6lybo1dyao1y
alındığından,eo6lybo1dyao1bo1dbo1
alındıkları,eo6lybo1dfo2lry
alındıktan,eo6lybo1dfo2dbo1
alınıp,eo6lybo1wbu1
alınır,eo6lybo1yr
alınırsa,eo6lybo1yrsh
alınışının,eo6lybo1so3bo1ko3
alınıyor,eo6lybo1yywr
alınız,eo6lyko3ro1
alınlarına,eo6lybo1lrybo1h
alınlarında,eo6lbo1lrbo1dh
alınma,eo6lybo1mh
alınmadan,eo6lybo1medbo1
alınmadı,eo6lybo1medy
alınmadığı,eo6lybo1medyao1y
alınmadığına,eo6lybo1medyao1bo1h
alınmadığından,eo6lybo1medyao1bo1dbo1
alınmadım,eo6lybo1medm
alınmak,eo6lybo1mfo2
alınmalarıdır,eo6lybo1melrydr
alınmalı,eo6lbo1mly
alınmamalı,eo6lybo1memly
alınmaması,eo6lybo1memsy
alınmamış,eo6lybo1memso3
alınması,eo6lybo1mh||sy
alınmasıdır,eo6lybo1mesydr
alınmasın,eo6lybo1mesybo1
alınmasına,eo6lybo1mesbo1h
alınmasından,eo6lybo1mesbo1dbo1
alınmayacağını,eo6lybo1myh||xu1ao1bo1y
alınmayacak,eo6lybo1myh||xu1fo2
alınmayacaktı,eo6lybo1myh||xu1fo2dy
alınmayan,eo6lybo1myebo1
alınmayarak,eo6lybo1myh||rfo2
alınmaz,eo6lybo1mero1
alınmazsa,eo6lbo1mero1sh
alınmış,eo6lybo1mso3
alınmıştı,eo6lybo1mso3dy
alınmıştır,eo6lybo1mso3dr
alınmıyor,eo6lybo1myywr
alınsa,eo6lybo1sh
alınsın,eo6lybo1sybo1
alıp,eo6lwbu1
alır,eo6lyr
alırdı,eo6lyrdy
alırdım,eo6lyrdm
alırım,eo6lyrm
alırız,eo6lyrro1
alırken,eo6lyrkbo1
alırlar,eo6lyrlr
alırlardı,eo6lyrlrdy
alırsa,eo6lyrsh
alırsak,eo6lyrsh||fo2
alırsam,eo6lyrsh||m
alırsan,eo6lyrsh||ko3
alırsın,eo6lyrsko3
alırsınız,eo6lyrsko3ro1
alış,eo6lyso3
alış-veriş,eo6lyso3 wyryso3
alış-verişe,eo6lyso3 wyryso3h
alış-verişi,eo6lyso3 wyryso3y
alış-verişin,eo6lyso3 wyryso3ko3
alış-verişinden,eo6lyso3 wyryso3bo1dbo1
alış-verişine,eo6lyso3 wyryso3bo1h
alış-verişini,eo6lyso3 wyryso3ko3y
alış-verişte,eo6lyso3 wyryso3dh
alış-veriştir,eo6lyso3 wyryso3dr
alışacak,eo6lyso3h||xu1fo2
alışamadım,eo6lyso3emdm
alışan,eo6lyso3ebo1
alışanlardan,eo6lyso3ebo1lrdbo1
alışık,eo6lyso3yfo2
alışır,eo6lyso3yr
alışıyor,eo6lyso3yywr
alışkanlıklarına,eo6lyso3fo2ebo1lfo2lrybo1h
alışmağa,eo6lyso3mao1h
alışmak,eo6lyso3mfo2
alışmayan,eo6lyso3myebo1
alışmış,eo6lyso3mso3
alışmışım,eo6lyso3mso3m
alışmışız,eo6lyso3mso3ro1
alışmışken,eo6lyso3mso3kbo1
alışmışlar,eo6lyso3mso3lr
alışsınlar,eo6lyso3sybo1lr
alıştığım,eo6lyso3dyao1m
alıştım,eo6lyso3dm
alıştıracak,eo6lyso3dyrh||xu1fo2
alıştıran,eo6lyso3dyrebo1
alıştırılmış,eo6lyso3dyrlmso3
alıştırır,eo6lyso3dyrr
alıştırmak,eo6lyso3dyrmfo2
alıştırmaktır,eo6lyso3dyrmfo2dr
alıştırmış,eo6lyso3dyrmso3
alıştırmışlar,eo6lyso3dyrmso3lr
alıştırmışlardı,eo6lyso3dyrmso3lrdy
alışveriş,eo6lyso3 wyryso3
alışverişi,eo6lyso3 wyryso3y
alışverişini,eo6lyso3 wyryso3ko3y
alıyor,eo6lyywr
alıyordu,eo6lyywrdy
alıyorduk,eo6lyywrdfo2
alıyordum,eo6lyywrdm
alıyorlar,eo6lyywrlr
alıyorlardı,eo6lyywrlrdy
alıyormuş,eo6lyywrmso3
alıyorsa,eo6lyywrsh
alıyorsam,eo6lyywrsh||m
alıyorsun,eo6lyywrsko3
alıyorsunuz,eo6lyywrsko3ro1
alıyorum,eo6lyywrm
alıyoruz,eo6lyywrro1
âlî,aely
âlî'de,aely||dh
âlî'nin,aely||bo1ko3
âlî-himmet,aely||hmo8bo2
âlî-i,aelyo5u4
âlî-kadr,aely||fo2dr
âlî-yi,aelyo5u4
âlîcenab,aely||xu1bo1ebu1
âlîcenabane,aely||xu1bo1ebu1ebo1h
âlîcenabı,aely||xu1bo1ebu1y
âlîcenablığınızdan,aely||xu1bo1ebu1lao1ko3ro1dbo1
âlîde,aelydh
âlîden,aelydbo1
âlîdir,aelydr
âlîhimmet,aely||hmo8bo2
âlîhimmeti,aely||hmo8bo2y
âlîhimmettir,aely||hmo8bo2dr
âlîkadr,aely||fo2dr
âlîkadr,aely||fo2dr
âlîkadrimden,aely||fo2drmdbo1
alîl,alyl
alîlem,ao4lu4ylo4mo0
âlîleri,aelylry
âlîleridir,aelylrydr
âlîlerine,aelylrybo1h
âlîlerinin,aelylrybo1ko3
âlîlerinizden,aelylryko3ro1dbo1
âlîlerinize,aelylryko3ro1h
alîlin,alylko3
alîm,alym
alîm'den,alymdbo1
alîm'dir,alymdr
alîm'e,alymh
alîm'in,alymko3
alîm-i,alymu4
alîmane,alymebo1h
alîmâne,alymebo1h
alîmin,alymko3
âlînin,aelybo1ko3
âlîniz,aelyko3ro1
âlînizce,aelyko3ro1xu1h
âlînizde,aelyko3ro1dh
âlînizden,aelyko3ro1dbo1
âlînize,aelyko3ro1h
âlînizi,aelyko3ro1y
âlînizle,aelyko3ro1lh
âlîsi,aelysy
âlîsin,aelysko3
âlîsinde,aelysbo1dh
âlîsinden,aelysbo1dbo1
âlîsine,aelysbo1h
âlîsini,aelysbo1y
âlîsinin,aelysbo1ko3
âlîsiyle,aelysylh
âlîşan,aely||so3ebo1
âlîşanda,aely||so3ebo1dh
âlîşanı,aely||so3ebo1y
âlîşanım,aely||so3ebo1m
âlîşanın,aely||so3ebo1ko3
âlîşanına,aely||so3ebo1bo1h
âlîşanından,aely||so3ebo1bo1dbo1
âlîye,aely||yh
âlîyi,aely||yy
alîz,eo6lyro1
âli,eo6ly
ali,aly
ali'de,alydh
ali'den,aly||dbo1
ali'dir,alydr
ali'ler,alylr
ali'leri,alylry
ali'lerin,alylrko3
ali'nin,aly||bo1ko3
ali'nindir,alybo1ko3dr
ali'si,alysy
ali'sinden,alysbo1dbo1
ali'ye,aly||yh
ali'yi,aly||yy
ali-i,alyo5u4
âlicenab,aely||xu1bo1ebu1
âlicenap,aely||xu1bo1ebu1
âliden,aely||dbo1
alidir,aely||dr
âlihe,eo6lhh
âliheler,eo6lhh||lr
âlihelerdir,eo6lhh||lrdr
âliheleri,eo6lhh||lry
âliheleriniz,eo6lhh||lryko3ro1
âlihelerinizden,eo6lhh||lryko3ro1dbo1
âlihi,eo6lh
âlikadr,aely||fo2dr
aliköy'de,aly||kwydh
aliköyü'nde,aly||kwybo1dh
aliköyü'nden,aly||kwybo1dbo1
aliköyü'nün,aly||kwybo1ko3
alil,alyl
alilerin,alylrko3
alim,aelm
âlim,aelm
âlim-i,aelmu4
âlim-üs,aelm el
âlimane,aelmebo1h
âlimâne,aelmebo1h
âlimden,aelmdbo1
âlimdir,aelmdr
âlime,aelmh
âlimi,aelmy
âlimidir,aelmydr
alimin,aelmko3
âlimin,aelmko3
âlimine,aelmbo1h
âliminin,aelmbo1ko3
âlimiyim,aelmy||ym
alimler,aelmlr
âlimler,aelmlr
alimlerden,aelmlrdbo1
âlimlerden,aelmlrdbo1
âlimlerdir,aelmlrdr
alimlere,aelmlrh
âlimlere,aelmlrh
âlimleri,aelmlry
âlimlerim,aelmlrm
âlimlerimiz,aelmlrymro1
âlimlerin,aelmlrko3
âlimlerinden,aelmlrbo1dbo1
âlimlerine,aelmlrybo1h
âlimlerinin,aelmlrybo1ko3
âlimleriniz,aelmlryko3ro1
âlimlerle,aelmlrlh
âlimlikle,aelmlklh
âlinden,eo6lbo1dbo1
alinin,aly||bo1ko3
âlisin,aelysko3
âlisiyle,aelysylh
âlişan,aelyso3ebo1
âlişanda,aelyso3ebo1dh
âliye,aelyh
aliye,aly||yh
aliye'ler,alyh||lr
âliye-i,aelyh||'u4
âliye-yi,aelyh||'u4
âliyede,aelyh||dh
âliyedeki,aelyh||dh||ky
âliyeden,aelyh||dbo1
âliyedir,aelyh||dr
âliyeleri,aelyh||lry
âliyelerini,aelyh||lrybo1y
âliyelerinin,aelyh||lrybo1ko3
âliyelerinizin,aelyh||lryko3ro1ko3
âliyemiz,aelyh||mro1
âliyemizi,aelyh||mro1y
âliyenin,aelyh||bo1ko3
âliyenizde,aelyh||ko3ro1dh
âliyenize,aelyh||ko3ro1h
âliyenizin,aelyh||ko3ro1ko3
âliyenizle,aelyh||ko3ro1lh
âliyesi,aelyh||sy
âliyesinde,aelyh||sbo1dh
âliyesinden,aelyh||sbo1dbo1
âliyesine,aelyh||sbo1h
âliyesini,aelyh||sbo1y
âliyesinin,aelyh||sbo1ko3
âliyeti,aelyho2
âliyeye,aelyh||yh
âliyeyi,aelyh||yy
aliyy-i,alyo5o8u4
aliyy-ibn-il,alyo8 ebu1bo1 el
aliyy-il,alyo8 el
aliyy-ül,alyo8 el
âliyye-i,aelyo8h||'u4
aliyye-i,alyo8h||'u4
aliyyeti,alyho2
âliyyeyi,aelyh||yy
alkış,eo6lfo2yso3
alkışçı,eo6lfo2yso3xu1y
alkışı,eo6lfo2yso3y
alkışla,eo6lfo2yso3le
alkışladı,eo6lfo2yso3ledy
alkışladığı,eo6lfo2yso3ledyao1y
alkışladığına,eo6lfo2yso3ledyao1bo1h
alkışladılar,eo6lfo2yso3ledylr
alkışladım,eo6lfo2yso3ledm
alkışlamadır,eo6lfo2yso3lemh||dr
