a,eo6
glüten,ao1lwbo2bo1
gocuk,ao1wxu1wfo2
gol,ao1wl
golf,ao1wlfo1
gonca,ao1bo1xu1h
gonk,ao1wbo1fo2
goril,ao1wrbu2l
göbek,ko7wbu1k
göbeklenmek,ko7wbu1klh||bo1mk
göbekli,ko7wbu1kly
göbektaşı,ko7wbu1k teso3y
göbelez,ko7wbu1lro1
göç,ko7wxu3
gçebe,ko7wxu3wbu1h
göçen,ko7wxu3bo1
göçer,ko7wxu3r
göçeri,ko7wxu3ry
göçerkonar,ko7wxu3rfo2wbo1er
göçmek,ko7wxu3mk
göçürmek,ko7wxu3wrmk
göğüs,ko7wko7s
göğüsçukuru,ko7wko7s xu3wfo2wry
göğüsdarlığı,ko7wks derlao1y
göğüsgermek,ko7wko7s krmk
göğüsilleti,ko7wko7s albo2y
göğüslemek,ko7wko7slh||mk
göğüstahtası,ko7wko7s bo2xbo2h||sy
göğüslü,ko7wko7sly
göğüslük,ko7wko7sllk
gök,ko7wk
gökçe,ko7wkxu1h
gökelâ,ko7wk||ele
göklük,ko7wklk
Göksun,ko7wkswbo1
göl,ko7wl
gölyatağı,ko7wl bu2eo6eao1y
gölbaşı,ko7wl bu1eso3y
Göle,ko7wlh
gölge,ko7wlko7h
gölgealtı,ko7wlko7h||eo6lbo2y
gölgelendirmek,ko7wlko7h||lbo1dbu2rmk
gölgelenmek,ko7wlko7h||lbo1mk
gölgeli,ko7wlko7h||ly
gölgelik,ko7wlko7h||lk
gölkestanesi,ko7wl ksbo2ebo1h||sy
gölotu,ko7wl ewbo2y
Gölpazarı,ko7wlbu3ero1ery
gömlekçi,ko7wmlkxu1y
gömleklik,ko7wmlklk
gömme,ko7wmmh
gömmek,ko7wmmk
gömülmek,ko7wmlmk
gömülmek,ko7wmwlmk
gömülü,ko7wmwlw
gön,ko7wbo1
gönderme,ko7wbo1drmh
göndermek,ko7wbo1drmk
gönderilmek,ko7wbo1drbu2lmk
gönderiş,ko7wbo1drbu2so3
göndertmek,ko7wbo1drbo2mk
Gönen,ko7wbo1ebo1
gönlüaçık,ko7wko3lbu2 eo6xu3bu2fo2
gönlükara,ko7wko3ly fo2ere
gönlütez,ko7wko3ly bo2ro1
gönül,ko7wko3l
gönükaçıklığı,ko7wko3l eo6xu1bu2fo2lao1y
gönüldarlığı,ko7wko3l derlao1y
gönüllü,ko7wko3lly
gönülsüz,ko7wko3lsro1
gönülsüzlük,ko7wko3lsro1lk
gönye,ko7wbo1bu2h
Gördes,ko7wrdws
gördürmek,ko7wrdbu2rmk
göre,ko7wrh
Görele,ko7wrh||lh
görenek,ko7wrh||bo1k
görenekli,ko7wrh||bo1kly
göreneksiz,ko7wrh||bo1ksro1
görgü,ko7wrko7w
görgülü,ko7wrko7wly
görgüsüz,ko7wrko7wsro1
görgüsüzlük,ko7wrko7wsro1lk
görme,ko7wrmh
görmece,ko7wrmh||xu1h
görmek,ko7wrmk
görmemezlik,ko7wrmh||mro1lk
görmez,ko7wrmro1
görücü,ko7wrwxu1bu2
görücülük,ko7wrwxu1bu2lk
görülme,ko7wrwlmh
görülmek,ko7wrwlmk
görüm,ko7wrwm
görümce,ko7wrwmxu1h
görümlük,ko7wrwmlk
görünmek,ko7wrwbo1mk
görünmez,ko7wrwbo1mro1
görünüş,ko7wrwbo1bu2so3
görüş,ko7wrwso3
görüşdürmek,ko7wrwso3dbu2rmk
görüşme,ko7wrwso3mh
görüşmek,ko7wrwso3mk
görüşülmek,ko7wrwso3lmk
gösterilmek,ko7wsbo2rbu2lmk
gösteriş,ko7wsbo2rbu2so3
gösterişli,ko7wsbo2rbu2so3ly
gösterişsiz,ko7wsbo2rbu2so3sro1
gösterişsizlik,ko7wsbo2rbu2so3sro1lk
göstermek,ko7wsbo2rmk
göstertmek,ko7wsbo2rbo2mk
götürtmek,ko7wbo2wrbo2mk
götürü,ko7wbo2wry
götürülmek,ko7wbo2wrwlmk
götürme,ko7wbo2wrmh
götürmek,ko7wbo2wrmk
gövde,ko7wko7dh
gövdeli,ko7wko7dh||ly
göynük,ko7wbu2bo1wk
Göynük,ko7wbo1bu2k
göz,ko7wro1
gözaçıklığı,ko7wro1eo6xu3bu2fo2lao1y
gözağrısı,ko7wro1eo6ao1rbu2sy
gözakı,ko7wro1eo6fo2y
gözbağı,ko7wro1bu1eao1y
gözbağıcı,ko7wro1bu1eao1bu2xu1bu2
gözbağıcılık,ko7wro1bu1eao1bu2xu1bu2lfo2
gözbebeği,ko7wro1bu1bu1ko7y
gözcü,ko7wro1xu1bu2
gözcülük,ko7wro1xu1bu2lk
gözdağı,ko7wro1deao1y
gözde,ko7wro1dh
gözeme,ko7wro1h||mh
gözemek,ko7wro1h||mk
gözen,ko7wro1bo1
gözenmek,ko7wro1h||bo1mk
gözer,ko7wro1r
gözevi,ko7wro1ewy
gözetdirmek,ko7wro1bo2dbu2rmk
gözetilmek,ko7wro1bo2bu2lmk
gözetlemek,ko7wro1bo2lh||mk
gözetme,ko7wro1bo2mh
gözetmek,ko7wro1bo2mk
gözgöre,ko7wro1kwrh
gözhapsi,ko7wro1xbu3sy
gözkapağı,ko7wro1 fo2ebu3eao1y
gözkararı,ko7wro1fo2rery
gözkarası,ko7wro1fo2eresy
gözkırpma,ko7wro1fo2bu2rbu3h||
gözkırpma,ko7wro1fo2bu2bu3h
gözkuyruğu,ko7wro1fo2wbu2rwao1y
gözleme,ko7wro1lh||mh
gözlemci,ko7wro1lh||mh||xu1bu2
gözlemek,ko7wro1lh||mk
gözotu,ko7wro1ewbo2y
gözpınarı,ko7wro1bu3bu2ko3ery
gözsüz,ko7wro1sro1
gözsüzlük,ko7wro1sro1lk
göztaşı,ko7wro1teso3y
gözüaçık,ko7wro1y eo6xu3bu2fo2
gözüardında,ko7wro1y eo6rdbo1dh
gözüarkada,ko7wro1y eo6rfo2h||dh
gözükapalı,ko7wro1y fo2ebu3ely
gözükara,ko7wro1y fo2ere
gözükmek,ko7wro1wkmk
gözükmek,ko7wro1bu2kmk
gözüpek,ko7wro1y bu3k
gözütok,ko7wro1y twfo2
gözlü,ko7wro1ly
gözlük,ko7wro1lk
gözlükçü,ko7wro1lkxu1y
gözlüklü,ko7wro1lkly
grafik,ao1refo1bu2k
gram,ao1rem
gramofon,ao1remwfo1wbo1
granit,ao1rebo1bu2bo2
grev,ao1rh||w
"grevci ",ao1rc wxu1bu2
gudde,ao1dh
guddeli,ao1dh||ly
gufran,ao1fo1rebo1
gulâm,ao1lem
gulgule,ao1lao1lh
gûnâ,ko7wbo1e
gûnâgûn,ko7wbo1eko7wbo1
gusül,ao1sl
gusülhâne,ao1slxo1ebo1h
guguk,ao1wao1wfo2
guguklu,ao1wao1wfo2ly
gurk,ao1wrfo2
gurklamak,ao1wrfo2lemfo2
gurktavuk,ao1wrfo2 tewfo2
gunne,ao1bo1h
gunneli,ao1bo1h||ly
gurabâ,ao1rbu1e
gurbet,ao1rbu1bo2
gurub,ao1rwbu1
guruldamak,ao1wrwldemfo2
gurultu,ao1wrwlbo2y
gurûr,ao1rwr
gururlanmak,ao1rwrlebo1mfo2
gururlu,ao1rwrly
gûya,ko7wbu2e
gübre,ko7wbu1rh
gübrelemek,ko7wbu1rh||lh||mk
gübrelenmek,ko7wbu1rh||lh||bo1mk
gübreli,ko7wbu1rh||ly
gücendirmek,ko7wxu1bo1dbu2rmk
gücenme,ko7wxu1bo1mh
gücenmek,ko7wxu1bo1mk
gücenik,ko7wxu1bo1bu2k
güceniklik,ko7wxu1bo1bu2klk
gücenilmek,ko7wxu1bo1bo1bu2lmk
gücük,ko7wxu1wk
güç,ko7wxu1
güçle,ko7wxu1lh||
güçle,kwxu1 ebu2lh
güçlendirmek,ko7wxu1lbo1dbu2rmk
güçlenmek,ko7wxu1lbo1mk
güçleşdirmek,ko7wxu1lso3dbu2rmk
güçleşmek,ko7wxu1lso3mk
güçlü,ko7wxu1ly
güçlük,ko7wxu1lk
güçsümek,ko7wxu1sbu2mk
güçsünmek,ko7wxu1sbu2bo1mk
güçsüz,ko7wxu3sro1
güçsüzlük,ko7wxu3sro1lk
güden,ko7wdbo1
güderi,ko7wdry
güdük,ko7wdwk
güfte,ko7fo1bo2h
güftüğü,ko7fo1bo2||wko7w
güğüm,ko7wko7wm
güher,ko7hr
güherçile,ko7hrxu1lh
gül,ko7l
gülbahçesi,ko7l bu1eaxu3h||sy
gülbank,ko7lbu1ebo1k
gülbayramı,ko7l bu1ebu2remy
gülbeşeker,ko7lbu1so3kr
gülçehreli,ko7l xu3hrh||ly
güldemeti,ko7l dmbo2y
güldürmek,ko7ldbu2rmk
güldürücü,ko7ldbu2rbu2xu1bu2
güler,ko7wlr
güleryüzlü,ko7wlrbu2wro1ly
güleş,ko7wlso3
gülistan,ko7lsbo2ebo1
gülkurusu,ko7l fo2wrwsy
güllâbi,ko7lebu1y
güllâbi,ko7wllebu1y
güllâç,ko7lexu3
gülle,ko7lh||
gülle,ko7wllh||
güllü,ko7lly
güllük,ko7llk
gülme,ko7wlmh
gülmek,ko7wlmk
gülmez,ko7wlmro1
Gülnar,ko7wlbo1er
gülrengi,ko7l rbo1ky
gülsuyu,ko7l zwbu1y
gülümsemek,ko7wlwmsh||mk
gülünç,ko7wlwbo1xu1
gülüş,ko7wlwso3
gülüşmek,ko7wlwso3mk
gülyağı,ko7l||bu1eao1y
gülyanaklı,ko7l bu2bo1efo2ly
gülyaprağı,ko7l bu2ebu3reao1y
gülyüzlü,ko7l bu2wro1ly
gülzâr,ko7lro1er
güm,ko7wm
gümbürdemek,ko7wmbu1wrdh||mk
gümbürgümbür,ko7wmbu1wrko7wmbu1wr
gümbürtü,ko7wmbu1wrbo2y
gümbürtülü,ko7wmbu1wrbo2bu2ly
gümgüm,ko7wm||ko7wm
gümrük,ko7wmrwk
gümrük,ko7mrk
gümrükçü,ko7wmrwkxu1y
gümüş,ko7wmwso3
gümüş,ko7wmso3
gümüşbalığı,ko7wmwso3 bu1elbu2ao1y
gümüşgöz,ko7wmwso3 kwro1
Gümüşhacıköy,ko7mwso3 xexu1y||kwy
Gümüşhane,ko7mwso3xo1ebo1h
gümüşlemek,ko7wmwso3lh||mk
gümüşletmek,ko7wmwso3lh||bo2mk
gümüşlü,ko7wmwso3ly
gümüşselvi,ko7wmwso3 slwy
gümüşsuyu,ko7wmwso3 zwbu2y
gün,ko7wbo1
günah,ko7bo1eh
günahkâr,ko7bo1ehker
günahkârlık,ko7bo1ehkerlfo2
günahlı,ko7bo1ehly
günahsız,ko7bo1ehsro1
günahsızlık,ko7bo1ehsro1lfo2
günaşırı,ko7wbo1 eo6so3bu2ry
günbalığı,ko7wbo1 bu1elbu2ao1y
günbatısı,ko7wbo1 bu1ebo2bu2sy
gündelik,ko7wbo1dh||lk
gündelikci,ko7wbo1dh||lkxu1y
gündelikli,ko7wbo1dh||lkly
gündengüne,ko7wbo1dbo1 kwbo1h
gündoğrusu,ko7wbo1 dwao1rbu2sy
gündoğuşu,ko7wbo1 dwao1wso3y
gündüz,ko7wbo1dwro1
gündüzlü,ko7wbo1dwro1ly
gündüzlük,ko7wbo1dwro1lk
gündüzün,ko7wbo1dwro1bu2bo1
güneş,ko7wbo1so3
güneşlenmek,ko7wbo1so3lh||bo1mk
güneşletmek,ko7wbo1so3lh||bo2mk
güney,ko7wbo1h||y
güngörmez,ko7wbo1 ko7wrmro1
günlük,ko7wbo1lk
günübirlik,ko7wbo1y bu1rlk
günügününe,ko7wbo1y ko7wbo1bo1h
günülemek,ko7wbo1bu2lh||mk
güpegündüz,ko7wbu3h||kwbo1dwro1
gür,ko7wr
gürbüz,ko7wrbu1wro1
gürbüzlük,ko7wrbu1wro1lk
Gürcistan,ko7wrxu1sbo2ebo1
Gürcistan,ko7rxu1sbo2ebo1
Gürcü,ko7wrxu1y
Gürcü,ko7rxu1bu2
güreş,ko7wrso3
güreşçi,ko7wrh||so3xu1bu2
güreşdirmek,ko7wrh||so3dbu2rmk
güreşme,ko7wrh||so3mh
güreşmek,ko7wrh||so3mk
gürgen,ko7wrko7bo1
gürgür,ko7wrko7wr
gürleme,ko7wrlh||mh
gürlemek,ko7wrlh||mk
güruh,ko7rwh
gürüldemek,ko7wrwldh||mk
gürülgürül,ko7wrwl||ko7wrwl
gürültü,ko7wrwlbo2y
gürültücü,ko7wrwlbo2wxu1y
gürültülü,ko7wrwlbo2bu2ly
gürültüsüz,ko7wrwlbo2bu2sro1
Gürün,ko7rwbo1
gürz,ko7rro1
gütmek,ko7wbo2mk
güve,ko7wwh||
güve,ko7wko7h
güvenilmek,ko7wko7bo1lmk
güveniş,ko7wko7bo1bu2so3
güvenme,ko7wko7bo1mh
güvenmek,ko7wko7bo1mk
güveotu,ko7wko7h||ewbo2y
güvercin,ko7wwrxu1bu2bo1
güvercin,ko7wko7rxu1bu2bo1
güvercinbudu,ko7wko7rxu1bu2bo1 bu1wdy
güvercingerdanı,ko7wko7rxu1bu2bo1 ko7rdebo1y
güvercinlik,ko7wko7rxu1bu2bo1lk
güvercinotu,ko7wko7rxu1bu2bo1 ewbo2y
güverte,ko7wko7rbo2h
güverteli,ko7wko7rbo2h||ly
güvey,ko7wko7y
güveyeniği,ko7wko7h||bu2bo1bu2ky
güveyfeneri,ko7wko7y fo1bo1ery
güveylik,ko7wko7bu2lk
güzel,ko7wro1l
güzellemek,ko7wro1llh||mk
güzellenmek,ko7wro1llbo1mk
güzelleşdirmek,ko7wro1llso3dbu2rmk
güzelleşmek,ko7wro1llso3mk
güzellik,ko7wro1llk
güzeran,ko7do1rebo1
güzergâh,ko7do1rko7eh
güzeşte,ko7do1so3bo2h
güzîde,ko7ro1bu2dh
ha,he
habâset,xo1bu1ebo3bo2
habbe,xbu1h
habeş,xbu1so3
habeşi,xbu1so3y
haber,xo1bu1r
haberdâr,xo1bu1rder
haberleşmek,xo1bu1rlh||so3mk
habire,hebu1rh
habis,xo1bu1bu2bo3
habsetmek,xbu1s ebu2bo2mk
habtetmek,xbu1t ebu2bo2mk
hac,xxu1
hacâlet,xo1xu1elbo2
hacamat,xxu1embo2
haccetmek,xxu1 ebu2bo2mk
hâcet,xexu1bo2
hacı,xexu1y
hacılaryolu,xexu1bu2lrbu2wly
hacim,xxu1m
hacir,xxu1r
hâciz,xexu1ro1
hacmen,xxu1meo44
haç,xo1exu3
haç,hexu3
haçvâri,xo1exu1wery
had,xd
hadde,xdh
hâdde,xedh
hademe,xo1dmh
hadım,xo1edm
hadımağası,xo1edm eo6ao1esy
hadımlık,xedmlfo2
hadi,hedy
hâdim,xo1edm
hadis,xdbu2bo3
hâdis,xedbo3
hâdise,xedbo3h
hadsiz,xdsro1
hafakan,xo1fo1fo2ebo1
hâfız,xefo1to1
hâfıza,xefo1to1h
hafi,xo1fo1y
hafid,xfo1bu2d
hafif,xo1fo1bu2fo1
Hafik,xefo1bu2fo2
hafiye,xo1fo1bu2h
hafiyyen,xo1fo1bu2eo44
hafriyat,xfo1rbu2ebo2
hafta,hfo1bo2h
haftabaşı,hfo1bo2h||bu1eso3y
haftalık,hfo1bo2h||lfo2
haftalıklı,hfo1bo2h||lfo2ly
hah,heh
haham,xo1exo1em
hahambaşı,xo1exo1em bu1eso3y
hahamlık,xo1exo1emlfo2
hâhiş,xo1wehso3
hâil,xebo5l
hâile,hebo5lh
hâin,xo1ebo5bo1
hâinleşmek,xo1ebo5so3lh||so3mk
hâinlik,xo1ebo5bo1lk
hak,xfo2
hâk,xk
hâkaan,xo1efo2ebo1
hâkan,xo1efo2ebo1
hakaaret,xfo2erbo2
hakaret,xfo2erbo2
hakbin,xfo2bu1bu2bo1
hakem,xkm
hakemî,xkmy
haketmek,xk ebu2bo2mk
hâkezâ,hkdo1e
hakgû,xfo2ko7w
hâkî,xo1eky
hâkî,xeky
hakîkat,xfo2bu2fo2bo2
hakîkaten,xfo2bu2fo2ho2o44
hakîkatli,xfo2bu2fo2bo2ly
hakîkatsiz,xfo2bu2fo2bo2sro1
hakîkatsizlik,xfo2bu2fo2bo2sro1lk
hakîkî,xfo2bu2fo2y
hâkim,xekm
hakîm,xkbu2m
hâkimiyet,xekmbu2bo2
hâkimlik,xekmlk
hakir,xfo2bu2r
hakkaaniyet,xfo2ebo1bu2bo2
hakkaniyet,xfo2ebo1bu2bo2
hakkaaniyetli,xfo2ebo1bu2bo2ly
hakkaniyetli,xfo2ebo1bu2bo2ly
hakkaaniyetsizlik,xfo2ebo1bu2bo2sro1lk
hakkaniyetsizlik,xfo2ebo1bu2bo2sro1lk
hakkâk,xkek
Hakkâri,xkery
hakketmek,xfo2 ebu2bo2mk
hakkında,xfo2bo1dh
haklamak,xfo2lemfo2
haklaşmak,xfo2leso3mfo2
haklı,xfo2ly
hakperest,xfo2bu3rsbo2
haksız,xfo2sro1
haksızlık,xfo2sro1lfo2
hakşinâs,xfo2so3bo1es
hakşinaslık,xfo2so3bo1eslfo2
hal,xl
hâl,xel
hal,hel
hala,xo1elh
hâlâ,xele
halâ,xo1le
halâs,xo1lez
halâskâr,xo1lezker
halat,xo1let
halâvet,xlewbo2
halâvetli,xlewbo2ly
halâvetsiz,xlewbo2sro1
halayık,xo1lebu2bu2fo2
halbuki,xelbu1wkh
haldaş,xeldeso3
hâle,helh
halef,xo1lfo1
halel,xo1ll
hâlen,xeleo44
hâlet,xelbo2
haletmek,xo1la ebu2bo2mk
halı,xo1ely
halıcı,xo1elbu2xu1y
halıcılık,xo1elbu2xu1bu2lfo2
hâli,xo1ely
haliç,xo1lbu2xu1
halife,xo1lbu2fo1h
Hâlık,xo1elfo2
halîle,xo1lbu2lh
halim,xlbu2m
hâlis,xo1elz
halisâne,xo1elzebo1h
halita,xo1lbu2th
halk,xo1lfo2
halka,xlfo2h
halkalı,xlfo2h||ly
halkavi,xlfo2wy
hallaç,xlexu1
hallaçlık,xlexu1lfo2
hallenmek,xellebo1mfo2
halleşmek,xelleso3mfo2
halletmek,xl ebu2bo2mk
hallice,xellbu2xu1h
halt,xo1lt
haltetmek,xo1lt ebu2bo2mk
halûk,xo1lwfo2
halvet,xo1lwbo2
halveti,xo1lwbo2y
ham,xo1em
hamâil,xmebo5l
hamâkat,xmefo2bo2
hamal,xmel
hamâliye,xmelbu2h
hamallık,xmellfo2
hamam,xmem
hamamcı,xmemxu1y
hamamcılık,xmemxu1bu2lfo2
hamarat,xo1emerebo2
hamarat,xmerebo2
hamâset,xmesbo2
hamâsiyat,xmesbu2ebo2
hacamatcı,xxu1embo2xu1bu2
hambelî,xbo1bu1lbu2
hamdetmek,xmdebu2bo2mk
hamdolsun,xmd ewlswbo1
hamhalat,xo1emxo1elebo2
hâmız,xemzo1
hâmızî,xemzo1y
hâmıziyet,xemzo1bu2bo2
hâmi,xemy
hamil,xml
hâmil,xeml
hâmile,xemlh
hâmilen,xemleo44
haminne,xo1embu2bo1bo1h
hâmiş,hemso3
hamiyet,xmbu2bo2
hamiyetli,xmbu2bo2ly
hamiyetsiz,xmbu2bo2sro1
hamlamak,xo1emlemfo2
hamlaşmak,xo1emleso3mfo2
hamle,xmlh
hamleci,xmlh||xu1y
hamletmek,xml ebu2bo2mk
hamlık,xo1emlfo2
hampa,hembu2e
hampa,hmbu3e
hempa,hmbu3e
hamse,xo1msh
hamur,xo1mwr
hamurcu,xo1mwrxu1bu2
hamurlamak,xo1mwrlemfo2
hamurlu,xo1mwrly
hamursuz,xo1mwrsro1
hamut,hemwbo2
han,xo1ebo1
han,xo1ebo1
hancı,xo1ebo1xu1bu2
hancılık,xo1ebo1xu1bu2lfo2
hançer,xbo1xu1r
hançere,xbo1xu1rh
hande,xo1bo1dh
hâne,xo1ebo1h
hanefi,xbo1fo1y
hânedân,xo1ebo1debo1
haneharâb,xebo1h||xo1rebu1
hânende,xo1webo1bo1dh
hangar,hebo1ao1er
hangi,hebo1ko7y
hangi,fo2bo1ao1y
kangi,fo2bo1ao1y
hanım,xo1ebo1m
hanımböceği,xo1ebo1m bu1wxu1ky
hanımeli,xo1ebo1m eo5ly
hani,fo2bo1y
kani,fo2bo1y
hanif,xbo1bu2fo1
hânis,xebo1bo3
hânlık,xo1ebo1lfo2
hantal,xebo1tel
hantallaşmak,xebo1telleso3mfo2
hânümân,xo1ebo1mebo1
hap,xebu1
hapis,xbu1s
hapisâne,xbu1sxo1ebo1h
habtetmek,xbu1t ebu2bo2mk
hârâ,xere
harâb,xo1rebu1
harâbât,xo1rebu1ebo2
harâbâtî,xo1rebu1ebo2y
hârâbâtîlik,xo1rebu1ebo2bu2lbu2k
harâbe,xo1rebu1h
harâbezâr,xo1rebu1h||ro1er
harâbiyet,xo1rebu1bu2bo2
harablık,xo1rebu1lfo2
harac,xo1rexu1
haraccı,xo1rexu1xu1y
haraçmezad,xo1rexu1 mro1ed
harakiri,herekbu2ry
haram,xrem
haramcı,xremxu1y
haramcılık,xremxu1bu2lfo2
hârâmî,xremy
harâmîlik,xrembu2lk
harâret,xrerbo2
harâretlenmek,xrerbo2lh||bo1mk
hâraretli,xrerbo2ly
harb,xrbu1
harbe,xrbu1h
harbetmek,xrbu1 ebu2bo2mk
harbi,xrbu1y
harbiye,xrbu1bu2h
harc,xo1rxu1
harcamak,xo1rxu1emfo2
harcanmak,xo1rxu1ebo1mfo2
harcırah,xo1rxu1 reh
harçlı,xo1rxu1ly
harçlık,xo1rxu1lfo2
hardal,xo1rdel
hardâliye,xo1rdelbu2h
hardalyakısı,xo1rdel bu2efo2bu2sy
hâre,xo1erh
harekât,xrkebo2
hareke,xrkh
harekelemek,xrkh||lh||mk
harekelendirmek,xrkh||lbo1dbu2rmk
harekelenmek,xrkh||lbo1mk
harekeli,xrkh||ly
harekesiz,xrkh||sro1
hareket,xrkbo2
hareketli,xrkbo2ly
hareketsiz,xrkbo2sro1
hareketsizlik,xrkbo2sro1lk
harekî,xrky
hârelenmek,xo1erh||lbo1mk
hâreli,xo1erh||ly
harem,xrbu2m
Haremeyn,xrmbu2bo1
harf,xrfo1
harfendâz,xrfo1||ebo1dero1
harfendazlık,xrfo1||ebo1dero1lfo2
harıl,xo1erbu2l
harılharıl,xerbu2l||xerbu2l
harıltı,xo1erbu2lbo2y
hâricen,xo1erxu1eo44
hâricî,xo1erxu1y
hâriciye,xo1erxu1bu2h
hâriç,xo1erxu1
hârika,xo1erfo2h
harikulâde,xo1erfo2 elaedh
harim,xrbu2m
haris,xrbu2z
harita,xo1rbu2th
harlamak,xo1erlemfo2
harlı,xo1erly
harman,xo1rmebo1
harmancı,xo1rmebo1xu1y
harmanlamak,xo1rmebo1lemfo2
harmansonu,xo1rmebo1 zwky
harmanyeri,xo1rmebo1 bu2ry
hars,xrbo3
harsî,xrbo3y
has,xo1ez
hasar,xo1ser
hasat,xzed
hasbelîcâb,xsbu1 elebu2xu1ebu1
hasbellüzum,xsbu1 ellro1wm
hasbi,xsbu1y
hasbihal,xsbu1 xel
haseb,xsbu1
hasebile,xsbu1bu2lh
hased,xsd
hasedçi,xsdxu1y
hasedsiz,xsdsro1
haseki,xo1ezky
hasenât,xsbo1ebo2
hâsıl,xezl
hâsıl,xezl
hâsılât,xezlebo2
hâsılı,xezly
hasım,xo1zm
hasımlık,xo1zmlfo2
hasır,xzbu2r
hasıraltı,xzbu2r eo6lbo2y
hasırcı,xzbu2rxu1y
hasırlamak,xzbu2rlemfo2
hasırlı,xo1zbu2rly
hasis,xo1sbu2s
hasislik,xo1sbu2slk
haslet,xo1zlbo2
hasnâ,xsbo1e
haspa,xesbu3e
hasret,xsrbo2
hasretli,xsrbo2lyy
hasretmek,xzrebu2bo2mk
hassa,xo1ezh
hassas,xses
hassâsiyet,xsesbu2bo2
hâssaten,xo1ezho2o44
hasse,xesh
hasta,xo1sbo2h
hastabakıcı,xo1sbo2h||bu1efo2bu2xu1y
hastahâne,xo1sbo2h||xo1ebo1h
hastalanmak,xo1sbo2h||lebo1mfo2
hastalık,xo1sbo2h||lfo2
hastalıklı,xo1sbo2h||lfo2ly
hasud,xswd
hâşa,xo1eso3h
hâşâ,xeso3e
haşarât,xso3rebo2
haşarı,xso3ery
haşarılık,xyso3erbu2lfo2
haşefe,xso3fo1h
haşere,xso3rh
haşhaş,xo1so3xo1eso3
haşin,xo1so3bu2bo1
haşir,xso3r
hâşiye,xeso3bu2h
haşiv,xso3w
haşlama,xo1eso3lemh
haşlamak,xo1eso3lemfo2
haşlanmak,xo1eso3lebo1mfo2
haşlatmak,xo1eso3lebo2mfo2
haşmet,xso3mbo2
haşmetli,xso3mbo2ly
Haşmetlû,xso3mbo2lw
hat,xo1t
hatâ,xo1te
hatab,xtbu1
hatâen,xo1teco44
hatır,xo1etr
hâtıra,xo1etrh
hâtırât,xo1etrebo2
hatırlamak,xo1etrlemfo2
hatırlatmak,xo1etrlebo1mfo2
hatırlı,xo1etrly
hatırşinâs,xo1etrso3bo1es
hatırşinaslık,xo1etrso3bo1eslfo2
hatib,xo1tbu2bu1
hâtif,hebo2fo1
hatim,xo1bo2m
hâtime,xo1ebo2mh
hatmetmek,xo1bo2m ebu2bo2mk
hattâ,xbo2y
hattat,xo1tet
hattatlık,xo1tetlfo2
hattıdest,xo1t dsbo2
hattıharaket,xo1t xrkbo2
hâtun,xo1ebo2wbo1
hatve,xo1twh
hav,xo1ew
hava,hwe
havadan,hwedbo1
havâdâr,hweder
havâdarlık,hwederlfo2
havâdireği,hwedbu2rky
havâdis,xwedbo3
havâi,hwebo5y
havala,xwelh
havalandırmak,hwelebo1dbu2rmfo2
havalanmak,hwelebo1mfo2
havâle,xwelh
havâleli,xwelh||ly
havâlenâme,xwelh||bo1emh
havalı,hwely
havan,hewebo1
havana,hewebo1e
havari,xwery
havas,xo1wez
havasız,hwesro1
havasızlık,hwesro1lfo2
havhav,hewhew
hâvi,xewy
havlamak,hewlemfo2
havlı,xo1ewly
havlu,xewlw
havra,hewre
havra,xo1ewre
havruz,hewrwro1
havsala,xwzlh
havuç,hewxu3
havuz,xwzo1
havuzlamak,xwzo1lemfo2
havuzlanmak,xwzo1lebo1mfo2
havuzlu,xwzo1ly
Havva,xwec
havya,xewbu2e
havyar,xo1ewbu2er
havza,xwzo1h
Havza,xwzo1h
hay,hey
hâyâ,xbu2ec
haye,xo1ebu2h
hayâl,xo1bu2el
hayâlât,xo1bu2elebo2
hayalci,xo1bu2elxu1y
hayâlet,xo1bu2elbo2
hayâli,xo1bu2ely
hayalmeyal,xo1bu2el mbu2el
hayâsız,xbu2esro1
hayâsızlık,xbu2esro1lfo2
hayat,xbu2ebo2
hayat,xbu2et
hayâtî,xbu2ebo2y
hayâtiyet,xbu2ebo2bu2bo2
haydalamak,hebu2delemfo2
haydariye,xbu2drbu2h
haydi,hebu2dy
haydin,hebu2dko3
haydud,xbu2dwd
haydut,hebu2dwbo2
haydutluk,hebu2dwbo2lfo2
hayfâki,xbu2fo1ekh
hayhay,hey||hey
hayhuy,hey||hwy
hayıf,xbu2fo1
hayıflanmak,xbu2fo1lebo1mfo2
hayır,xo1bu2r
hayır,xo1ebu2r
hayırhah,xo1bu2rxo1weh
hayırhahlık,xo1bu2rxo1wehlfo2
hayırlaşmak,xo1bu2rleso3mfo2
hayırlı,xo1ybu2rly
hayırsız,xo1bu2rsro1
hayır,xo1bu2zo1
hayır,xo1ebu2r
haykırmak,hebu2fo2bu2rmfo2
haykırtmak,hebu2fo2bu2rbo1mfo2
haylaz,hebu2lero1
haylaz,xo1ebu2lero1
haylazlık,hebu2lero1lfo2
haylazlık,xo1ebu2lero1lfo2
hayli,xo1bu2ly
haymana,hebu2mebo1h
Haymana,xebu2mebo1e
Hayrabolu,xo1bu2rh||bu1wlyy
hayran,xbu2rebo1
hayranlık,xbu2rebo1lfo2
hayrat,xo1bu2rebo2
hayret,xbu2rbo2
haysiyet,xbu2bo3bu2bo2
