aba,eo6bu1e
karşılan,fo2erso3ylebo1
karşılaş,fo2erso3yleso3
karşılaşdır,fo2erso3yleso3dyr
karşılaşdırıl,fo2erso3yleso3dyryl
kas,fo2ez
kasavetlen,fo2sewbo2lbo1
kasdet,fo2zdeybo2
kasıl,fo2ezyl
katla,fo2ebo2le
katlan,fo2ebo2lebo1
katlat,fo2ebo2lebo2
katmerleş,fo2ebo2mrlso3
katranla,fo2trebo1le
katranlat,fo2trebo1lebo2
katıl,fo2ebo2yl
katılaş,fo2ebo2yleso3
katılaşdır,fo2ebo2yleso3dyr
katışdır,fo2ebo2yso3dyr
kat’et,fo2ta eybo2
kavla,fo2ewle
kavra,fo2ewre
kavrul,fo2ewrwl
kavur,fo2ewr
kavur,fo2ewwr
kavurt,fo2ewwrbo2
kavuş,fo2ewwso3
kavuştur,fo2ewwso3dyr
kay,fo2ey
kaybol,fo2ebo5bu1 ewl
kaydet,fo2yd eybo2
kaydır,fo2eydyr
kaydırıl,fo2eydyryl
kaymaklan,fo2eymefo2lebo1
kayna,fo2eybo1e
kaynat,fo2eybo1ebo2
kaynatdır,fo2eybo1ebo2dyr
kaynaş,fo2eybo1eso3
kaynaştır,fo2eybo1eso3dyr
kayrıl,fo2eyryl
kazandır,fo2erebo1dyr
kazanıl,fo2ero1ebo1yl
kazdır,fo2ero1dyr
kazı,fo2ero1y
kazıkla,fo2ero1yfo2le
kazıl,fo2ero1yl
kazın,fo2ero1ybo1
kazıt,fo2ero1ybo2
kaçır,fo2exu3yr
kaçırt,fo2exu3yrbo2
kaçırıl,fo2exu3ryl
kağşa,fo2eao1so3e
kaşağıla,fo2eso3eao1yle
kederlen,kdrlbo1
kefele,kfo1h||l
kefenle,kfo1bo1l
kehlelen,khlh||lbo1
kekele,kkh||l
kemir,kmyr
kenetle,kybo1bo2lh||
kenetlen,kybo1bo2lh||bo1
kenetlet,kybo1bo2lh||bo2
kepazele,kbu3ero1h||l
kepazelen,kbu3ero1h||lbo1
kepazelet,kbu3ero1h||lbo2
kert,krbo2
kesbet,ksbu1 eybo2
kesele,kysh||lh||
keselen,kysh||lbo1
kesil,ksyl
keskinlen,kskybo1lh||bo1
keskinleş,kskybo1lso3
kestir,ksdyr
kestiril,ksdyryl
ketmet,kbo2m eybo2
keyiflen,kyfo1lbo1
keyifsizlen,kyfo1sro1lbo1
keçeleş,kxu3h||lso3
kibarlaş,kbu1erleso3
kilitle,klydlh||
kilitlen,klydlbo1
kilitlet,klydlbo2
kirala,krele
kirişle,kryso3l
kirlen,kyrlbo1
kirlet,kyrlbo2
kirletdir,kyrlbo2dyr
kitle,kybo2lh||
kitlen,kybo2lh||bo1
kitlet,kybo2lh||bo2
kişne,kyso3bo1h||
koca,fo2wxu1e
kocal,fo2wxu1el
kocalaş,fo2wxu1h||leso3
kocalt,fo2wxu1elbo2
kocat,fo2wxu1ebo2
kocun,fo2wxu1bo1
kokla,fo2wfo2le
koklat,fo2wfo2lebo2
koklaş,fo2wfo2leso3
kokut,fo2wfo2wbo2
kolala,fo2wlele
kolalan,fo2wlelebo1
kolalat,fo2wlelebo2
kolayla,fo2wleyle
kolaylan,fo2wleylebo1
kolaylat,fo2wleylebo2
kolaylaş,fo2wleyleso3
kolaylaşdır,fo2wleyleso3dyr
kolla,fo2wlle
kolonla,fo2wlwbo1le
koltukla,fo2wlbo2wfo2le
kon,fo2wbo1
kondur,fo2wbo1dwr
konukla,fo2wbo1wfo2le
konul,fo2wbo1wl
konuş,fo2wbo1wso3
konuşdur,fo2wbo1wso3dyr
konuşul,fo2wbo1wso3wl
kop,fo2wbu3
kopar,fo2wbu3er
kopart,fo2wbu3erbo2
koparıl,fo2wbu3eryl
kopçalat,fo2wbu3xu3elebo2
kork,fo2wrfo2
korkul,fo2wrfo2l
korkut,fo2wrfo2bo2
kov,fo2wao1
kovala,fo2wao1ele
kovala,fo2wwele
kovdur,fo2wao1dyr
kovul,fo2wao1l
koyul,fo2wywl
koyulaş,fo2wywleso3
koyulaşdır,fo2wywleso3dyr
koyuver,fo2wywwyr
koçlan,fo2wxu3lebo1
koğ,fo2wao1
koğdur,fo2wao1dyr
koğul,fo2wao1l
koş,fo2wso3
koşdur,fo2wso3dyr
koşul,fo2wso3wl
kucakla,fo2wxu1ebo1le
kudur,fo2wdwr
kudurt,fo2wdwrbo2
kulaçla,fo2wlexu1le
kullan,fo2wllebo1
kullandır,fo2wllebo1dyr
kullanıl,fo2wllebo1yl
kundakla,fo2wbo1defo2le
kurcala,fo2wrxu1ele
kurdur,fo2wrdyr
kurtar,fo2wrbo2er
kurtarıl,fo2wrbo2eryl
kurtlan,fo2wrbo2lebo1
kurtlandır,fo2wrbo2lebo1dyr
kurtul,fo2wrbo2wl
kurul,fo2wrwl
kurula,fo2wrwle
kurulan,fo2wrwlebo1
kurutul,fo2wrwbo2yl
kurşunla,fo2wrso3wbo1le
kurşunlan,fo2wrso3wbo1lebo1
kus,fo2wz
kusdur,fo2wzdyr
kutlan,fo2wbo2lebo1
kuvvetlen,fo2wbo2lbo1
kuvvetlendir,fo2wbo2lbo1dyr
kuzula,fo2wro1wle
kuşakla,fo2wso3efo2le
kuşan,fo2wso3ebo1
kuşkulan,fo2wso3fo2wlebo1
kökle,kwklh||
köklen,kwklbo1
kökleş,kwklso3
köpekle,kwbu3klh||
köpür,kwbu3wr
köpürt,kwbu3wrbo2
körle,kwrlh||
körlen,kwrlbo1
körlet,kwrlbo2
köstekle,kwsbo2klh||
kösteklen,kwsbo2klh||bo1
kötüle,kwbo2wlh||
kötülen,kwbo2wlbo1
kötüleş,kwbo2wlso3
kötüleşdir,kwbo2wlso3dyr
küflen,kwfo1lbo1
küflet,kwfo1lbo2
kükre,ko7wkrh||
küre,kwrh||
kürele,kwrh||l
kürü,kwrw
küs,kws
küstür,kwsdyr
kütle,kwbo2lh||
kütürde,kwbo2wrdh||
küçükle,kwxu3wkl
küçül,kwxu3wl
küçült,kwxu3wlbo1
kılavuzla,fo2wleao1wro1le
kıldır,fo2yldyr
kıllan,fo2yllebo1
kımılda,fo2ylmylde
kımıldan,fo2ylmyldebo1
kımıldat,fo2ylmyldebo2
kınan,fo2ybo1ebo1
kınla,fo2ybo1le
kıpırda,fo2ybu3rde
kıpırdan,fo2ybu3rdebo1
kıpırdat,fo2ybu3rdebo2
kırbaçla,fo2yrbu1exu1le
kırbaçlan,fo2yrbu1exu1lebo1
kırdır,fo2yrdyr
kırkla,fo2yrfo2le
kırıl,fo2yryl
kırıt,fo2yrbo2
kıs,fo2yz
kısal,fo2yzel
kısalt,fo2yzelbo2
kıskan,fo2yzfo2ebo1
kıskandır,fo2yzfo2ebo1dyr
kıskanıl,fo2yzfo2ebo1yl
kıstır,fo2yzdyr
kısıl,fo2yzyl
kıtlaş,fo2ybo2leso3
kıvamlan,fo2wemlebo1
kıvra,fo2ywre
kıvran,fo2ywrebo1
kıvrıl,fo2ywryl
kıvır,fo2ywyr
kıvırt,fo2ywyrbo2
kıy,fo2yy
kıydır,fo2yydyr
kıyıl,fo2yyyl
kızar,fo2yro1er
kızart,fo2yro1erbo2
kızış,fo2yro1yso3
kışkırt,fo2yso3fo2yrbo2
kışlat,fo2yso3lebo2
lağvet,lao1w eybo2
la’netle,labo1bo2lh||
lehimle,lhymlh||
lehimlen,lhymlbo1
lehimlet,lhymlbo2
lekele,lkh||lh||
lekelen,lkh||lbo1
lekelet,lkh||lbo2
levmet,lwm eybo2
lezzetlen,ldo1bo2lbo1
lezzetlendir,ldo1bo2lbo1dyr
limanla,lymebo1le
lodosla,lwdwsle
mahmuzla,mehmwro1le
mahvedil,mxw eydl
mahvol,mxwewl
malala,melele
mandalla,mebo1delle
markala,merfo2ele
matet,mebo2 eybo2
mayalan,meyh||lebo1
mayalandır,meyh||lebo1dyr
mayalat,meyh||lebo2
mağrurlan,mao1rwrlebo1
medhet,mdx eybo2
mektuplaş,mkbo2wbu1leso3
mele,mlh||
menet,mbo1a eybo2
meraklan,mrefo2lebo1
merhabalaş,mrxbu1eleso3
messet,ms eybo2
mes’et,ms eybo2
mezcet,mro1xu1 eybo2
mimle,mymlh||
mimlen,mymlh||bo1
minele,mybo1h||l
morar,mwrer
morart,mwrerbo2
mühürle,mhrl
mühürlen,mhrlbo1
mühürlet,mhrlbo2
mıhla,myxo1le
mıhlan,myxo1lebo1
mırılda,myrylde
mırıldan,myryldebo1
naklet,bo1fo2l eybo2
nakzet,bo1fo2zo1 eybo2
nalla,bo1alle
nallan,bo1allebo1
nallat,bo1allebo2
nasbet,bo1zbu1 eybo2
nasırlan,bo1ezyrlebo1
nazlan,bo1ero1lebo1
nefeslen,bo1fo1slbo1
nefhet,bo1fo1xo1 eybo2
nefyet,bo1fo1y eybo2
nemlen,bo1mlbo1
nemlet,bo1mlbo2
neshet,bo1sxo1 eybo2
neticelen,bo1bo2yxu1h||lbo1
neşret,bo1so3reybo2
neş’elen,bo1so3bo5h||lbo1
neş’elendir,bo1so3bo5h||lbo1dyr
noktala,bo1fo2th||le
nükset,bo1ks eybo2
ofla,ewfo1le
oku,ewfo2w
okun,ewfo2wbo1
okut,ewfo2wbo2
okşa,ewfo2so3e
olun,ewlwbo1
omuzla,ewmwro1le
onar,ewlo5o3er
onul,ewlo5o3l
oranla,ewrebo1le
ortala,ewrbo2h||le
otlan,ewbo2lebo1
otlat,ewbo2lebo2
otur,ewbo2wr
ov,ewao1
ov,eww
ovala,ewao1ele
ovala,ewwele
ovuştur,ewao1wso3dwr
oy,ewy
oyala,ewyele
oyalan,ewyelebo1
oyalandır,ewyelebo1dyr
oyna,ewybo1e
oynat,ewybo1ebo2
oğ,ewao1
oğala,ewao1ele
oğuştur,ewao1wso3dwr
pabuc,
pahalan,bu3helebo1
pahalılaş,bu3helyleso3
palazla,bu3elero1le
parala,bu3erele
paralan,bu3erelebo1
parla,bu3erle
parlat,bu3erlebo2
parçala,bu3erxu3ele
parçalan,bu3erxu3elebo1
parçalat,bu3erxu3elebo2
paslan,bu3eslebo1
pastala,bu3esbo2ele
patakla,bu3ebo2efo2le
patla,bu3ebo2le
patlat,bu3ebo2lebo2
payla,bu3eyle
paylaş,bu3eyleso3
paylaşdır,bu3eyleso3dyr
pazarlaş,bu3ero1erleso3
pehpehle,bu3h||h||bu3h||hlh||
pekiş,bu3kyso3
pekiştir,bu3kyso3dyr
pelteklen,bu3lbo2sklh||bo1
peltekleş,bu3lbo2sklh||so3
pençele,bu3bo1xu3h||lh||
pençeleş,bu3bo1xu3h||lh||so3
pepele,bu3h||bu3h||lh||
perdahla,bu3rdexle
perdele,bu3rdh||lh||
perdelen,bu3rdh||lh||bo1
pergelle,bu3rko7lh||
perçinle,bu3rxu3ybo1lh||
peyle,bu3ylh||
peylen,bu3ylh||bo1
peyleş,bu3ylh||so3
peynirlen,bu3ybo1yrlh||bo1
pinekle,bu3ybo1klh||
pintilen,bu3ybo1bo2ylh||bo1
pintileş,bu3ybo1bo2ylh||so3
pirelen,bu3yrh||lh||bo1
pisle,bu3yslh||
pislen,bu3yslh||bo1
pislet,bu3yslh||bo2
pisleş,bu3yslh||so3
pişir,bu3yso3yr
pişirt,bu3yso3yrbo2
pohpohla,bu3wh||bu3whle
porsu,bu3wzw
posalan,bu3wzelebo1
poyrazla,bu3wyrero1le
puslan,bu3wzlebo1
pörsü,bu3wrsw
pörsüt,bu3wrswbo2
pürüzlen,bu3wrwro1lh||bo1
püskür,bu3wskwr
püskürt,bu3wskwrbo2
pıhtılan,bu3xo1bo2ylebo1
pıhtılat,bu3xo1bo2ylebo2
pıhtılaş,bu3xo1bo2yleso3
pıhtılaştır,bu3xo1bo2yleso3dyr
rahatlan,rexbo2lebo1
rahatsızlan,rexbo2sro1lebo1
rakset,rfo2z eybo2
ramet,rem eybo2
raptet,rbu1t eybo2
rasgel,resbo2 kl
rasla,resbo2le
rastla,resbo2le
recmet,rxu1m eybo2
reddet,rdeybo2
ref’et,rfo1a eybo2
rendele,rbo1dh||lh||
rendelen,rbo1dh||lbo1
renkle,rbo1klh||
renklen,rbo1klbo1
revaclandır,rwexu1lebo1dyr
ruganla,rwao1bo1le
ruhla,rwxlebo1
ruhlandır,rwxlebo1dyr
sabahla,zbu1exle
sabahlat,zbu1exlebo2
sabunla,zebu1wbo1le
sabunlat,zebu1wbo1lebo2
sabırsızlan,zbu1rsro1lebo1
sakallan,zefo2ellebo1
sakatla,sfo2tle
sakatlan,sfo2tlebo1
sakla,zefo2le
saklan,zefo2lebo1
saklanıl,zefo2lebo1yl
saklat,zefo2lebo2
salbet,zlbu1 eybo2
saldır,zeldyr
salla,zelle
sallan,zellebo1
sallandır,zellebo1dyr
salın,zelybo1
salıver,zelywyr
sancılan,zebo1xu1ylebo1
sapdır,zebu3dyr
sapla,zebu3le
saplan,zebu3lebo1
saplat,zebu3lebo2
sapıt,zebu3ybo2
sar,zer
sarar,serer
sarart,sererbo2
sark,zerfo2
sarkıl,zerfo2yl
sarkıt,zerfo2ybo2
sarplaş,zerbu3leso3
sars,zerz
sarsıl,zerzyl
sarıl,zeryl
sarın,zerybo1
sat,zebo2
sataş,zebo2eso3
satdır,zebo2dyr
satıl,zebo2yl
satınal,zebo2wbo1 eo6l
savrul,zewrwl
savsakla,zewsefo2le
savuş,zewwso3
savuşdur,zewwso3dyr
say,zey
sayıkla,zeyyfo2le
sayıl,zeyyl
saçmala,zexu3mh||le
saçıl,zexu3yl
saçışdır,zexu3yso3dyr
sağdır,zeao1dyr
sağla,zeao1le
sağlamla,zeao1lemle
sağlamlan,zeao1lemlebo1
sağlamlaş,zeao1lemleso3
sağlamlaşdır,zeao1lemleso3dyr
sağıl,zeao1yl
sa’yet,say eybo2
sebket,sbu1fo2 eybo2
sek,sk
sekdir,skdyr
selamla,slemle
selamlaş,slemleso3
semir,smyr
semirt,smyrbo2
sendele,sbo1dh||l
senetleş,sbo1dlso3
serdet,srd eybo2
serdir,srdyr
seril,sryl
serinle,srybo1l
serinlen,srybo1lbo1
serinlet,srybo1lbo2
serinleş,srybo1lso3
serp,srbu3
serpdir,srbu3dyr
serpil,srbu3yl
serpişdir,srbu3so3dyr
sersemle,srsmlh||
sertlen,srbo2llbo1
sertlendir,srbo2lbo1dyr
sertleş,srbo2lso3
sertleşdir,srbo2lso3dyr
sesle,sslh||
setret,sbo2reybo2
sev,sw
sevdir,swdyr
sevil,swyl
sevin,swybo1
sevindir,swybo1dyr
seviş,swyso3
sevket,swfo2 eybo2
seyrekleş,sko7rklso3
seyrekleştir,sko7rklso3dyr
seyret,syreybo2
sez,sro1
sezdir,sro1dyrd
sezil,sro1yl
seç,sxu3
seçdir,sxu3dyr
seçil,sxu3l
seğir,sko7r
seğirt,sko7rbo2
siftahla,sfo1bo2exle
siftin,syfo1bo2ybo1
sihirle,sxrl
silahlandır,slexlebo1dyr
sildir,syldyr
silin,sylbo1
silk,sylk
sin,syk
sindir,sybo1dyr
sindir,sylo5o3dyr
sinirlen,sybo1yrlbo1
sirkin,syrkybo1
sislen,syslh||bo1k
siviş,sywyso3
sivril,sywryl
sivrileş,sywrylso3
sivrilt,sywrylbo2
siyahlan,syehlebo1
siyahlat,syehlebo2
sok,zwfo2
sokdur,zwfo2dyr
sokul,zwfo2wl
sokuşdur,zwfo2wso3dyr
soldur,zwldyr
solu,zwlw
solut,zwlwbo2
somurt,zwmwrbo2
sor,zwr
sordur,zwrdwr
sorul,zwrl
soruşdur,zwrwso3dyr
soyun,zwywbo1
soğu,zwao1w
soğukla,zwao1wfo2le
soğut,zwao1wbo2
soğutul,zwao1wbo2yl
sula,zwle
sulan,zwlebo1
sulandır,zwlebo1dyr
sulat,zwlebo2
sulhet,zlx eybo2
sun,zwbo1
sundur,zwbo1dr
susa,zwze
susat,zwsebo2
susdur,zwzdyr
sök,swk
sökül,swkwl
sömür,swmwr
sön,swbo1
sön,swko7wbo1
söndür,swbo1dwr
söndür,swko7wbo1dyr
söyle,swylh||
söylenil,swylh||bo1yl
söylet,swylh||bo2
söyleş,swylh||so3
sözleş,zwro1lso3
söğdür,swko7dr
sümkür,swmkwr
süpür,swbu3wr
süpürt,swbu3wrbo2
süpürtül,swbu3wrl
sür,swr
sürdür,swrdyr
sürgüle,swrko7wl
sürt,swrbo2
sürtül,swrbo2l
sürtün,swrbo2bo1
sürükle,swrwkl
sürükle,swrwklbo1
sürüklen,swrwklbo2
sürün,swrwbo1
süründür,swrwbo1dyr
sürüt,swrwbo2
süslen,swslbo1
süz,swro1
süzdür,swro1dyr
süzül,swro1wl
sıklaş,zyfo2leso3
sıklaşdır,zyfo2leso3dyr
sıkıl,zyfo2yl
sıkış,zyfo2yso3
sıkışdır,zyfo2yso3dyr
sına,zybo1e
sınan,zybo1ebo1
sırala,zyrh||le
sıralan,zyrh||lebo1
sırtar,zyrbo2er
sırtla,zyrbo2le
sırıt,zyrybo2
sıvala,zywele
sıvan,zyao1ebo1
sıvan,zywebo1
sıvazla,zywero1le
sıyrıl,zyyryl
sıyır,zyyr
sız,zyro1
sızdır,zyyrdyr
sızlan,zyro1lebo1
sızlat,zyro1lebo2
sızır,zyro1yr
sıçra,zyxu3re
sıçrat,zyxu3rebo2
sığa,zyao1e
sığdır,zyao1dyr
sığın,zyao1ybo1
sığış,zyao1yso3
sığışdır,zyao1yso3dyr
tab’et,tbu1a eybo2
takdır,tefo2dyr
takuşdur,dwfo2wso3dyr
takıl,tefo2yl
takın,tefo2ybo1
takırda,tefo2yrde
takırdat,tefo2yrdebo2
takışdır,tefo2yso3dyr
tallen,bo2llh||bo1
tanı,tebo1y
tanın,tebo1ybo1
tanış,tebo1yso3
tap,tebu3
tapdır,teydyr
tapın,tebu3ybo1
tapışdır,tebu3yso3dyr
tara,tere
tarakla,terefo2le
taraklan,terefo2lebo1
taraklat,terefo2lebo2
taran,terebo1
tardet,trdeybo2
tarhet,trx eybo2
tart,terbo2
tartakla,terbo2efo2le
tartdır,terbo2dyr
tartıl,terbo2yl
tartış,terbo2yso3
tasarla,bo2eserle
tasarlan,bo2eserlebo1
tasla,tesle
tatdır,tebo2dyr
tatla,tebo2le
tatlan,tebo2lebo1
tatlılaş,tebo2lyleso3
tatlılaşdır,tebo2lyleso3dyr
tatsızlan,tebo2sro1lebo1
tatsızlat,tebo2sro1lebo2
tavla,bo2ewle
tavlan,bo2ewlebo1
tavsa,bo2ewse
tavsat,bo2ewsebo2
tayyet,ty eybo2
tazele,bo2ero1h||lh||
tazelen,bo2ero1h||lh||bo1
tazeleş,bo2ero1h||lh||so3
taşla,teso3le
taşlat,teso3lebo2
taşı,teso3y
taşın,teso3ybo1
taşır,teso3yr
taşıt,teso3ybo2
ta’net,tabo1 eybo2
tekerle,bo2krlh||
tekerlen,bo2krlh||bo1
tekmele,bo2kmh||lh||
tekmille,bo2kmyllh||
tekrarla,bo2krerle
telgrafla,bo2lao1refo1le
telle,bo2llh||
telle,bo2llh||bo1
tellendir,bo2llh||bo1dyr
temamlan,bo2memlebo1
temamlat,bo2memlebo2
tembelleş,bo2bo1bu1llh||so3
temellen,bo2mllh||bo1
temelleş,bo2mllh||so3
temelleşdir,bo2mllh||so3dyr
temizle,bo2myro1lh||
temizlen,bo2myro1lh||bo1
temizlet,bo2myro1lh||bo2
tenhalaş,bo2bo1heleso3
tep,bo2bu3
tepele,bo2bu3h||lh||
tepin,bo2bu3ybo1
tepindir,bo2ybu3bo1dyr
tepiş,bo2bu3yso3
terle,bo2rlh||
terlet,bo2rlh||bo2
tersle,bo2rslh||
terslen,bo2rslh||bo1
teyelle,bo2ko7llh||
tiftiklen,bo2yfo1bo2yklh||bo1
tiksin,bo2yksybo1
tiksin,dyksybo1
tilkileş,bo2ylkylh||so3
tipile,bo2ybu3ylh||
tiridleş,bo2yrydlh||so3
tirilde,bo2yryldh||
titizlen,bo2ybo2yro1lh||bo1
titre,bo2ybo2rh||
titret,bo2ybo2rh||bo2
tokatla,twfo2ebo2le
tokuşdur,dwfo2wso3dyr
tokuşdur,twfo2wso3dwr
tomruklan,twmrwfo2lebo1
tomurcuklan,twmrwxu1efo2lebo1
topalla,twbu3elle
topallan,twbu3ellebo1
toparla,twbu3erle
toplan,twbu3lebo1
toplanıl,twbu3lebo1yl
toplat,twbu3lebo2
toplaş,twbu3leso3
toprakla,twbu3refo2le
torbalan,twrbu1elebo1
torpille,twrbu3yllh||
tozlan,bo2wro1lebo1
tut,twbo2
tutdur,twbo1dyr
tutkalla,twbo2fo2elle
tutun,twbo2wbo1
tutuş,twbo2wso3
tutuşdur,twbo2wso3dr
törpüle,bo2wrbu3wlh||
tüken,bo2wkh||bo1
tüket,bo2wkh||bo2
tükür,bo2wkwr
tümsel,bo2wmsh||l
tüne,bo2wbo1h||
tünekle,bo2wbo1klh||
türe,bo2wrh||
türkleş,bo2wrklso3
tüt,bo2wbo2
tütdür,bo2wbo2dwr
tütsüle,bo2wbo2swlh||
tütsülen,bo2wbo2swlh||bo1
tüylen,bo2wylh||bo1
tık,tyfo2
tıka,tyfo2e
tıkan,tyfo2ebo1
tıksır,tyfo2yr
tıkırda,tyfo2yrde
tıkırdat,tyfo2yrdebo2
tın,tybo1
tıngırda,tybo1ao1yrde
tıngırdat,tybo1ao1yrdebo2
tınla,tybo1le
tıpırda,tybu3yrde
tırmala,trmele
tırmala,tyrmele
tırman,tyrmebo1
tırmıkla,tyrmyfo2le
tısla,tysle
tığla,bo2yao1le
ufal,ewfo1el
ufala,ewfo1ele
ufala,ewfo1le
ufalan,ewfo1elebo1
ufalt,ewfo1elbo2
ufunetlen,afo1wbo1bo2lbo1
ufunetlendir,afo1wbo1bo2lbo1dyr
ula,ewle
ulat,ewlebo2
uluş,ewlwso3
um,ewm
umursan,emwrsebo1
unal,ewlo5o3el
unar,ewlo5o3er
unul,ewlo5o3l
unut,ewbo1h||bo2
unutdur,ewbo1wbo2dyr
uslan,ewzlebo1
utandır,ewbo2ebo1dyr
uy,ewy
uyan,ewyebo1
uyandır,ewyebo1dyr
uydur,ewydwr
uyu,ewyw
uyukla,ewywfo2le
uyut,ewywbo2
uyuş,ewywso3
uza,ewro1e
uzat,ewro1ebo2
uzlaş,ewro1leso3
uç,ewxu3
uçukla,ewxu3wfo2le
uçur,ewxu3wr
uçurt,ewxu3wrbo2
uçuş,ewxu3wso3
uğra,ewao1re
uğrat,ewao1rebo2
uğraştır,ewao1reso3dyr
uğulda,ewao1wlde
uğurla,ewao1wrle
vadet,wad||eybo2
vahyet,wxy eybo2
vakfet,wfo2fo1 eybo2
varakla,wrfo2le
vardır,werdyr
varet,wereybo2
varol,werewl
varıl,weryl
vazgeç,wero1kxu3
vedalaş,wdealeso3
ver,wyr
verdir,wyrdyr
veril,wyrl
vize et,wyro1h||eybo2
vur,wr
vurul,wrwl
vızla,wyro1le
vızılda,wyro1ylde
yabala,yebu1h||le
yadet,yedeybo2
yadırga,yedyrao1e
yak,yefo2
yakala,yefo2h||le
yakalan,yefo2h||lebo1
yakar,yefo2er
yakdır,yefo2dyr
yaklaş,bo2efo2leso3
yaklaşdır,yefo2leso3dyr
yakıl,yefo2l
yakıl,yefo2yl
yakınlaş,yefo2ybo1leso3
yakınlaşdır,yefo2ybo1leso3dyr
yakış,yefo2yso3
yakışdır,yefo2yso3dyr
yala,yele
yalat,yelebo2
yaldızla,yeldyro1le
yaldızlat,yeldyro1lebo2
yaltaklan,yelbo2efo2lebo1
yalvar,yelwer
yama,yeme
yamala,yemh||le
yamalan,yemh||lebo2
yamat,yemebo2
yanaş,yebo1eso3
yanaşdır,yebo1eso3dyr
yanbak,yebo1 yefo2
yankıla,yebo1fo2yle
yanıl,yebo1yl
yanıl,yelo5o3yl
yanılt,yelo5o3ylbo2
yap,yebu3
yapdır,yebu3dyr
yapraklan,yebu3refo2lebo1
yapıl,yebu3yl
yapışdır,yebu3yso3dyr
yapışdırıl,yebu3yso3dyryl
yarala,yerh||le
yaralan,yerh||lebo1
yarat,yerebo2
yaratıl,yerebo2yl
yardır,yerdyr
yargıla,yerao1yle
yarıla,yeryle
yarımla,yerymle
yarış,yeryso3
yassılan,yezo8ylebo1
yassılt,yezo8ylbo2
yatır,yebo2yr
yatış,yebo2yso3
yatıştır,yebo2yso3dyr
yavrula,yewrwle
yavrulat,yewrwlebo2
yaydır,yeydyr
yayıl,yeyyl
yazdır,yero1dyr
yazla,yero1le
yazlat,yero1lebo2
yazıl,yero1yl
yağdır,yeao1dyr
yağla,yeao1le
yağlan,yeao1lebo1
yağlat,yeao1lebo2
yağmurla,yeao1mwrle
yaşar,yeso3er
yaşat,yeso3ebo2
yaşmakla,yeso3mefo2le
yaşmaklan,yeso3mefo2lebo1
yaşız,yero1yso3
ye,y
yedir,ydyr
yelekle,ylke
yelkenlen,ylkbo1lbo1
yelle,yllh||
yellen,yllbo1
yelpazele,ylbu3ero1h||l
yelpazelen,ylbu3ero1h||lbo1
yelten,ylbo2bo1
yenil,ybo1yl
yenil,ylo5o3l
yenil,ylo5o3yl
yenile,ylo5o3ylh||
yenilen,ylo5o3ylh||bo1
yenilet,ylo5o3ylbo2
yerin,yrybo1
yerleş,yrlso3
yerleşdir,yrlso3dyr
yerleşdiril,yrlso3dyrl
yet,ybo2
yetdir,ybo2dyr
yetiş,ybo2yso3
yetişdir,ybo2yso3dr
yeşer,yso3yr
yeşillen,yso3yllbo1
yeşillendir,yso3yllbo1dyr
yit,yybo2
yitdir,yybo2dyr
yoket,ywfo2 eybo2
yokla,ywfo2le
yoklan,ywfo2lebo1
yoklat,ywfo2lebo2
yoklaşdır,ywfo2leso3dyr
yoldur,ywldyr
yolla,ywlle
yolun,ywlwbo1
yon,ywbo1
yonul,ywbo1l
yor,ywr
yorganla,ywrao1ebo1le
yorul,ywrwl
yosunlan,ywzwbo1lebo2
yoğrul,ywao1rwl
yoğurt,ywao1wr
yu,yw
yum,ywm
yumakla,ywmefo2le
yumaklan,ywmefo2lebo1
yumrukla,ywmrwfo2le
yumul,ywml
yumurtla,ywmwrtle
yumurtlat,ywmwrtlebo2
yumşa,ywmso3e
yumşat,ywmso3ebo2
yun,ywbo1
yurtlan,ywrbo2lebo1
yurtlandır,ywrbo2lebo1dyr
yut,ywbo2
yutdur,ywbo2dyr
yutkun,ywbo2fo2wbo1
yutul,ywbo2l
yuvala,ywwele
yuvarla,ywwerle
yuvarlan,ywwerlebo1
yuvarlat,ywwerlebo2
yücel,ywxu1l
yücelen,ywxu1h||lbo1
yücelt,ywxu1h||lbo1
yücelt,ywxu1lbo2
yükle,ywkl
yüklen,ywklbo1
yüklet,ywklbo2
yüksel,ywksl
yükselt,ywkslbo2
yüksü,ywksy
yünle,ywlo5o3l
yüreklen,ywrklbo1
yüreklendir,ywklbo1dyr
yürü,ywrw
yürün,ywrwbo1
yürüt,ywrwbo2
yürütül,ywrwdl
yüzdür,ywro1dyr
yüzle,ywro1l
yüzleş,ywro1lso3
yüzleşdir,ywro1lso3dyr
yüzver,ywro1wyr
yüzül,ywro1wl
yık,yyfo2
yıka,yyfo2e
yıkan,yyfo2ebo1
yıkdır,yyfo2dyr
yıkdırıl,yyfo2dyrl
yıkıl,yyfo2l
yıldır,yyldyr
yılla,yylle
yılış,yylyso3
yırt,yyrbo2
yırtıl,yyrbo2l
yırtın,yyrbo2bo1
yığ,yyao1
yığdır,yyao1dyr
yığıl,yyao1l
zamkla,zo1mao1le
zamklan,zo1mao1lebo1
zamklat,zo1mao1lebo2
zammet,zo1m eybo2
zangırda,ro1ebo1ao1yrde
zannet,to1bo1 eybo2
zaptet,zo1bu1t eybo2
zayıfla,zo1ayfo1le
zayıflat,zo1ayfo1lebo2
zedele,ro1dh||l
zedelen,ro1dh||lbo1
zemmet,do1m eybo2
zenginle,ro1bo1ko7ybo1lh||
zevklen,do1wfo2lbo1
