â,eo6
esbâb-ı zarûriyye,esbu1ebu1  zo1rwryh
esbak,esbu1fo2
esed,esd
esef,esfo1
esefâ,esfo1e
esefnâk,esfo1bo1ek
eser,ebo3r
esfâr,esfo1er
esfel,esfo1l
eshâb,ezxebu1
eshâm,eshem
eshâr,esxer
eshel,eshl
eshiyâ,esxo1bu2e
es'ile,esbo5lh
esîr,esbu2r
esîrân,esbu2rebo1
eslâf,eslefo1
esliha,eslxh
esmâ,esme
esmân,ebo3mebo1
esmâr,ebo3mer
esmer,esmr
esnâ,ebo3bo1e
esnâf,ezbo1efo1
esnâm,ezbo1em
esnân,esbo1ebo1
esra',esra
esrâr,esrer
esrârengîz,esrerebo1ko7bu2ro1
esrarkeş,esrerkso3
ester,esbo2r
esvâb,ebo3webu1
esvât,ezwebo2
esved,eswd
esyâf,esbu2efo1
eş'âr,eso3aer
eşcâr,eso3xu1er
eşhâs,eso3xo1ez
eşhür,eshr
eşi'a,eso3ah
eşk,eso3k
eşkâl,eso3kel
eşkâlûd,eso3k eo6lwd
eşkiyâ,eso3fo2bu2e
eşna',eso3bo1a
eşrâf,eso3refo1
eşref,eso3rfo1
eşref-i mahlûkât,eso3rfo1 mxo1lwfo2ebo2
etemm,ebo2m
etfâl,etfo1el
etıbbâ,etbu1e
et'ime,etamh
etrâf,etrefo1
etrâk,ebo2rek
etvâr,etwer
evâhir,ewexo1r
evâil,ewebo5l
evâmir,ewemr
evân,ewebo1
evânî-i turâbe,ewebo1y bo2rebu1h
evâsıt,ewest
evbâş,ewbu1eso3
evc,ewxu1
evdiye,ewdyh
evhad,ewxd
evhâm,ewhem
evkâf,ewfo2efo1
evkât,ewfo2ebo2
evlâ,ewly
evlâd,ewled
evleviyyet,ewlwybo2
evliyâ,ewlbu2e
evrâd,ewred
evrâk,ewrefo2
evreng,ewrbo1ko7
evsâf,ewzefo1
evsat,ewst
evtâd,ewbo2ed
evvel,ewl
evvelâ,ewle
evvelâhır,ewl eo6xo1r
evvelbahar,ewl bu1her
evveliyyât,ewlbu2ebo2
evzân,ewro1ebo1
eyâlât,eyelebo2
eytâm,eybo2em
eyvân,eywebo1
eyyâm,eyem
eyzan,eyzo1e
ezânî,edo1ebo1y
ezdâd,ezo1ded
ezel,ero1l
ezelbeezel,ero1l bu1h ero1l
ezelî,ero1ly
ezeliyyet,ero1lbu2bo2
ezhân,edo1hebo1
ezhâr,ero1her
eziyyet,edo1ybo2
ezkâr,edo1ker
ezkazâ,ero1fo2zo1e
ezkiyâ,edo1kbu2e
ezmân,ero1mebo1
ezmine,ero1mbo1h
ezmine-i cedîde,ero1mbo1hc xu1dydh
ezmine-i kadîme,ero1mbo1hc fo2dymh
ezmine-i mütekaddime,ero1mbo1hc mbo2fo2dmh
ezrak,ero1rfo2
ezvâc,ero1wexu1
ezvâk,edo1wefo2
ezyâl,edo1yel
fa'âl,fo1ael
fa'âliyyet,fo1aelbu2bo2
fâcia,fo1exu1ah
fâciât,fo1exu1aebo2
fâcir,fo1exu1r
fağfur,fo1ao1fo1wr
fağfûrî,fo1ao1fo1wry
fahâmet,fo1xo1embo2
fahhâr,fo1xo1er
fâhir,fo1exo1r
fâhiş,fo1exso3
fâhişe,fo1exso3h
fâhişehane,fo1exso3h xo1ebo1h
fahr,fo1xo1r
fahrî,fo1xo1ry
fahşâ,fo1xso3e
fâhte,fo1exo1bo2h
fahûr,fo1xo1wr
fâide,fo1ebo5dh
fâidebahş,fo1ebo5dh bu1xo1so3
fâik,fo1ebo5fo2
fâikiyyet,fo1ebo5fo2bu2bo2
fâil,fo1eal
fâiliyyet,fo1ealbu2bo2
fâiz,fo1ebo5zo1
fâka,fo1efo2h
fakâhet,fo1fo2ehbo2
fakat,fo1fo2t
fakd,fo1fo2d
fakîd,fo1fo2bu2d
fakîh,fo1fo2bu2h
fâkiha,fo1ekhh
fakîr,fo1fo2bu2r
fakirhâne,fo1fo2bu2rxo1ebo1h
fakr,fo1fo2r
fâl,fo1el
falaka,fo1lfo2h
fâlic,fo1lxu1
fâlnâme,fo1elbo1emh
fâm,fo1em
fânî,fo1ebo1y
fânûs,fo1ebo1bo5s
fâr,fo1er
farazâ,fo1rzo1e
faraziyye,fo1rzo1bu2h
fârıka,fo1erfo2h
fâriğ,fo1erao1
fâris,fo1ers
fârisî,fo1ersy
farîza,fo1ryzo1h
fark,fo1rfo2
fart,fo1rt
farz,fo1rzo1
farzâ,fo1rzo1e
farziyye,fo1rzo1bu2h
fâsık,fo1esfo2
fâsıla,fo1ezlh
fâsid,fo1esd
fasîh,fo1zbu2x
fasîle,fo1zbu2lh
fasl,fo1zl
fassâd,fo1zed
fâş,fo1eso3
fâtih,fo1ebo2x
fatin,fo1tbu2bo1
fayda,fo1eydh
fâzıl,fo1ezo1l
fazîha,fo1zo1bu2xh
fazîlet,fo1zo1bu2lbo2
faziletkâr,fo1zo1bu2lbo2ker
faziletperest,fo1zo1bu2lbo2 bu3rsbo2
fazl,fo1zo1l
fazla,fo1zo1lh
fecâ'at,fo1xu1eabo2
fecere,fo1xu1rh
fecî',fo1xu1bu2a
fecî'a,fo1xu1bu2ah
fecir,fo1xu1r
fecr,fo1xu1r
fecr-i kâzib,fo1xu1rkedo1bu1
fecr-i sâdık,fo1xu1r zedfo2
fedâ,fo1de
fedâ'î,fo1debo5y
fedâkâr,fo1deker
fedâkârâne,fo1dekerebo1h
fedâkârî,fo1dekery
fehâris,fo1hers
fehîm,fo1hbu2m
fehm,fo1hm
fehvâ,fo1xwe
fekâhet,fo1kexbo2
fekk,fo1k
felâh,fo1lex
felâket,fo1lekbo2
felâketzede,fo1lekbo2 ro1dh
felâsife,fo1lesfo1h
felc,fo1lxu1
felek,fo1lk
felekiyyât,fo1lkbu2ebo2
felekzede,fo1lk ro1dh
fellâh,fo1lex
felsefî,fo1lsfo1y
fem,fo1m
fenâ,fo1bo1e
fenâpezîr,fo1bo1ebu3do1yr
fend,fo1bo1d
fenn,fo1bo1
fennen,fo1bo1e
fennî,fo1bo1y
fenniyyât,fo1bo1bu2ebo2
fer,fo1r
fer',fo1ra
ferâgat,fo1reao1bo2
ferâğ,fo1reao1
ferah,fo1rx
ferâh,fo1rexo1
ferahbahş,fo1rx bu1xo1so3
ferâine,fo1reabo1h
ferâiz,fo1rebo5zo1
ferâmîn,fo1rembu2bo1
ferâmûş,fo1remwso3
ferâset,fo1resbo2
ferbih,fo1rbu1h
ferc,fo1rxu1
fercâm,fo1rxu1em
ferd,fo1rd
ferdâ,fo1rde
ferdî,fo1rdy
ferdiyyet,fo1rdybo2
ferec,fo1rxu1
feres,fo1rs
ferhân,fo1rxebo1
ferheng,fo1rhbo1ko7
ferhunde,fo1rxo1bo1dh
fer'î,fo1ray
ferîd,fo1ryd
ferikân,fo1ryfo2ebo1
ferîk-i evvel,fo1ryfo2 ewl
ferîk-i sânî,fo1ryfo2 bo3ebo1y
ferişte,fo1rso3bo2h
fermân,fo1rmebo1
fermandih,fo1rmebo1 dh
fermânfermâ,fo1rmebo1 fo1rme
fermâyiş,fo1rmeyso3
ferrâş,fo1reso3
ferruh,fo1rxo1
fersûde,fo1rswdh
ferş,fo1rso3
fertût,fo1rbo2wbo2
ferverdîn,fo1rwrdybo1
feryâd,fo1ryed
feryâdres,fo1ryedrs
ferzâne,fo1rro1ebo1h
ferzend,fo1rro1bo1d
fesâd,fo1sed
fesahat,fo1zexbo2
fesâne,fo1sebo1h
fesat,fo1sed
fesh,fo1sxo1
fetâ,fo1bo2y
fetâvâ,fo1bo2ewy
feth,fo1bo2x
fetîle,fo1bo2bu2lh
fetret,fo1bo2rbo2
fettâh,fo1bo2ex
fettan,fo1bo2ebo1
fetvâ,fo1bo2wy
fevâhiş,fo1wexso3
fevâid,fo1webo5d
fevâkih,fo1wekh
fevâris,fo1wers
fevc,fo1wxu1
feverân,fo1wrebo1
fevk,fo1wfo2
fevkalâde,fo1wfo2 elaedh
fevkalbeşer,fo1wfo2 elbu1so3r
fevkalferd,fo1wfo2 elfo1rd
fevkalhad,fo1wfo2 elxd
fevkânî,fo1wfo2ebo1y
fevkattabîa,fo1wfo2 eltbu1bu2ah
fevren,fo1wre
fevrî,fo1wry
fevt,fo1wbo2
fevvâre,fo1werh
feyezân,fo1bu2zo1ebo1
feyiz,fo1bu2zo1
feylesof,fo1bu2lswfo1
feyyâz,fo1bu2ezo1
feyz,fo1bu2zo1
feyzbahş,fo1bu2zo1 bu1xo1so3
fezâ,fo1zo1e
fezâil,fo1zo1ebo5l
fezleke,fo1do1lkh
fıdda,fo1zo1h
fıkarât,fo1fo2rebo2
fıkdân,fo1fo2debo1
fıkh,fo1fo2h
fıkra,fo1fo2rh
fırak,fo1rfo2
fırka,fo1rfo2h
fırsat,fo1rzbo2
fısk,fo1sfo2
fıskiyye,fo1sfo2bu2h
fıtnat,fo1tbo1bo2
fıtra,fo1trh
fıtrat,fo1trbo2
fıtraten,fo1trbo2e
fıtrî,fo1try
fî,fo1y
fîât,fo1bu2bo5ebo2
figân,fo1ao1ebo1
fihris,fo1hrs
fikir,fo1kr
fikr,fo1kr
fikren,fo1kre
fikrî,fo1kry
fikriyyât,fo1kryebo2
fil,fo1bu2l
fi'l,fo1al
filâhat,fo1lexbo2
filasl,fo1y elezl
fi'len,fo1ale
filhakîka,fo1y elxfo2bu2fo2h
filhâl,fo1y elxel
fi'liyyât,fo1albu2ebo2
filiz,fo1lro1
filmesel,fo1y elmbo3l
filvâki,fo1y elwefo2a
fîmâba'd,fo1y me bu1ad
fînefsilemr,fo1y bo1fo1s elemr
firâk,fo1refo2
firâr,fo1rer
firârî,fo1rery
firâvân,fo1rewebo1
fir'avn,fo1rawbo1
firâz,fo1rero1
firdevs,fo1rdws
fireng,fo1rbo1ko7
firîfte,fo1ryfo1bo2h
firistâde,fo1rsbo2edh
firişte,fo1rso3bo2h
firiştehû,fo1rso3bo2h xo1w
firkat,fo1rfo2bo2
fîrûz,fo1bu2rwro1
fîrûze,fo1bu2rwro1h
fîrûzefâm,fo1bu2rwro1h fo1em
fîsebîlillah,fo1y sbu1bu2l eellh
fiten,fo1bo2bo1
fitne,fo1bo2bo1h
fityân,fo1bo2bu2ebo1
fuâd,fo1wo5ed
fuhş,fo1xso3
fuhuş,fo1xso3
fukahâ,fo1fo2he
fukarâ,fo1fo2re
fûlâd,fo1wled
furkân,fo1rfo2ebo1
fursat,fo1rzbo2
fursatcû,fo1rzbo2 xu1w
fusahâ,fo1zxe
fusûl,fo1zwl
fuzalâ,fo1zo1le
fuzûl,fo1zo1wl
fuzûlî,fo1zo1wly
füceten,fo1xu1bo5ho2
fücûr,fo1xu1wr
fülân,fo1lebo1
fülfül,fo1lfo1l
füls,fo1ls
fülûs,fo1lws
fünûn,fo1bo1wbo1
fürs,fo1rs
fürû',fo1rwa
fürûğ,fo1rwao1
fürûht,fo1rwxo1bo2
fürûmâye,fo1rwmeyh
fürûzân,fo1rwro1ebo1
füshat,fo1sxbo2
füsûn,fo1swbo1
füsûnger,fo1swbo1ko7r
füsürde,fo1srdh
fütâde,fo1bo2edh
fütûhât,fo1bo2wxebo2
fütûr,fo1bo2wr
fütüvvet,fo1bo2wbo2
füyûz,fo1bu2wzo1
füzûn,fo1ro1wbo1
gabâvet,ao1bu1ewbo2
gabî,ao1bu1y
gabn,ao1bu1bo1
gaddâr,ao1der
gadr,ao1dr
gaffâr,ao1fo1er
gâfil,ao1efo1l
gaflet,ao1fo1lbo2
gafleten,ao1fo1lho2
gafûr,ao1fo1wr
gâh,ko7eh
gâhî,ko7ehy
gâhvâre,ko7ehwerh
gâib,ao1ebo5bu1
gâile,ao1ebo5lh
gâita,ao1ebo5th
galat,ao1lt
galebe,ao1lbu1h
galeyân,ao1lbu2ebo1
gâlib,ao1elbu1
gâliba,ao1elbu1e
gâlibiyyet,ao1elbu1bu2bo2
galîz,ao1lbu2to1
galle,ao1lh
gam,ao1m
gâm,ko7em
gâmız,ao1emzo1
gammâz,ao1mero1
gamnâk,ao1mbo1ek
gamze,ao1mro1h
ganâim,ao1bo1ebo5m
ganem,ao1bo1m
ganî,ao1bo1y
ganîmet,ao1bo1bu2mbo2
gâr,ao1er
garâbet,ao1rebu1bo2
garâib,ao1rebo5bu1
garâm,ao1rem
garaz,ao1rzo1
garazâlûd,ao1rzo1 eo6lwd
garazkâr,ao1rzo1ker
garb,ao1rbu1
garben,ao1rbu1e
garbî,ao1rbu1y
garbiyyûn,ao1rbu1bu2wbo1
gâret,ao1erbo2
gâretger,ao1erbo2ko7r
garîb,ao1rybu1
garibü'd-diyâr,ao1rybu1 eldyer
garîk,ao1ryfo2
garîze,ao1ryro1h
garizî,ao1ryro1y
gark,ao1rfo2
garrâ,ao1re
gars,ao1rs
gasb,ao1zbu1
gaseyan,ao1zbu2ebo1
gâsıb,ao1zbu2bu1
gasl,ao1sl
gassâl,ao1sel
gâşiye,ao1eso3bu2h
gaşy,ao1so3y
gâv,ko7ew
gavgâ,ao1wao1e
gavvâs,ao1wez
gâyât,ao1eyebo2
gayb,ao1eybu1
gaybûbet,ao1bu2bu1wbu1bo2
gâye,ao1eyh
gâyet,ao1eybo2
gayr,ao1bu2r
gayrendîş,ao1bu2r ebo1dyso3
gayret,ao1bu2rbo2
gayretkeş,ao1bu2rbo2kso3
gayretmend,ao1bu2rbo2mbo1d
gayr-i idrakî,ao1bu2r edreky
gayr-i ihtiyarî,ao1bu2r exo1bo2bu2ery
gayr-i kâbil,ao1bu2r fo2ebu1l
gayr-i kâbil-i fehm,ao1bu2r fo2ebu1l fo1hm
gayr-i kâbil-i izâle,ao1bu2r fo2ebu1l ero1elh
gayr-i kâbil-i mukavemet,ao1bu2r fo2ebu1l mfo2ewmbo2
gayr-i kâbil-i tebdil,ao1bu2r fo2ebu1l bo2bu1dyl
gayr-i kâbil-i tefrik,ao1bu2r fo2ebu1l bo2fo1ryfo2
gayr-i kâbil-i telif,ao1bu2r fo2ebu1l bo2eo5lbu2fo1
gayr-i mahdûd,ao1bu2r mxdwd
gayr-i mahsûs,ao1bu2r mxsws
gayr-i mer'î,ao1bu2r mrbo5y
gayr-i meşrû,ao1bu2r mso3rwa
gayr-i muayyen,ao1bu2r mabu2bo1
gayr-i muhtemel,ao1bu2r mxbo2ml
gayr-i muntazam,ao1bu2r mbo1bo2to1m
gayr-i müslim,ao1bu2r mslm
gayriyyet,ao1bu2rybo2
gayyâ,ao1bu2e
gayz,ao1bu2to1
gazâ,ao1ro1e
gazab,ao1zo1bu1
gazâl,ao1ro1el
gazanfer,ao1zo1bo1fo1r
gazavât,ao1ro1webo2
gazel,ao1ro1l
gazelhân,ao1ro1l xo1webo1
gazeliyyât,ao1ro1lbu2ebo2
gazelserâ,ao1ro1l sre
gazî,ao1ero1y
gazve,ao1ro1wh
gebr,ko7bu1r
gedâ,ko7de
geh,ko7h
gehvâre,ko7hwerh
gele,ko7lh
gelû,ko7lw
genc,ko7bo1xu1
gencîne,ko7bo1xu1bu2bo1h
gendîde,ko7bo1dydh
gendûmgûn,ko7bo1dmko7wbo1
gendüm,ko7bo1dm
ger,ko7r
gerçi,ko7rxu3h
gerd,ko7rd
gerdâlûd,ko7rd eo6lwd
gerdân,ko7rdebo1
gerden,ko7rdbo1
gerdenbend,ko7rdbo1 bu1bo1d
gerdenferâz,ko7rdbo1 fo1rero1
gerdenkeş,ko7rdbo1 kso3
gerdiş,ko7rdso3
gerdûn,ko7rdwbo1
gerdûne,ko7rdwbo1h
germ,ko7rm
germâ,ko7rme
germâbe,ko7rmebu1h
germî,ko7rmy
geşt,ko7so3bo2
geştügüzâr,ko7so3bo2 w ko7ro1er
gevher,ko7whr
gevherî,ko7whry
gevz,ko7wro1
gezend,ko7ro1bo1d
gıbta,ao1bu1th
gıdâ,ao1de
gılâf,ao1lefo1
gıllügış,ao1l w ao1so3
gılmân,ao1lmebo1
gılzet,ao1lto1bo2
gınâ,ao1bo1e
gırbâl,ao1rbu1el
gırîv,ko7ryw
gışâ,ao1so3e
gışş,ao1so3
gıyâb,ao1bu2ebu1
gıyâben,ao1bu2ebu1e
gıyâs,ao1bu2ebo3
gıybet,ao1bu2bu1bo2
gil,ko7l
gile,ko7lh
gilemend,ko7lh mbo1d
girâmî,ko7remy
girân,ko7rebo1
giranbehâ,ko7rebo1 bu1he
girankadr,ko7rebo1 fo2dr
girankıymet,ko7rebo1 fo2bu2mbo2
girânmâye,ko7rebo1 meyh
girânser,ko7rebo1 sr
gird,ko7rd
girdâb,ko7rdebu1
girdâgird,ko7rdeko7rd
girdbâd,ko7rdbu1ed
girdû,ko7rdw
girîbân,ko7rybu1ebo1
girift,ko7rfo1bo2
giriftâr,ko7rfo1bo2er
girih,ko7rh
girihgîr,ko7rh ko7bu2r
girihgüşâ,ko7rh ko7so3e
girîve,ko7rywh
gîrûdâr,ko7bu2rwder
giryân,ko7ryebo1
girye,ko7ryh
giryeengîz,ko7ryh ebo1ko7bu2ro1
giryenâk,ko7ryh bo1ek
gîsû,ko7bu2sw
gîsûbend,ko7bu2swbu1bo1d
gîtî,ko7bu2bo2y
giyâh,ko7bu2eh
gonca,ao1bo1xu1h
goncaruhsâr,ao1bo1xu1h rxo1ser
gonce,ao1bo1xu1h
goncedehân,ao1bo1xu1h dhebo1
gubâr,ao1bu1er
gubârâlûd,ao1bu1er eo6lwd
gudde,ao1dh
guded,ao1dd
gufrân,ao1fo1rebo1
gûgerd,ko7wko7rd
gûk,ao1wk
gûl,ko7wl
gulâm,ao1lem
gulât,ao1lebo2
gulgule,ao1lao1lh
gumûm,ao1mwm
gûnâgûn,ko7wbo1eko7wbo1
gûne,ko7wbo1h
gunûde,ao1bo1wdh
gûr,ko7wr
gurâb,ao1rebu1
gurbet,ao1rbu1bo2
gurbetzede,ao1rbu1bo2 ro1dh
gurebâ,ao1rbu1e
gûristân,ko7wrsbo2ebo1
gûrken,ko7wrkbo1
gurrân,ao1rebo1
gurre,ao1rh
gurûb,ao1rwbu1
gurûr,ao1rwr
gûsâle,ko7wselh
gûsâle,ko7wselh
gûsfend,ko7wsfo1bo1d
gusl,ao1sl
gusn,ao1zbo1
gussa,ao1zh
gûş,ko7wso3
gûşe,ko7wso3h
gûşenişîn,ko7wso3h bo1so3bu2bo1
gûşt,ko7wso3bo2
gûşvâre,ko7wso3werh
gûy,ko7wy
gûyâ,ko7wye
güdâhte,ko7dexo1bo2h
güftâr,ko7fo1bo2er
güfte,ko7fo1bo2h
güftügû,ko7fo1bo2 w ko7w
güher,ko7hr
güherfurûş,ko7hrfo1rwso3
gül,ko7l
gülâb,ko7lebu1
gülabdan,ko7lebu1debo1
gülbang,ko7lbu1ebo1ko7
gülbang-ı muhammedî,ko7lbu1ebo1ko7 mxmdy
gülberg,ko7lbu1rko7
gülbün,ko7lbu1bo1
gülçehre,ko7l xu3hrh
gülçin,ko7lxu3bu2bo1
güldan,ko7ldebo1
güldeste,ko7ldsbo2h
gülendâm,ko7l ebo1dem
gülfâm,ko7lfo1em
gülgonce,ko7l ao1bo1xu1h
gülgûn,ko7lko7wbo1
gülistân,ko7lsbo2ebo1
gülizar,ko7lado1er
güllaç,ko7lexu1
gülmih,ko7l mbu2xo1
gülnâr,ko7lbo1er
gülnihal,ko7l bo1hel
gülreng,ko7l rbo1ko7
gülriz,ko7lryro1
gülrû,ko7l rw
gülruh,ko7l rxo1
gülşen,ko7lso3bo1
gülten,ko7l bo2bo1
gülüptan,ko7lebu1debo1
gülzâr,ko7lro1er
gümân,ko7mebo1
gümnâm,ko7mbo1em
gümrâh,ko7mreh
günah,ko7bo1eh
günahkâr,ko7bo1ehker
günbed,ko7bo1bu1d
güncişk,ko7bo1xu1so3k
güneh,ko7bo1h
gürbe,ko7rbu1h
gürbüz,ko7rbu1ro1
gürg,ko7rko7
güriz,ko7ryro1
gürîzân,ko7ryro1ebo1
gürûh,ko7rwh
güstâh,ko7sbo2exo1
güşâderû,ko7so3edh rw
güşâyiş,ko7so3eyso3
güvâh,ko7weh
güzâf,ko7ro1efo1
güzergâh,ko7do1rko7eh
güzeşt,ko7do1so3bo2
güzîde,ko7ro1ydh
güzin,ko7ro1ybo1
güzîr,ko7ro1yr
h,h x xo1
hâ,xo1e
hâ,he
hâb,xo1webu1
habâb,xbu1ebu1
habâbe,xbu1ebu1h
habâis,xo1bu1ebo5bo3
hâbâlûd,xo1webu1 eo6lwd
hâbâlûde,xo1webu1 eo6lwdh
habâset,xo1bu1ebo3bo2
habb,xbu1
habbât,xbu1ebo2
habbâz,xo1bu1ero1
habbe,xbu1h
habbe-i hadrâ,xbu1hc xzo1re
habbe-i sevdâ,xbu1hc swde
habbezâ,xbu1do1e
habbülbülûğ,xbu1 elbu1lwao1
hâbcâme,xo1webu1 xu1emh
haber,xo1bu1r
haberdar,xo1bu1rder
habeşe,xbu1so3h
hâbgâh,xo1webu1ko7eh
habîb,xbu1bu2bu1
habîr,xo1bu1bu2r
habis,xo1bu1bu2bo3
habl,xbu1l
hablülmesâkin,xbu1l elmsekbo1
hâbnâk,xo1webu1bo1ek
hâbnâme,xo1webu1 bo1emh
habr,xbu1r
habs,xbu1s
habshâne,xbu1s xo1ebo1h
habt,xo1bu1t
habtühata,xo1bu1t w xo1te
hac,xexu1
hacâlet,xo1xu1elbo2
hacâletâver,xo1xu1elbo2 eo6wr
hacamat,xxu1embo2
hacâmet,xxu1embo2
hâcât,xexu1ebo2
haccâm,xxu1em
haccar,xxu1er
hâcce,xexu1h
hâce,xo1wexu1h
hâcegân,xo1wexu1ko7ebo1
hâcegî,xo1wexu1ko7y
hacel,xo1xu1l
hacer,xxu1r
hacer-i esved,xxu1r eswd
hacer-i semâî,xxu1r smebo5y
hâceserâ,xo1wexu1h sre
hâcet,xexu1bo2
hâcetmend,xexu1bo2mbo1d
hacı,xexu1y
hacıyân,xexu1bu2ebo1
hâcî,hexu1y
hâcib,xexu1bu1
hacîl,xo1xu1bu2l
hâcir,hexu1r
hâciz,xexu1ro1
hacle,xxu1lh
haclegâh,xxu1lh ko7eh
haclet,xo1xu1lbo2
hacletâver,xo1xu1lbo2 eo6wr
hacm,xxu1m
hacmen,xxu1me
hacz,xxu1ro1
hadâik,xdebo5fo2
hadd,xd
hadd,xo1d
hâdd,xed
haddâ',xo1dea
haddâd,xded
haddâdî,xdedy
hadd-i asgarî,xd ezao1ry
hadd-i azamî,xd eato1my
hadd-i tabiî,xd tbu1bu2ay
hadeb,xdbu1
hadem,xo1dm
hademe,xo1dmh
hadeng,xo1dbo1ko7
hader,xo1dr
hades,xds
hâdi',xo1eda
hâdî,hedy
hadîka,xdyfo2h
hâdim,xo1edm
hâdime,xo1edmh
hadîs,xdybo3
hâdis,xedbo3
hâdisat,xedbo3ebo2
hâdise,xedbo3h
hadnâşinas,xdbo1eso3bo1es
hadrâ,xzo1re
hads,xds
hadşe,xo1dso3h
hadşeâver,xo1dso3h eo6wr
hafâ,xo1fo1e
hafâfîş,xo1fo1efo1bu2so3
hafâgâh,xo1fo1eko7eh
hafâir,xfo1ebo5r
hafakan,xo1fo1fo2ebo1
hafâyâ,xo1fo1eye
hafız,xefo1to1
hafıza,xefo1to1h
hâfız-ı kütüb,xefo1to1 kbo2bu1
hafî,xo1fo1y
hâfî,xefo1y
hafîd,xfo1bu2d
hafîde,xfo1bu2dh
hafif,xo1fo1bu2fo1
hafîr,xfo1bu2r
hâfir,xefo1r
hafiyyât,xo1fo1bu2ebo2
hafiyye,xo1fo1bu2h
hafiyyen,xo1fo1bu2e
hafr,xfo1r
hafriyyât,xfo1ryebo2
haftân,xo1fo1bo2ebo1
hâh,xo1weh
hâhân,xo1wehebo1
hâher,xo1wehr
hâherzâde,xo1wehrro1edh
hâhiş,xo1wehso3
hâhişger,xo1wehso3ko7r
hâhişkâr,xo1wehso3ker
hâhişkerde,xo1wehso3 krdh
hâhnâhâh,xo1weh bo1exo1weh
hâif,xo1ebo5fo1
hâifen,xo1ebo5fo1e
hâil,hebo5l
hâin,xo1ebo5bo1
hâinâne,xo1ebo5bo1ebo1h
hâiz,xebo5ro1
hâiz-i ehemmiyet,xebo5ro1 ehmbu2bo2
hak,xfo2
hâk,xo1ek
hak teâlâ,xfo2 bo2aely
hakâik,xfo2ebo5fo2
hakâret,xfo2erbo2
hakaretâmiz,xfo2erbo2 eo6mbu2ro1
hakâyık,xfo2eyfo2
hâkbîz,xo1ek bu1bu2ro1
hakem,xkm
hâkezâ,hkdo1e
hakgû,xfo2 ko7w
hâkî,xeky
hâkî,xo1eky
hakîkat,xfo2bu2fo2bo2
hakîkaten,xfo2bu2fo2ho2
hakikatperver,xfo2bu2fo2bo2 bu3rwr
hakikî,xfo2bu2fo2y
hakikiye,xfo2bu2fo2bu2h
hakîm,xkbu2m
hâkimiyet,xekmbu2bo2
hakîr,xfo2bu2r
hâkister,xo1eksbo2r
hâkisterî,xo1eksbo2ry
hakk,xfo2
hakk,xk
hakkâ,xfo2e
hakkâk,xkek
hakkaniyet,xfo2ebo1bu2bo2
hâkrûb,xo1ekrwbu1
hakşinas,xfo2 so3bo1es
hakşinâsî,xfo2 so3bo1esy
hal',xo1la
hâl,xel
hâl,xo1el
hâl,xo1el
halâ,xo1le
hâlâ,xele
halâik,xo1lebo5fo2
halâl,xo1lel
halâs,xo1lez
halaskâr,xo1lezker
hâlâşina,xel eo6so3bo1e
hâlât,xelebo2
halâvet,xlewbo2
haldâr,xo1elder
hâle,xo1elh
hâle,helh
halecan,xo1lxu1ebo1
halef,xo1lfo1
halel,xo1ll
haleldâr,xo1llder
halen,xele
hâlet,xelbo2
hâlet-i ruhiye,xelbo2 rwxbu2h
halhal,xo1lxo1el
hâlık,xo1elfo2
hâlî,xo1ely
halîb,xlbu2bu1
halîc,xo1lbu2xu1
hâlid,xo1eld
halîfe,xo1lbu2fo1h
halihazır,xel xezo1r
hâlik,xo1elfo2
hâlikiyet,xo1elfo2bu2bo2
halîm,xlbu2m
hâlis,xo1elz
hâlisâne,xo1elzebo1h
halîta,xo1lbu2th
hâliyâ,xelbu2e
halk,xlfo2
halk,xo1lfo2
halka,xlfo2h
halkabegûş,xlfo2h bu1ko7wso3
halkiyat,xo1lfo2bu2ebo2
hall,xl
hallâc,xlexu1
hallâk,xo1lefo2
hallâl,xlel
hallüfasl,xl w fo1zl
halt,xo1lt
halûk,xo1lwfo2
halvet,xo1lwbo2
halvetgâh,xo1lwbo2ko7eh
ham,xo1em
ham,xo1m
hamâil,xmebo5l
hamâkat,xmefo2bo2
hamâme,xmemh
hamâse,xmesh
hamâset,xmesbo2
hamd,xmd
hâme,xo1emh
hamel,xml
hamelât,xmlebo2
hâmî,xemy
hâmid,xemd
hamîde,xo1mbu2dh
hâmil,xeml
hâmile,xemlh
hamîr,xmbu2r
hâmis,xo1ems
hâmisen,xo1emse
hâmiş,hemso3
hâmiz,xemzo1
haml,xml
hamle,xmlh
hammâl,xmel
hammâm,xmem
hammâr,xo1mer
hamr,xo1mr
hamrâ,xo1mre
hams,xo1ms
hamse,xo1msh
hamsin,xo1msbu2bo1
hamûl,xmwl
hamûle,xmwlh
hâmûn,hemwbo1
hâmûş,xo1emwso3
hamyâze,xo1mbu2ero1h
hamz,xmzo1
hân,xo1webo1
hân,xo1webo1
hanâzir,xo1bo1ero1yr
hancer,xo1bo1xu1r
hancere,xbo1xu1rh
handan,xo1bo1debo1
hande,xo1bo1dh
handek,xo1bo1dfo2
handerûy,xo1bo1dh rwy
hâne,xo1ebo1h
hanedan,xo1ebo1debo1
hâneharâb,xo1ebo1h xo1rebu1
hânende,xo1webo1bo1dh
hanif,xbo1bu2fo1
hânkah,xo1ebo1fo2eh
hânman,xo1ebo1mebo1
hannas,xo1bo1es
hânsâlar,xo1webo1 seler
hânüman,xo1ebo1mebo1
hapis,xbu1s
