turkish_latin,needs_suffix,
yanaş,F,
yankıla,F,
yanla,F,
yanlışla,F,
yansı,F,
yansıla,F,
yanıl,F,
yanıtla,F,
yanşa,F,
yap,F,
yapış,F,
yar,F,
yara,F,
yarala,F,
yaran,F,
yarat,F,
yaratıl,F,
yaraş,F,
yardımed,T,
yardımet,F,
yardımgör,F,
yargıla,F,
yarmala,F,
yarıla,F,
yarımla,F,
yarış,F,
yasa,F,
yasakla,F,
yasla,F,
yassıla,F,
yassılt,F,
yat,F,
yatış,F,
yavaşla,F,
yavrula,F,
yavukla,F,
yavşa,F,
yay,F,
yayla,F,
yayıkla,F,
yayıl,F,
yayımla,F,
yayınla,F,
yaz,F,
yazla,F,
yağ,F,
yağla,F,
yağmala,F,
yağmurla,F,
yaşa,F,
yaşar,F,
yaşat,F,
ye,F,
yedekle,F,
yekin,F,
yelekle,F,
yelkenle,F,
yelle,F,
yelpazele,F,
yelse,F,
yelten,F,
yemle,F,
yen,F,
yenile,F,
yeniş,F,
yer,F,
yeral,F,
yerin,F,
yerinegetir,F,
yerleş,F,
yestehle,F,
yet,F,
yetin,F,
yetiş,F,
yeğle,F,
yeğnise,F,
yeşer,F,
yinele,F,
yit,F,
yivle,F,
yoked,T,
yoket,F,
yokla,F,
yokol,F,
yokumsa,F,
yol,F,
yolaç,F,
yolla,F,
yon,F,
yongala,F,
yont,F,
yor,F,
yorgala,F,
yorumla,F,
yoğrul,F,
yoğur,F,
yoğurtla,F,
yudumla,F,
yuhala,F,
yum,F,
yumrukla,F,
yumul,F,
yumurtla,F,
yumuşa,F,
yurtsa,F,
yut,F,
yutkun,F,
yuvala,F,
yuvarla,F,
yuvgula,F,
yönel,F,
yönet,F,
yücel,F,
yükle,F,
yüksel,F,
yükseltge,F,
yüksün,F,
yükün,F,
yülü,F,
yürü,F,
yürüt,F,
yüz,F,
yüzgözol,F,
yüzle,F,
yüzleş,F,
yık,F,
yıka,F,
yıkış,F,
yıl,F,
yıldızla,F,
yılla,F,
yılış,F,
yıpran,F,
yıprat,F,
yırla,F,
yırt,F,
yırtın,F,
yıvış,F,
yığ,F,
yığınakla,F,
zamanla,F,
zamkla,F,
zangırdat,F,
zanned,T,
zannet,F,
zanneyle,F,
zannolun,F,
zap,F,
zapted,T,
zaptet,F,
zarfla,F,
zayıfla,F,
zağla,F,
zedele,F,
zehirle,F,
zehrol,F,
zenginle,F,
ziftle,F,
zikred,T,
zikret,F,
zincirle,F,
ziyaned,T,
ziyanet,F,
zonkla,F,
zorla,F,
zorlaş,F,
zorundabırak,F,
zorundakal,F,
zulmed,T,
zulmet,F,
zıbar,F,
zıhla,F,
zımbala,F,
zımparala,F,
zıpkınla,F,
zıpla,F,
zırla,F,
zırvala,F,
zırılda,F,
çabala,F,
çak,F,
çakıl,F,
çakılda,F,
çakış,F,
çal,F,
çalkala,F,
çalkan,F,
çalımla,F,
çalış,F,
çamurla,F,
çap,F,
çapala,F,
çapla,F,
çaprazla,F,
çapraş,F,
çapulla,F,
çarp,F,
çarpıt,F,
çarşafla,F,
çat,F,
çatla,F,
çatın,F,
çatırda,F,
çatış,F,
çav,F,
çayırla,F,
çağ,F,
çağla,F,
çağrı,T,
çağılda,F,
çağır,F,
çaşıtla,F,
çek,F,
çekele,F,
çekeme,F,
çekil,F,
çekimle,F,
çekimsen,F,
çekin,F,
çekiçle,F,
çekiş,F,
çekiştir,F,
çel,F,
çelikle,F,
çeliş,F,
çelmele,F,
çemberle,F,
çemenle,F,
çemkir,F,
çengelle,F,
çenile,F,
çent,F,
çentikle,F,
çerçevele,F,
çevir,F,
çevrele,F,
çevril,F,
çevrile,F,
çevrin,F,
çeyrekle,F,
çeşitle,F,
çeşnile,F,
çiftele,F,
çiftle,F,
çile,F,
çim,F,
çimdikle,F,
çimentola,F,
çirişle,F,
çise,F,
çisele,F,
çit,F,
çitile,F,
çitle,F,
çivile,F,
çivitle,F,
çiyle,F,
çiz,F,
çizgile,F,
çiziktir,F,
çiçekle,F,
çiğne,F,
çoksa,F,
çoğal,F,
çoğulla,F,
çoğumsa,F,
çubukla,F,
çulla,F,
çuvalla,F,
çök,F,
çökel,F,
çöker,F,
çöm,F,
çömel,F,
çöz,F,
çözümle,F,
çözün,F,
çöğ,F,
çöğün,F,
çürü,F,
çürüt,F,
çık,F,
çıkagel,F,
çıkar,F,
çıkarsa,F,
çıkıla,F,
çıkınla,F,
çıkış,F,
çıldır,F,
çıngırda,F,
çınla,F,
çırp,F,
çırpın,F,
çıtlat,F,
çıtçıtla,F,
çıtırda,F,
çığır,F,
çığırt,F,
öcal,F,
öde,F,
ödünle,F,
öksür,F,
öl,F,
ölç,F,
ölçümle,F,
öncele,F,
önemse,F,
önemver,F,
öner,F,
öngör,F,
önle,F,
öp,F,
ör,F,
örgütle,F,
örkle,F,
örnek,F,
örnekle,F,
örnekse,F,
örsele,F,
ört,F,
örtün,F,
öt,F,
ötür,F,
öv,F,
övün,F,
öyküle,F,
öykün,F,
öz,F,
özdeşle,F,
öze,F,
özen,F,
özetle,F,
özgüle,F,
özle,F,
özümle,F,
özümse,F,
öçal,F,
öğren,F,
öğret,F,
öğür,F,
öğürtle,F,
öğüt,F,
öğütle,F,
üfle,F,
üfür,F,
üleş,F,
ünle,F,
üre,F,
ürk,F,
ürper,F,
ürü,F,
üstele,F,
üsten,F,
üstlen,F,
üstüpüle,F,
üt,F,
ütüle,F,
üvey,F,
üyeol,F,
üz,F,
üzengile,F,
üzül,F,
üçle,F,
üş,F,
üşen,F,
üşü,F,
üşüş,F,
ıhla,F,
ıkın,F,
ılga,F,
ılgarla,F,
ılı,F,
ıra,F,
ıraksa,F,
ıraksın,F,
ırala,F,
ırgala,F,
ıskala,F,
ısla,F,
ıslıkla,F,
ısmarla,F,
ısın,F,
ısır,F,
ısıt,F,
ışı,F,
ışıla,F,
ışılda,F,
ışınla,F,
şakla,F,
şakra,F,
şakulle,F,
şakı,F,
şakırda,F,
şamarla,F,
şampuanla,F,
şapla,F,
şarla,F,
şartla,F,
şavkı,F,
şavulla,F,
şaş,F,
şaşakal,F,
şaşala,F,
şaşır,F,
şekerle,F,
şenel,F,
şerbetle,F,
şeritle,F,
şifle,F,
şifrele,F,
şinikle,F,
şiş,F,
şişele,F,
şişin,F,
şişir,F,
şişle,F,
şişmanla,F,
şokeed,T,
şokeet,F,
şokeol,F,
şorla,F,
şükred,T,
şükret,F,
şükreyle,F,
şımar,F,
şıngırda,F,
şırla,F,
